b0	b1	r	R2	lex.type	i	r.z	R2.z	og.greater.r	og.greater.R2	language
3.3850685931583066e-17	-0.6559820638365754	-0.6559820638365756	0.430312468075293	og	1	-0.4393867791201989	0.4069686003208121	0.375	0.625	Cantonese
-2.9782813118968206e-16	-0.5370182883440935	-0.5370182883440935	0.28838864201602	nonce	2	1.1760627888737227	-1.1945593472323115	0.375	0.625	Cantonese
3.3442515245590694e-16	-0.6419758884973045	-0.6419758884973041	0.41213304141190316	nonce	3	-0.24919216057009136	0.20182432905693182	0.375	0.625	Cantonese
-1.1705263874762539e-17	-0.5578224326148049	-0.5578224326148047	0.3111658663282981	nonce	4	0.8935562381571354	-0.9375315999070308	0.375	0.625	Cantonese
1.198953155071684e-16	-0.7324470263212671	-0.7324470263212671	0.536478646366867	nonce	5	-1.4777305110772634	1.6049922608995024	0.375	0.625	Cantonese
-1.665378309102538e-16	-0.7337323285592535	-0.7337323285592536	0.5383631299729843	nonce	6	-1.4951840673089931	1.6262575638842318	0.375	0.625	Cantonese
-1.2110097482475665e-16	-0.6226987753041748	-0.622698775304175	0.38775376476531925	nonce	7	0.012578315787885598	-0.07328164838710183	0.375	0.625	Cantonese
4.037368347826091e-17	-0.6480473195094182	-0.6480473195094182	0.4199653283233418	nonce	8	-0.3316381872283858	0.2902071378510299	0.375	0.625	Cantonese
-3.785859551479275e-17	-0.57243462301683945	-0.572434623016839	0.3276813976284304	nonce	9	0.6951323349589472	-0.7511634214251203	0.375	0.625	Cantonese
-3.001226110853417e-16	-0.6567946971982465	-0.6567946971982466	0.43137927426773626	nonce	10	-0.4504218039217756	0.41900688860023794	0.375	0.625	Cantonese
4.806100893462553e-16	-0.6013210579837689	-0.6013210579837692	0.3615870147747193	nonce	11	0.30287361002329755	-0.36855822435172786	0.375	0.625	Cantonese
-1.7782670692824624e-16	-0.5553696414278663	-0.5553696414278657	0.30843543861971606	nonce	12	0.9268635238995104	-0.9683428907627418	0.375	0.625	Cantonese
1.7739491687601648e-16	-0.5424390283469529	-0.5424390283469528	0.2942400994739862	nonce	13	1.1024527167355884	-1.128529048352564	0.375	0.625	Cantonese
1.0124167974651112e-16	-0.592951479581213	-0.5929514795812133	0.3515914571375499	nonce	14	0.41652696171567594	-0.48135228685550474	0.375	0.625	Cantonese
2.0113280536985834e-16	-0.6095239992166448	-0.6095239992166446	0.37151950562105224	nonce	15	0.19148308113271584	-0.25647583395327317	0.375	0.625	Cantonese
-5.081370718634208e-16	-0.662435166856141	-0.6624351668561408	0.43882035028772315	nonce	16	-0.5270156597775345	0.5029751097000504	0.375	0.625	Cantonese
-6.905582105586312e-18	-0.6900391940370928	-0.6900391940370929	0.4761540893073607	nonce	17	-0.9018601332297039	0.9242646710569503	0.375	0.625	Cantonese
-3.506121297646444e-17	-0.7063659764965842	-0.7063659764965843	0.49895289275197285	nonce	18	-1.1235670651232939	1.181535926357435	0.375	0.625	Cantonese
-3.103594535958257e-16	-0.7051662140504545	-0.7051662140504552	0.49725938943825226	nonce	19	-1.1072750828179996	1.1624257250508225	0.375	0.625	Cantonese
-2.0387294266481541e-16	-0.6747471485768218	-0.674747148576822	0.45528371451255206	nonce	20	-0.6942042469712933	0.6887546130358615	0.375	0.625	Cantonese
-4.6216783840059783e-17	-0.6632188382447977	-0.6632188382447971	0.4398592274027784	nonce	21	-0.537657400097335	0.5146982345623936	0.375	0.625	Cantonese
-6.233530685930129e-17	-0.5996465163510802	-0.59964651635108	0.35957594457198594	nonce	22	0.3256127803792902	-0.3912519835576249	0.375	0.625	Cantonese
-1.3614298197261832e-16	-0.6437294491198134	-0.6437294491198134	0.41438760366409855	nonce	23	-0.27300435666387485	0.22726575462053833	0.375	0.625	Cantonese
-1.0805531182782694e-16	-0.7117049848894593	-0.711704984889459	0.5065239855165051	nonce	24	-1.196067275931839	1.2669713109055634	0.375	0.625	Cantonese
5.219409842487602e-16	-0.718260686349842	-0.7182606863498414	0.5158984135557453	nonce	25	-1.2850893757116257	1.372756286649513	0.375	0.625	Cantonese
6.451572185999194e-17	-0.567731638167418	-0.5677316381674179	0.32231921297625993	nonce	26	0.7589957657539744	-0.8116725608616859	0.375	0.625	Cantonese
2.26774366515798e-16	-0.5907498954473386	-0.5907498954473387	0.3489854389710415	nonce	27	0.44642302144685664	-0.5107596882861236	0.375	0.625	Cantonese
-7.602638270542989e-17	-0.7204910774970602	-0.7204910774970608	0.5191073927528758	nonce	28	-1.3153766156745224	1.4089677531102234	0.375	0.625	Cantonese
5.098463835751446e-16	-0.5245800365428798	-0.5245800365428801	0.2751842147393296	nonce	29	1.3449660404365447	-1.3435636399028075	0.375	0.625	Cantonese
-5.000571439885179e-16	-0.6456571170401939	-0.645657117040194	0.4168731127846549	nonce	30	-0.29918081497080984	0.2553132814593843	0.375	0.625	Cantonese
