b0	b1	r	R2	lex.type	i	r.z	R2.z	og.greater.r	og.greater.R2	language
2.015918537668039e-16	-0.6134172857877196	-0.6134172857877198	0.376280766503173	og	1	-1.4827574488759423	1.6742084877582035	0.046875	0.953125	Finnish
2.2111988672755847e-16	-0.45774808764690733	-0.4577480876469074	0.20953331174440076	nonce	2	0.2857253978365522	-0.386688336800957	0.046875	0.953125	Finnish
3.5739594196374955e-16	-0.33343547204919904	-0.3334354720491991	0.11117921402067224	nonce	3	1.6979812001414374	-1.602284988482682	0.046875	0.953125	Finnish
1.6229553622851292e-16	-0.4625113816395045	-0.46251138163950417	0.21391677814608304	nonce	4	0.23161190704734527	-0.3325113659988673	0.046875	0.953125	Finnish
2.4382666080775114e-16	-0.5977687022811327	-0.5977687022811325	0.35732742142686924	nonce	5	-1.3049814222935059	1.4399567041910333	0.046875	0.953125	Finnish
-3.642431818867977e-16	-0.5335642034237987	-0.5335642034237982	0.2846907591752723	nonce	6	-0.5755850081855607	0.5422118672611184	0.046875	0.953125	Finnish
2.542547556968347e-16	-0.48642116889068654	-0.4864211688906866	0.23660555354498186	nonce	7	-0.04001567970242821	-0.05209194226390515	0.046875	0.953125	Finnish
9.31058528216274e-17	-0.4519200278707167	-0.4519200278707168	0.2042317115906694	nonce	8	0.35193518029129955	-0.4522128807150673	0.046875	0.953125	Finnish
9.37168865294625e-17	-0.5036692303325454	-0.5036692303325453	0.25368269358377854	nonce	9	-0.23596260538376	0.1589710915282594	0.046875	0.953125	Finnish
-5.055887117239706e-16	-0.500617748739473	-0.5006177487394728	0.2506181303529778	nonce	10	-0.2012961914826228	0.12109495938486467	0.046875	0.953125	Finnish
4.1306710173118504e-16	-0.49236137759803106	-0.4923613775980308	0.2424197261502307	nonce	11	-0.10749953219409343	0.01976768448080715	0.046875	0.953125	Finnish
4.507399048436463e-16	-0.3935884311312221	-0.3935884311312221	0.15491185312033678	nonce	12	1.0146123796806972	-1.0617762462024707	0.046875	0.953125	Finnish
-2.234344146926922e-16	-0.3749680724410713	-0.37496807244107133	0.1406010553501725	nonce	13	1.226149314003302	-1.2386489770282965	0.046875	0.953125	Finnish
2.5018784768674667e-16	-0.3759477008032068	-0.37594770080320666	0.14133667373921735	nonce	14	1.2150202276118998	-1.2295571824682952	0.046875	0.953125	Finnish
3.859939177425042e-16	-0.5421675389331984	-0.5421675389331984	0.2939456402728811	nonce	15	-0.6733233626872903	0.6565965521327846	0.046875	0.953125	Finnish
-5.243505674265816e-16	-0.5684239018021432	-0.5684239018021426	0.3231057321399718	nonce	16	-0.9716092657776657	1.0169974998994493	0.046875	0.953125	Finnish
-1.1202350944944099e-16	-0.46859345203385017	-0.4685934520338504	0.21957982328900044	nonce	17	0.1625164321983666	-0.26251958250053675	0.046875	0.953125	Finnish
1.5066962926711142e-16	-0.5002201757408877	-0.5002201757408876	0.25022022421824447	nonce	18	-0.1967795559714793	0.11617708228304698	0.046875	0.953125	Finnish
-4.495237203086373e-16	-0.5080841244381795	-0.5080841244381794	0.25814947750611134	nonce	19	-0.28611809271917693	0.21417781606174607	0.046875	0.953125	Finnish
2.8316098377348643e-16	-0.4309211770881464	-0.4309211770881466	0.1856930608630338	nonce	20	0.5904930186637868	-0.6813392950970274	0.046875	0.953125	Finnish
1.1560373869344554e-17	-0.571365187502366	-0.5713651875023661	0.32645817748961387	nonce	21	-1.0050237971701943	1.0584316794230921	0.046875	0.953125	Finnish
