b0	b1	r	R2	lex.type	i	r.z	R2.z	og.greater.r	og.greater.R2	language
-1.098795690449948e-16	-0.6845875323274982	-0.684587532327498	0.4686600894182532	og	1	-2.1795732286783904	2.501886453392041	1e-4	1	Slovak
3.7215648363982646e-16	-0.4664729532502511	-0.46647295325025107	0.21759701611401094	nonce	2	0.4198241233609138	-0.4888670850160422	1e-4	1	Slovak
-4.174417696858698e-16	-0.5355500074013224	-0.5355500074013224	0.2868138104275563	nonce	3	-0.40340700775654537	0.33566823906023824	1e-4	1	Slovak
5.256813681195291e-17	-0.49867173828464095	-0.49867173828464106	0.24867350256382564	nonce	4	0.03609261439271203	-0.11867281236629484	1e-4	1	Slovak
9.008546055989416e-17	-0.43290550041289455	-0.4329055004128946	0.18740717228773868	nonce	5	0.8198668366415631	-0.8484993521555265	1e-4	1	Slovak
3.486426674696125e-16	-0.6090101697195434	-0.6090101697195431	0.3708933868218269	nonce	6	-1.2788741691824363	1.3372543636126633	1e-4	1	Slovak
-2.432412509942791e-16	-0.4934544872843371	-0.4934544872843369	0.24349733102104773	nonce	7	0.0982696063777921	-0.18033322762860052	1e-4	1	Slovak
-2.2791707066685735e-16	-0.6065421454637006	-0.6065421454637006	0.3678933742237087	nonce	8	-1.2494612993846135	1.3015171356125186	1e-4	1	Slovak
-2.7670386768470633e-17	-0.41879586218945114	-0.4187958621894508	0.17538997418700555	nonce	9	0.9880195405617493	-0.9916525338182287	1e-4	1	Slovak
3.60899481984296e-16	-0.5085011504657793	-0.5085011504657793	0.2585734200250211	nonce	10	-0.08105016489259466	-7.414384396379577e-4	1e-4	1	Slovak
2.472867891433865e-16	-0.47419189277524	-0.47419189277524	0.22485795117376475	nonce	11	0.32783306505251114	-0.40237221766534015	1e-4	1	Slovak
1.127850878324804e-16	-0.4696400486639704	-0.4696400486639706	0.2205617753090967	nonce	12	0.38208001901490074	-0.45354980821968255	1e-4	1	Slovak
-3.9649072419996456e-16	-0.466514994629273	-0.46651499462927304	0.21763624021395073	nonce	13	0.41932309197746326	-0.4883998334439895	1e-4	1	Slovak
-5.851375132644261e-16	-0.5187813331886445	-0.5187813331886447	0.26913407166498743	nonce	14	-0.20356503694446598	0.12506083843223825	1e-4	1	Slovak
1.1483742804567284e-16	-0.626615297082784	-0.6266152970827842	0.3926467305381459	nonce	15	-1.4886846350574214	1.5963880101324324	1e-4	1	Slovak
1.3754689792948403e-16	-0.44913093030659584	-0.44913093030659573	0.20171859255806812	nonce	16	0.6264990219827868	-0.6780165716740462	1e-4	1	Slovak
-2.0111329147136749e-16	-0.38130638172768405	-0.3813063817276838	0.14539455674625812	nonce	17	1.4348033211504545	-1.3489687239942019	1e-4	1	Slovak
4.3053239038971684e-16	-0.4640393932680775	-0.4640393932680774	0.21533255850460545	nonce	18	0.4488262625138893	-0.5158421176991547	1e-4	1	Slovak
-1.653276696135202e-17	-0.5425287596301129	-0.5425287596301128	0.29433745502578873	nonce	19	-0.4865768267608567	0.42529259682718434	1e-4	1	Slovak
-2.3296751692132006e-16	-0.5111032312936751	-0.5111032312936753	0.2612265130388362	nonce	20	-0.11206066424775116	0.030863158820978915	1e-4	1	Slovak
-3.4289703731792006e-16	-0.5148219860748713	-0.5148219860748713	0.2650416773460749	nonce	21	-0.15637921173787964	0.07631076687146801	1e-4	1	Slovak
1.0981625843013232e-16	-0.394126299710974	-0.39412629971097396	0.1553355401238644	nonce	22	1.282020957861829	-1.230548158115908	1e-4	1	Slovak
-1.7979301790154125e-16	-0.5880675066723995	-0.5880675066723992	0.34582339240389215	nonce	23	-1.0292883638699097	1.038611582232984	1e-4	1	Slovak
1.3564013979238083e-16	-0.48709965734922295	-0.487099657349223	0.2372660761897305	nonce	24	0.17400378323052276	-0.2545621741248496	1e-4	1	Slovak
-3.1423619081307213e-16	-0.5646117470531673	-0.5646117470531672	0.3187864249104298	nonce	25	-0.7497525359475189	0.7165375108265997	1e-4	1	Slovak
-3.958889338833148e-17	-0.4520365669290045	-0.4520365669290044	0.2043370578409603	nonce	26	0.591870872987746	-0.6468244723862369	1e-4	1	Slovak
1.6131660630913944e-16	-0.5379294575260789	-0.537929457526079	0.28936810127430157	nonce	27	-0.4317642885021455	0.36609586940621647	1e-4	1	Slovak
-9.23802433286508e-17	-0.5196383266089841	-0.5196383266089845	0.2700239904809855	nonce	28	-0.21377832225978308	0.13566187112419828	1e-4	1	Slovak
-3.3455985738497356e-16	-0.35005299837428666	-0.3500529983742864	0.12253710167082814	nonce	29	1.8072679325248215	-1.6212549417407878	1e-4	1	Slovak
8.477005212676565e-17	-0.37311959393925104	-0.37311959393925104	0.13921823138139153	nonce	30	1.5323699972937443	-1.4225433309494424	1e-4	1	Slovak
-2.964695517665674e-16	-0.5328227841710429	-0.5328227841710425	0.28390011933178133	nonce	31	-0.3709051141499784	0.30095930381209335	1e-4	1	Slovak
-3.908579820560571e-16	-0.3860056741714343	-0.38600567417143433	0.14900038049254363	nonce	32	1.3787991402909192	-1.3060148559237232	1e-4	1	Slovak
3.433472863371407e-17	-0.5248311859926603	-0.5248311859926604	0.27544777379046265	nonce	33	-0.2756646252687133	0.20027192672054758	1e-4	1	Slovak
2.3512416391430247e-16	-0.6311207929491979	-0.6311207929491973	0.3983134552928235	nonce	34	-1.542379230229946	1.6638920715150443	1e-4	1	Slovak
4.5860511679051525e-17	-0.3945280475442742	-0.3945280475442743	0.15565238029909712	nonce	35	1.2772330970114154	-1.2267738441050269	1e-4	1	Slovak
2.606928684999206e-16	-0.4724171396208125	-0.47241713962081255	0.2231779538075102	nonce	36	0.348983822923255	-0.4223849499302452	1e-4	1	Slovak
1.0437803080975208e-16	-0.6096809951911983	-0.6096809951911989	0.37171091589733063	nonce	37	-1.2868687835822603	1.3469930637055734	1e-4	1	Slovak
2.163685118729384e-16	-0.5426491344978407	-0.5426491344978405	0.29446808317125533	nonce	38	-0.488011403549566	0.42684868623184363	1e-4	1	Slovak
-3.6921964176179316e-16	-0.44299358506680214	-0.4429935850668021	0.19624331641033796	nonce	39	0.6996413081718298	-0.743240028461503	1e-4	1	Slovak
3.766997432122065e-16	-0.6765459350837228	-0.6765459350837232	0.45771440227830934	nonce	40	-2.0837368720713805	2.3714974952977332	1e-4	1	Slovak
3.0235790974349885e-16	-0.4735372855009933	-0.4735372855009933	0.22423756075964912	nonce	41	0.33563439783137106	-0.4097625311901106	1e-4	1	Slovak
3.922417213174868e-17	-0.5989678659781732	-0.5989678659781733	0.35876250447444696	nonce	42	-1.1591942382758176	1.1927469343561379	1e-4	1	Slovak
7.134020742172166e-17	-0.5520614609683538	-0.5520614609683537	0.30477185668651324	nonce	43	-0.6001835316461325	0.5495909385835851	1e-4	1	Slovak
