b0	b1	r	R2	lex.type	i	r.z	R2.z	og.greater.r	og.greater.R2	language
1.1432013244555706e-16	-0.48473166811611434	-0.48473166811611385	0.23496479007463036	og	1	0.935297995004271	-1.0951393442041337	0.90625	0.09375	Vietnamese
-3.927371437279274e-16	-0.6109193859303514	-0.6109193859303516	0.373222496105518	nonce	2	-0.3054819230391237	0.2634551768776324	0.90625	0.09375	Vietnamese
-6.5061271220028675e-18	-0.4968615504755234	-0.496861550475523	0.24687140034094063	nonce	3	0.8160271602472805	-0.9781385929487125	0.90625	0.09375	Vietnamese
-7.621801660615678e-17	-0.5599562867652159	-0.5599562867652159	0.3135510430878886	nonce	4	0.1956285740889869	-0.32290858874587586	0.90625	0.09375	Vietnamese
6.909130537651694e-17	-0.7045050727948001	-0.7045050727948	0.49632739759360633	nonce	5	-1.2256922484897	1.4731500971930525	0.90625	0.09375	Vietnamese
-1.6551423059369076e-16	-0.6602656750239305	-0.6602656750239301	0.43595076161480606	nonce	6	-0.7906946331018435	0.8798568248179063	0.90625	0.09375	Vietnamese
2.601878254817833e-16	-0.6103328990253003	-0.6103328990253006	0.372506247632628	nonce	7	-0.29971510843475896	0.25641693446108227	0.90625	0.09375	Vietnamese
-8.692248808413568e-17	-0.4076450523214022	-0.40764505232140197	0.16617448868211865	nonce	8	1.693276081023776	-1.7711098145557154	0.90625	0.09375	Vietnamese
-2.8804776687405536e-16	-0.5845126472325528	-0.5845126472325528	0.3416550347748066	nonce	9	-0.04582946521845287	-0.04674366295255941	0.90625	0.09375	Vietnamese
4.26924352298204e-16	-0.6410240479860146	-0.6410240479860148	0.41091183009637655	nonce	10	-0.6014953605207177	0.6338108274463016	0.90625	0.09375	Vietnamese
2.176885479192684e-16	-0.6489060198341641	-0.6489060198341641	0.4210790225770165	nonce	11	-0.6789972961541364	0.733719124752314	0.90625	0.09375	Vietnamese
-6.888686995775655e-17	-0.5203006647330656	-0.5203006647330658	0.2707127817216701	nonce	12	0.5855547912145288	-0.7438603668103183	0.90625	0.09375	Vietnamese
-2.8689627469426623e-16	-0.6792167808617533	-0.6792167808617534	0.46133543540420296	nonce	13	-0.9770372657731274	1.129300271550762	0.90625	0.09375	Vietnamese
-3.5532834570888944e-16	-0.5530382848853131	-0.5530382848853137	0.30585134454888935	nonce	14	0.26365197568663923	-0.3985699645156191	0.90625	0.09375	Vietnamese
1.155241592571943e-16	-0.5705483681498728	-0.5705483681498734	0.32552544039848336	nonce	15	0.09147864491987844	-0.205241725563611	0.90625	0.09375	Vietnamese
-5.1885960081229085e-16	-0.7157256191242568	-0.7157256191242571	0.5122631618708012	nonce	16	-1.3360217543736324	1.6297434810830667	0.90625	0.09375	Vietnamese
-3.1175955459819246e-16	-0.5496438710790386	-0.5496438710790386	0.3021083850147508	nonce	17	0.29702860343860127	-0.43535029641679607	0.90625	0.09375	Vietnamese
2.273894483737479e-16	-0.5738840533697454	-0.5738840533697455	0.3293429067120888	nonce	18	0.05867948422957858	-0.16772925000640826	0.90625	0.09375	Vietnamese
-1.240546076588061e-16	-0.7030076304219066	-0.7030076304219067	0.49421972843142425	nonce	19	-1.2109681813863673	1.4524390073146056	0.90625	0.09375	Vietnamese
-6.265075147930057e-16	-0.5116439466185148	-0.5116439466185143	0.261779528111369	nonce	20	0.670674660079342	-0.8316433176403979	0.90625	0.09375	Vietnamese
-2.1183598245777969e-16	-0.6809040211561906	-0.680904021156191	0.46363028602667045	nonce	21	-0.9936275798743271	1.1518507070519042	0.90625	0.09375	Vietnamese
-2.3486216712483234e-16	-0.5147382526325645	-0.5147382526325641	0.2649554687232254	nonce	22	0.6402489353811122	-0.8004348183934539	0.90625	0.09375	Vietnamese
-1.8286534895912767e-16	-0.5723788083273589	-0.5723788083273584	0.32761750022224695	nonce	23	0.07348027350352068	-0.1846840214331409	0.90625	0.09375	Vietnamese
-3.867508228840642e-16	-0.5526921623544547	-0.5526921623544546	0.30546862632804295	nonce	24	0.2670553329460559	-0.40233075943177316	0.90625	0.09375	Vietnamese
-5.043530626123691e-16	-0.08132070109048758	-0.08132070109048758	0.00661305642584843	nonce	25	4.901961591700105	-3.3390461984481132	0.90625	0.09375	Vietnamese
2.712264928159053e-18	-0.5178630179828633	-0.5178630179828632	0.2681821053943192	nonce	26	0.6095237098012624	-0.7687281524236728	0.90625	0.09375	Vietnamese
3.586531105931037e-16	-0.7304729562709851	-0.7304729562709847	0.533590739843272	nonce	27	-1.4810295260746147	1.8393197239788486	0.90625	0.09375	Vietnamese
6.20130651991051e-16	-0.5024519958066184	-0.5024519958066183	0.25245800809005403	nonce	28	0.761057370636268	-0.9232415828848918	0.90625	0.09375	Vietnamese
-3.420073655907942e-16	-0.6273226617117976	-0.6273226617117973	0.3935337218971741	nonce	29	-0.4667722255526148	0.4630441970428724	0.90625	0.09375	Vietnamese
-5.623761037307682e-16	-0.6527917668692992	-0.652791766869299	0.42613709089234103	nonce	30	-0.7172051104430802	0.7834224222952513	0.90625	0.09375	Vietnamese
6.583686589378947e-16	-0.6612372832932524	-0.6612372832932525	0.4372347448170409	nonce	31	-0.8002482731047069	0.892473933793572	0.90625	0.09375	Vietnamese
3.8372694566559383e-16	-0.7541138717192035	-0.7541138717192035	0.5686877315193273	nonce	32	-1.7134861679761142	2.1842016258012937	0.90625	0.09375	Vietnamese
5.166320159061132e-16	-0.5019193844122428	-0.5019193844122423	0.2519230684487642	nonce	33	0.7662944375529998	-0.9284981872842403	0.90625	0.09375	Vietnamese
2.4956930228198794e-16	-0.5805226235813509	-0.5805226235813509	0.3370065164897748	nonce	34	-0.0065963187230262425	-0.0924225017999337	0.90625	0.09375	Vietnamese
-2.6376655715132127e-17	-0.5979907480618388	-0.5979907480618388	0.35759293476755777	nonce	35	-0.1783570767167506	0.10987070762627432	0.90625	0.09375	Vietnamese
6.773784663838497e-17	-0.6404310228912834	-0.6404310228912834	0.41015189508157546	nonce	36	-0.5956642571361422	0.6263432975911751	0.90625	0.09375	Vietnamese
-1.536278733899398e-17	-0.5562616971425334	-0.5562616971425336	0.30942707570789163	nonce	37	0.23195677376357138	-0.36343290849939563	0.90625	0.09375	Vietnamese
3.66005256694202e-16	-0.5097610755368287	-0.5097610755368286	0.25985635413246433	nonce	38	0.6891885746416092	-0.8505414586976725	0.90625	0.09375	Vietnamese
1.383467692000209e-16	-0.674725877156417	-0.6747258771564173	0.45525500930449675	nonce	39	-0.932879060616817	1.0695507369891377	0.90625	0.09375	Vietnamese
-1.1734661406330226e-16	-0.6072940637003443	-0.6072940637003433	0.36880607980567676	nonce	40	-0.269834816511273	0.2200570968715888	0.90625	0.09375	Vietnamese
-2.772362534015619e-16	-0.5312845023506492	-0.5312845023506491	0.28226322243797686	nonce	41	0.47755279724068095	-0.6303595289637226	0.90625	0.09375	Vietnamese
1.9172615680730256e-16	-0.6538473127072565	-0.6538473127072565	0.4275163083345008	nonce	42	-0.7275840926530605	0.7969753540926304	0.90625	0.09375	Vietnamese
1.3125567590173603e-16	-0.5434958137597055	-0.5434958137597057	0.2953876995743247	nonce	43	0.35748128606844143	-0.5013913633446462	0.90625	0.09375	Vietnamese
4.866578098293231e-16	-0.65503549129964	-0.6550354912996397	0.42907149486216023	nonce	44	-0.7392672276048187	0.8122574526923729	0.90625	0.09375	Vietnamese
-6.923038988682013e-17	-0.5562115327290452	-0.5562115327290456	0.3093712691407941	nonce	45	0.232450030935779	-0.3639812938189246	0.90625	0.09375	Vietnamese
-3.239741769627514e-16	-0.5924470537034926	-0.5924470537034925	0.35099351144194885	nonce	46	-0.12384698056196855	0.04502122740657182	0.90625	0.09375	Vietnamese
-3.1122928933773545e-16	-0.46992550941519656	-0.46992550941519645	0.22082998439913193	nonce	47	1.0808841479015459	-1.234035541013572	0.90625	0.09375	Vietnamese
-1.524370744442422e-16	-0.4890005153287624	-0.4890005153287621	0.2391215039917949	nonce	48	0.893323229263228	-1.0542932393779592	0.90625	0.09375	Vietnamese
-3.929329880917617e-16	-0.6084449536842154	-0.6084449536842149	0.3702052616637864	nonce	49	-0.28115129964132946	0.2338062097492473	0.90625	0.09375	Vietnamese
3.2620821821103456e-16	-0.593041596200876	-0.5930415962008758	0.3516983348244826	nonce	50	-0.12969300427928926	0.05194720074527846	0.90625	0.09375	Vietnamese
-6.488380262048766e-17	-0.6249431726950185	-0.6249431726950182	0.39055396909811546	nonce	51	-0.44337516093836593	0.4337635446785497	0.90625	0.09375	Vietnamese
1.2712053091315522e-16	-0.6904116492002151	-0.6904116492002152	0.4766682453513611	nonce	52	-1.087114284837308	1.2799687021577566	0.90625	0.09375	Vietnamese
-2.3283189531329417e-17	-0.5877149875418881	-0.5877149875418871	0.34540890658136064	nonce	53	-0.07731747067087069	-0.00985610119822005	0.90625	0.09375	Vietnamese
-3.248020361010853e-16	-0.7155240396453789	-0.7155240396453778	0.51197465131044	nonce	54	-1.3340396615549688	1.626908421267352	0.90625	0.09375	Vietnamese
-4.716681766930264e-16	-0.6060868624467174	-0.6060868624467173	0.367341284830506	nonce	55	-0.25796463533610464	0.2056632342442824	0.90625	0.09375	Vietnamese
-1.4763730354145945e-16	-0.5607643549753974	-0.5607643549753977	0.31445666181097365	nonce	56	0.18768299249856	-0.3140094924806918	0.90625	0.09375	Vietnamese
-3.1679891759633785e-16	-0.6233144168746256	-0.6233144168746256	0.3885208622837546	nonce	57	-0.42735991358826786	0.41378514450064147	0.90625	0.09375	Vietnamese
4.446369392533239e-16	-0.43740151473141037	-0.4374015147314107	0.19132008508933254	nonce	58	1.4006864246777904	-1.5240156706637142	0.90625	0.09375	Vietnamese
-1.6823006483410537e-16	-0.6383850489487563	-0.6383850489487567	0.40753547072130647	nonce	59	-0.5755465830494748	0.6006329057241773	0.90625	0.09375	Vietnamese
-1.4853386832349285e-16	-0.6001115671827117	-0.6001115671827119	0.36013389306649046	nonce	60	-0.19921068925973612	0.13483952941806635	0.90625	0.09375	Vietnamese
1.9049598207698749e-16	-0.45107864731716535	-0.4510786473171649	0.20347194606548333	nonce	61	1.2662017716325318	-1.4046049541322432	0.90625	0.09375	Vietnamese
3.1793944664095348e-18	-0.5652168847288696	-0.5652168847288696	0.3194701267826083	nonce	62	0.14390211113947676	-0.2647444913633112	0.90625	0.09375	Vietnamese
-1.7374850254986926e-16	-0.6116924707339284	-0.6116924707339283	0.3741676787525778	nonce	63	-0.3130835194213852	0.27274304952199774	0.90625	0.09375	Vietnamese
3.4652438318133843e-16	-0.3611186084486231	-0.36111860844862315	0.13040664936786994	nonce	64	2.150761787360907	-2.1225838257939396	0.90625	0.09375	Vietnamese
-2.166765213904003e-16	-0.6200034064984099	-0.62000340649841	0.38440422406963265	nonce	65	-0.39480337596002246	0.3733328450698059	0.90625	0.09375	Vietnamese
