cohort	entropy	cohort.p	cohort.size	nb.cont.segs	position	cohort.h	cohort.h.scaled	cohort.size.scaled	nb.cont.segs.scaled	entropy.scaled
0	3.624423367637671	1	8869	16	1	-0	0	0	0	0
1	0.05544252767918549	0.003971428858460333	26	1	2	7.976126124613942	0.5486315519109116	-0.7436855490099176	-1.2177029614381845	-1.6889112668224624
2	1.8257980947480277	0.040771340452677794	186	5	2	4.6163008002124215	-0.6015216577081327	0.26627486366688424	0.3230640509938041	0.38271317388377685
3	2.1542017262317823	0.045128740920826596	374	5	2	4.469809661448538	-0.6516692806236309	0.6248073842787887	0.3230640509938041	0.7670026364378129
a	3.0911243681891367	0.08005585638078783	490	13	2	3.6428492447161913	-0.9347587527532675	0.7634704474822724	3.4045980758577814	1.8633653560148347
A	0	2.2583658994786067e-4	1	1	2	12.112433129666444	1.9645940852245432	-2.416009538113934	-1.2177029614381845	-1.7537886832755305
b	1.7215035742335045	0.1001382344963382	922	4	2	3.3199351698017368	-1.045300410081891	1.0879367712823353	-0.06212770211419303	0.2606704149326182
B	1.338254163408462	0.020504515727187794	153	4	2	5.607914519078869	-0.2620671946521768	0.16602629583705128	-0.06212770211419303	-0.1877981645550362
c	2.2364805653230055	0.038885886217739425	411	5	2	4.684609571284096	-0.5781378372093057	0.6732291310916211	0.3230640509938041	0.8632832126028188
C	1.7991077597428238	0.0055470610100360656	54	4	2	7.494060691451854	0.3836083582433856	-0.36853376955564054	-0.06212770211419303	0.3514808319995052
d	1.8611049314840546	0.005499040596337187	112	4	2	7.506604347414259	0.3879023690244632	0.005913435297661031	-0.06212770211419303	0.42402832394003337
D	0.09686034994359842	0.0028888598667885595	12	1	2	8.43528406151157	0.7058129300645319	-1.1405504003536746	-1.2177029614381845	-1.6404451990562867
e	2.5209753302141245	0.059812137712098534	264	9	2	4.063417908692956	-0.7907874590003005	0.4460276478305942	1.8638310634257926	1.1961916515427005
F	1.5095838830559005	0.004266784541043389	47	3	2	7.872635023763639	0.5132039298421401	-0.4397960893126282	-0.4473194552221902	0.012687456098354203
G	1.5050268087817822	0.016617675128841384	165	4	2	5.911137631655883	-0.15826625189832913	0.20478300238159797	-0.06212770211419303	0.007354885274738363
