cohort	entropy	cohort.p	cohort.size	nb.cont.segs	position	cohort.h	cohort.h.scaled	cohort.size.scaled	nb.cont.segs.scaled	entropy.scaled
0	3.3674428088361257	1	8138	14	1	-0	0	0	0	0
a	0.07075112203060012	0.013742461361447418	27	1	2	6.185215766700783	0.3336867621364418	-1.5138725341534618	-2.0375094399517826	-2.578366914789147
A	0.842394486531028	0.014576317201347097	18	2	2	6.100229930089144	0.29638965322447963	-1.8129483833377527	-1.5225345265573758	-1.44799500990475
b	2.187933919140827	0.051789558056404845	501	6	2	4.27119494241918	-0.5063054764434352	0.6405213256013802	0.5373651270202504	0.5230709533474566
c	2.597897834916899	0.025726715060470706	335	7	2	5.280588932800876	-0.06332016153285418	0.34365059555524774	1.052340040414657	1.1236225990026791
C	2.368609789944159	0.006263614797385958	202	6	2	7.3187887928168065	0.8311696169315843	-0.029479801489248305	0.5373651270202504	0.787741055680069
d	2.0400190727128575	0.055448181353949175	626	5	2	4.172716047596332	-0.5495241845503154	0.8048201280718748	0.022390213625843862	0.3063921164527549
f	1.847203239329846	0.03345119357737083	445	4	2	4.901798500957838	-0.2295571317684816	0.5530908570122328	-0.4925846997685627	0.0239383160314512
g	2.0301637863313435	0.1766740140785893	839	6	2	2.5008382367572497	-1.2832489001556695	1.0208373678807037	0.5373651270202504	0.29195521547912245
h	2.1795475523443764	0.027077690801083364	510	6	2	5.206751479365364	-0.095724661533847	0.6536542268675806	0.5373651270202504	0.5107858565697494
j	2.1453704753123226	0.041317880066967023	663	6	2	4.597089955303911	-0.363282329598724	0.8471772048553543	0.5373651270202504	0.46072023111968835
k	2.5992174437098736	0.01282457353768188	180	8	2	6.284945337845013	0.3774543453598349	-0.11453444281546359	1.5673149538090636	1.1255556794562158
l	2.331456261801659	0.0628494599329037	401	6	2	3.991955842192891	-0.6288530861258687	0.47629598649072147	0.5373651270202504	0.733315259630098
m	2.187594831955128	0.061226996244416715	455	6	2	4.029688282602938	-0.6122937275833548	0.5694829049900151	0.5373651270202504	0.5225742282466471
N	1.7045659799901793	0.00866822233570131	121	4	2	6.8500481263274136	0.6254568489392965	-0.4074889970982068	-0.4925846997685627	-0.1850094413974659
n	1.137879978990868	0.08841457502440159	97	3	2	3.4995719742058986	-0.8449419720272275	-0.5705598950461087	-1.0075596131629692	-1.0151415515020137
o	1.4219438829693494	0.0032449273769739433	49	3	2	8.267598094281116	1.2475665751107372	-1.0742681206229896	-1.0075596131629692	-0.5990194528471027
p	2.1361749134245573	0.017110204714840694	193	5	2	5.868999168736489	0.19491111004820694	-0.06309830967813174	0.022390213625843862	0.4472497533241784
s	2.560000142122546	0.08282968009670141	1060	8	2	3.5937083730676282	-0.8036290231770542	1.193300950749988	1.5673149538090636	1.068106684312723
t	2.552898636746547	0.02340613950602121	382	7	2	5.41696918675571	-0.003467962766620388	0.4404917057215641	1.052340040414657	1.05770376694349
u	0.6500224216483541	7.756798510694686e-5	4	2	2	13.654179147510732	3.611535775337472	-2.9223736228574038	-1.5225345265573758	-1.7297987387150848
w	1.7073527334035639	0.09925470094309741	266	4	2	3.332720756368651	-0.9181667385516423	0.17353207061116366	-0.4925846997685627	-0.18092715687426525
y	1.0064492336274842	0.019139900325139136	300	3	2	5.707272873054334	0.1239354804082979	0.26225656622039506	-1.0075596131629692	-1.2076730094676602
z	1.8043749058798082	0.07488542562199828	431	6	2	3.7391712244797035	-0.7397908116812612	0.5295122164705477	0.5373651270202504	-0.038800440098831865
