language	model_type	factor	b	se	p
Arabic	cohort_size	wordinfo	-0.8218570742341563	0.05748815722222306	6.891840667163658e-42
Arabic	entropy	wordinfo	-0.44725318924105445	0.04570316837162059	1.5068154793318612e-21
Arabic	cohort_size	cohort.size	0.9223190666648831	0.19353027126676775	2.1965853350069598e-6
Arabic	entropy	cohort.size	0.8347262174232896	0.15385684635045707	7.458311861234817e-8
Bengali	cohort_size	wordinfo	-0.5891888803478866	0.03129483512895825	3.0148127053348834e-74
Bengali	entropy	wordinfo	-0.27626564963819744	0.027012083443931557	4.225482644680002e-24
Bengali	cohort_size	cohort.size	0.14065987974921296	1.1856910519483537	0.9055767200185518
Bengali	entropy	cohort.size	0.33903184465103553	1.0234272045841601	0.7404663114827013
Cantonese	cohort_size	wordinfo	-0.6104341583338531	0.037584672194373954	7.406384624438996e-57
Cantonese	entropy	wordinfo	-0.332641072151189	0.03502150290488364	4.292664564821648e-21
Cantonese	cohort_size	cohort.size	0.9862253636353862	0.036980384794470564	2.0327742104606625e-140
Cantonese	entropy	cohort.size	0.984646714922222	0.034458426211766466	1.447827163610968e-158
