i	position	H	language
1	first	4.025208421385799	Arabic
1	later	3.539783258398229	Arabic
2	first	4.006274630850646	Arabic
2	later	3.5031622155763102	Arabic
3	first	4.048264782601897	Arabic
3	later	3.633981700174404	Arabic
4	first	4.0603765850278695	Arabic
4	later	3.6286049856064118	Arabic
5	first	3.974902001144454	Arabic
5	later	3.5842910016341354	Arabic
6	first	4.025984246200691	Arabic
6	later	3.6093290902394446	Arabic
7	first	4.0430259206188115	Arabic
7	later	3.6264805294472304	Arabic
8	first	3.987810750486235	Arabic
8	later	3.5850834538610252	Arabic
9	first	4.069394278444206	Arabic
9	later	3.6343855903724656	Arabic
10	first	4.024656877609191	Arabic
10	later	3.54801286828529	Arabic
11	first	4.054157946120953	Arabic
11	later	3.624759949891268	Arabic
12	first	3.99758649474367	Arabic
12	later	3.522605096708658	Arabic
13	first	4.008911708956049	Arabic
13	later	3.4941990917633685	Arabic
14	first	4.067765906117732	Arabic
14	later	3.6125327470026187	Arabic
15	first	4.028076860639557	Arabic
15	later	3.562981021720065	Arabic
16	first	3.9666817694397034	Arabic
16	later	3.5609241941657426	Arabic
17	first	4.005980436356197	Arabic
17	later	3.5201306574884335	Arabic
18	first	4.022887378010024	Arabic
18	later	3.635339892704511	Arabic
19	first	4.020382440503934	Arabic
19	later	3.6248314979471803	Arabic
20	first	4.013875607442992	Arabic
20	later	3.6323368454785596	Arabic
21	first	4.090866896392416	Arabic
21	later	3.5969661774683503	Arabic
22	first	3.9560135093873674	Arabic
22	later	3.574230380553291	Arabic
23	first	4.010728381557272	Arabic
23	later	3.63383917337624	Arabic
24	first	3.962840379025108	Arabic
24	later	3.5503792694799285	Arabic
25	first	4.056755353547951	Arabic
25	later	3.6002618381655416	Arabic
26	first	4.032701629149024	Arabic
26	later	3.6142620870051854	Arabic
27	first	3.9665243753445054	Arabic
27	later	3.575581958683311	Arabic
28	first	3.9760803054558482	Arabic
28	later	3.5981893983027136	Arabic
29	first	3.986205979463486	Arabic
29	later	3.5548101819845677	Arabic
30	first	4.018294328774796	Arabic
30	later	3.6183154198724448	Arabic
31	first	4.056426055941247	Arabic
31	later	3.6252281878041663	Arabic
32	first	3.999036243575045	Arabic
32	later	3.6348250977556593	Arabic
33	first	4.025108584122946	Arabic
33	later	3.5719812604275027	Arabic
34	first	4.0691328290501945	Arabic
34	later	3.553479507965487	Arabic
35	first	3.997712381494029	Arabic
35	later	3.5332360749111573	Arabic
36	first	4.062857828003056	Arabic
36	later	3.603321381420729	Arabic
37	first	4.068216392225116	Arabic
37	later	3.606243933027869	Arabic
38	first	4.025013299904064	Arabic
38	later	3.635537195528589	Arabic
39	first	4.054351925064525	Arabic
39	later	3.639738987190792	Arabic
40	first	3.994174959679546	Arabic
40	later	3.5411970214643422	Arabic
41	first	4.053276060393357	Arabic
41	later	3.630333602332346	Arabic
42	first	3.985209285704664	Arabic
42	later	3.5254319513522034	Arabic
43	first	4.035566453596192	Arabic
43	later	3.6017104960173496	Arabic
44	first	3.9834458924197245	Arabic
44	later	3.5303548039170023	Arabic
45	first	4.077616692372832	Arabic
45	later	3.599749515447591	Arabic
46	first	4.064058317791305	Arabic
46	later	3.618765835062396	Arabic
47	first	4.02570845585497	Arabic
47	later	3.6038872057832543	Arabic
48	first	4.023248397377851	Arabic
