i	position	H	language
1	first	4.173019598824099	Armenian
1	later	3.6031889223654088	Armenian
2	first	4.122755782157058	Armenian
2	later	3.6034302097487454	Armenian
3	first	4.122472860822761	Armenian
3	later	3.5946616296849783	Armenian
4	first	4.154898795418738	Armenian
4	later	3.698479654483306	Armenian
5	first	4.161796186110563	Armenian
5	later	3.6674978324087806	Armenian
6	first	4.1257590289339205	Armenian
6	later	3.5819451207961572	Armenian
7	first	4.132582167797957	Armenian
7	later	3.6039666350612856	Armenian
8	first	4.1049199435062835	Armenian
8	later	3.59872627461409	Armenian
9	first	4.116400234174684	Armenian
9	later	3.6115445159889474	Armenian
10	first	4.13158256057743	Armenian
10	later	3.5959032966496642	Armenian
11	first	4.119816772595831	Armenian
11	later	3.6464303342892173	Armenian
12	first	4.089222691787421	Armenian
12	later	3.5898724722530395	Armenian
13	first	4.105487318276959	Armenian
13	later	3.611752373518755	Armenian
14	first	4.1291682222446	Armenian
14	later	3.5967578941107017	Armenian
15	first	4.189553770050952	Armenian
15	later	3.6942289814254643	Armenian
16	first	4.0985184254475815	Armenian
16	later	3.567995718077926	Armenian
17	first	4.080856187629079	Armenian
17	later	3.5891163703324285	Armenian
18	first	4.122354274234611	Armenian
18	later	3.691958404967808	Armenian
19	first	4.12287214179806	Armenian
19	later	3.6034574739132434	Armenian
20	first	4.230385137390117	Armenian
20	later	3.7088793977287304	Armenian
21	first	4.200066002271165	Armenian
21	later	3.6851499589784225	Armenian
22	first	4.159654061233999	Armenian
22	later	3.6899678294509144	Armenian
23	first	4.143826638970331	Armenian
23	later	3.6061016364135163	Armenian
24	first	4.168808428031343	Armenian
24	later	3.6083209828190377	Armenian
25	first	4.120186379603929	Armenian
25	later	3.585157672468483	Armenian
26	first	4.124729478199773	Armenian
26	later	3.602529946202612	Armenian
27	first	4.124830556660715	Armenian
27	later	3.682780417462133	Armenian
28	first	4.117528810535519	Armenian
28	later	3.6128911837650444	Armenian
29	first	4.139093517458427	Armenian
29	later	3.6143188231310956	Armenian
30	first	4.104470955182598	Armenian
30	later	3.604245221433924	Armenian
31	first	4.12768194006303	Armenian
31	later	3.579084439419095	Armenian
32	first	4.147389747220238	Armenian
32	later	3.590194688402055	Armenian
33	first	4.19084150827441	Armenian
33	later	3.7060838862401044	Armenian
34	first	4.137514027029439	Armenian
34	later	3.6054669695974426	Armenian
35	first	4.16959973377283	Armenian
35	later	3.6992092696826258	Armenian
36	first	4.133229945603053	Armenian
36	later	3.607901766295037	Armenian
37	first	4.182024506231814	Armenian
37	later	3.69550885422331	Armenian
38	first	4.184786331258755	Armenian
38	later	3.6981162907669223	Armenian
39	first	4.1215804154306435	Armenian
39	later	3.597909478495203	Armenian
40	first	4.093313894370524	Armenian
40	later	3.584628309110347	Armenian
41	first	4.1653278246568695	Armenian
41	later	3.6899083330450613	Armenian
42	first	4.14302585626223	Armenian
42	later	3.680514460807231	Armenian
43	first	4.119240148966907	Armenian
43	later	3.5998536032858053	Armenian
44	first	4.1262170891874606	Armenian
44	later	3.6003307942041767	Armenian
45	first	4.118799239314456	Armenian
45	later	3.5996605452104165	Armenian
46	first	4.163014261190923	Armenian
46	later	3.665898127048403	Armenian
47	first	4.123801043839924	Armenian
47	later	3.6146669133674094	Armenian
48	first	4.151436560811467	Armenian
48	later	3.6008400009960537	Armenian
49	first	4.1323912918708485	Armenian
49	later	3.591147831414397	Armenian
50	first	4.111317512817952	Armenian
50	later	3.593230490596071	Armenian
51	first	4.135949562771016	Armenian
51	later	3.7185339987954134	Armenian
52	first	4.136246301781538	Armenian
52	later	3.6303091207596907	Armenian
53	first	4.1371555195260505	Armenian
53	later	3.595124288440912	Armenian
54	first	4.1969779019711675	Armenian
54	later	3.7066331314144487	Armenian
55	first	4.121254185333993	Armenian
55	later	3.6149943776502447	Armenian
56	first	4.111950363192457	Armenian
56	later	3.6077517985625622	Armenian
57	first	4.103501481050119	Armenian
57	later	3.5800592909024562	Armenian
58	first	4.105568850187183	Armenian
58	later	3.6787064755144327	Armenian
59	first	4.131069137460567	Armenian
59	later	3.605111521783611	Armenian
60	first	4.175411032058337	Armenian
60	later	3.6007798498903623	Armenian
61	first	4.130830464031484	Armenian
61	later	3.5685717349227635	Armenian
62	first	4.141272217392659	Armenian
62	later	3.6867115896671243	Armenian
63	first	4.141924179250082	Armenian
63	later	3.691171303331867	Armenian
64	first	4.111737108723931	Armenian
64	later	3.6865910088783167	Armenian
65	first	4.116924162457318	Armenian
65	later	3.6002248279450986	Armenian
66	first	4.12741116160477	Armenian
66	later	3.6132530419354527	Armenian
67	first	4.124175523158503	Armenian
67	later	3.608228745696472	Armenian
68	first	4.11491933753495	Armenian
68	later	3.6070792049376963	Armenian
69	first	4.178169546253541	Armenian
69	later	3.628115316978573	Armenian
70	first	4.133028222724375	Armenian
70	later	3.6762139764388757	Armenian
71	first	4.142576641322761	Armenian
71	later	3.5961808257391312	Armenian
72	first	4.142165454834998	Armenian
72	later	3.6105111132455177	Armenian
73	first	4.129223765294878	Armenian
73	later	3.604228359805076	Armenian
74	first	4.12737258813636	Armenian
74	later	3.686468348306713	Armenian
75	first	4.111165768310468	Armenian
75	later	3.602569252525313	Armenian
76	first	4.134801288091811	Armenian
76	later	3.5970782514542825	Armenian
77	first	4.11986309836744	Armenian
77	later	3.611271702697503	Armenian
78	first	4.203252231766538	Armenian
78	later	3.6222203612887762	Armenian
79	first	4.149263731410207	Armenian
79	later	3.681033263922865	Armenian
80	first	4.120336001465924	Armenian
80	later	3.6048343234538454	Armenian
81	first	4.157758312012124	Armenian
81	later	3.618234168021243	Armenian
82	first	4.147909466192666	Armenian
82	later	3.6031938223463946	Armenian
83	first	4.171144150529186	Armenian
83	later	3.608954012887027	Armenian
84	first	4.114188664091007	Armenian
84	later	3.5683299525666285	Armenian
85	first	4.1230118991927975	Armenian
85	later	3.6012688126290526	Armenian
86	first	4.167989587226639	Armenian
86	later	3.631224393955997	Armenian
87	first	4.125673907231977	Armenian
87	later	3.6033231472127034	Armenian
88	first	4.15749598451065	Armenian
88	later	3.6129375103370918	Armenian
89	first	4.138505753999543	Armenian
89	later	3.6051229899074237	Armenian
90	first	4.157066698852964	Armenian
90	later	3.6000888819146644	Armenian
91	first	4.133962730306341	Armenian
91	later	3.6005478125338293	Armenian
92	first	4.110705404996938	Armenian
92	later	3.6082001569807	Armenian
93	first	4.108093651230489	Armenian
93	later	3.710362143932288	Armenian
94	first	4.161013031133916	Armenian
94	later	3.613206925802674	Armenian
95	first	4.137508087040492	Armenian
95	later	3.6803040362737045	Armenian
96	first	4.08905546896455	Armenian
96	later	3.5986136195307106	Armenian
97	first	4.130879518637849	Armenian
97	later	3.6743337191233496	Armenian
98	first	4.1525358432443165	Armenian
98	later	3.613016960209115	Armenian
99	first	4.132083942831437	Armenian
99	later	3.6061089838420783	Armenian
100	first	4.14680280980281	Armenian
100	later	3.6018084695182684	Armenian
101	first	4.132120869829952	Armenian
101	later	3.621689751046931	Armenian
102	first	4.174891951535018	Armenian
102	later	3.597492814673702	Armenian
103	first	4.169339718569938	Armenian
103	later	3.710300724047497	Armenian
104	first	4.06856653928187	Armenian
104	later	3.601026749081815	Armenian
105	first	4.189947760484046	Armenian
105	later	3.702513521494483	Armenian
106	first	4.128098519011286	Armenian
106	later	3.7202261846760596	Armenian
107	first	4.121918169549831	Armenian
107	later	3.5996219961060913	Armenian
108	first	4.089562825682644	Armenian
108	later	3.6045342796137994	Armenian
109	first	4.140769440800513	Armenian
109	later	3.608967255681017	Armenian
110	first	4.127279046387012	Armenian
110	later	3.6075692490809415	Armenian
111	first	4.09386687985656	Armenian
111	later	3.5604373986180002	Armenian
112	first	4.155080412126933	Armenian
112	later	3.6048974650134222	Armenian
113	first	4.120837280171521	Armenian
113	later	3.5895606983203545	Armenian
114	first	4.160102093608737	Armenian
114	later	3.6190031105731775	Armenian
