i	position	H	language
1	first	4.01954612936929	Bengali
1	later	3.7858897939802554	Bengali
2	first	4.0328059370268505	Bengali
2	later	3.804051418614875	Bengali
3	first	4.012791257798133	Bengali
3	later	3.7997261923657693	Bengali
4	first	4.027335701364327	Bengali
4	later	3.8089725146658764	Bengali
5	first	4.0241130290886735	Bengali
5	later	3.802650978896059	Bengali
6	first	4.022311174223548	Bengali
6	later	3.7977409832283677	Bengali
7	first	4.034170377466859	Bengali
7	later	3.798378604425964	Bengali
8	first	4.026541268762332	Bengali
8	later	3.7948818145067587	Bengali
9	first	4.02784946436291	Bengali
9	later	3.799036286730186	Bengali
10	first	4.034359552142741	Bengali
10	later	3.7976903427808963	Bengali
11	first	4.03102392844415	Bengali
11	later	3.8070751278599118	Bengali
12	first	4.037013731806348	Bengali
12	later	3.8002117425384405	Bengali
13	first	4.030803639573901	Bengali
13	later	3.8051407777817974	Bengali
14	first	4.007699589921162	Bengali
14	later	3.8034879619889033	Bengali
15	first	4.0292128129166604	Bengali
15	later	3.80267065570376	Bengali
16	first	4.032618519254198	Bengali
16	later	3.8029853505661535	Bengali
17	first	4.041269320593555	Bengali
17	later	3.8170971681412844	Bengali
18	first	4.020628368192098	Bengali
18	later	3.7937730800483287	Bengali
19	first	4.023874329186827	Bengali
19	later	3.804274182629307	Bengali
20	first	4.029858942880318	Bengali
20	later	3.8093873612156663	Bengali
21	first	4.036131045831305	Bengali
21	later	3.8115162484090526	Bengali
22	first	4.040926133861847	Bengali
22	later	3.8038411534696395	Bengali
23	first	4.0605411270625575	Bengali
23	later	3.8002022298536224	Bengali
24	first	4.039588662676011	Bengali
24	later	3.8109755022758702	Bengali
25	first	4.0238585509669695	Bengali
25	later	3.795699610117399	Bengali
26	first	4.055514878450475	Bengali
26	later	3.8178083165342853	Bengali
27	first	4.027684649356616	Bengali
27	later	3.8108470082493553	Bengali
28	first	4.021411519458035	Bengali
28	later	3.8023555061111174	Bengali
29	first	4.038907127701503	Bengali
29	later	3.8100494167260615	Bengali
30	first	4.039949823580813	Bengali
30	later	3.8062068267499165	Bengali
31	first	4.0189286247594485	Bengali
31	later	3.805395212585529	Bengali
32	first	4.0393632288495995	Bengali
32	later	3.794196255723185	Bengali
33	first	4.031350114063548	Bengali
33	later	3.8022286357241835	Bengali
34	first	4.031723509414796	Bengali
34	later	3.7973590897015614	Bengali
35	first	4.0219874963653375	Bengali
35	later	3.79564085796811	Bengali
36	first	4.029468499645719	Bengali
36	later	3.8039973980791797	Bengali
37	first	4.0339861787905305	Bengali
37	later	3.7977148318177	Bengali
38	first	4.029069174305921	Bengali
38	later	3.79924364630346	Bengali
39	first	4.0480251150721935	Bengali
39	later	3.8089032466299546	Bengali
40	first	4.030361984226426	Bengali
40	later	3.805112865461734	Bengali
41	first	4.039126602323269	Bengali
41	later	3.801344230953157	Bengali
42	first	4.02131905334868	Bengali
42	later	3.7973875843691083	Bengali
43	first	4.043155476302037	Bengali
43	later	3.8157109997989838	Bengali
44	first	4.029985693653961	Bengali
44	later	3.8213222037592725	Bengali
45	first	4.033135688533839	Bengali
45	later	3.8014698260911493	Bengali
