i	position	H	language
1	first	3.6586739334771576	Cantonese
1	later	3.637518449966657	Cantonese
2	first	3.6446490732913777	Cantonese
2	later	3.6659796904195368	Cantonese
3	first	3.647886625886201	Cantonese
3	later	3.6958466368345246	Cantonese
4	first	3.6047112844837956	Cantonese
4	later	3.5982323224475032	Cantonese
5	first	3.524134437446818	Cantonese
5	later	3.555264028942575	Cantonese
6	first	3.576552536783304	Cantonese
6	later	3.5804786158002546	Cantonese
7	first	3.626203946461925	Cantonese
7	later	3.7080691198197284	Cantonese
8	first	3.6132356280081885	Cantonese
8	later	3.665861833965701	Cantonese
9	first	3.6400731237081136	Cantonese
9	later	3.6842961057702657	Cantonese
10	first	3.6544875524271916	Cantonese
10	later	3.609844489532637	Cantonese
11	first	3.6510311430715188	Cantonese
11	later	3.641325128550601	Cantonese
12	first	3.638448156647535	Cantonese
12	later	3.631587869443459	Cantonese
13	first	3.616938257502527	Cantonese
13	later	3.6350254123062515	Cantonese
14	first	3.622069647965608	Cantonese
14	later	3.6401243022300243	Cantonese
15	first	3.625714022752026	Cantonese
15	later	3.675419144907376	Cantonese
16	first	3.5016118884811016	Cantonese
16	later	3.523188144965489	Cantonese
17	first	3.663697293719273	Cantonese
17	later	3.5910308414032253	Cantonese
18	first	3.5282218268238488	Cantonese
18	later	3.625511626873268	Cantonese
19	first	3.6389527024445654	Cantonese
19	later	3.659172864321287	Cantonese
20	first	3.6148869601806486	Cantonese
20	later	3.5891649477504437	Cantonese
21	first	3.6149062376761405	Cantonese
21	later	3.6059927104453737	Cantonese
22	first	3.482087945666223	Cantonese
22	later	3.4940233346236074	Cantonese
23	first	3.558968640221358	Cantonese
23	later	3.5746805644716426	Cantonese
24	first	3.6289980246720113	Cantonese
24	later	3.630920646145503	Cantonese
25	first	3.6402281655418762	Cantonese
25	later	3.674748040498706	Cantonese
26	first	3.549253371626581	Cantonese
26	later	3.562561858564778	Cantonese
27	first	3.6455476580331485	Cantonese
27	later	3.6400325909874156	Cantonese
28	first	3.6254578137867375	Cantonese
28	later	3.6572128931331056	Cantonese
29	first	3.617060398793612	Cantonese
29	later	3.6333011122356673	Cantonese
30	first	3.50259232200059	Cantonese
30	later	3.5115902966106156	Cantonese
31	first	3.6204410057945364	Cantonese
31	later	3.6590823096505734	Cantonese
32	first	3.6565842788454948	Cantonese
32	later	3.6484926433306675	Cantonese
33	first	3.61663905663908	Cantonese
33	later	3.6490413189030253	Cantonese
34	first	3.627696010805941	Cantonese
34	later	3.656077434056528	Cantonese
35	first	3.6118273861185544	Cantonese
35	later	3.633100566104033	Cantonese
36	first	3.642468445247401	Cantonese
36	later	3.6688059048489445	Cantonese
37	first	3.637498289835158	Cantonese
37	later	3.7103731321772098	Cantonese
38	first	3.609680610080083	Cantonese
38	later	3.634121340733412	Cantonese
39	first	3.6288257373153487	Cantonese
39	later	3.6914246426152473	Cantonese
40	first	3.6230778256075094	Cantonese
40	later	3.6231601349559623	Cantonese
41	first	3.6349753677136647	Cantonese
41	later	3.662466569657907	Cantonese
42	first	3.612014275595479	Cantonese
42	later	3.632496009841513	Cantonese
43	first	3.5932396002536984	Cantonese
43	later	3.6742867228720337	Cantonese
44	first	3.6716414398130777	Cantonese
44	later	3.6559312102734443	Cantonese
45	first	3.6275776930073924	Cantonese
45	later	3.6408922909520145	Cantonese
46	first	3.6211805872191825	Cantonese
46	later	3.601327618552265	Cantonese
47	first	3.632002752307039	Cantonese
47	later	3.6461609552380017	Cantonese
48	first	3.641790234845787	Cantonese
48	later	3.691057219562079	Cantonese
49	first	3.6622288546114183	Cantonese
49	later	3.65033578812786	Cantonese
50	first	3.621636200862543	Cantonese
50	later	3.6089281789933074	Cantonese
51	first	3.6037440446199702	Cantonese
51	later	3.639100619504835	Cantonese
52	first	3.6684603782105865	Cantonese
52	later	3.651151018537137	Cantonese
53	first	3.6329365111633054	Cantonese
53	later	3.6585380047757265	Cantonese
54	first	3.627522320482522	Cantonese
54	later	3.6001348585104536	Cantonese
55	first	3.6632345115168783	Cantonese
55	later	3.649762377229954	Cantonese
56	first	3.6093778975844586	Cantonese
56	later	3.6818632743306217	Cantonese
57	first	3.616182849843213	Cantonese
57	later	3.6429304635820032	Cantonese
58	first	3.600838770048303	Cantonese
58	later	3.645533128935609	Cantonese
59	first	3.563075843330359	Cantonese
59	later	3.5287615163365027	Cantonese
60	first	3.531397309841017	Cantonese
60	later	3.5391046640572803	Cantonese
61	first	3.627756737526145	Cantonese
