i	position	H	language
1	first	4.298482043400002	English
1	later	4.0766976739091545	English
2	first	4.282296869025607	English
2	later	4.039810569465892	English
3	first	4.258671889608884	English
3	later	3.980648857420735	English
4	first	4.301441944847822	English
4	later	3.9911211895285255	English
5	first	4.279690910666987	English
5	later	3.971240435096827	English
6	first	4.252360218643819	English
6	later	3.919567840738529	English
7	first	4.269352061918144	English
7	later	4.031049201534267	English
8	first	4.325224747257931	English
8	later	4.06595348707016	English
9	first	4.362885352087926	English
9	later	4.005576908795178	English
10	first	4.320330345717459	English
10	later	4.005553739032931	English
11	first	4.218855899816111	English
11	later	3.9678925001118848	English
12	first	4.296764211550077	English
12	later	3.983792027268615	English
13	first	4.273576979908295	English
13	later	4.03568940515589	English
14	first	4.269718564085302	English
14	later	4.036155429342999	English
15	first	4.282901760041045	English
15	later	4.103872496546284	English
16	first	4.294466635077692	English
16	later	4.009612504213881	English
17	first	4.303506267833105	English
17	later	4.013394657506198	English
18	first	4.299631945053349	English
18	later	3.9773729080729683	English
19	first	4.3182676250803365	English
19	later	4.047106870546058	English
20	first	4.269385203737691	English
20	later	4.047025278819159	English
21	first	4.247799669411288	English
21	later	4.011542420514278	English
22	first	4.304929905773291	English
22	later	4.092800868372535	English
23	first	4.2875021842581145	English
23	later	3.9955698660250394	English
24	first	4.281198070058884	English
24	later	4.047552294505039	English
25	first	4.276043819441441	English
25	later	4.037200310717626	English
26	first	4.311213003065706	English
26	later	4.070368015725387	English
27	first	4.275489353483358	English
27	later	3.98875250677682	English
28	first	4.310050206501876	English
28	later	4.048670689681582	English
29	first	4.374678031160761	English
29	later	4.060473576271781	English
30	first	4.295196211628171	English
30	later	3.9987476247510836	English
31	first	4.172616881826167	English
31	later	3.921283757499514	English
32	first	4.369875652626722	English
32	later	3.970323911981507	English
33	first	4.276281690729709	English
33	later	3.9987956403787694	English
34	first	4.327484836115149	English
34	later	4.082295042036585	English
35	first	4.298637014686946	English
35	later	3.9786380753771646	English
36	first	4.210727217492286	English
36	later	3.9282942362979405	English
37	first	4.2864274914884275	English
37	later	3.986160673312979	English
38	first	4.284372397505644	English
38	later	3.9923292216404214	English
39	first	4.34499566471523	English
39	later	4.039054754493936	English
40	first	4.265470471982098	English
40	later	3.947860925385547	English
41	first	4.2590939843522735	English
41	later	4.010796386649206	English
42	first	4.27187848743521	English
42	later	3.9995866164352267	English
43	first	4.27119106960266	English
43	later	4.013652413649091	English
44	first	4.31102760950442	English
44	later	3.9796282826475315	English
45	first	4.325288248991555	English
45	later	4.089543528936295	English
46	first	4.293361556090716	English
46	later	3.9997287140500086	English
47	first	4.314817204582727	English
47	later	4.036886028812766	English
48	first	4.325433222366577	English
48	later	4.07525993554107	English
49	first	4.2650622329239765	English
49	later	4.025175874592003	English
50	first	4.3601174555876145	English
50	later	4.019302274388673	English
51	first	4.33127230988124	English
51	later	4.028405758817375	English
52	first	4.267788303862174	English
52	later	3.9915251891217722	English
53	first	4.386875367377311	English
53	later	4.101750291905367	English
54	first	4.330010006634025	English
54	later	4.066168623131058	English
55	first	4.317492167426723	English
55	later	4.09214057150066	English
56	first	4.276199472385887	English
56	later	4.010891246061236	English
57	first	4.274489083142822	English
57	later	4.001604645876069	English
58	first	4.270057540204606	English
58	later	3.994416693675292	English
59	first	4.341826122102424	English
59	later	4.076865974002855	English
60	first	4.226590057256038	English
60	later	3.8776086904711815	English
61	first	4.284305501538593	English
61	later	4.047547075465701	English
62	first	4.325724130708947	English
62	later	4.122353986654632	English
63	first	4.272823239669718	English
63	later	4.0077296131831845	English
64	first	4.355276768906465	English
64	later	4.022657440260189	English
65	first	4.26510600453609	English
65	later	3.9384928984772345	English
66	first	4.265591362532568	English
66	later	4.01229005081316	English
67	first	4.289747404494785	English
67	later	4.007772170789919	English
68	first	4.300243127746274	English
68	later	4.0135785960862025	English
69	first	4.38541814364203	English
