i	position	H	language
1	first	3.7461738946984946	Finnish
1	later	3.505160608611667	Finnish
2	first	3.745122020509386	Finnish
2	later	3.517800345165703	Finnish
3	first	3.724696017824316	Finnish
3	later	3.5228638964144228	Finnish
4	first	3.750537873491327	Finnish
4	later	3.5094777733014224	Finnish
5	first	3.737576444394186	Finnish
5	later	3.5013392336946403	Finnish
6	first	3.7400377884596616	Finnish
6	later	3.5034494379198704	Finnish
7	first	3.739837267455505	Finnish
7	later	3.51004045940491	Finnish
8	first	3.7500867491451615	Finnish
8	later	3.507106525142019	Finnish
9	first	3.7337308973501813	Finnish
9	later	3.504141448191524	Finnish
10	first	3.748969445825028	Finnish
10	later	3.512673113438932	Finnish
11	first	3.7392120302772804	Finnish
11	later	3.5061339955362683	Finnish
12	first	3.728027010111571	Finnish
12	later	3.5046837839835705	Finnish
13	first	3.731420124874141	Finnish
13	later	3.5302881747808494	Finnish
14	first	3.7445509760663205	Finnish
14	later	3.4995349706301297	Finnish
15	first	3.7512714382537924	Finnish
15	later	3.511825650865079	Finnish
16	first	3.7398520993042688	Finnish
16	later	3.512702090513402	Finnish
17	first	3.744680517995449	Finnish
17	later	3.5053903532522996	Finnish
18	first	3.7374238805245175	Finnish
18	later	3.500502024630644	Finnish
19	first	3.7509229010828475	Finnish
19	later	3.505922937610378	Finnish
20	first	3.737776053547991	Finnish
20	later	3.507861791661206	Finnish
21	first	3.7467217887222377	Finnish
21	later	3.5079325031223836	Finnish
22	first	3.720646281139046	Finnish
22	later	3.5378937230709546	Finnish
23	first	3.748631979810571	Finnish
23	later	3.5074569916468663	Finnish
24	first	3.745711379467485	Finnish
24	later	3.507805146603914	Finnish
25	first	3.7517978712253717	Finnish
25	later	3.505571354356481	Finnish
26	first	3.7418233756342536	Finnish
26	later	3.5095846789922747	Finnish
27	first	3.7259551879052277	Finnish
27	later	3.54586314218214	Finnish
28	first	3.7424573386686864	Finnish
28	later	3.511475564129209	Finnish
29	first	3.74441573151276	Finnish
29	later	3.510117840753659	Finnish
30	first	3.737942369351987	Finnish
30	later	3.520821820076533	Finnish
31	first	3.7467782005875665	Finnish
31	later	3.4987955806432827	Finnish
32	first	3.7437822494497794	Finnish
32	later	3.506175720470512	Finnish
33	first	3.7313945993038096	Finnish
33	later	3.5307414972546205	Finnish
34	first	3.742143895110025	Finnish
34	later	3.5137100373365966	Finnish
35	first	3.735778181448641	Finnish
35	later	3.5032378925855157	Finnish
36	first	3.7480426814017807	Finnish
36	later	3.5076112800516888	Finnish
37	first	3.739842234009626	Finnish
37	later	3.503091427522804	Finnish
38	first	3.7338068519183483	Finnish
38	later	3.5375261519387102	Finnish
39	first	3.7462551333758562	Finnish
39	later	3.508599014854183	Finnish
40	first	3.7229015981819367	Finnish
40	later	3.5032152969374857	Finnish
41	first	3.749791941122854	Finnish
41	later	3.502714241267408	Finnish
42	first	3.675871969714375	Finnish
42	later	3.4178713092051227	Finnish
43	first	3.729373220109162	Finnish
43	later	3.5047668879218166	Finnish
44	first	3.7443163167103535	Finnish
44	later	3.521895671351027	Finnish
45	first	3.726545225319338	Finnish
45	later	3.5458442232183978	Finnish
46	first	3.7483591474574123	Finnish
46	later	3.4950977042167217	Finnish
47	first	3.7450501140507684	Finnish
47	later	3.514802344879392	Finnish
48	first	3.719525494205422	Finnish
48	later	3.5519248393175213	Finnish
49	first	3.741186105007059	Finnish
49	later	3.506080582429895	Finnish
50	first	3.7486861431811165	Finnish
50	later	3.5064062663074056	Finnish
51	first	3.7429952719701554	Finnish
