i	position	H	language
1	first	4.1275163701220645	French
1	later	3.984878425523157	French
2	first	4.134205702832037	French
2	later	3.9813562672370546	French
3	first	4.130763757053166	French
3	later	3.9737828414858405	French
4	first	4.147500625940583	French
4	later	3.984673756487655	French
5	first	4.138211317357368	French
5	later	3.9878893242420026	French
6	first	4.138355177930014	French
6	later	3.9844038660561027	French
7	first	4.144247591336843	French
7	later	3.9994250896715884	French
8	first	4.115538173931	French
8	later	3.9900577287863284	French
9	first	4.121882621418752	French
9	later	3.992682506618022	French
10	first	4.164775824177002	French
10	later	3.995288457851855	French
11	first	4.1542657107002485	French
11	later	3.987882044564851	French
12	first	4.122673457225883	French
12	later	3.991188157605071	French
13	first	4.136883427183866	French
13	later	3.9911494937990706	French
14	first	4.145999160647978	French
14	later	3.9765462280200796	French
15	first	4.13495769521056	French
15	later	4.000357369854249	French
16	first	4.127023364137064	French
16	later	3.9985693613101527	French
17	first	4.155536862056824	French
17	later	3.971147122817243	French
18	first	4.1503788267086215	French
18	later	3.980963613816332	French
19	first	4.158890876629866	French
19	later	3.9719245299181978	French
20	first	4.138379535376037	French
20	later	3.9989585120470443	French
21	first	4.136700095115411	French
21	later	3.9649284346938125	French
22	first	4.128479786538873	French
22	later	3.9827202934157326	French
23	first	4.120611777010215	French
23	later	3.9641351641444165	French
24	first	4.141054444182298	French
24	later	3.9911121056159438	French
25	first	4.148611852921515	French
25	later	3.9975735559723864	French
26	first	4.145112611905633	French
26	later	3.983483235657971	French
27	first	4.135244387346302	French
27	later	3.9748804906920543	French
28	first	4.131707404481201	French
28	later	3.998367547308054	French
29	first	4.13621842243934	French
29	later	3.983380938413438	French
30	first	4.139642852382845	French
30	later	3.965990743005006	French
31	first	4.121385552937058	French
31	later	3.991963035774285	French
32	first	4.115895958084169	French
32	later	3.9929536855386116	French
33	first	4.0969277868668055	French
33	later	3.9047406787103593	French
34	first	4.144913595074294	French
34	later	3.959527249558822	French
35	first	4.152841261823784	French
35	later	3.987642753690393	French
36	first	4.135993590296224	French
36	later	3.981514871715261	French
37	first	4.150494506429738	French
37	later	3.9768766543331036	French
38	first	4.144952458942838	French
38	later	3.985140362767312	French
39	first	4.142426310882334	French
39	later	3.9895507902154654	French
40	first	4.127067841923999	French
40	later	3.9691979390364605	French
41	first	4.14157826189638	French
41	later	3.9891039304519427	French
42	first	4.140069307991576	French
42	later	3.9884001459396927	French
43	first	4.135149491526917	French
43	later	3.9923845254645896	French
44	first	4.127507187137414	French
44	later	3.987856544672297	French
45	first	4.150484978383228	French
45	later	4.001649910330775	French
46	first	4.129782120649733	French
46	later	3.964318811221641	French
47	first	4.163048331187113	French
47	later	3.986523337620274	French
48	first	4.130860296273924	French
48	later	3.9872848760379895	French
49	first	4.133537285567759	French
49	later	3.9898161789979687	French
50	first	4.094935894423628	French
50	later	3.90825468531661	French
51	first	4.157905726693487	French
51	later	3.9910627712402116	French
52	first	4.116631138724635	French
52	later	4.002275186419145	French
53	first	4.152616811047019	French
53	later	3.9647549753289235	French
54	first	4.1241474997345	French
54	later	3.9993385028392323	French
55	first	4.166697667939639	French
55	later	3.9909426726997466	French
56	first	4.131391360426115	French
56	later	3.989321687101721	French
57	first	4.150890969404039	French
57	later	3.991930908990589	French
58	first	4.1348659586562455	French
58	later	3.9911488448525843	French
59	first	4.149511275159967	French
59	later	3.994022045414588	French
60	first	4.0921916209389435	French
60	later	3.904492331991934	French
61	first	4.137839024639794	French
61	later	3.9890579247140305	French
62	first	4.143990192076595	French
62	later	3.9764427481012796	French
63	first	4.13764167851532	French
63	later	3.985660384112872	French
64	first	4.138156572004825	French
64	later	3.9791517299792765	French
65	first	4.104353361070074	French
65	later	3.8989627080870957	French
66	first	4.163069208992201	French
66	later	3.990077071214023	French
67	first	4.127400215041351	French
67	later	3.9865733440155515	French
68	first	4.089547098684323	French
68	later	3.9227991121955172	French
69	first	4.1421662943506705	French
69	later	4.007576500811483	French
70	first	4.150731230418867	French
70	later	4.00086643835958	French
71	first	4.131572523676268	French
71	later	3.9823319407982543	French
72	first	4.134611251077482	French
72	later	3.989490914836086	French
73	first	4.1460643668179085	French
73	later	3.9876039704677924	French
74	first	4.140727714136404	French
74	later	3.994690817286562	French
75	first	4.125956198412606	French
75	later	4.001575386716097	French
76	first	4.134902261090875	French
76	later	3.9930159252145723	French
77	first	4.132235818472899	French
77	later	3.994056661479853	French
78	first	4.153676001596173	French
78	later	3.993140601069	French
79	first	4.130220704723077	French
79	later	3.9821999705081987	French
80	first	4.1339659681270655	French
80	later	3.9941206957641984	French
81	first	4.1207297223129125	French
81	later	3.98119183481775	French
82	first	4.120945180431471	French
82	later	3.99048703910501	French
83	first	4.096773635167252	French
83	later	3.897916686835673	French
84	first	4.135171693108042	French
84	later	3.9827327053218218	French
85	first	4.125756362651842	French
85	later	3.9995498761519634	French
86	first	4.121118771731082	French
86	later	3.996525148928859	French
87	first	4.152049162691556	French
87	later	3.9946568659045454	French
88	first	4.134320639549094	French
88	later	3.9686949195600922	French
89	first	4.139632675523671	French
89	later	4.002917118091616	French
90	first	4.151001097689504	French
90	later	3.9939532578293315	French
91	first	4.117418228200311	French
91	later	3.9689683130036446	French
92	first	4.159482868438651	French
92	later	3.9887248038750776	French
93	first	4.145648946191658	French
93	later	3.962882021410695	French
94	first	4.091718178607686	French
94	later	3.9033096003331886	French
95	first	4.133929426288594	French
95	later	3.9844503036200973	French
96	first	4.137930111507293	French
96	later	3.9893783686936115	French
97	first	4.146848717311123	French
97	later	3.982242486950901	French
98	first	4.136335179881474	French
98	later	3.9789597728373662	French
99	first	4.135182748192	French
99	later	3.975061092400283	French
100	first	4.134682439766371	French
100	later	3.9722262427718564	French
101	first	4.140571468256442	French
101	later	3.976910391975578	French
102	first	4.120817881618986	French
102	later	3.9500359813411	French
103	first	4.115617906294743	French
103	later	3.9969603753746124	French
104	first	4.096084708141281	French
104	later	3.9061669094923697	French
105	first	4.156700077314434	French
105	later	3.9969891412236263	French
106	first	4.127820154910145	French
106	later	3.9892616905504528	French
107	first	4.119995121702136	French
107	later	3.995096214103773	French
108	first	4.128766284774848	French
108	later	3.9895495380778896	French
109	first	4.120336733529195	French
109	later	3.988574869687265	French
110	first	4.145696298991452	French
110	later	3.9847604726822623	French
111	first	4.117035478304499	French
111	later	3.971257729994578	French
112	first	4.1294409000442664	French
112	later	3.987707797699747	French
113	first	4.131748917017014	French
113	later	3.976298465775465	French
114	first	4.1301625268821125	French
114	later	3.976872841579882	French
115	first	4.150547785922126	French
115	later	3.9897804332898104	French
116	first	4.135256799716142	French
116	later	3.9876640971203807	French
117	first	4.136552023801924	French
117	later	3.978564664966433	French
118	first	4.134022623816398	French
118	later	3.9869580341870985	French
119	first	4.11438289663938	French
119	later	3.997165181480845	French
120	first	4.143699568039029	French
120	later	3.989413774249411	French
121	first	4.147588337323188	French
121	later	4.003083389170578	French
122	first	4.134607901397598	French
122	later	4.000457470653334	French
123	first	4.114983607102759	French
123	later	3.9816060513947704	French
124	first	4.136402874798719	French
124	later	3.9924929790525914	French
125	first	4.127275551248909	French
125	later	3.9981802144987966	French
126	first	4.128217340025254	French
126	later	3.9667629935371904	French
127	first	4.130770092657403	French
127	later	3.983249391283996	French
128	first	4.1395095748172235	French
128	later	3.9730354991812105	French
129	first	4.128257796926776	French
129	later	3.996811908403964	French
130	first	4.083450306057239	French
130	later	3.9064447736317574	French
131	first	4.133792939213463	French
131	later	3.991783277986553	French
132	first	4.148108634789989	French
132	later	3.9669330695324327	French
133	first	4.133920475006201	French
133	later	3.9898001132368495	French
134	first	4.122132337098829	French
134	later	3.988826159581398	French
135	first	4.1650818501969775	French
135	later	3.9971353588350502	French
136	first	4.149690290148586	French
136	later	3.9756157455037466	French
137	first	4.156397092779629	French
137	later	3.972152191095556	French
138	first	4.1411516026819	French
138	later	3.9733256852549466	French
139	first	4.128583188946736	French
139	later	3.993574700071039	French
140	first	4.148605380615186	French
140	later	3.9915760108728326	French
