i	position	H	language
1	first	4.253390169978891	Georgian
1	later	3.86956261616351	Georgian
2	first	4.262492689689815	Georgian
2	later	3.865058515863398	Georgian
3	first	4.245274914421106	Georgian
3	later	3.863587662489803	Georgian
4	first	4.265579579235954	Georgian
4	later	3.869144632042214	Georgian
5	first	4.225231306205897	Georgian
5	later	3.8717364518454778	Georgian
6	first	4.265195549822618	Georgian
6	later	3.8661717771977964	Georgian
7	first	4.2373553337404015	Georgian
7	later	3.8733066139480865	Georgian
8	first	4.263169532739874	Georgian
8	later	3.8646715190779624	Georgian
9	first	4.254903976010697	Georgian
9	later	3.8652330023316877	Georgian
10	first	4.257079744525757	Georgian
10	later	3.8684534216281783	Georgian
11	first	4.256366501609403	Georgian
11	later	3.8661624983990186	Georgian
12	first	4.2493432506120294	Georgian
12	later	3.856485209091802	Georgian
13	first	4.2688623505413545	Georgian
13	later	3.8629866107068795	Georgian
14	first	4.238875530410019	Georgian
14	later	3.8656165754046694	Georgian
15	first	4.257951204414146	Georgian
15	later	3.864172855488565	Georgian
16	first	4.258173202404595	Georgian
16	later	3.8667923484188793	Georgian
17	first	4.248344325028114	Georgian
17	later	3.869376217720385	Georgian
18	first	4.250867004071624	Georgian
18	later	3.855356472048347	Georgian
19	first	4.244073790556399	Georgian
19	later	3.8679319679985644	Georgian
20	first	4.228780037312404	Georgian
20	later	3.868515797180631	Georgian
21	first	4.2242385067506465	Georgian
21	later	3.857305848461405	Georgian
22	first	4.254062533487739	Georgian
22	later	3.8619781843511136	Georgian
23	first	4.232387930931786	Georgian
23	later	3.8583120064036653	Georgian
24	first	4.246824386012993	Georgian
24	later	3.866025202001437	Georgian
25	first	4.225971087391601	Georgian
25	later	3.8683735990874935	Georgian
26	first	4.2530037019698534	Georgian
26	later	3.8677171599078948	Georgian
27	first	4.258664647897433	Georgian
27	later	3.8643606166095834	Georgian
28	first	4.242255224677914	Georgian
28	later	3.8606736868608427	Georgian
29	first	4.284953885687826	Georgian
29	later	3.8704453989030503	Georgian
30	first	4.254269509702597	Georgian
30	later	3.862241669565378	Georgian
31	first	4.264079452922365	Georgian
31	later	3.8670245750479686	Georgian
32	first	4.259895830422273	Georgian
32	later	3.8640279591508997	Georgian
33	first	4.2376407485021	Georgian
33	later	3.8693658529527406	Georgian
34	first	4.265076411624176	Georgian
34	later	3.861747662499969	Georgian
35	first	4.272949833611828	Georgian
35	later	3.868281655796587	Georgian
36	first	4.264592381657909	Georgian
36	later	3.865389922341445	Georgian
37	first	4.267176310585347	Georgian
37	later	3.866951575247762	Georgian
38	first	4.249328264298342	Georgian
38	later	3.868621207035307	Georgian
39	first	4.283672688148063	Georgian
39	later	3.862062078785765	Georgian
40	first	4.238540431512568	Georgian
40	later	3.8625779545364156	Georgian
41	first	4.260386696991332	Georgian
41	later	3.8633224376392774	Georgian
42	first	4.246234315758317	Georgian
42	later	3.8608025824680587	Georgian
43	first	4.270059601150697	Georgian
43	later	3.8587895695942387	Georgian
44	first	4.273944581947777	Georgian
44	later	3.8630403825545914	Georgian
45	first	4.27306434352085	Georgian
45	later	3.870535667129411	Georgian
46	first	4.250404066035741	Georgian
46	later	3.8644296281907105	Georgian
47	first	4.242656710550714	Georgian
47	later	3.8565792433388766	Georgian
48	first	4.253988098947499	Georgian
48	later	3.8648679199494826	Georgian
49	first	4.263437137035748	Georgian
49	later	3.8649067938162434	Georgian
50	first	4.2419643608947135	Georgian
50	later	3.8687885662078623	Georgian
51	first	4.252518580953205	Georgian
51	later	3.869830733274638	Georgian
52	first	4.251670182378108	Georgian
52	later	3.8639731598873257	Georgian
53	first	4.260976557953581	Georgian
53	later	3.8672775357243845	Georgian
54	first	4.2500934740237835	Georgian
54	later	3.861652820650583	Georgian
55	first	4.228034230811939	Georgian
55	later	3.8647081061212103	Georgian
56	first	4.212919915436814	Georgian
56	later	3.861936978657369	Georgian
57	first	4.257075004364439	Georgian
57	later	3.8621059792192254	Georgian
58	first	4.2601066486625685	Georgian
58	later	3.8586699239360454	Georgian
59	first	4.2637363192072355	Georgian
59	later	3.868223154095232	Georgian
60	first	4.252988823719059	Georgian
60	later	3.867980179239501	Georgian
61	first	4.230905072545236	Georgian
61	later	3.8616075403075363	Georgian
62	first	4.2440674053359	Georgian
62	later	3.8598422214526824	Georgian
63	first	4.239101294329182	Georgian
63	later	3.8642384203563096	Georgian
64	first	4.231355209802884	Georgian
64	later	3.856588729808269	Georgian
65	first	4.230317901722876	Georgian
65	later	3.8584595115163896	Georgian
