i	position	H	language
1	first	3.9487855365298183	German
1	later	3.546326904061398	German
2	first	3.9248681042491347	German
2	later	3.550972886282816	German
3	first	4.012237620906121	German
3	later	3.7162614034157433	German
4	first	3.966229511891632	German
4	later	3.690289463122483	German
5	first	3.898953671035476	German
5	later	3.6330155485615307	German
6	first	3.896304911756602	German
6	later	3.5907863712263106	German
7	first	3.9950634668486034	German
7	later	3.7327316536228747	German
8	first	3.929081725057046	German
8	later	3.5968411304715633	German
9	first	3.965565624843907	German
9	later	3.721600316491282	German
10	first	4.139833009016467	German
10	later	3.651414838633286	German
11	first	3.937156480158271	German
11	later	3.548501789059736	German
12	first	3.922061198736808	German
12	later	3.5901112839950207	German
13	first	3.884180676000373	German
13	later	3.6255615895987416	German
14	first	3.9251751358833094	German
14	later	3.589636266566621	German
15	first	3.945408706118567	German
15	later	3.5931187845826718	German
16	first	3.9220758755798206	German
16	later	3.674339975550744	German
17	first	3.933212161401332	German
17	later	3.5909133031783202	German
18	first	3.9516668931407954	German
18	later	3.6112733452881765	German
19	first	3.89308009323431	German
19	later	3.694675315532486	German
20	first	4.143264290074178	German
20	later	3.702267600143668	German
21	first	3.9297556694753135	German
21	later	3.586726971526546	German
22	first	3.892293449958066	German
22	later	3.7927752239327672	German
23	first	3.9038102776629633	German
23	later	3.6186625464847224	German
24	first	3.937486687399691	German
24	later	3.7051961687612547	German
25	first	3.9343228455015833	German
25	later	3.6261022343479987	German
26	first	3.9599736698811303	German
26	later	3.6797123119115107	German
27	first	3.9453069401229834	German
27	later	3.6407248032583746	German
28	first	3.976640047461783	German
28	later	3.587852928169227	German
29	first	4.003167371299865	German
29	later	3.714983445947555	German
30	first	3.989148594686643	German
30	later	3.5919614332342693	German
31	first	3.9921667338133298	German
31	later	3.670116236666525	German
32	first	4.006461895811463	German
32	later	3.68260150239747	German
33	first	3.9215434321843188	German
33	later	3.57856502432302	German
34	first	3.9306313168133884	German
34	later	3.549950670633162	German
35	first	3.9773016696744357	German
35	later	3.6010095488716383	German
36	first	3.9917280116173304	German
36	later	3.7002891940255465	German
37	first	3.933763304406304	German
37	later	3.6182085188114175	German
38	first	3.9269106508485323	German
38	later	3.597376753805462	German
39	first	3.9469206562677015	German
39	later	3.606861994572244	German
40	first	3.944942372029102	German
40	later	3.602996296405891	German
41	first	4.016281350095297	German
41	later	3.7065504070648245	German
42	first	3.9385603616368057	German
42	later	3.5796705850943424	German
43	first	4.156865590937019	German
43	later	3.6732278624554717	German
44	first	4.0929443525946665	German
44	later	3.6842831987026483	German
45	first	3.8829529016021116	German
45	later	3.6262238068425368	German
46	first	4.000615411145308	German
46	later	3.6097612487427186	German
47	first	4.161804350580624	German
47	later	3.6872442283459552	German
48	first	3.9341478405276544	German
48	later	3.494012744982771	German
49	first	3.98973382211588	German
49	later	3.628926556737502	German
50	first	3.967846732644914	German
50	later	3.594756247201943	German
51	first	3.9406502182744996	German
51	later	3.6302226522085776	German
52	first	3.9582624065914933	German
52	later	3.6526642186287037	German
53	first	3.923134718390473	German
53	later	3.623551068805591	German
54	first	3.9991234162356957	German
54	later	3.60911634976145	German
55	first	3.9463696667470085	German
55	later	3.6235337499516973	German
56	first	3.9296616530039823	German
56	later	3.5839055451118718	German
57	first	3.8924578067651967	German
57	later	3.6048505679501894	German
58	first	4.198796535018038	German
58	later	3.744328500111799	German
59	first	3.9365469924639718	German
59	later	3.5855052767072966	German
60	first	3.9714632734639213	German
60	later	3.7031868244117674	German
61	first	3.9346240815009037	German
61	later	3.6001717793584262	German
62	first	3.982277656713539	German
62	later	3.692248190527656	German
63	first	3.9783646776961197	German
63	later	3.673977127533908	German
64	first	4.169112302707742	German
64	later	3.691591590390596	German
65	first	3.9005878172920716	German
65	later	3.6054487896760916	German
66	first	3.9302394255884825	German
66	later	3.554641540194806	German
67	first	4.150961559606024	German
67	later	3.6843718409216053	German
68	first	3.9369451749564535	German
68	later	3.5810424045556446	German
69	first	3.992455769141585	German
69	later	3.681610997606042	German
70	first	3.9214905913465263	German
70	later	3.597036653151743	German
71	first	3.9344576062603824	German
71	later	3.7189136831287217	German
72	first	3.9230041672521803	German
72	later	3.588370054889181	German
73	first	3.927399207462814	German
73	later	3.596207830773989	German
74	first	3.9171797107314257	German
74	later	3.697998089753656	German
75	first	4.003600979986914	German
75	later	3.6988559878694485	German
76	first	3.943410984074013	German
76	later	3.5392080532126062	German
77	first	3.9871247075298624	German
77	later	3.6983013474507587	German
78	first	3.9152404993109764	German
78	later	3.5851468301746348	German
79	first	4.1648486541350325	German
79	later	3.6611335652934827	German
80	first	4.007245074993664	German
80	later	3.69678103562519	German
81	first	3.9912871162745094	German
81	later	3.5983707477919418	German
82	first	4.008810871432845	German
82	later	3.685334825325462	German
83	first	3.9877759868527707	German
83	later	3.7233983102189656	German
84	first	3.9428420694732815	German
84	later	3.6935082910711183	German
85	first	3.9374028365611857	German
85	later	3.686643436922	German
86	first	4.133988585201665	German
86	later	3.703763052078928	German
87	first	3.9516761985311826	German
87	later	3.740379867372448	German
88	first	3.954359054609625	German
88	later	3.591210894952275	German
89	first	3.8861139660270805	German
89	later	3.630223012366686	German
90	first	3.9104584850815858	German
90	later	3.616165182775084	German
91	first	3.9416113134642923	German
91	later	3.6593030111810076	German
92	first	3.9763800014822364	German
92	later	3.612717108988253	German
93	first	3.928548986611653	German
93	later	3.6625316347663657	German
94	first	3.9895197370618027	German
94	later	3.6091904894772524	German
95	first	3.912600037853407	German
95	later	3.6013864720003914	German
96	first	4.1670618391726375	German
96	later	3.6475145374366607	German
97	first	3.9328993971508686	German
97	later	3.599665350437231	German
98	first	3.92934535005595	German
98	later	3.606308785407369	German
99	first	3.948562617189653	German
99	later	3.693408108327827	German
100	first	3.940321134332546	German
100	later	3.6335525829236066	German
101	first	3.94515352255726	German
101	later	3.621986118640194	German
102	first	3.9358781846708086	German
102	later	3.632909757062647	German
103	first	3.942691438989893	German
103	later	3.57887505627061	German
104	first	3.8989436524472105	German
104	later	3.6236762894765455	German
105	first	3.941828705285652	German
105	later	3.6284848667590253	German
106	first	3.944410811537336	German
106	later	3.5994800264286733	German
107	first	3.944978084297525	German
107	later	3.701692813645166	German
108	first	3.917838738753529	German
108	later	3.576448179077065	German
109	first	3.9528840319117027	German
109	later	3.607951078298697	German
110	first	3.943110703131458	German
110	later	3.589531666558934	German
111	first	3.883083255069634	German
111	later	3.6140583233164216	German
112	first	3.9642750536140743	German
112	later	3.5827542210866845	German
113	first	3.952034600649598	German
113	later	3.717400035853433	German
114	first	3.9403675829387756	German
114	later	3.6779356406016475	German
115	first	3.948863737743997	German
115	later	3.7273985042628013	German
116	first	3.9276041293486523	German
116	later	3.679704809883316	German
117	first	3.965044418260981	German
117	later	3.615493414315041	German
118	first	3.9127750933016427	German
118	later	3.6896881956825722	German
119	first	3.9185176917792317	German
119	later	3.5979857416131953	German
120	first	3.9571637512947064	German
120	later	3.673944986293521	German
121	first	3.9493844016468467	German
121	later	3.71086788885659	German
122	first	3.987506087768479	German
122	later	3.6643942985758122	German
123	first	3.9740988696954997	German
123	later	3.696042397549148	German
124	first	3.94277700259962	German
124	later	3.680872863226605	German
125	first	3.9715607184233765	German
125	later	3.6146434277802975	German
126	first	3.8786215857447424	German
126	later	3.627446791930285	German
127	first	3.9260237044734407	German
127	later	3.6097957676816956	German
128	first	3.926830245539468	German
128	later	3.5817381738591694	German
129	first	3.9044598807290183	German
129	later	3.7029806742925993	German
130	first	3.8763798974925647	German
130	later	3.6137482920032915	German
131	first	3.9806139684514075	German
131	later	3.698725504660394	German
132	first	3.927281536522423	German
132	later	3.715832762624854	German
133	first	3.9296732604723004	German
133	later	3.5872655781928713	German
134	first	3.9993564762458633	German
134	later	3.59197393043753	German
135	first	3.994125588721856	German
135	later	3.6003029903805275	German
136	first	3.916826099052112	German
136	later	3.5952884125347255	German
137	first	3.94180891346334	German
137	later	3.629540011621471	German
138	first	3.9685052890755794	German
138	later	3.670371763530713	German
139	first	4.1477195275512955	German
139	later	3.779521863344236	German
140	first	3.950028344829747	German
140	later	3.496912118327052	German
141	first	3.9693226373852495	German
141	later	3.7097832824249704	German
142	first	3.9392312237097533	German
142	later	3.5528720124069832	German
143	first	3.926449300362418	German
143	later	3.604366597800241	German
144	first	3.941292041243373	German
144	later	3.6549556172580586	German
145	first	3.993389992718719	German
145	later	3.5942344572410705	German
146	first	3.9555081044441156	German
146	later	3.624827544796758	German
147	first	3.9199985172902294	German
147	later	3.5532131329519245	German
148	first	3.892653216537275	German
148	later	3.631969939463923	German
149	first	3.895271139020264	German
149	later	3.5154194451800707	German
150	first	3.896107230250289	German
150	later	3.6173726596709033	German
151	first	3.9257644361095876	German
151	later	3.587899713382805	German
152	first	3.932441369383708	German
152	later	3.5920531518050844	German
153	first	3.9922976987072345	German
153	later	3.6732699626446665	German
154	first	3.942547500491326	German
154	later	3.5916989632077305	German
155	first	3.940674245956336	German
155	later	3.5927907817354323	German
156	first	3.914051616994181	German
156	later	3.588103472605353	German
157	first	3.9310726499089053	German
157	later	3.5928346652612744	German
158	first	3.976022879577859	German
158	later	3.5930450757623755	German
159	first	3.924710158872887	German
159	later	3.5948584683507514	German
160	first	4.003656540586518	German
160	later	3.6447387252477585	German
161	first	3.9161956521753556	German
161	later	3.635021730466326	German
162	first	3.931646605382547	German
162	later	3.716026715462484	German
163	first	4.167588752657762	German
163	later	3.7332016175039198	German
164	first	3.993395448842768	German
164	later	3.6854317886921497	German
