i	position	H	language
1	first	4.123423392694655	Hausa
1	later	3.353809327016253	Hausa
2	first	4.132719850983131	Hausa
2	later	3.3588366116613964	Hausa
3	first	4.079772265032369	Hausa
3	later	3.3530511257853077	Hausa
4	first	4.0843323694185205	Hausa
4	later	3.356561844149189	Hausa
5	first	4.074807333392216	Hausa
5	later	3.3687310376927253	Hausa
6	first	4.0881850302186	Hausa
6	later	3.3516712313807027	Hausa
7	first	4.081967043453732	Hausa
7	later	3.358907794705362	Hausa
8	first	4.086287949409041	Hausa
8	later	3.3571633140839556	Hausa
9	first	4.086903593501152	Hausa
9	later	3.358553967287744	Hausa
10	first	4.086182955145379	Hausa
10	later	3.3558224442217464	Hausa
11	first	4.072133361514602	Hausa
11	later	3.3575759204756817	Hausa
12	first	4.088356670342867	Hausa
12	later	3.3413582042915926	Hausa
13	first	4.0700723968423675	Hausa
13	later	3.3561967612044366	Hausa
14	first	4.08027375502163	Hausa
14	later	3.359008300953308	Hausa
15	first	4.078846802873523	Hausa
15	later	3.3681747933883064	Hausa
16	first	4.0706158375847865	Hausa
16	later	3.363992293115181	Hausa
17	first	4.074973488244735	Hausa
17	later	3.355510779625002	Hausa
18	first	4.098621747769919	Hausa
18	later	3.3613710708401725	Hausa
19	first	4.07334053349903	Hausa
19	later	3.3554764729827733	Hausa
20	first	4.070623586086197	Hausa
20	later	3.3516610237049966	Hausa
21	first	4.072587328907589	Hausa
21	later	3.3437674120443335	Hausa
22	first	4.088328890133881	Hausa
22	later	3.3576127456251617	Hausa
23	first	4.087437252331944	Hausa
23	later	3.351092718525433	Hausa
24	first	4.065731271775881	Hausa
24	later	3.362553863553327	Hausa
25	first	4.077364452219804	Hausa
25	later	3.3479138130313273	Hausa
26	first	4.068828936067179	Hausa
26	later	3.3537336609643584	Hausa
27	first	4.0765925426181635	Hausa
27	later	3.3527339788011155	Hausa
28	first	4.067123639096618	Hausa
28	later	3.364240129112132	Hausa
29	first	4.093054534570675	Hausa
29	later	3.3545699117337793	Hausa
30	first	4.07860631539326	Hausa
30	later	3.354992385518564	Hausa
31	first	4.0811743755845376	Hausa
31	later	3.3524535870151633	Hausa
32	first	4.081322076676274	Hausa
32	later	3.3478223999655476	Hausa
33	first	4.090058246463501	Hausa
33	later	3.3547650208383946	Hausa
34	first	4.072938097530046	Hausa
34	later	3.3397059163034983	Hausa
35	first	4.072155842464496	Hausa
35	later	3.3431649892551785	Hausa
36	first	4.077845594814089	Hausa
36	later	3.3509067799122274	Hausa
37	first	4.068225818703547	Hausa
37	later	3.346059242969024	Hausa
38	first	4.083998886673561	Hausa
38	later	3.3556389178294395	Hausa
39	first	4.067599556210098	Hausa
39	later	3.3495732696681504	Hausa
40	first	4.098600868542153	Hausa
40	later	3.3562196207326713	Hausa
41	first	4.078664478466382	Hausa
41	later	3.3370360233130545	Hausa
42	first	4.067840352157341	Hausa
42	later	3.358021280957713	Hausa
43	first	4.0825084866201795	Hausa
43	later	3.355205319387569	Hausa
44	first	4.09018586416319	Hausa
44	later	3.3578348138925085	Hausa
45	first	4.1195217574555745	Hausa
45	later	3.359550739367494	Hausa
46	first	4.061337456711541	Hausa
46	later	3.3573796086409775	Hausa
47	first	4.112767126582965	Hausa
47	later	3.3515075238432614	Hausa
48	first	4.097411778682678	Hausa
48	later	3.3519045083318777	Hausa
49	first	4.070410094476856	Hausa
49	later	3.362126953252737	Hausa
50	first	4.08539732196802	Hausa
50	later	3.3528943362882093	Hausa
51	first	4.0613043047837865	Hausa
51	later	3.3553176502979882	Hausa
52	first	4.075957801662795	Hausa
52	later	3.3604006843223937	Hausa
53	first	4.064334889761368	Hausa
53	later	3.356436386192951	Hausa
54	first	4.110877030277442	Hausa
54	later	3.3516231455050467	Hausa
55	first	4.122716965520042	Hausa
55	later	3.3581993250079516	Hausa
56	first	4.060323180026367	Hausa
56	later	3.357405661403004	Hausa
57	first	4.069791839605029	Hausa
57	later	3.3540754002851223	Hausa
58	first	4.061337249915682	Hausa
58	later	3.354345710895349	Hausa
59	first	4.084667215527773	Hausa
59	later	3.364371331193711	Hausa
60	first	4.077896037952689	Hausa
60	later	3.3493041186897043	Hausa
