i	position	H	language
1	first	3.7641457721104934	Hebrew
1	later	3.518871391173184	Hebrew
2	first	3.8882813426481104	Hebrew
2	later	3.6285327464655737	Hebrew
3	first	3.781169518967106	Hebrew
3	later	3.526494109341751	Hebrew
4	first	3.7844729311600918	Hebrew
4	later	3.509166198755331	Hebrew
5	first	3.7777708838062325	Hebrew
5	later	3.5659091133789826	Hebrew
6	first	3.817921502071524	Hebrew
6	later	3.5037198113701002	Hebrew
7	first	3.775387637074827	Hebrew
7	later	3.5148467389943105	Hebrew
8	first	3.7869384741751504	Hebrew
8	later	3.571620519450813	Hebrew
9	first	3.81178009412369	Hebrew
9	later	3.5645543170647436	Hebrew
10	first	3.790346815173963	Hebrew
10	later	3.5921410700020155	Hebrew
11	first	3.787225096919827	Hebrew
11	later	3.504696476132645	Hebrew
12	first	3.7869069220560796	Hebrew
12	later	3.505446557374238	Hebrew
13	first	3.842836886207159	Hebrew
13	later	3.631283325442361	Hebrew
14	first	3.7822118825833546	Hebrew
14	later	3.5196876389359755	Hebrew
15	first	3.797339905170243	Hebrew
15	later	3.5747868691474274	Hebrew
16	first	3.7775684734425554	Hebrew
16	later	3.510782085671648	Hebrew
17	first	3.7920841003457886	Hebrew
17	later	3.5660191483241577	Hebrew
18	first	3.8026930625509183	Hebrew
18	later	3.5698017723908713	Hebrew
19	first	3.8572354964903384	Hebrew
19	later	3.631830444866195	Hebrew
20	first	3.8398163925245954	Hebrew
20	later	3.6328982160413235	Hebrew
21	first	3.7697226328733535	Hebrew
21	later	3.589784729893967	Hebrew
22	first	3.8741704305241047	Hebrew
22	later	3.622741650372779	Hebrew
23	first	3.8628731406663785	Hebrew
23	later	3.628048933389348	Hebrew
24	first	3.785208215880905	Hebrew
24	later	3.4675903514750583	Hebrew
25	first	3.8661532682778352	Hebrew
25	later	3.635344317929145	Hebrew
26	first	3.7887802308807945	Hebrew
26	later	3.5053438653719176	Hebrew
27	first	3.795679274423682	Hebrew
27	later	3.510344095771047	Hebrew
28	first	3.823614583982564	Hebrew
28	later	3.490724317455474	Hebrew
29	first	3.8039522932202776	Hebrew
29	later	3.5296638606157402	Hebrew
30	first	3.7753474354645586	Hebrew
30	later	3.517515695167652	Hebrew
31	first	3.8575342630307934	Hebrew
31	later	3.631657837928814	Hebrew
32	first	3.7931433587460055	Hebrew
32	later	3.5072489107749023	Hebrew
33	first	3.8279072982006808	Hebrew
33	later	3.6099682452302457	Hebrew
34	first	3.852573611438184	Hebrew
34	later	3.620999341280783	Hebrew
35	first	3.7977025133017723	Hebrew
35	later	3.514211282473455	Hebrew
36	first	3.816505333988972	Hebrew
36	later	3.50495175912826	Hebrew
37	first	3.864458928789588	Hebrew
37	later	3.6260327804872565	Hebrew
38	first	3.815673499431738	Hebrew
38	later	3.5095176507222643	Hebrew
39	first	3.858593821623015	Hebrew
39	later	3.6254554301851623	Hebrew
40	first	3.83087727453706	Hebrew
40	later	3.5099713633626908	Hebrew
41	first	3.885630935095763	Hebrew
41	later	3.6317906115642513	Hebrew
42	first	3.803752176557298	Hebrew
42	later	3.559158053492503	Hebrew
43	first	3.804132029305887	Hebrew
43	later	3.5026203339671906	Hebrew
44	first	3.8701249770077673	Hebrew
44	later	3.62208945640126	Hebrew
45	first	3.853968933813536	Hebrew
45	later	3.6166062986525898	Hebrew
46	first	3.8426710552166297	Hebrew
46	later	3.631850067687403	Hebrew
47	first	3.8151006579342823	Hebrew
47	later	3.569900139641068	Hebrew
48	first	3.8064211069551175	Hebrew
48	later	3.5039803872784905	Hebrew
49	first	3.801537098523123	Hebrew
49	later	3.5123025041414486	Hebrew
50	first	3.7937811258693337	Hebrew
50	later	3.5297277744762963	Hebrew
51	first	3.8007570737578202	Hebrew
51	later	3.5059219382343256	Hebrew
52	first	3.8144438825574416	Hebrew
52	later	3.509381640239173	Hebrew
53	first	3.79756291559515	Hebrew
53	later	3.508089658777458	Hebrew
54	first	3.782072071424787	Hebrew
54	later	3.501992723502575	Hebrew
55	first	3.7734474317322766	Hebrew
55	later	3.4903380747344435	Hebrew
56	first	3.819045135538281	Hebrew
56	later	3.511247481718976	Hebrew
57	first	3.7970958064104767	Hebrew
57	later	3.5185941023875893	Hebrew
58	first	3.7822657008884577	Hebrew
58	later	3.4319284161827124	Hebrew
59	first	3.8509783034815417	Hebrew
59	later	3.628459331702338	Hebrew
60	first	3.770648891415097	Hebrew
60	later	3.5032984832619523	Hebrew
61	first	3.8640400242781814	Hebrew
61	later	3.6264991874886983	Hebrew
62	first	3.8046562534160056	Hebrew
62	later	3.506980937156464	Hebrew
63	first	3.7950434512139934	Hebrew
63	later	3.520459906053772	Hebrew
64	first	3.7877822841964015	Hebrew
64	later	3.517510497896045	Hebrew
65	first	3.8118053716515945	Hebrew
65	later	3.503509380862928	Hebrew
66	first	3.780874090811533	Hebrew
66	later	3.509653420412581	Hebrew
67	first	3.7893797962375753	Hebrew
67	later	3.5071156781487507	Hebrew
68	first	3.804981088789229	Hebrew
68	later	3.5014850783970464	Hebrew
69	first	3.7698684707700325	Hebrew
69	later	3.46382276478975	Hebrew
70	first	3.779960010140293	Hebrew
70	later	3.5690789707019692	Hebrew
71	first	3.791575864221585	Hebrew
71	later	3.509275366441855	Hebrew
72	first	3.7946360220364	Hebrew
72	later	3.5176426533389424	Hebrew
73	first	3.757212555870228	Hebrew
73	later	3.531016534541085	Hebrew
74	first	3.861701657493507	Hebrew
74	later	3.626485655507519	Hebrew
75	first	3.8010357507371517	Hebrew
75	later	3.500659588324407	Hebrew
76	first	3.7724414623296756	Hebrew
76	later	3.508612791484572	Hebrew
77	first	3.840490092319752	Hebrew
77	later	3.632368833528465	Hebrew
78	first	3.787824159631654	Hebrew
78	later	3.4589033568393766	Hebrew
79	first	3.8180295268121336	Hebrew
79	later	3.508681697319452	Hebrew
80	first	3.7986363151377045	Hebrew
80	later	3.5123185419017116	Hebrew
81	first	3.7778635780756393	Hebrew
81	later	3.5141575223968475	Hebrew
82	first	3.8004428175098615	Hebrew
82	later	3.5072127449924784	Hebrew
83	first	3.8146862545211673	Hebrew
83	later	3.510720673526317	Hebrew
84	first	3.817486139198244	Hebrew
84	later	3.504931110691221	Hebrew
85	first	3.7577715630244835	Hebrew
85	later	3.510559813017722	Hebrew
86	first	3.8431799077614555	Hebrew
86	later	3.6203524736468142	Hebrew
87	first	3.8703249976222036	Hebrew
87	later	3.644275467123849	Hebrew
88	first	3.7913160698670976	Hebrew
88	later	3.515709727388859	Hebrew
89	first	3.8602904082407252	Hebrew
89	later	3.634618469610513	Hebrew
90	first	3.7950529622822233	Hebrew
90	later	3.5188978681874716	Hebrew
91	first	3.778568608580082	Hebrew
91	later	3.4190181503649395	Hebrew
92	first	3.7854839395705198	Hebrew
92	later	3.5239493480869797	Hebrew
93	first	3.8112570679619573	Hebrew
93	later	3.51273818582151	Hebrew
94	first	3.8030559809234163	Hebrew
94	later	3.518519754649261	Hebrew
95	first	3.780512754603761	Hebrew
95	later	3.523694604151252	Hebrew
96	first	3.7819066151017187	Hebrew
96	later	3.505286406986056	Hebrew
97	first	3.854294610041654	Hebrew
97	later	3.628934304691878	Hebrew
98	first	3.826123348320716	Hebrew
98	later	3.514731884075375	Hebrew
99	first	3.7916778530728696	Hebrew
99	later	3.509038364227837	Hebrew
100	first	3.768830457720262	Hebrew
100	later	3.5882513115732646	Hebrew
101	first	3.8075863325558723	Hebrew
101	later	3.503723547973369	Hebrew
102	first	3.8075852239201575	Hebrew
102	later	3.528295856980008	Hebrew
103	first	3.797990179570823	Hebrew
103	later	3.510217416045356	Hebrew
104	first	3.792202897426539	Hebrew
104	later	3.500003106854971	Hebrew
105	first	3.789181074833764	Hebrew
105	later	3.5014561613398714	Hebrew
106	first	3.8612452880624923	Hebrew
106	later	3.6204774321206243	Hebrew
