i	position	H	language
1	first	4.1155357339780005	Hungarian
1	later	3.844649685531774	Hungarian
2	first	4.121294784734489	Hungarian
2	later	3.8377109205718978	Hungarian
3	first	4.113296858271228	Hungarian
3	later	3.8464552503426446	Hungarian
4	first	4.1189397802632435	Hungarian
4	later	3.8413100900993404	Hungarian
5	first	4.115278180805471	Hungarian
5	later	3.8404024071746328	Hungarian
6	first	4.112016419775301	Hungarian
6	later	3.84650248249467	Hungarian
7	first	4.086547395695499	Hungarian
7	later	3.831042417656218	Hungarian
8	first	4.105850923277141	Hungarian
8	later	3.843398813138145	Hungarian
9	first	4.078000918583288	Hungarian
9	later	3.831290890887623	Hungarian
10	first	4.1295038554205625	Hungarian
10	later	3.903582032376575	Hungarian
11	first	4.082503861478843	Hungarian
11	later	3.902635890089007	Hungarian
12	first	4.1197598637340915	Hungarian
12	later	3.84186980507728	Hungarian
13	first	4.1167154204470835	Hungarian
13	later	3.835877290098379	Hungarian
14	first	4.111695983869769	Hungarian
14	later	3.8429833942729688	Hungarian
15	first	4.096349307637133	Hungarian
15	later	3.8433712284434165	Hungarian
16	first	4.121780395088822	Hungarian
16	later	3.845526617546869	Hungarian
17	first	4.099352335168053	Hungarian
17	later	3.840292178703889	Hungarian
18	first	4.110993551048559	Hungarian
18	later	3.840754414516171	Hungarian
19	first	4.164184933976229	Hungarian
19	later	3.8950345127734196	Hungarian
20	first	4.1226044122276635	Hungarian
20	later	3.841349159268164	Hungarian
21	first	4.116201735498497	Hungarian
21	later	3.8407569576982024	Hungarian
22	first	4.117405196425739	Hungarian
22	later	3.8453181453479903	Hungarian
23	first	4.1044569250600516	Hungarian
23	later	3.8399242931523814	Hungarian
24	first	4.077482183273342	Hungarian
24	later	3.895060602334531	Hungarian
25	first	4.231555563504205	Hungarian
25	later	3.913314557359405	Hungarian
26	first	4.110223227893053	Hungarian
26	later	3.8448376791541907	Hungarian
27	first	4.105240401394486	Hungarian
27	later	3.8407499957947047	Hungarian
28	first	4.215952549184423	Hungarian
28	later	3.9135076583409063	Hungarian
29	first	4.115034517912862	Hungarian
29	later	3.8430793232098046	Hungarian
30	first	4.113554875209209	Hungarian
30	later	3.843480392131385	Hungarian
31	first	4.105256574499222	Hungarian
31	later	3.8461824095641126	Hungarian
32	first	4.104152995311798	Hungarian
32	later	3.841508005125877	Hungarian
33	first	4.116389318986722	Hungarian
33	later	3.844709798140673	Hungarian
34	first	4.106375269629536	Hungarian
34	later	3.836287853141014	Hungarian
35	first	4.111404069859326	Hungarian
35	later	3.8426356271829576	Hungarian
36	first	4.086674901245227	Hungarian
36	later	3.838852935815218	Hungarian
37	first	4.0909051578347535	Hungarian
37	later	3.8999404579206334	Hungarian
38	first	4.118801276342109	Hungarian
38	later	3.842077253010447	Hungarian
39	first	4.1143615285338155	Hungarian
39	later	3.8375653107797816	Hungarian
40	first	4.111239513895539	Hungarian
40	later	3.8445689005529866	Hungarian
