i	position	H	language
1	first	3.650870051286569	Italian
1	later	3.5903888597470677	Italian
2	first	3.641821099694983	Italian
2	later	3.5972000467764427	Italian
3	first	3.648995657824655	Italian
3	later	3.5873191892734	Italian
4	first	3.6465816609912363	Italian
4	later	3.5952458127269686	Italian
5	first	3.650260800645954	Italian
5	later	3.5932070742158464	Italian
6	first	3.7408998523062604	Italian
6	later	3.62208116375213	Italian
7	first	3.7453456597364516	Italian
7	later	3.630617999280753	Italian
8	first	3.636182551850297	Italian
8	later	3.591949635438863	Italian
9	first	3.6875145388715245	Italian
9	later	3.5857125914939885	Italian
10	first	3.6613301208042217	Italian
10	later	3.59045635543399	Italian
11	first	3.655685918589851	Italian
11	later	3.589873689955414	Italian
12	first	3.6549517601426187	Italian
12	later	3.5921695144506898	Italian
13	first	3.633449267023745	Italian
13	later	3.5936611763989132	Italian
14	first	3.771082670501416	Italian
14	later	3.6061428628010646	Italian
15	first	3.6663475123844114	Italian
15	later	3.6299184234268305	Italian
16	first	3.768096171437301	Italian
16	later	3.6266595805931994	Italian
17	first	3.7628525639477	Italian
17	later	3.6279960125949136	Italian
18	first	3.6327189446171375	Italian
18	later	3.5959328219369513	Italian
19	first	3.661295443704167	Italian
19	later	3.5974323142488602	Italian
20	first	3.6803781720203013	Italian
20	later	3.6253614473966094	Italian
21	first	3.6671767475016193	Italian
21	later	3.5933721603273723	Italian
22	first	3.6439451398872027	Italian
22	later	3.591520501322523	Italian
23	first	3.645795642251044	Italian
23	later	3.597990776192305	Italian
24	first	3.676458167124265	Italian
24	later	3.5892173261301563	Italian
25	first	3.704074011188225	Italian
25	later	3.62400871061157	Italian
26	first	3.773686519221034	Italian
26	later	3.6124881397277164	Italian
27	first	3.646476321818113	Italian
27	later	3.591542697599011	Italian
28	first	3.669345686207122	Italian
28	later	3.589845111207215	Italian
29	first	3.6655902281049513	Italian
29	later	3.5875385935584276	Italian
30	first	3.6499443108004708	Italian
30	later	3.5908861414640008	Italian
31	first	3.752251981314221	Italian
31	later	3.6033285128291124	Italian
32	first	3.6222872301092597	Italian
32	later	3.59135990473944	Italian
33	first	3.7709582233611885	Italian
33	later	3.6270293543711123	Italian
34	first	3.6596312824156882	Italian
34	later	3.5932622105287564	Italian
35	first	3.7475673680089128	Italian
35	later	3.6088824424023196	Italian
36	first	3.626560329515727	Italian
36	later	3.59231816776704	Italian
37	first	3.7463430909403237	Italian
37	later	3.634438539693667	Italian
38	first	3.6559138806606786	Italian
38	later	3.59126997248829	Italian
39	first	3.6454779498269128	Italian
39	later	3.5892073541200222	Italian
40	first	3.6590343201363487	Italian
40	later	3.5901728415309484	Italian
41	first	3.6950194231265328	Italian
41	later	3.631368768651065	Italian
42	first	3.6493783885975213	Italian
42	later	3.600195065080876	Italian
43	first	3.723684102086747	Italian
43	later	3.6284169588291517	Italian
44	first	3.752393048181969	Italian
44	later	3.606326356752202	Italian
45	first	3.730606100636043	Italian
45	later	3.625807491555575	Italian
46	first	3.6444999716055766	Italian
46	later	3.6300240762344687	Italian
47	first	3.723719169350873	Italian
47	later	3.634164459166078	Italian
48	first	3.710591934188598	Italian
48	later	3.6274386633897	Italian
49	first	3.6410752140006912	Italian
49	later	3.5956603570312313	Italian
50	first	3.6482978706492175	Italian
50	later	3.5945385477269656	Italian
51	first	3.665430526774779	Italian
51	later	3.5933963351549294	Italian
52	first	3.7537953410968408	Italian
52	later	3.630367376631442	Italian
53	first	3.624322470969779	Italian
53	later	3.6021964077472854	Italian
54	first	3.652499593195382	Italian
54	later	3.5892365513248374	Italian
55	first	3.6449293860309253	Italian
55	later	3.635907562516341	Italian
56	first	3.7680634618561686	Italian
56	later	3.6088771192130444	Italian
57	first	3.7184022118031606	Italian
57	later	3.6234965839741884	Italian
58	first	3.653085868782777	Italian
58	later	3.5947654287662427	Italian
59	first	3.7043524650336686	Italian
59	later	3.6328139475533487	Italian
60	first	3.6644503916214766	Italian
60	later	3.593345592165163	Italian
61	first	3.688138517277125	Italian
61	later	3.6303668541033423	Italian
62	first	3.6330640957084155	Italian
62	later	3.5876493695605833	Italian
63	first	3.75644615488271	Italian
63	later	3.6251816601752638	Italian
64	first	3.6470585955156998	Italian
64	later	3.5950975168166233	Italian
65	first	3.760555661581451	Italian
65	later	3.626062232777735	Italian
66	first	3.657065670164319	Italian
66	later	3.597697785243655	Italian
67	first	3.6428003787183023	Italian
67	later	3.5898336586882214	Italian
68	first	3.7428223352054246	Italian
68	later	3.6027403942937486	Italian
69	first	3.653076165662495	Italian
69	later	3.6003241403474133	Italian
70	first	3.7647121408578337	Italian
70	later	3.6349179481414917	Italian
71	first	3.6297785060533365	Italian
71	later	3.5898754574742124	Italian
72	first	3.6409241329673856	Italian
72	later	3.5941042909116896	Italian
73	first	3.758990716549604	Italian
73	later	3.626443350414743	Italian
74	first	3.647009657645442	Italian
74	later	3.5893762325918668	Italian
75	first	3.6335830774955324	Italian
75	later	3.5942069741629834	Italian
76	first	3.715382143781832	Italian
76	later	3.633258850044084	Italian
77	first	3.635812951692816	Italian
77	later	3.591940337736678	Italian
78	first	3.6451911495255973	Italian
78	later	3.585684051915718	Italian
79	first	3.6695877038863745	Italian
79	later	3.597963669823365	Italian
80	first	3.652668086020723	Italian
80	later	3.5919282441269798	Italian
81	first	3.654281800023874	Italian
81	later	3.5925224291357036	Italian
82	first	3.768001191297045	Italian
82	later	3.6081752723928684	Italian
83	first	3.759883812387536	Italian
83	later	3.630986311940332	Italian
84	first	3.6422372344378373	Italian
84	later	3.5969539611235204	Italian
85	first	3.6326313484647406	Italian
85	later	3.5961743784143594	Italian
86	first	3.6709412908905716	Italian
86	later	3.586650160912663	Italian
87	first	3.643061522572543	Italian
87	later	3.636188447584933	Italian
88	first	3.774628832877962	Italian
88	later	3.609623255977965	Italian
89	first	3.6530323395902604	Italian
89	later	3.593510650594974	Italian
90	first	3.7370749673018278	Italian
90	later	3.6222197785892316	Italian
91	first	3.6503500034658924	Italian
91	later	3.591240373752192	Italian
92	first	3.6555805018686174	Italian
92	later	3.5935208436655204	Italian
93	first	3.776535326372494	Italian
93	later	3.6401952137959577	Italian
94	first	3.7567520782473833	Italian
94	later	3.6069995812020004	Italian
95	first	3.7426639343158987	Italian
95	later	3.633782835879424	Italian
96	first	3.608145727619391	Italian
96	later	3.6024693286738847	Italian
97	first	3.6487811364606904	Italian
97	later	3.587923366028043	Italian
98	first	3.650849802723945	Italian
98	later	3.592821415620865	Italian
99	first	3.7002891721090054	Italian
99	later	3.615452421511426	Italian
100	first	3.766530892654721	Italian
100	later	3.6476070653084207	Italian
101	first	3.6491437940788054	Italian
101	later	3.593031657852665	Italian
102	first	3.6100871394427747	Italian
102	later	3.5303120241681185	Italian
103	first	3.7573642420228786	Italian
103	later	3.6037961971615173	Italian
104	first	3.66658909460412	Italian
104	later	3.5910555842800007	Italian
105	first	3.7769269266330574	Italian
105	later	3.613740498596353	Italian
106	first	3.6545440542051133	Italian
106	later	3.5961861279801157	Italian
107	first	3.661017539408297	Italian
107	later	3.5884452756816505	Italian
108	first	3.6198583772386077	Italian
108	later	3.5940355187723636	Italian
109	first	3.6502347975056297	Italian
109	later	3.593909177867146	Italian
110	first	3.7444214123975534	Italian
110	later	3.604851070651998	Italian
111	first	3.676228699669213	Italian
111	later	3.592319956146737	Italian
112	first	3.7040941948639863	Italian
112	later	3.628128380549842	Italian
113	first	3.591943514119822	Italian
113	later	3.5982567186801413	Italian
114	first	3.8867904052984015	Italian
114	later	3.622669209970256	Italian
115	first	3.7443473796980746	Italian
115	later	3.631546975688161	Italian
116	first	3.636088195366472	Italian
116	later	3.5927072774574413	Italian
117	first	3.6593916012044856	Italian
117	later	3.591829439139852	Italian
118	first	3.6398312187288986	Italian
118	later	3.597467145272678	Italian
119	first	3.7631784130581987	Italian
119	later	3.6074074720457117	Italian
120	first	3.62739392844372	Italian
120	later	3.5878732629053958	Italian
121	first	3.669966335502153	Italian
121	later	3.593418918429791	Italian
122	first	3.7367166423064955	Italian
122	later	3.6099801426647162	Italian
123	first	3.7716291972492058	Italian
123	later	3.6119268299680574	Italian
124	first	3.6514651854856597	Italian
124	later	3.595970087484189	Italian
125	first	3.6838106578771344	Italian
125	later	3.6373724100466616	Italian
126	first	3.6552842044967684	Italian
126	later	3.590509962589739	Italian
127	first	3.7603719226728862	Italian
127	later	3.6034312209056854	Italian
128	first	3.64914230971472	Italian
128	later	3.5917566870750277	Italian
129	first	3.6529757695246783	Italian
129	later	3.589256302880195	Italian
130	first	3.6470671176521448	Italian
130	later	3.595674647887322	Italian
131	first	3.651650732521584	Italian
131	later	3.5972083095782907	Italian
132	first	3.6600559979355687	Italian
132	later	3.58951098372159	Italian
133	first	3.7181001345642866	Italian
133	later	3.617738228899018	Italian
134	first	3.636820390164328	Italian
134	later	3.5925350838640013	Italian
135	first	3.7702363832077816	Italian
135	later	3.627234678934706	Italian
136	first	3.6606501333902557	Italian
136	later	3.5971230391878213	Italian
137	first	3.6576591631955395	Italian
137	later	3.590516463065328	Italian
138	first	3.6644823150911185	Italian
138	later	3.590339328474047	Italian
139	first	3.750306134053808	Italian
139	later	3.605514845365668	Italian
140	first	3.6591358481682197	Italian
140	later	3.5861755639604858	Italian
141	first	3.6443790517232038	Italian
141	later	3.593396765427544	Italian
142	first	3.624850559903073	Italian
142	later	3.602973255933095	Italian
143	first	3.7417804608601797	Italian
143	later	3.626155894527268	Italian
144	first	3.6581140994994756	Italian
144	later	3.600539957887154	Italian
145	first	3.661438943519995	Italian
145	later	3.5950414000035806	Italian
146	first	3.6226123766146947	Italian
146	later	3.594371032325442	Italian
147	first	3.6341488362271424	Italian
147	later	3.5914344752814173	Italian
148	first	3.649760588472489	Italian
148	later	3.58950556140334	Italian
149	first	3.7124725804481025	Italian
149	later	3.6198406051813374	Italian
150	first	3.646255481973763	Italian
150	later	3.5857728242304425	Italian
151	first	3.6324596449432454	Italian
151	later	3.5931075984691256	Italian
152	first	3.5950434785878582	Italian
152	later	3.6011240538461204	Italian
153	first	3.649570758109242	Italian
153	later	3.591585103062252	Italian
154	first	3.661253772987712	Italian
154	later	3.5870040285484284	Italian
155	first	3.642946930217034	Italian
155	later	3.5912435906677014	Italian
156	first	3.6516722977169316	Italian
156	later	3.593242789380989	Italian
157	first	3.6500403196934124	Italian
157	later	3.591512330418667	Italian
158	first	3.7490755888186778	Italian
158	later	3.6314772786443617	Italian
159	first	3.651493222283188	Italian
159	later	3.5904302543685196	Italian
160	first	3.778541887728941	Italian
160	later	3.614150862443165	Italian
161	first	3.652878839898635	Italian
161	later	3.6000603713502874	Italian
162	first	3.6266783443658834	Italian
162	later	3.597901116328135	Italian
163	first	3.7653477308203196	Italian
163	later	3.6362703353028962	Italian
164	first	3.7019791210640354	Italian
164	later	3.6206502301585943	Italian
165	first	3.6825339014475778	Italian
165	later	3.627924480844453	Italian
166	first	3.6537999146341247	Italian
166	later	3.5926768619902427	Italian
167	first	3.7462658600528513	Italian
167	later	3.620736873656163	Italian
168	first	3.6472384235678716	Italian
168	later	3.595631210708254	Italian
169	first	3.729361552418907	Italian
169	later	3.6262631559291827	Italian
170	first	3.634194895718969	Italian
170	later	3.595311608201631	Italian
171	first	3.665508408759889	Italian
171	later	3.5930829820186525	Italian
172	first	3.6578165255514365	Italian
172	later	3.587260188537053	Italian
173	first	3.7619861293594816	Italian
173	later	3.6292779415913645	Italian
174	first	3.6395817777510793	Italian
174	later	3.5903014760753296	Italian
175	first	3.648662043653672	Italian
175	later	3.5959830787640983	Italian
176	first	3.6475255529342863	Italian
176	later	3.595347009594836	Italian
177	first	3.625731511357376	Italian
177	later	3.5943204649573657	Italian
178	first	3.6437883544372975	Italian
178	later	3.594931721378492	Italian
179	first	3.634602878081147	Italian
179	later	3.5855710594965493	Italian
180	first	3.7655100553566947	Italian
180	later	3.6033842905600153	Italian
181	first	3.7418088916543737	Italian
181	later	3.632984804039233	Italian
182	first	3.6538923686252804	Italian
182	later	3.5912575096565016	Italian
183	first	3.642012294364341	Italian
183	later	3.5950024168410453	Italian
184	first	3.677416919903804	Italian
184	later	3.6346012010998154	Italian
185	first	3.626947616031829	Italian
185	later	3.597092302588271	Italian
186	first	3.7564540915225417	Italian
186	later	3.6284218714196497	Italian
187	first	3.6502636946526903	Italian
187	later	3.5888915367295073	Italian
