i	position	H	language
1	first	3.8371537169496053	Japanese
1	later	3.266975495969895	Japanese
2	first	3.7799842981329888	Japanese
2	later	3.2353953694159636	Japanese
3	first	3.7492973142486044	Japanese
3	later	3.218603900311671	Japanese
4	first	3.741715629100647	Japanese
4	later	3.091143410590765	Japanese
5	first	3.694327597251525	Japanese
5	later	3.0679392195571027	Japanese
6	first	3.807055316642864	Japanese
6	later	3.227572183137157	Japanese
7	first	3.7254357549136765	Japanese
7	later	3.0965532927976276	Japanese
8	first	3.7453588027179534	Japanese
8	later	3.2080628536431735	Japanese
9	first	3.755863711802195	Japanese
9	later	3.1168103759515735	Japanese
10	first	3.7853275071595025	Japanese
10	later	3.2552539793053357	Japanese
11	first	3.7229215536821108	Japanese
11	later	3.225908188946496	Japanese
12	first	3.7373452401547853	Japanese
12	later	3.2035547781941145	Japanese
13	first	3.7705548679401084	Japanese
13	later	3.244457587506511	Japanese
14	first	3.843504965699631	Japanese
14	later	3.2440556491570285	Japanese
15	first	3.7045016384279537	Japanese
15	later	3.194437197379018	Japanese
16	first	3.7163140848379537	Japanese
16	later	3.220888685907682	Japanese
17	first	3.789139215493214	Japanese
17	later	3.219429860115168	Japanese
18	first	3.707261980783731	Japanese
18	later	3.174126677630478	Japanese
19	first	3.7995485166525036	Japanese
19	later	3.088568186791187	Japanese
20	first	3.8185618825271694	Japanese
20	later	3.2133998631951073	Japanese
21	first	3.744224581315994	Japanese
21	later	3.101048251255115	Japanese
22	first	3.7859418181675655	Japanese
22	later	3.118728757859634	Japanese
23	first	3.850791428965645	Japanese
23	later	3.2402450568727814	Japanese
24	first	3.6741013838520895	Japanese
24	later	3.1325792145482745	Japanese
25	first	3.722178992348322	Japanese
25	later	3.1071423009630332	Japanese
26	first	3.737192790268811	Japanese
26	later	3.1930490688210695	Japanese
27	first	3.7430800246107316	Japanese
27	later	3.120798505107148	Japanese
28	first	3.7445759244805226	Japanese
28	later	3.216319828772444	Japanese
29	first	3.670860648080588	Japanese
29	later	3.0735427053597277	Japanese
30	first	3.6595743775655576	Japanese
30	later	3.0908801310039014	Japanese
31	first	3.699271700674598	Japanese
31	later	3.048862905827872	Japanese
32	first	3.745029508282938	Japanese
32	later	3.214464714658248	Japanese
33	first	3.7890542715734177	Japanese
33	later	3.2139713321846712	Japanese
34	first	3.7508037494530946	Japanese
34	later	3.2281312091443817	Japanese
35	first	3.6882554708025905	Japanese
35	later	3.1096617723434394	Japanese
36	first	3.8378039415637053	Japanese
36	later	3.2561739401076606	Japanese
37	first	3.7254877521780094	Japanese
37	later	3.258734306326251	Japanese
38	first	3.8083068568894345	Japanese
38	later	3.0855899574070493	Japanese
39	first	3.734333950285674	Japanese
39	later	3.2326276011514414	Japanese
40	first	3.6883447208642886	Japanese
40	later	3.2434870315064095	Japanese
41	first	3.740901558175127	Japanese
41	later	3.2322037639003054	Japanese
42	first	3.7218702571285585	Japanese
42	later	3.226093442869776	Japanese
43	first	3.7359832334107863	Japanese
43	later	3.2005790231184177	Japanese
44	first	3.789868583450599	Japanese
44	later	3.2199549812994666	Japanese
45	first	3.7230163356412325	Japanese
45	later	3.215972004255075	Japanese
46	first	3.821660831242649	Japanese
46	later	3.2525101543112065	Japanese
47	first	3.7187685564827033	Japanese
47	later	3.2184389062601055	Japanese
48	first	3.741246144211532	Japanese
48	later	3.211196649574626	Japanese
49	first	3.8114646503063914	Japanese
49	later	3.1799514725275064	Japanese
50	first	3.739906437197838	Japanese
50	later	3.2337528081055535	Japanese
51	first	3.8069163699869937	Japanese
51	later	3.2184138543815677	Japanese
52	first	3.7596649882600572	Japanese
52	later	3.2293157723306605	Japanese
53	first	3.805690681258375	Japanese
