i	position	H	language
1	first	3.4277826909629723	Kaqchikel
1	later	3.1885708600944884	Kaqchikel
2	first	3.4545286206559442	Kaqchikel
2	later	3.244876494462711	Kaqchikel
3	first	3.466405912576192	Kaqchikel
3	later	3.256701429974932	Kaqchikel
4	first	3.5224473365073092	Kaqchikel
4	later	3.336055183250435	Kaqchikel
5	first	3.5369493875069518	Kaqchikel
5	later	3.386383667356938	Kaqchikel
6	first	3.4987036418127526	Kaqchikel
6	later	3.3755397364411306	Kaqchikel
7	first	3.5386533778920826	Kaqchikel
7	later	3.374184395659652	Kaqchikel
8	first	3.6083842198138876	Kaqchikel
8	later	3.4211969982094206	Kaqchikel
9	first	3.5282486559730692	Kaqchikel
9	later	3.503644988875762	Kaqchikel
10	first	3.5181425652447618	Kaqchikel
10	later	3.46844942358566	Kaqchikel
11	first	3.4782122052292994	Kaqchikel
11	later	3.3460073634356626	Kaqchikel
12	first	3.5236472925857694	Kaqchikel
12	later	3.362423025061782	Kaqchikel
13	first	3.855694885348536	Kaqchikel
13	later	3.495247199229202	Kaqchikel
14	first	3.6044380692397624	Kaqchikel
14	later	3.340430774962034	Kaqchikel
15	first	3.845634855036745	Kaqchikel
15	later	3.5574002965353126	Kaqchikel
16	first	3.548082879438615	Kaqchikel
16	later	3.3662877007307475	Kaqchikel
17	first	3.511921889811517	Kaqchikel
17	later	3.3440043180696555	Kaqchikel
18	first	3.5500649407132125	Kaqchikel
18	later	3.3429178582756243	Kaqchikel
19	first	3.5441472958625737	Kaqchikel
19	later	3.2715327582927722	Kaqchikel
20	first	3.4713085370898504	Kaqchikel
20	later	3.228456550339169	Kaqchikel
21	first	3.83740285979478	Kaqchikel
21	later	3.567324308462073	Kaqchikel
22	first	3.540211237810249	Kaqchikel
22	later	3.2963527721879555	Kaqchikel
23	first	3.391879393340863	Kaqchikel
23	later	3.1983139543083423	Kaqchikel
24	first	3.536894639870319	Kaqchikel
24	later	3.3634365140037907	Kaqchikel
25	first	3.544649951603756	Kaqchikel
25	later	3.3742540919402453	Kaqchikel
26	first	3.4951676418101614	Kaqchikel
26	later	3.3646774404397584	Kaqchikel
27	first	3.517233476856347	Kaqchikel
27	later	3.3528132992240294	Kaqchikel
