i	position	H	language
1	first	3.278924268874992	Korean
1	later	2.312029316059929	Korean
2	first	3.2845709838977086	Korean
2	later	2.282877108468701	Korean
3	first	3.278346641222253	Korean
3	later	2.302838568376022	Korean
4	first	3.2686166282400593	Korean
4	later	2.2934453511476005	Korean
5	first	3.288700261181206	Korean
5	later	2.301741648374381	Korean
6	first	3.2960618058470783	Korean
6	later	2.292206997127932	Korean
7	first	3.2604805947186035	Korean
7	later	2.2799905385806576	Korean
8	first	3.2739853419772253	Korean
8	later	2.283783078722245	Korean
9	first	3.2712937840865446	Korean
9	later	2.297094223984462	Korean
10	first	3.283012088527401	Korean
10	later	2.2927211944741717	Korean
11	first	3.286996934706254	Korean
11	later	2.2877299934834356	Korean
12	first	3.270985966067957	Korean
12	later	2.2869977765752454	Korean
13	first	3.2733814013119504	Korean
13	later	2.292973458769363	Korean
14	first	3.27091234410004	Korean
14	later	2.278763000652742	Korean
15	first	3.280841914426804	Korean
15	later	2.3012321029231506	Korean
16	first	3.281298967530525	Korean
16	later	2.2883553750103443	Korean
17	first	3.2810234800617217	Korean
17	later	2.2864770303025415	Korean
18	first	3.2621185722229598	Korean
18	later	2.30204135371699	Korean
19	first	3.2753525989608434	Korean
19	later	2.2920589650206304	Korean
20	first	3.2874260283014167	Korean
20	later	2.27801484042374	Korean
21	first	3.2580222928118174	Korean
21	later	2.28978990690587	Korean
22	first	3.283520404168934	Korean
22	later	2.2851013429307647	Korean
23	first	3.286185130603226	Korean
23	later	2.3112011298982926	Korean
24	first	3.2742816215341692	Korean
24	later	2.266920656987479	Korean
25	first	3.275383605957412	Korean
25	later	2.2940747896646547	Korean
26	first	3.2969752182776455	Korean
26	later	2.2929904276573483	Korean
27	first	3.267376852260436	Korean
27	later	2.283437865129101	Korean
28	first	3.269773621432624	Korean
28	later	2.3140682116350577	Korean
29	first	3.2750931408127575	Korean
29	later	2.30485709662668	Korean
30	first	3.260675262237812	Korean
30	later	2.2906051201421516	Korean
31	first	3.2723772511414504	Korean
31	later	2.2923526473682667	Korean
32	first	3.2820283978444067	Korean
32	later	2.3136864736169067	Korean
33	first	3.2890335992416952	Korean
33	later	2.324141805887046	Korean
34	first	3.2714619232042956	Korean
34	later	2.2926064715891323	Korean
35	first	3.2703313541809083	Korean
35	later	2.284891874086081	Korean
36	first	3.2570065391721066	Korean
36	later	2.2997564093747607	Korean
37	first	3.2846844901685905	Korean
37	later	2.2995604892900845	Korean
38	first	3.278928481114199	Korean
38	later	2.3056272196157215	Korean
39	first	3.281679549682943	Korean
39	later	2.28330420556787	Korean
40	first	3.2991466496515414	Korean
40	later	2.2848673623636575	Korean
41	first	3.284699450785335	Korean
41	later	2.308458315516795	Korean
42	first	3.279357893066034	Korean
42	later	2.291749036809202	Korean
43	first	3.273979268636444	Korean
43	later	2.2898006709651413	Korean
44	first	3.2650361858091155	Korean
44	later	2.2881473432145896	Korean
45	first	3.2787824925836544	Korean
45	later	2.2844385864283647	Korean
46	first	3.265183401489706	Korean
46	later	2.301501355250499	Korean
47	first	3.2607729036621182	Korean
47	later	2.2916629753504707	Korean
48	first	3.2801703620805194	Korean
48	later	2.307601581431447	Korean
49	first	3.290511752320041	Korean
49	later	2.294762131179539	Korean
50	first	3.269480258975252	Korean
50	later	2.303644483329447	Korean
51	first	3.279091636782106	Korean
51	later	2.2832210337015795	Korean
52	first	3.2743711384242418	Korean
52	later	2.2927687259637923	Korean
53	first	3.28807923289199	Korean
53	later	2.3068160007409952	Korean
54	first	3.2779988406202194	Korean
54	later	2.2965878584632127	Korean
55	first	3.2737426725941576	Korean
55	later	2.2840875271487757	Korean
56	first	3.2676925351895325	Korean
56	later	2.292862550038501	Korean
57	first	3.2868729257051053	Korean
57	later	2.3101102643506892	Korean
58	first	3.265094766665727	Korean
58	later	2.2963297667323834	Korean
59	first	3.271517765203184	Korean
59	later	2.3090615775172867	Korean
60	first	3.2738060823371535	Korean
60	later	2.288581641482719	Korean
61	first	3.265302188749732	Korean
61	later	2.3104448368921577	Korean
62	first	3.2729452096572493	Korean
62	later	2.2918561407945948	Korean
63	first	3.2749093037170374	Korean
63	later	2.2963695667736594	Korean
64	first	3.2668338731777244	Korean
64	later	2.292764635530438	Korean
65	first	3.2763406458564392	Korean
65	later	2.2953673421425345	Korean
66	first	3.2962662497934847	Korean
66	later	2.2894898871912543	Korean
67	first	3.2613597644187537	Korean
67	later	2.2911285691516206	Korean
68	first	3.294652688476604	Korean
68	later	2.312820559322719	Korean
69	first	3.2633532202820543	Korean
69	later	2.2708345434763038	Korean
70	first	3.2669613040399708	Korean
70	later	2.298479281777331	Korean
71	first	3.2726857441353934	Korean
71	later	2.2904239554570314	Korean
72	first	3.2721274433275793	Korean
72	later	2.294816286439216	Korean
73	first	3.2856731301032953	Korean
73	later	2.3057212975036125	Korean
74	first	3.2774399618479966	Korean
74	later	2.2807806394897914	Korean
75	first	3.2818515904593237	Korean
75	later	2.3049101199370305	Korean
76	first	3.289097149489299	Korean
76	later	2.3017926958061943	Korean
