i	position	H	language
1	first	3.5079520469978935	Malay
1	later	3.118512770781691	Malay
2	first	3.4882470239130963	Malay
2	later	3.1078478057164745	Malay
3	first	3.5342096118604513	Malay
3	later	3.1059361170145623	Malay
4	first	3.5315605919555395	Malay
4	later	3.111173913243052	Malay
5	first	3.5300697312715417	Malay
5	later	3.1119441308219806	Malay
6	first	3.5190455300144685	Malay
6	later	3.1212489143538447	Malay
7	first	3.5172497642912948	Malay
7	later	3.1156602696449305	Malay
8	first	3.5192991241237914	Malay
8	later	3.102832234750406	Malay
9	first	3.498321312087932	Malay
9	later	3.104715599265655	Malay
10	first	3.522002860993639	Malay
10	later	3.100158237501461	Malay
11	first	3.521578911848787	Malay
11	later	3.1120948039874485	Malay
12	first	3.546654293650924	Malay
12	later	3.1167341370712767	Malay
13	first	3.524260678608941	Malay
13	later	3.114993971450525	Malay
14	first	3.5202172645514223	Malay
14	later	3.131201635255034	Malay
15	first	3.5363287565094215	Malay
15	later	3.101929587846078	Malay
16	first	3.4753693322187744	Malay
16	later	2.9282600318463445	Malay
17	first	3.5226173395332365	Malay
17	later	3.111131611485413	Malay
18	first	3.5484326155147943	Malay
18	later	3.114516823629239	Malay
19	first	3.528474100758299	Malay
19	later	3.097978733897304	Malay
20	first	3.5143171261645287	Malay
20	later	3.1395903088203645	Malay
21	first	3.531576253550188	Malay
21	later	3.11902248091009	Malay
22	first	3.5248217443130563	Malay
22	later	3.1034311897830835	Malay
23	first	3.529899034775274	Malay
23	later	3.103683031016879	Malay
24	first	3.5197509574215644	Malay
24	later	3.124828194635701	Malay
25	first	3.534306963722707	Malay
25	later	3.114521089239574	Malay
26	first	3.4930078978156733	Malay
26	later	3.1191906667251086	Malay
27	first	3.5181957364860805	Malay
27	later	3.1148627889730376	Malay
28	first	3.4713811366692293	Malay
28	later	2.9206801560455067	Malay
29	first	3.5128217520355256	Malay
29	later	3.1230787155795077	Malay
30	first	3.5298089277665037	Malay
30	later	3.1126345867346306	Malay
31	first	3.5228078355918857	Malay
31	later	3.0994305760623306	Malay
32	first	3.525748281705757	Malay
32	later	3.114668138334629	Malay
33	first	3.5543274545924133	Malay
33	later	3.1293474310175715	Malay
34	first	3.550318568466696	Malay
34	later	3.1296844616891946	Malay
35	first	3.519954253086679	Malay
35	later	3.1191434740413926	Malay
36	first	3.5103256211150855	Malay
36	later	3.133739504148232	Malay
37	first	3.531986898527329	Malay
37	later	3.109436082397731	Malay
38	first	3.533004610040589	Malay
38	later	3.0815457472554564	Malay
39	first	3.4589260635306602	Malay
39	later	2.921191995081413	Malay
40	first	3.521495941836391	Malay
40	later	3.118746884392163	Malay
41	first	3.5202605744865427	Malay
41	later	3.114731076255295	Malay
42	first	3.5295508355808223	Malay
42	later	3.0950556559100453	Malay
43	first	3.429179421310269	Malay
43	later	2.931755748556212	Malay
44	first	3.5267938358195794	Malay
44	later	3.1186797829210504	Malay
45	first	3.5302028269428036	Malay
45	later	3.101798391171297	Malay
46	first	3.4547597224866036	Malay
46	later	2.917810824314859	Malay
47	first	3.4476991963161123	Malay
47	later	2.9190908295502873	Malay
48	first	3.501320968885669	Malay
48	later	3.113541855876467	Malay
49	first	3.5253898311065965	Malay
49	later	3.1175613635470985	Malay
50	first	3.5273908663308675	Malay
50	later	3.107674719055361	Malay
51	first	3.47781248289965	Malay
51	later	3.1083999569977707	Malay
52	first	3.4206686399399424	Malay
52	later	2.920139922869913	Malay
53	first	3.513993440968123	Malay
53	later	3.074694088408584	Malay
54	first	3.5016788313796585	Malay
54	later	3.1125440593335276	Malay
55	first	3.499402868884934	Malay
55	later	3.1137650270331805	Malay
56	first	3.4974406789308254	Malay
56	later	3.0992252397587046	Malay
57	first	3.5240003744818416	Malay
57	later	3.092137474309575	Malay
58	first	3.52552173387563	Malay
58	later	3.1186830909288106	Malay
59	first	3.5142136880976254	Malay
59	later	3.1060656344992323	Malay
60	first	3.5245083469174965	Malay
60	later	3.0958012000519433	Malay
61	first	3.5064204963551786	Malay
61	later	3.1243297665388163	Malay
62	first	3.5062983140451434	Malay
62	later	3.1287212769533257	Malay
63	first	3.511542261434655	Malay
63	later	3.123167321440813	Malay
64	first	3.5106201159936474	Malay
64	later	3.103872378673079	Malay
65	first	3.5290677705163436	Malay
65	later	3.1109433415547953	Malay
66	first	3.526468663875053	Malay
66	later	3.0990717963663585	Malay
67	first	3.511837813492011	Malay
67	later	3.1036499376401916	Malay
68	first	3.5156094757481724	Malay
68	later	3.087487246517005	Malay
69	first	3.471867495218421	Malay
69	later	3.124679258743538	Malay
70	first	3.5170442436875873	Malay
70	later	3.097798904009763	Malay
71	first	3.530227210591731	Malay
71	later	3.1069261037618014	Malay
72	first	3.5259546797707064	Malay
72	later	3.117307199902794	Malay
73	first	3.5082096489485406	Malay
73	later	3.104088998189704	Malay
74	first	3.5197497888372777	Malay
74	later	3.116906527344748	Malay
75	first	3.526066169037834	Malay
75	later	3.1334254675009787	Malay
76	first	3.5318052587131614	Malay
76	later	3.1094638765075513	Malay
77	first	3.5207099772060353	Malay
77	later	3.1095215991003298	Malay
78	first	3.5199130571283836	Malay
78	later	3.1195961625565323	Malay
79	first	3.4389100646269948	Malay
79	later	2.9233033715872434	Malay
80	first	3.50882558859459	Malay
80	later	3.109622882017541	Malay
81	first	3.5343946652626617	Malay
81	later	3.1055545544133962	Malay
82	first	3.523452511869964	Malay
82	later	3.110814481720522	Malay
83	first	3.527477759945589	Malay
83	later	3.1065110721739693	Malay
84	first	3.444246039243493	Malay
84	later	2.9233951583630273	Malay
85	first	3.5234317575895187	Malay
85	later	3.1135513489547435	Malay
86	first	3.55061829822888	Malay
86	later	3.1139244924092013	Malay
87	first	3.525421962301132	Malay
87	later	3.107407902284354	Malay
88	first	3.524668199546152	Malay
88	later	3.108914160589156	Malay
89	first	3.5271034305590048	Malay
89	later	3.1430576705589734	Malay
90	first	3.447336164301086	Malay
90	later	2.9086479493810904	Malay
91	first	3.538223696054689	Malay
91	later	3.118337408705125	Malay
92	first	3.5109062487974207	Malay
92	later	3.1042133569718855	Malay
93	first	3.5250733598498805	Malay
93	later	3.1169452798379575	Malay
94	first	3.5232978346779853	Malay
94	later	3.109201958016598	Malay
95	first	3.45680569030453	Malay
95	later	2.9270336034424096	Malay
96	first	3.531271209649145	Malay
96	later	3.104917591094622	Malay
97	first	3.528941173371842	Malay
97	later	3.1126479198761783	Malay
98	first	3.5152350836328203	Malay
98	later	3.107466198819167	Malay
99	first	3.5081877856838726	Malay
99	later	3.108342724444799	Malay
100	first	3.512249073145295	Malay
100	later	3.1151669184360453	Malay
101	first	3.523742087548314	Malay
101	later	3.1139350644489676	Malay
102	first	3.5176238754212337	Malay
102	later	3.10676071899221	Malay
103	first	3.517897542342123	Malay
103	later	3.1119637712843096	Malay
104	first	3.537199979714653	Malay
104	later	3.1181865903555317	Malay
105	first	3.4347063442912065	Malay
105	later	2.921738969364136	Malay
106	first	3.5355729684785078	Malay
106	later	3.115548217247818	Malay
107	first	3.520018306451176	Malay
107	later	3.126335584173558	Malay
108	first	3.518781982818453	Malay
108	later	3.114127382770944	Malay
109	first	3.542404462808177	Malay
109	later	3.0884129040982247	Malay
110	first	3.532204006473047	Malay
110	later	3.106033442425445	Malay
111	first	3.44733105739001	Malay
111	later	2.9179153155388717	Malay
112	first	3.4777771038989087	Malay
112	later	3.1102926047819106	Malay
113	first	3.537012276756042	Malay
113	later	3.117864407127645	Malay
114	first	3.5252417504943576	Malay
114	later	3.1010274384412417	Malay
115	first	3.501536336827468	Malay
115	later	3.1090202173334434	Malay
116	first	3.524184545830935	Malay
116	later	3.109624775884302	Malay
117	first	3.515786749330364	Malay
117	later	3.1101575849451484	Malay
118	first	3.5034272351984734	Malay
118	later	3.119784559215464	Malay
119	first	3.484990180181426	Malay
119	later	3.1257569023193046	Malay
120	first	3.5138475829108966	Malay
120	later	3.110519908357871	Malay
121	first	3.461664140766681	Malay
