i	position	H	language
1	first	4.094528553530289	Slovak
1	later	3.9158327053559447	Slovak
2	first	4.077274139757538	Slovak
2	later	3.8612865845727233	Slovak
3	first	4.158320094990822	Slovak
3	later	3.957035373199108	Slovak
4	first	4.02180701792714	Slovak
4	later	3.8642194512249413	Slovak
5	first	4.043096277483329	Slovak
5	later	3.8749429896829715	Slovak
6	first	4.068225311037437	Slovak
6	later	3.9322614119897468	Slovak
7	first	4.065680597665158	Slovak
7	later	3.906811042293648	Slovak
8	first	4.0474808637370625	Slovak
8	later	3.915503529037286	Slovak
9	first	4.069402865041876	Slovak
9	later	3.9165030145260786	Slovak
10	first	4.064002597728188	Slovak
10	later	3.903082269676407	Slovak
11	first	4.064562511071332	Slovak
11	later	3.9041185039924593	Slovak
12	first	4.04351356889361	Slovak
12	later	3.938728232380532	Slovak
13	first	4.056308220830208	Slovak
13	later	3.8645418629584705	Slovak
14	first	4.059682412645661	Slovak
14	later	3.8829129979927757	Slovak
15	first	4.07543234789592	Slovak
15	later	3.9299454642247644	Slovak
16	first	4.094960882312877	Slovak
16	later	3.9242111929772148	Slovak
17	first	4.050452457164324	Slovak
17	later	3.9194629259719056	Slovak
18	first	4.049215420141114	Slovak
18	later	3.909655170947042	Slovak
19	first	4.077765423137192	Slovak
19	later	3.9049241358169904	Slovak
20	first	4.065670997570945	Slovak
20	later	3.9071980202934506	Slovak
21	first	4.070415912883873	Slovak
21	later	3.9283387962495455	Slovak
22	first	4.064960776494435	Slovak
22	later	3.8538268216331355	Slovak
23	first	4.0271007867111654	Slovak
23	later	3.9216682580675166	Slovak
24	first	4.071602237216783	Slovak
24	later	3.9274980255651815	Slovak
25	first	4.0630274976871235	Slovak
25	later	3.912751644901753	Slovak
26	first	4.048284302057342	Slovak
26	later	3.8585275352075086	Slovak
27	first	4.128316000819988	Slovak
27	later	3.945745100572434	Slovak
28	first	4.073096221470699	Slovak
28	later	3.894520919696374	Slovak
29	first	4.045661048222701	Slovak
29	later	3.932961962731407	Slovak
30	first	4.063835063179038	Slovak
30	later	3.916527541777564	Slovak
31	first	4.057776966205124	Slovak
31	later	3.910882263604841	Slovak
32	first	4.053305116706288	Slovak
32	later	3.934995111666888	Slovak
33	first	4.06165775332422	Slovak
33	later	3.8559152052213097	Slovak
34	first	4.08403850618316	Slovak
34	later	3.864273645868518	Slovak
35	first	4.070972773611613	Slovak
35	later	3.919946927994814	Slovak
36	first	4.072458007766738	Slovak
36	later	3.9123031315616177	Slovak
37	first	4.067398767353137	Slovak
37	later	3.9127429485374914	Slovak
38	first	4.071741508518102	Slovak
38	later	3.9322883432816202	Slovak
39	first	4.068479946108247	Slovak
39	later	3.8844470262402115	Slovak
40	first	4.033932177539884	Slovak
40	later	3.9127554614376296	Slovak
41	first	4.069836815162006	Slovak
41	later	3.91351799549601	Slovak
42	first	4.050177019975531	Slovak
42	later	3.9268904295919835	Slovak
43	first	4.083232782948751	Slovak
43	later	3.914048445624304	Slovak
44	first	4.069675032126903	Slovak
44	later	3.9127990877905483	Slovak
45	first	4.05106213182645	Slovak
45	later	3.9172519142993667	Slovak
46	first	4.049573292172172	Slovak
46	later	3.916304831600608	Slovak
47	first	4.066819690236891	Slovak
47	later	3.8604412143320235	Slovak
48	first	4.063682565316496	Slovak
48	later	3.9241766948662558	Slovak
49	first	4.126217330385945	Slovak
49	later	3.939996739093708	Slovak
50	first	4.156242444371023	Slovak
50	later	3.938814616200175	Slovak
51	first	4.087317048786512	Slovak
51	later	3.900839508920964	Slovak
52	first	4.0513927648370105	Slovak
52	later	3.921030620065474	Slovak
53	first	4.090448297603047	Slovak
53	later	3.930259253806047	Slovak
54	first	4.066028912402919	Slovak
54	later	3.9041104123543175	Slovak
55	first	4.071707672938302	Slovak
55	later	3.920152293106376	Slovak
56	first	4.06385094750896	Slovak
56	later	3.868299420838126	Slovak
57	first	4.059606731240029	Slovak
57	later	3.854019144239364	Slovak
58	first	4.049810565436023	Slovak
58	later	3.873528782669386	Slovak
59	first	4.066447301925387	Slovak
59	later	3.925231049222858	Slovak
60	first	4.066476129787095	Slovak
60	later	3.9110197252951804	Slovak
61	first	4.051312518409903	Slovak
61	later	3.871040942402235	Slovak
62	first	4.080520627156159	Slovak
62	later	3.9351101315866486	Slovak
63	first	4.066077823236666	Slovak
63	later	3.8288725599962556	Slovak
64	first	4.077737715503543	Slovak
64	later	3.9144638698610463	Slovak
65	first	4.04140010531946	Slovak
65	later	3.9212806242800142	Slovak
66	first	4.069898329814348	Slovak
66	later	3.9096259277283703	Slovak
67	first	4.060020021213689	Slovak
67	later	3.9170263955741684	Slovak
68	first	4.068679486536346	Slovak
68	later	3.912842305671362	Slovak
69	first	4.057381316846743	Slovak
69	later	3.902638844402799	Slovak
70	first	4.052785864097025	Slovak
70	later	3.9105549208182686	Slovak
71	first	4.062781581499327	Slovak
71	later	3.8653209183576234	Slovak
72	first	4.111686830995767	Slovak
72	later	3.956580628508249	Slovak
73	first	4.0639154893480125	Slovak
73	later	3.914828949272565	Slovak
74	first	4.0445078078032415	Slovak
74	later	3.8662689665488226	Slovak
75	first	4.070595269794753	Slovak
75	later	3.8576803700936155	Slovak
76	first	4.09871215152878	Slovak
76	later	3.9361905930684387	Slovak
77	first	4.075949304306922	Slovak
77	later	3.918439156423717	Slovak
78	first	4.041244325715477	Slovak
78	later	3.8570412063161643	Slovak
79	first	4.076362290729702	Slovak
79	later	3.9034799124430464	Slovak
80	first	4.0805624313743225	Slovak
80	later	3.8312683380462955	Slovak
81	first	4.07979606225204	Slovak
81	later	3.86258614124991	Slovak
82	first	4.074907768351299	Slovak
82	later	3.9175452856627047	Slovak
83	first	4.04375006639659	Slovak
83	later	3.871577486453538	Slovak
84	first	4.069531033373347	Slovak
84	later	3.9377177253645232	Slovak
85	first	4.060819243084124	Slovak
85	later	3.9049363100295644	Slovak
