i	position	H	language
1	first	3.860010994487761	Spanish
1	later	3.6274697105632865	Spanish
2	first	3.871793401183708	Spanish
2	later	3.561033962428863	Spanish
3	first	3.8599060807078973	Spanish
3	later	3.6250853113429664	Spanish
4	first	3.8681746436570563	Spanish
4	later	3.628472190127343	Spanish
5	first	3.785721143598835	Spanish
5	later	3.5222885164370226	Spanish
6	first	3.8519755823831714	Spanish
6	later	3.6278223414659614	Spanish
7	first	3.850727668305294	Spanish
7	later	3.6283682084710414	Spanish
8	first	3.8502425115252548	Spanish
8	later	3.617260839595495	Spanish
9	first	3.854689145512788	Spanish
9	later	3.6293152929248147	Spanish
10	first	3.8619251719573136	Spanish
10	later	3.628307107040935	Spanish
11	first	3.868621089960725	Spanish
11	later	3.6257769372297357	Spanish
12	first	3.851853823640275	Spanish
12	later	3.575758386711622	Spanish
13	first	3.864156412256361	Spanish
13	later	3.6270153635843996	Spanish
14	first	3.8526693456676306	Spanish
14	later	3.6259957306340627	Spanish
15	first	3.8570318578897562	Spanish
15	later	3.572823214616409	Spanish
16	first	3.852130037206528	Spanish
16	later	3.624124064556032	Spanish
17	first	3.862447943900635	Spanish
17	later	3.6244825481286105	Spanish
18	first	3.8523558562021103	Spanish
18	later	3.5726783910054354	Spanish
19	first	3.8559575043395604	Spanish
19	later	3.575734751146675	Spanish
20	first	3.856575106666835	Spanish
20	later	3.6270391650337825	Spanish
21	first	3.853993006932929	Spanish
21	later	3.6323811423155243	Spanish
22	first	3.865943097888114	Spanish
22	later	3.624610556406717	Spanish
23	first	3.8546572524646763	Spanish
23	later	3.6260190574985884	Spanish
24	first	3.870722088857689	Spanish
24	later	3.6237685176846113	Spanish
25	first	3.851852486596956	Spanish
25	later	3.6215358636216015	Spanish
26	first	3.8690947639122584	Spanish
26	later	3.578048708439529	Spanish
27	first	3.8604634957167154	Spanish
27	later	3.625931240731889	Spanish
28	first	3.8515167092694864	Spanish
28	later	3.5749105990744625	Spanish
29	first	3.8645433491863272	Spanish
29	later	3.6257736497952537	Spanish
30	first	3.8671151849905105	Spanish
30	later	3.627282571785652	Spanish
31	first	3.8632910628575665	Spanish
31	later	3.6259717636282334	Spanish
32	first	3.8451435684874467	Spanish
32	later	3.6140988678131913	Spanish
33	first	3.866370238417581	Spanish
33	later	3.6201202333968014	Spanish
34	first	3.842493810580578	Spanish
34	later	3.5767078121151403	Spanish
35	first	3.84720695724852	Spanish
35	later	3.6155486984629133	Spanish
36	first	3.8666607039567316	Spanish
36	later	3.628996867186215	Spanish
37	first	3.863558591303321	Spanish
37	later	3.6237578524858947	Spanish
38	first	3.8702733716039406	Spanish
38	later	3.6303260718973407	Spanish
39	first	3.8583318867516954	Spanish
39	later	3.62550940753582	Spanish
40	first	3.870659671169417	Spanish
40	later	3.5717393052326702	Spanish
41	first	3.8505865920673394	Spanish
41	later	3.630180683703656	Spanish
42	first	3.855344203243667	Spanish
42	later	3.574282074648453	Spanish
43	first	3.788730676144871	Spanish
43	later	3.5715250677140955	Spanish
44	first	3.8541210459037454	Spanish
44	later	3.6255829660173555	Spanish
45	first	3.867157150909536	Spanish
45	later	3.627298112879917	Spanish
46	first	3.8638401924239765	Spanish
46	later	3.575182306123356	Spanish
47	first	3.856723228646205	Spanish
47	later	3.621644166345253	Spanish
48	first	3.855445752508695	Spanish
48	later	3.6291402898408514	Spanish
49	first	3.8509998229346203	Spanish
49	later	3.628241555300459	Spanish
50	first	3.8556849980945795	Spanish
50	later	3.624024721077781	Spanish
51	first	3.860216283620429	Spanish
51	later	3.6266350652554467	Spanish
52	first	3.8597112241348324	Spanish
52	later	3.6155556044705843	Spanish
53	first	3.859430342100907	Spanish
53	later	3.628791197764492	Spanish
54	first	3.7926367135720556	Spanish
54	later	3.533996284048274	Spanish
55	first	3.856764587059549	Spanish
55	later	3.6248937743894714	Spanish
56	first	3.868370761620842	Spanish
56	later	3.6264775765843624	Spanish
57	first	3.8563714889802005	Spanish
57	later	3.5712375410161776	Spanish
58	first	3.857567392729264	Spanish
58	later	3.626212777789718	Spanish
59	first	3.8650236489218366	Spanish
59	later	3.57385525305468	Spanish
60	first	3.851955562616077	Spanish
60	later	3.6276114350674673	Spanish
61	first	3.840737884452935	Spanish
61	later	3.629773383627212	Spanish
62	first	3.864370471613751	Spanish
62	later	3.6232723999797427	Spanish
63	first	3.867003888775509	Spanish
63	later	3.6237156115599496	Spanish
64	first	3.866419385789788	Spanish
64	later	3.6368474740602044	Spanish
65	first	3.8622395675763714	Spanish
65	later	3.5727315062795206	Spanish
66	first	3.864758126777199	Spanish
66	later	3.625224955766969	Spanish
67	first	3.8620212513740872	Spanish
67	later	3.627581223181138	Spanish
68	first	3.8670111139524406	Spanish
68	later	3.57388922605281	Spanish
69	first	3.8676178877225973	Spanish
69	later	3.6255268244574417	Spanish
70	first	3.8641063339509927	Spanish
70	later	3.627515567539868	Spanish
71	first	3.8717058066696772	Spanish
71	later	3.556875629332051	Spanish
72	first	3.8464387069333035	Spanish
72	later	3.630038310746378	Spanish
73	first	3.8626278220261123	Spanish
73	later	3.5780856998853143	Spanish
74	first	3.8354405925287467	Spanish
74	later	3.624136961339291	Spanish
75	first	3.8675146199204335	Spanish
75	later	3.62907762046529	Spanish
76	first	3.788750139964248	Spanish
76	later	3.530654671069064	Spanish
77	first	3.881048455075796	Spanish
77	later	3.632723787091918	Spanish
78	first	3.8649541526835574	Spanish
78	later	3.6243016986603602	Spanish
79	first	3.8453032520190162	Spanish
79	later	3.5736229900099743	Spanish
80	first	3.8477051073116892	Spanish
80	later	3.625052894544199	Spanish
81	first	3.858249975834091	Spanish
81	later	3.626483382123967	Spanish
82	first	3.8494473743654147	Spanish
82	later	3.62408740695888	Spanish
83	first	3.851371620425806	Spanish
83	later	3.6296866921687356	Spanish
84	first	3.8569801589844546	Spanish
84	later	3.6266600364712875	Spanish
85	first	3.859933191989743	Spanish
85	later	3.6257775887807426	Spanish
86	first	3.8547400732715524	Spanish
86	later	3.614572164157515	Spanish
87	first	3.856586425274755	Spanish
87	later	3.628543472017618	Spanish
88	first	3.869245795976745	Spanish
88	later	3.6278947322828112	Spanish
89	first	3.863617188337506	Spanish
89	later	3.6273633871081654	Spanish
90	first	3.8560266430927728	Spanish
90	later	3.6211722011897716	Spanish
91	first	3.8717088803026583	Spanish
91	later	3.576943450323247	Spanish
92	first	3.8658460196689277	Spanish
92	later	3.632286484676934	Spanish
93	first	3.8519078333002676	Spanish
93	later	3.6253154540242076	Spanish
94	first	3.854998006646648	Spanish
94	later	3.5723456548837444	Spanish
95	first	3.8572174266608807	Spanish
95	later	3.576112791619366	Spanish
96	first	3.8587578486972514	Spanish
96	later	3.6242933585652883	Spanish
97	first	3.8600259792645457	Spanish
97	later	3.576923879100495	Spanish
98	first	3.8492580248530293	Spanish
98	later	3.5771508586483836	Spanish
99	first	3.8509978184467695	Spanish
99	later	3.577212974835291	Spanish
100	first	3.852369755974003	Spanish
100	later	3.6303142051833177	Spanish
101	first	3.8531412508290517	Spanish
101	later	3.5759456589049887	Spanish
102	first	3.8587146616196084	Spanish
102	later	3.6202139657187637	Spanish
103	first	3.858544823902637	Spanish
103	later	3.575304651562838	Spanish
104	first	3.845403899458094	Spanish
104	later	3.620688390024085	Spanish
105	first	3.860392631155686	Spanish
105	later	3.5705965666546717	Spanish
106	first	3.8546456402286595	Spanish
106	later	3.6275590941027382	Spanish
107	first	3.848075269998977	Spanish
107	later	3.6233413600174784	Spanish
108	first	3.8486181353221105	Spanish
108	later	3.6187953470011633	Spanish
109	first	3.8548407851079483	Spanish
109	later	3.5781902949839393	Spanish
110	first	3.868256770426915	Spanish
110	later	3.6262575038994322	Spanish
111	first	3.845701629901878	Spanish
111	later	3.6165699710802586	Spanish
112	first	3.8323142112903716	Spanish
112	later	3.62921458527025	Spanish
113	first	3.8439686885296664	Spanish
113	later	3.6284200275773677	Spanish
114	first	3.8560458717544104	Spanish
114	later	3.627819347156873	Spanish
115	first	3.836415951968827	Spanish
115	later	3.6193282254904666	Spanish
116	first	3.8515199997489553	Spanish
116	later	3.6295331838351355	Spanish
117	first	3.86319623447369	Spanish
117	later	3.6292475544980567	Spanish
118	first	3.855005894242814	Spanish
118	later	3.6128827892499324	Spanish
119	first	3.8627164140953276	Spanish
119	later	3.5748527545135365	Spanish
120	first	3.860777350532722	Spanish
120	later	3.5762203374555708	Spanish
121	first	3.8526368330872445	Spanish
121	later	3.630455062917034	Spanish
122	first	3.863122550731191	Spanish
122	later	3.6229001930361764	Spanish
123	first	3.8048130960796276	Spanish
123	later	3.5279605765739195	Spanish
124	first	3.851444483659806	Spanish
124	later	3.6202556458954014	Spanish
125	first	3.853203173821593	Spanish
125	later	3.6290947211705356	Spanish
126	first	3.853947259969683	Spanish
126	later	3.577867300248756	Spanish
127	first	3.865043678393099	Spanish
127	later	3.6278557896696015	Spanish
128	first	3.866437257998347	Spanish
128	later	3.6267079562699798	Spanish
129	first	3.862895967812474	Spanish
129	later	3.631700164049674	Spanish
130	first	3.852561350742505	Spanish
130	later	3.569612490495767	Spanish
131	first	3.8625702491219656	Spanish
131	later	3.6301810826900014	Spanish
132	first	3.849764000739705	Spanish
132	later	3.62870915648981	Spanish
133	first	3.848103537752516	Spanish
133	later	3.5791765243683105	Spanish
134	first	3.870544814040809	Spanish
134	later	3.624786295043446	Spanish
135	first	3.8508722184302218	Spanish
135	later	3.630309122524589	Spanish
136	first	3.8678534130755615	Spanish
136	later	3.572729685741119	Spanish
137	first	3.8451419228619477	Spanish
137	later	3.6189519529398404	Spanish
138	first	3.8679645810491494	Spanish
138	later	3.6226692442950545	Spanish
139	first	3.868094519324409	Spanish
139	later	3.6292516977692086	Spanish
140	first	3.854945022912016	Spanish
140	later	3.6229312894629864	Spanish
141	first	3.857671819632917	Spanish
141	later	3.6254614737106206	Spanish
142	first	3.8575443210733846	Spanish
142	later	3.5720758660776966	Spanish
143	first	3.86785204540429	Spanish
143	later	3.555586624386116	Spanish
144	first	3.83611508467088	Spanish
144	later	3.6268412705295185	Spanish
145	first	3.854806688192569	Spanish
145	later	3.630385631269104	Spanish
146	first	3.8623433335743926	Spanish
146	later	3.624136205194434	Spanish
147	first	3.862075103929203	Spanish
147	later	3.6278560734795677	Spanish
148	first	3.865230070794259	Spanish
148	later	3.5762896307710417	Spanish
149	first	3.843557218474341	Spanish
149	later	3.5683367575524345	Spanish
150	first	3.8607764869644385	Spanish
150	later	3.5766761296915295	Spanish
151	first	3.844420135344198	Spanish
151	later	3.6273942919430078	Spanish
152	first	3.854084182783914	Spanish
152	later	3.629709277662675	Spanish
153	first	3.850051545372062	Spanish
153	later	3.6239945986456936	Spanish
154	first	3.7854981119520588	Spanish
154	later	3.4999359716457286	Spanish
155	first	3.8567077725445063	Spanish
155	later	3.62764186346819	Spanish
156	first	3.8572005431411944	Spanish
156	later	3.572904191312917	Spanish
157	first	3.862810957894522	Spanish
157	later	3.619597109995125	Spanish
158	first	3.880215113322549	Spanish
158	later	3.579102183210747	Spanish
159	first	3.8522621219193387	Spanish
159	later	3.625762703535132	Spanish
160	first	3.7897660661687755	Spanish
160	later	3.502333630511962	Spanish
161	first	3.8698486346208005	Spanish
161	later	3.6248614837257778	Spanish
162	first	3.8558757267590473	Spanish
162	later	3.632538586193891	Spanish
163	first	3.8608189348163	Spanish
163	later	3.625657652220324	Spanish
164	first	3.868479968502931	Spanish
164	later	3.6239298411125893	Spanish
165	first	3.856875111447691	Spanish
165	later	3.6263522713530483	Spanish
166	first	3.8630860538064207	Spanish
166	later	3.6254834298855236	Spanish
167	first	3.8619200362899604	Spanish
167	later	3.6236875692455524	Spanish
168	first	3.8501434705022217	Spanish
168	later	3.6284289390387365	Spanish
169	first	3.8348863268148388	Spanish
169	later	3.577952686851225	Spanish
170	first	3.8562545616506054	Spanish
170	later	3.5809979585204204	Spanish
171	first	3.868993203499654	Spanish
171	later	3.5731543449511456	Spanish
172	first	3.851338226487558	Spanish
172	later	3.573168800624716	Spanish
173	first	3.866036452689235	Spanish
173	later	3.581271658426456	Spanish
174	first	3.8641566233986886	Spanish
174	later	3.571057964941652	Spanish
175	first	3.8725106815308785	Spanish
175	later	3.5771659583311464	Spanish
176	first	3.8520119508963173	Spanish
176	later	3.6273058383600363	Spanish
177	first	3.8687689963117626	Spanish
177	later	3.621160079475855	Spanish
178	first	3.8511149684506742	Spanish
178	later	3.620445805148595	Spanish
179	first	3.8424716371795933	Spanish
179	later	3.621855679306189	Spanish
180	first	3.8660771227676856	Spanish
180	later	3.576604387667779	Spanish
181	first	3.856364126080616	Spanish
181	later	3.6176190824393375	Spanish
182	first	3.8595618054335157	Spanish
182	later	3.6283045461145407	Spanish
183	first	3.868099520607014	Spanish
183	later	3.628204444625474	Spanish
184	first	3.858041994905498	Spanish
184	later	3.6311182885677136	Spanish
185	first	3.8641579631222265	Spanish
185	later	3.620936206111074	Spanish
186	first	3.8614885080061945	Spanish
186	later	3.6304916067483037	Spanish
187	first	3.797435502436466	Spanish
187	later	3.5278169338187446	Spanish
188	first	3.7870931301045068	Spanish
188	later	3.525442807445812	Spanish
189	first	3.8554891575564403	Spanish
189	later	3.627246723760819	Spanish
190	first	3.8541537495277196	Spanish
190	later	3.5763879953507987	Spanish
191	first	3.7917851593164267	Spanish
191	later	3.5762716160076855	Spanish
192	first	3.859047046176395	Spanish
192	later	3.6278553437610266	Spanish
193	first	3.8567950297330884	Spanish
193	later	3.6245153242250785	Spanish
194	first	3.8594730428906048	Spanish
194	later	3.624356535173403	Spanish
195	first	3.845031094534456	Spanish
195	later	3.615000606897829	Spanish
196	first	3.8346346916484677	Spanish
196	later	3.627703631723412	Spanish
197	first	3.8581145223623126	Spanish
197	later	3.6288459741792445	Spanish
198	first	3.8412827152144313	Spanish
198	later	3.625770393314423	Spanish
199	first	3.8659673779260597	Spanish
199	later	3.5740252737859817	Spanish
200	first	3.8587962157447357	Spanish
200	later	3.626626222809204	Spanish
201	first	3.8555957671810686	Spanish
201	later	3.6310557000925514	Spanish
202	first	3.8624664676924385	Spanish
202	later	3.6256601640676425	Spanish
203	first	3.8447551052636784	Spanish
203	later	3.6326939682343897	Spanish
204	first	3.8739303728340384	Spanish
204	later	3.624430696609533	Spanish
205	first	3.8028761141176193	Spanish
205	later	3.571483623797387	Spanish
206	first	3.851259775476731	Spanish
206	later	3.6222819845262815	Spanish
207	first	3.8514430393231223	Spanish
207	later	3.624392140765671	Spanish
208	first	3.860554175261654	Spanish
208	later	3.573634627996022	Spanish
209	first	3.8538342944098503	Spanish
209	later	3.6292406030545323	Spanish
210	first	3.8425319395438966	Spanish
210	later	3.5739981084557644	Spanish
211	first	3.8544976715272132	Spanish
211	later	3.6253259204357273	Spanish
212	first	3.8535371372489666	Spanish
212	later	3.6302128124364748	Spanish
213	first	3.864429906383242	Spanish
213	later	3.6258336698595137	Spanish
214	first	3.851052634140834	Spanish
214	later	3.6282340777772655	Spanish
215	first	3.790532123667777	Spanish
215	later	3.5306334463204485	Spanish
216	first	3.8667870270384976	Spanish
216	later	3.6289549051414625	Spanish
217	first	3.8722216084254124	Spanish
217	later	3.6295054131112168	Spanish
218	first	3.8346800189642187	Spanish
218	later	3.579642098561888	Spanish
219	first	3.861832913428356	Spanish
219	later	3.556390882240966	Spanish
220	first	3.8590710832410275	Spanish
220	later	3.5740384392282816	Spanish
221	first	3.8491672137071835	Spanish
221	later	3.6250409195920112	Spanish
222	first	3.8405139077345587	Spanish
222	later	3.6225896907277457	Spanish
223	first	3.8663380920861745	Spanish
223	later	3.5713277497621596	Spanish
224	first	3.8463707508586	Spanish
224	later	3.578169627284479	Spanish
225	first	3.863338323269047	Spanish
225	later	3.575815426061095	Spanish
226	first	3.872120799313442	Spanish
226	later	3.6285308266558696	Spanish
227	first	3.8377071011067443	Spanish
227	later	3.5667571134513105	Spanish
228	first	3.8508174452447625	Spanish
228	later	3.581388908948463	Spanish
229	first	3.8655995702868085	Spanish
229	later	3.6270104474223475	Spanish
230	first	3.8690175874358985	Spanish
230	later	3.5665243435116776	Spanish
231	first	3.854424770108458	Spanish
231	later	3.572165216109754	Spanish
232	first	3.8679841248534683	Spanish
232	later	3.629843377872713	Spanish
233	first	3.8487939784735437	Spanish
233	later	3.6287068646722656	Spanish
234	first	3.8544555927262807	Spanish
234	later	3.578724616917636	Spanish
235	first	3.857635094522773	Spanish
235	later	3.6270362373059655	Spanish
236	first	3.8446919359668827	Spanish
236	later	3.627325212385311	Spanish
237	first	3.8789791441040142	Spanish
237	later	3.581596199584293	Spanish
238	first	3.8607112228751177	Spanish
238	later	3.6226557319816197	Spanish
239	first	3.872034362147348	Spanish
239	later	3.6322778213929063	Spanish
240	first	3.8694846972344745	Spanish
240	later	3.6299527543395596	Spanish
241	first	3.854286669068941	Spanish
241	later	3.6259485967405447	Spanish
242	first	3.8688981968814335	Spanish
242	later	3.6237452974158813	Spanish
243	first	3.8666479944032592	Spanish
243	later	3.5776140734682778	Spanish
244	first	3.8565916843319696	Spanish
244	later	3.6259573034494017	Spanish
245	first	3.857852304817106	Spanish
245	later	3.6291380569877916	Spanish
246	first	3.8598523118460033	Spanish
246	later	3.6285429550181187	Spanish
247	first	3.8578117617003387	Spanish
247	later	3.624092292029814	Spanish
248	first	3.8641474732288548	Spanish
248	later	3.6309144308200327	Spanish
249	first	3.8428246700292026	Spanish
249	later	3.624797125054959	Spanish
250	first	3.857772047583082	Spanish
250	later	3.627182120359799	Spanish
251	first	3.8370983370911556	Spanish
251	later	3.627286111409584	Spanish
252	first	3.8597014788450457	Spanish
252	later	3.6275802279105136	Spanish
253	first	3.872170320590507	Spanish
253	later	3.5735197543171604	Spanish
254	first	3.8058666032001285	Spanish
254	later	3.5268102402947825	Spanish
255	first	3.8585815100982352	Spanish
255	later	3.6258406102626877	Spanish
256	first	3.8067547436627107	Spanish
256	later	3.529392860817114	Spanish
257	first	3.8650498767077908	Spanish
257	later	3.5760032281107597	Spanish
258	first	3.8888716040146027	Spanish
258	later	3.630745542989815	Spanish
259	first	3.8621830107457087	Spanish
259	later	3.574597919841452	Spanish
260	first	3.8606428658044867	Spanish
260	later	3.5753824288979685	Spanish
261	first	3.8581044066172	Spanish
261	later	3.6287220097553723	Spanish
262	first	3.8512730041239354	Spanish
262	later	3.571605997961238	Spanish
263	first	3.8673564972688905	Spanish
263	later	3.5745192018510012	Spanish
264	first	3.859091102319789	Spanish
264	later	3.576157133540006	Spanish
265	first	3.8442386696524316	Spanish
265	later	3.6275244260709485	Spanish
266	first	3.8451074421379254	Spanish
266	later	3.6295994750532015	Spanish
267	first	3.863341421885117	Spanish
267	later	3.629983280155563	Spanish
268	first	3.854143973105722	Spanish
268	later	3.626965105095097	Spanish
269	first	3.8443796140725643	Spanish
269	later	3.6275419551849595	Spanish
270	first	3.8547761511986893	Spanish
270	later	3.5768126496669845	Spanish
271	first	3.863664849610084	Spanish
271	later	3.62865812221075	Spanish
272	first	3.866260182427096	Spanish
272	later	3.624540828262828	Spanish
273	first	3.849054170381602	Spanish
273	later	3.6264866424189397	Spanish
274	first	3.8583080722399044	Spanish
274	later	3.5769544591017923	Spanish
275	first	3.852224738746392	Spanish
275	later	3.630450046368882	Spanish
276	first	3.7842447042831955	Spanish
276	later	3.526191066579073	Spanish
277	first	3.864240005466754	Spanish
277	later	3.627268764808381	Spanish
278	first	3.8677792455753295	Spanish
278	later	3.6300313797990467	Spanish
279	first	3.835348435401068	Spanish
279	later	3.6208976565987347	Spanish
280	first	3.79987859263854	Spanish
280	later	3.524629288866211	Spanish
281	first	3.8478460679020756	Spanish
281	later	3.6261571074175634	Spanish
282	first	3.8496442177923997	Spanish
282	later	3.6262299989820286	Spanish
283	first	3.858774990252515	Spanish
283	later	3.5701397189769253	Spanish
284	first	3.854817194252802	Spanish
284	later	3.627178499664569	Spanish
285	first	3.8568124624899096	Spanish
285	later	3.619332132982136	Spanish
286	first	3.852766359082635	Spanish
286	later	3.626136917207911	Spanish
287	first	3.857965699190773	Spanish
287	later	3.6292414089688974	Spanish
288	first	3.8688388887963945	Spanish
288	later	3.6242231297262695	Spanish
289	first	3.849219799768918	Spanish
289	later	3.572618587886839	Spanish
290	first	3.8738667752097573	Spanish
290	later	3.625838461566536	Spanish
291	first	3.851242039169387	Spanish
291	later	3.624480779301964	Spanish
292	first	3.86133572386514	Spanish
292	later	3.5752856709122733	Spanish
293	first	3.8581897525824336	Spanish
293	later	3.6288090241519417	Spanish
294	first	3.8531018733596323	Spanish
294	later	3.630511501999709	Spanish
295	first	3.8541391132355627	Spanish
295	later	3.5772764981769942	Spanish
296	first	3.862280099827375	Spanish
296	later	3.6269948475832336	Spanish
297	first	3.8592398281761766	Spanish
297	later	3.5740483547626996	Spanish
298	first	3.8399611585020645	Spanish
298	later	3.6265284491083936	Spanish
299	first	3.8662676738850283	Spanish
299	later	3.576123870499945	Spanish
300	first	3.865672711973357	Spanish
300	later	3.6213214534965092	Spanish
301	first	3.8437265591844487	Spanish
301	later	3.5677470453826503	Spanish
302	first	3.8720643834738953	Spanish
302	later	3.6292562809605236	Spanish
303	first	3.8589426056264777	Spanish
303	later	3.5733741130905723	Spanish
304	first	3.851959498977808	Spanish
304	later	3.6265638473666115	Spanish
305	first	3.868294240652282	Spanish
305	later	3.575726952697442	Spanish
306	first	3.8783563449023375	Spanish
306	later	3.6307050064317745	Spanish
307	first	3.873666726688448	Spanish
307	later	3.6254240273653715	Spanish
308	first	3.844228585647164	Spanish
308	later	3.621267888415682	Spanish
309	first	3.8588334979515237	Spanish
309	later	3.569229867965204	Spanish
310	first	3.8682650575447575	Spanish
310	later	3.5766899277288386	Spanish
311	first	3.855556218532977	Spanish
311	later	3.573460442722367	Spanish
312	first	3.8486511620127923	Spanish
312	later	3.573477344486621	Spanish
313	first	3.8550547525829515	Spanish
313	later	3.6231323797302397	Spanish
314	first	3.8704884390044128	Spanish
314	later	3.628862512229178	Spanish
315	first	3.853727835521662	Spanish
315	later	3.580149513348633	Spanish
316	first	3.8622312093128834	Spanish
316	later	3.6255837504988464	Spanish
317	first	3.8715462108448504	Spanish
317	later	3.6320431274012237	Spanish
318	first	3.85441908889042	Spanish
318	later	3.5805845142710173	Spanish
319	first	3.8697452137878066	Spanish
319	later	3.576562736316305	Spanish
320	first	3.812721545593123	Spanish
320	later	3.5321886012913777	Spanish
321	first	3.8651036996241896	Spanish
321	later	3.5740886107632956	Spanish
