i	position	H	language
1	first	4.121153007356992	Turkish
1	later	3.819449814392712	Turkish
2	first	4.139357494875693	Turkish
2	later	3.8209120458438806	Turkish
3	first	4.098637492323337	Turkish
3	later	3.8278234509457145	Turkish
4	first	4.117432474987555	Turkish
4	later	3.8270311597936986	Turkish
5	first	4.123337116793041	Turkish
5	later	3.8469438916230336	Turkish
6	first	4.119890120224723	Turkish
6	later	3.836045584371214	Turkish
7	first	4.128026529436813	Turkish
7	later	3.8377849919512443	Turkish
8	first	4.121291115834448	Turkish
8	later	3.8317865236530815	Turkish
9	first	4.124495349814106	Turkish
9	later	3.8440363690529997	Turkish
10	first	4.122338439368138	Turkish
10	later	3.8368664211923167	Turkish
11	first	4.145842721588008	Turkish
11	later	3.8285873674262074	Turkish
12	first	4.117716438996961	Turkish
12	later	3.8376878317460763	Turkish
13	first	4.109006129641392	Turkish
13	later	3.8291796597601175	Turkish
14	first	4.120635274182305	Turkish
14	later	3.835869814471544	Turkish
15	first	4.142295466304223	Turkish
15	later	3.838930317045638	Turkish
16	first	4.121449959217842	Turkish
16	later	3.8392929784722862	Turkish
17	first	4.098251582484101	Turkish
17	later	3.836585239655323	Turkish
18	first	4.126390250437123	Turkish
18	later	3.8440072220814994	Turkish
19	first	4.113130695685907	Turkish
19	later	3.8303136203773276	Turkish
20	first	4.120061050758124	Turkish
20	later	3.8309071079156425	Turkish
21	first	4.110864823585762	Turkish
21	later	3.8239983215414903	Turkish
22	first	4.125937449569258	Turkish
22	later	3.841422937833942	Turkish
23	first	4.09914743956966	Turkish
23	later	3.838954832182868	Turkish
24	first	4.126568704606261	Turkish
24	later	3.8344292840069123	Turkish
25	first	4.1119335219599575	Turkish
25	later	3.8323183043831546	Turkish
26	first	4.114128850139371	Turkish
26	later	3.8359010929255377	Turkish
27	first	4.135138963336962	Turkish
27	later	3.8411342856320276	Turkish
28	first	4.125778689862676	Turkish
28	later	3.8471331917366447	Turkish
29	first	4.12881163866585	Turkish
29	later	3.835929303941243	Turkish
30	first	4.107416742291352	Turkish
30	later	3.847339818489832	Turkish
31	first	4.128253444640737	Turkish
31	later	3.844101589150145	Turkish
32	first	4.112555554133992	Turkish
32	later	3.8445429806927045	Turkish
33	first	4.1352013701913775	Turkish
33	later	3.821640851430026	Turkish
34	first	4.121674427309661	Turkish
34	later	3.838705266070645	Turkish
35	first	4.129690875332573	Turkish
35	later	3.8469511362023194	Turkish
36	first	4.11932355736918	Turkish
36	later	3.851382204486018	Turkish
37	first	4.118686659671325	Turkish
37	later	3.8440154686722363	Turkish
38	first	4.11292264564472	Turkish
38	later	3.8394063023311076	Turkish
39	first	4.115660117328137	Turkish
39	later	3.837721441488942	Turkish
40	first	4.126609263545422	Turkish
40	later	3.8424446668135444	Turkish
41	first	4.10783578224122	Turkish
41	later	3.8176837740224405	Turkish
42	first	4.111690569519494	Turkish
42	later	3.8442401635706798	Turkish
43	first	4.136267220543412	Turkish
43	later	3.8359978437919975	Turkish
44	first	4.129582340455345	Turkish
44	later	3.8408430000439986	Turkish
45	first	4.121169066797403	Turkish
45	later	3.84527782557627	Turkish
46	first	4.106955474523905	Turkish
46	later	3.831147628106668	Turkish
47	first	4.130780947077208	Turkish
47	later	3.8360726523123785	Turkish
48	first	4.112845190474295	Turkish
48	later	3.8276354300327937	Turkish
49	first	4.12259973789865	Turkish
49	later	3.8373065470895753	Turkish
50	first	4.117421176851859	Turkish
50	later	3.8492550895950983	Turkish
51	first	4.113692791686002	Turkish
51	later	3.825500404110975	Turkish
52	first	4.1202989329959046	Turkish
52	later	3.8401004626916695	Turkish
53	first	4.126313883624046	Turkish
53	later	3.8484486036615313	Turkish
54	first	4.127089889983553	Turkish
54	later	3.87399069833873	Turkish
55	first	4.135992640289155	Turkish
55	later	3.8318034060076154	Turkish
56	first	4.129882685274418	Turkish
56	later	3.8385555552099273	Turkish
57	first	4.1257629210188584	Turkish
57	later	3.8288655048239475	Turkish
58	first	4.1229941583695995	Turkish
58	later	3.8432282087046805	Turkish
59	first	4.126167422727298	Turkish
59	later	3.839226175642119	Turkish
60	first	4.132741460475119	Turkish
60	later	3.840738943234382	Turkish
61	first	4.125208959874093	Turkish
61	later	3.8330531838362236	Turkish
62	first	4.081219690664755	Turkish
62	later	3.8491525245155627	Turkish
63	first	4.112634547955641	Turkish
63	later	3.829194556111269	Turkish
64	first	4.114884221474566	Turkish
64	later	3.8315966712340597	Turkish
65	first	4.1364643115808795	Turkish
65	later	3.8360604902429443	Turkish
66	first	4.111370104705159	Turkish
66	later	3.8395663782300073	Turkish
67	first	4.113279796948891	Turkish
67	later	3.8371838491517005	Turkish
68	first	4.10829819315053	Turkish
68	later	3.8434856732248486	Turkish
69	first	4.1203315417441395	Turkish
69	later	3.8400666881358996	Turkish
70	first	4.1182223424382745	Turkish
70	later	3.821046476989259	Turkish
71	first	4.1183196703164695	Turkish
71	later	3.8347710430945643	Turkish
72	first	4.084884477228761	Turkish
72	later	3.834043927396286	Turkish
73	first	4.118451944334267	Turkish
73	later	3.835456207726335	Turkish
74	first	4.100329264891344	Turkish
74	later	3.8298326225671775	Turkish
75	first	4.119471052304769	Turkish
75	later	3.8373628261291453	Turkish
76	first	4.125476597640738	Turkish
76	later	3.842679222563574	Turkish
77	first	4.134504336195281	Turkish
77	later	3.83924619230676	Turkish
78	first	4.105063616069644	Turkish
78	later	3.842357742283492	Turkish
79	first	4.1126332785366975	Turkish
79	later	3.820661824190665	Turkish
80	first	4.1145223172543375	Turkish
80	later	3.8469216670035284	Turkish
81	first	4.127027451943657	Turkish
81	later	3.850396988969598	Turkish
82	first	4.090459861376491	Turkish
82	later	3.829640799071919	Turkish
83	first	4.121343832226081	Turkish
83	later	3.8413461404700513	Turkish
84	first	4.097304203327538	Turkish
84	later	3.839624227081414	Turkish
85	first	4.11634383064819	Turkish
85	later	3.8866631751699816	Turkish
86	first	4.139192149253308	Turkish
86	later	3.8399548698924946	Turkish
87	first	4.1193477853484435	Turkish
87	later	3.843096389452406	Turkish
88	first	4.1046850829354575	Turkish
88	later	3.8352335222344913	Turkish
89	first	4.128491582784489	Turkish
89	later	3.8293415031204057	Turkish
90	first	4.143980389061418	Turkish
90	later	3.848723445379746	Turkish
91	first	4.131980065776322	Turkish
91	later	3.841341749312388	Turkish
92	first	4.112493171540891	Turkish
92	later	3.866858697831256	Turkish
93	first	4.113241635337099	Turkish
93	later	3.8304027630213935	Turkish
94	first	4.138986380349205	Turkish
94	later	3.8382988141463588	Turkish
95	first	4.133273167122626	Turkish
95	later	3.8463539405112956	Turkish
96	first	4.118413346479233	Turkish
96	later	3.8364365079253497	Turkish
97	first	4.114649819894036	Turkish
97	later	3.8370989706496945	Turkish
98	first	4.1106181988422	Turkish
98	later	3.836357952801423	Turkish
99	first	4.109358371857071	Turkish
99	later	3.8358883434643345	Turkish
100	first	4.1327866325472735	Turkish
100	later	3.8262766787034974	Turkish
101	first	4.123903735963314	Turkish
101	later	3.833677016664913	Turkish
102	first	4.112134929144171	Turkish
102	later	3.842586530689843	Turkish
103	first	4.131362324102411	Turkish
103	later	3.8421853702928517	Turkish
104	first	4.0931710412692865	Turkish
104	later	3.842604595177595	Turkish
105	first	4.106144129317817	Turkish
105	later	3.8528265334746052	Turkish
106	first	4.111476907371506	Turkish
106	later	3.8357212953945408	Turkish
107	first	4.0899566343609886	Turkish
107	later	3.818742279977111	Turkish
108	first	4.10746153244968	Turkish
108	later	3.8349749235885278	Turkish
109	first	4.119535412449211	Turkish
109	later	3.8189400810478165	Turkish
110	first	4.122536550344127	Turkish
110	later	3.842198878817437	Turkish
111	first	4.12335007012216	Turkish
111	later	3.8830476563856307	Turkish
112	first	4.116836558525638	Turkish
112	later	3.859900516702017	Turkish
113	first	4.112252644197131	Turkish
113	later	3.8693848134903077	Turkish
114	first	4.112976821679945	Turkish
114	later	3.8429659818022586	Turkish
115	first	4.112666177891658	Turkish
115	later	3.82938197056715	Turkish
116	first	4.134792186276643	Turkish
116	later	3.8278780918392163	Turkish
117	first	4.118838234758858	Turkish
117	later	3.8310464682297662	Turkish
118	first	4.128732765719121	Turkish
118	later	3.834100850589176	Turkish
119	first	4.117369280239636	Turkish
119	later	3.8353739443236288	Turkish
120	first	4.121262804791632	Turkish
120	later	3.843584143793481	Turkish
121	first	4.12116456569901	Turkish
121	later	3.825716815873042	Turkish
122	first	4.119306429688149	Turkish
122	later	3.8321066319104626	Turkish
123	first	4.105826074930247	Turkish
123	later	3.833635890489443	Turkish
124	first	4.120731896505595	Turkish
124	later	3.8256184599903564	Turkish
125	first	4.10752600423796	Turkish
125	later	3.834492761999439	Turkish
126	first	4.132090989438455	Turkish
126	later	3.843280822835346	Turkish
