i	position	H	language
1	first	3.9961313604640623	Vietnamese
1	later	3.9342174044298783	Vietnamese
2	first	3.991521474041922	Vietnamese
2	later	3.918871828341009	Vietnamese
3	first	4.027387186884276	Vietnamese
3	later	3.913915546144841	Vietnamese
4	first	4.026229214602765	Vietnamese
4	later	3.9241753777092248	Vietnamese
5	first	4.019829602133571	Vietnamese
5	later	3.939344183337407	Vietnamese
6	first	3.932932658679684	Vietnamese
6	later	3.8844936680919484	Vietnamese
7	first	3.959613685250389	Vietnamese
7	later	3.862454057777699	Vietnamese
8	first	4.030882904428076	Vietnamese
8	later	3.9322959318993105	Vietnamese
9	first	4.023979526777492	Vietnamese
9	later	3.923913958477573	Vietnamese
10	first	4.016532169675479	Vietnamese
10	later	3.9297643636415307	Vietnamese
11	first	4.033266072473591	Vietnamese
11	later	3.931703124142285	Vietnamese
12	first	4.011902325822278	Vietnamese
12	later	3.928534158090064	Vietnamese
13	first	4.019154501890177	Vietnamese
13	later	3.9185582995910297	Vietnamese
14	first	4.0106306142265815	Vietnamese
14	later	3.922566618587472	Vietnamese
15	first	4.017070763757558	Vietnamese
15	later	3.931347564926144	Vietnamese
16	first	4.033948005422998	Vietnamese
16	later	3.928419698326028	Vietnamese
17	first	3.9936351080376475	Vietnamese
17	later	3.925216446574156	Vietnamese
18	first	3.9390688721307074	Vietnamese
18	later	3.8786807864311403	Vietnamese
19	first	3.9457065735976586	Vietnamese
19	later	3.8345511755833903	Vietnamese
20	first	4.0178199865345885	Vietnamese
20	later	3.9214323031936726	Vietnamese
21	first	3.949165526409029	Vietnamese
21	later	3.8659118667808126	Vietnamese
22	first	4.031382274018776	Vietnamese
22	later	3.9196612429501836	Vietnamese
23	first	4.023535298101486	Vietnamese
23	later	3.927710916068921	Vietnamese
24	first	3.9504553876134434	Vietnamese
24	later	3.8690221261714797	Vietnamese
25	first	4.034750934413713	Vietnamese
25	later	3.9253047015239875	Vietnamese
26	first	4.0241300262178665	Vietnamese
26	later	3.9278492790398736	Vietnamese
27	first	4.026438797794685	Vietnamese
27	later	3.927414052450481	Vietnamese
28	first	4.043861764020065	Vietnamese
28	later	3.927319077847552	Vietnamese
29	first	4.046976748380759	Vietnamese
29	later	3.9297858435354223	Vietnamese
30	first	4.0351909754056505	Vietnamese
30	later	3.916009674263201	Vietnamese
31	first	4.033430007577067	Vietnamese
31	later	3.934057237793323	Vietnamese
32	first	3.9315477408518595	Vietnamese
32	later	3.867547233126365	Vietnamese
33	first	3.948421095746366	Vietnamese
33	later	3.8800554563734813	Vietnamese
34	first	4.043904748757708	Vietnamese
34	later	3.9237045924067595	Vietnamese
35	first	4.0126027296616344	Vietnamese
35	later	3.9260153061454455	Vietnamese
36	first	3.9558708884946174	Vietnamese
36	later	3.865916453920311	Vietnamese
37	first	4.043080627326714	Vietnamese
37	later	3.919610918709246	Vietnamese
38	first	4.0103182037640535	Vietnamese
38	later	3.9311849684271665	Vietnamese
39	first	4.039315294415304	Vietnamese
39	later	3.92185444272881	Vietnamese
40	first	4.012939878647998	Vietnamese
40	later	3.924599775418599	Vietnamese
41	first	4.026472936317572	Vietnamese
41	later	3.9301255721064607	Vietnamese
42	first	4.024714742562362	Vietnamese
42	later	3.929838126786385	Vietnamese
43	first	4.0159220222419965	Vietnamese
43	later	3.9253382184187515	Vietnamese
44	first	4.021860025578445	Vietnamese
44	later	3.9209280804257376	Vietnamese
45	first	4.0277155886496985	Vietnamese
45	later	3.922766974183602	Vietnamese
46	first	4.038430020594126	Vietnamese
46	later	3.926283817804535	Vietnamese
47	first	4.014547020759069	Vietnamese
47	later	3.920159281152553	Vietnamese
48	first	4.035652462824604	Vietnamese
48	later	3.931433870858341	Vietnamese
49	first	4.0302672675169955	Vietnamese
49	later	3.918521454281058	Vietnamese
50	first	4.031726265171204	Vietnamese
50	later	3.9251496084257607	Vietnamese
51	first	4.028878087490471	Vietnamese
51	later	3.927755056161288	Vietnamese
52	first	4.0244745732356515	Vietnamese
52	later	3.9262653326165373	Vietnamese
53	first	4.0189273168799655	Vietnamese
53	later	3.921506682432771	Vietnamese
54	first	4.025727017986877	Vietnamese
54	later	3.9346159922683865	Vietnamese
55	first	4.007445271076725	Vietnamese
55	later	3.9232202323474676	Vietnamese
56	first	4.038601363292493	Vietnamese
56	later	3.92153243224444	Vietnamese
57	first	4.0252648518033665	Vietnamese
57	later	3.9257202702177962	Vietnamese
58	first	3.95395497433483	Vietnamese
58	later	3.8638065713547802	Vietnamese
59	first	4.030638903542838	Vietnamese
59	later	3.928044700654732	Vietnamese
60	first	4.002911246608666	Vietnamese
60	later	3.928943714607839	Vietnamese
61	first	3.962202219461307	Vietnamese
61	later	3.8594074002729917	Vietnamese
62	first	3.963054678061036	Vietnamese
62	later	3.8605656690593007	Vietnamese
63	first	4.018638762329045	Vietnamese
63	later	3.9323800352970957	Vietnamese
64	first	4.007903624647231	Vietnamese
64	later	3.923322938872868	Vietnamese
65	first	4.014784886679627	Vietnamese
65	later	3.9321723397228414	Vietnamese
66	first	4.020732847232239	Vietnamese
66	later	3.9209628124860445	Vietnamese
67	first	4.034833520915249	Vietnamese
67	later	3.9200015211849295	Vietnamese
68	first	4.040771364009554	Vietnamese
68	later	3.9186278794958533	Vietnamese
69	first	4.016622573012819	Vietnamese
69	later	3.923030359688948	Vietnamese
70	first	4.0154801423446935	Vietnamese
70	later	3.9211826825401572	Vietnamese
71	first	3.9399370231566424	Vietnamese
71	later	3.8428959301269123	Vietnamese
72	first	3.965670481015523	Vietnamese
72	later	3.8556902946017884	Vietnamese
73	first	4.019494069246657	Vietnamese
73	later	3.93721073219733	Vietnamese
74	first	4.001518697514565	Vietnamese
74	later	3.923152115969952	Vietnamese
75	first	4.044612028826328	Vietnamese
75	later	3.918029813954935	Vietnamese
76	first	4.032113002925245	Vietnamese
76	later	3.9168354136050745	Vietnamese
77	first	4.0270934320279235	Vietnamese
77	later	3.9345870759594925	Vietnamese
78	first	4.034525528403315	Vietnamese
78	later	3.937198935030103	Vietnamese
79	first	3.9574740062679936	Vietnamese
79	later	3.8515838113173673	Vietnamese
