b0	b1	r	R2	lex.type	i	r.z	R2.z	og.greater.r	og.greater.R2	language
-3.679373960826017e-16	-0.5440986174007324	-0.5440986174007326	0.29604330545738883	og	1	-0.5192170366375368	0.4848147044624356	0.25	0.75	Georgian
-9.652754339743216e-17	-0.45037183106713446	-0.45037183106713397	0.20283478621876305	nonce	2	0.9173281109943185	-0.9424060466955843	0.25	0.75	Georgian
3.9755073254328587e-16	-0.5367625057796616	-0.5367625057796617	0.28811398761086127	nonce	3	-0.4067768691679593	0.36339997686528236	0.25	0.75	Georgian
-2.3083408354294467e-16	-0.5209719966152659	-0.5209719966152654	0.27141182125729607	nonce	4	-0.1647566292120923	0.10765427246165371	0.25	0.75	Georgian
-1.1133952742948932e-17	-0.4622683583287208	-0.4622683583287209	0.2136920351119307	nonce	5	0.734990711198328	-0.7761584649574244	0.25	0.75	Georgian
2.1434690970889064e-16	-0.656303691294094	-0.6563036912940937	0.43073453520625316	nonce	6	-2.2389778515178396	2.5472240171179403	0.25	0.75	Georgian
-3.4021847994074216e-16	-0.39914431286517377	-0.399144312865174	0.15931618249261187	nonce	7	1.7024893821417086	-1.6087684651390577	0.25	0.75	Georgian
3.618312032726956e-17	-0.4880044427329447	-0.4880044427329445	0.2381483361270916	nonce	8	0.3405352026274749	-0.40168046025868537	0.25	0.75	Georgian
-1.5484147000682436e-16	-0.5250315511858381	-0.5250315511858382	0.2756581297406075	nonce	9	-0.22697719227659796	0.17267429029591358	0.25	0.75	Georgian
5.234735606711112e-16	-0.558854052229649	-0.5588540522296488	0.3123178516934992	nonce	10	-0.7453727508560138	0.7340126350120272	0.25	0.75	Georgian
-2.799947514139659e-16	-0.4823702398260153	-0.48237023982601523	0.23268104826980746	nonce	11	0.42689031159189206	-0.48539627021049303	0.25	0.75	Georgian
-1.899802134482804e-16	-0.5006160810082444	-0.500616081008245	0.2506164605640536	nonce	12	0.1472373368115372	-0.21076694645319607	0.25	0.75	Georgian
9.534996840630486e-17	-0.3463812933980144	-0.3463812933980142	0.11998000041608126	nonce	13	2.5111851942457712	-2.211089109105361	0.25	0.75	Georgian
1.640066701236061e-16	-0.5382803767800131	-0.5382803767800127	0.2897457640264326	nonce	14	-0.43004119205346264	0.3883859457507161	0.25	0.75	Georgian
-9.837436656679886e-17	-0.5549893755493683	-0.5549893755493684	0.3080132069726779	nonce	15	-0.6861390701826743	0.6680993652583224	0.25	0.75	Georgian
-3.962491839716006e-17	-0.5893927153864597	-0.5893927153864595	0.347383772950624	nonce	16	-1.2134371120615135	1.2709464999146056	0.25	0.75	Georgian
1.7083620910656195e-16	-0.5476572927923973	-0.5476572927923974	0.29992851034869766	nonce	17	-0.5737606528850547	0.5443054579758626	0.25	0.75	Georgian
1.8053229028979104e-16	-0.49159655256063406	-0.4915965525606342	0.24166717048950045	nonce	18	0.2854791386719508	-0.3477996190765564	0.25	0.75	Georgian
-1.6619864622292816e-16	-0.5435649928647195	-0.5435649928647194	0.29546290146802257	nonce	19	-0.5110382035861327	0.4759274844481608	0.25	0.75	Georgian
3.600138518546678e-16	-0.4885843766458703	-0.4885843766458701	0.23871469310243346	nonce	20	0.3316465883780201	-0.3930083299172346	0.25	0.75	Georgian
-4.35201541600959e-16	-0.48942825035758825	-0.4894282503575884	0.2395400122480901	nonce	21	0.31871258377587547	-0.3803709377493195	0.25	0.75	Georgian
