b0	b1	r	R2	lex.type	i	r.z	R2.z	og.greater.r	og.greater.R2	language
2.0922312704763038e-16	-0.7200148284380161	-0.720014828438017	0.5184213531706269	og	1	-1.9054378025744123	2.06061083991733	0.05	0.95	Spanish
5.658994630202695e-16	-0.5339111171504103	-0.5339111171504101	0.285061081016799	nonce	2	-0.2037309418514594	0.10001731742069415	0.05	0.95	Spanish
8.442861453983675e-18	-0.435313076441132	-0.43531307644113176	0.18949747452064264	nonce	3	0.6978360455447402	-0.7028673645069801	0.05	0.95	Spanish
-6.202536137331415e-16	-0.47686936109839145	-0.4768693610983912	0.22740438755438777	nonce	4	0.3178510671789514	-0.3843896413458875	0.05	0.95	Spanish
3.6839527382837485e-16	-0.3422466073785456	-0.3422466073785456	0.11713274026212432	nonce	5	1.5488230990071696	-1.3108450118372739	0.05	0.95	Spanish
5.107279719891158e-16	-0.49728582738269755	-0.49728582738269783	0.24729319411569423	nonce	6	0.13116569423638022	-0.21729236744237662	0.05	0.95	Spanish
3.77713041815891e-16	-0.49851321753440186	-0.498513217534402	0.248515428056502	nonce	7	0.1199426067036932	-0.20702367892394852	0.05	0.95	Spanish
-4.447072220667954e-16	-0.34876422231543225	-0.3487642223154322	0.12163648276728824	nonce	8	1.489226920204964	-1.2730064873055726	0.05	0.95	Spanish
5.026503127453723e-16	-0.4811314373185503	-0.4811314373185506	0.23148745997621437	nonce	9	0.27887922564721046	-0.3500854075179422	0.05	0.95	Spanish
2.016707257839698e-16	-0.5507624702234813	-0.5507624702234815	0.30333929860667125	nonce	10	-0.3578174076102968	0.253583109398623	0.05	0.95	Spanish
-2.076790185884044e-16	-0.4691106704989602	-0.4691106704989603	0.2200648211759841	nonce	11	0.3887954719515894	-0.4460535491165584	0.05	0.95	Spanish
-4.267477803547205e-17	-0.45946814249161444	-0.45946814249161444	0.21111097396469453	nonce	12	0.47696542810821563	-0.5212799562588462	0.05	0.95	Spanish
5.2541720217790945e-16	-0.5874272242565772	-0.587427224256577	0.34507074379778696	nonce	13	-0.6930748995386328	0.6041929213043585	0.05	0.95	Spanish
3.0594210763224165e-16	-0.6950536881972688	-0.6950536881972685	0.4830996294766257	nonce	14	-1.677196553083661	1.7638527754931292	0.05	0.95	Spanish
6.688011123515394e-16	-0.6037280134895737	-0.603728013489574	0.3644875142720673	nonce	15	-0.8421270849091936	0.7673243492390323	0.05	0.95	Spanish
-5.110712478248574e-16	-0.7267764747881579	-0.7267764747881577	0.5282040443055015	nonce	16	-1.967265371214538	2.1428008403599814	0.05	0.95	Spanish
-9.309507308838327e-17	-0.5712811345824893	-0.5712811345824893	0.32636213472985615	nonce	17	-0.5454372657582861	0.44701116360856685	0.05	0.95	Spanish
-4.1192330830597425e-16	-0.4385714210499867	-0.43857142104998653	0.19234489136180458	nonce	18	0.6680421884683551	-0.6789445820937424	0.05	0.95	Spanish
-6.40630445426471e-16	-0.42835992024882025	-0.4283599202488201	0.18349222127557546	nonce	19	0.7614147539663546	-0.753320942164232	0.05	0.95	Spanish
-7.0993297932080125e-16	-0.3880236757080517	-0.38802367570805135	0.15056237290998703	nonce	20	1.1302438525153196	-1.0299834897627824	0.05	0.95	Spanish
-3.1226106205457356e-16	-0.491627903796657	-0.49162790379665705	0.241697995791495	nonce	21	0.18290097300754016	-0.2643008384655755	0.05	0.95	Spanish
