b0	b1	r	R2	lex.type	i	r.z	R2.z	og.greater.r	og.greater.R2	language
3.732360446037466e-16	-0.6223075479567284	-0.6223075479567284	0.3872666842439158	og	1	-0.0562698226701062	-0.002584925487142096	0.4	0.6	Vietnamese
5.828624132831133e-16	-0.6008790272840665	-0.6008790272840662	0.36105560542984533	nonce	2	0.2232291428624644	-0.2765882314951962	0.4	0.6	Vietnamese
-7.507624102175096e-17	-0.6808704571551912	-0.680870457155191	0.46358457942671866	nonce	3	-0.8201243504551372	0.7952210609050936	0.4	0.6	Vietnamese
1.854822284335446e-16	-0.6085300914713802	-0.6085300914713802	0.37030887222616643	nonce	4	0.12343389529291389	-0.17985716172307045	0.4	0.6	Vietnamese
-1.8694730524350537e-16	-0.5446072677907113	-0.5446072677907111	0.2965970761304634	nonce	5	0.957199481148834	-0.9504197152632944	0.4	0.6	Vietnamese
-4.624144031958364e-16	-0.5916683476379707	-0.5916683476379708	0.3500714335966467	nonce	6	0.3433669476256207	-0.39141369966483586	0.4	0.6	Vietnamese
2.4312698942105357e-16	-0.5978386345638914	-0.5978386345638913	0.357411032977218	nonce	7	0.2628859457320047	-0.3146875752150623	0.4	0.6	Vietnamese
-3.124792849842267e-16	-0.6829499213941176	-0.6829499213941179	0.4664205951322318	nonce	8	-0.8472474595358089	0.8248679779478294	0.4	0.6	Vietnamese
3.311754868494308e-16	-0.5629649179651643	-0.5629649179651641	0.3169294988595241	nonce	9	0.7177548497742419	-0.7378702400419515	0.4	0.6	Vietnamese
-2.204696048562746e-16	-0.7820641635179192	-0.7820641635179196	0.6116243558589833	nonce	10	-2.1400258349693035	2.3427875861470357	0.4	0.6	Vietnamese
2.6423906084573615e-16	-0.6588490768790177	-0.6588490768790173	0.4340821061043333	nonce	11	-0.5328925297983714	0.48681043488353026	0.4	0.6	Vietnamese
8.86738163269978e-17	-0.5526448088111244	-0.5526448088111248	0.3054162847058847	nonce	12	0.8523632941367643	-0.8582261690463862	0.4	0.6	Vietnamese
-1.4689516288675187e-16	-0.5322238018155632	-0.5322238018155627	0.28326217521901137	nonce	13	1.1187209404522473	-1.0898190494511817	0.4	0.6	Vietnamese
6.488368488837008e-17	-0.7076142553735079	-0.7076142553735079	0.5007179344078041	nonce	14	-1.1689521603919915	1.1834027950550878	0.4	0.6	Vietnamese
1.3723492687254316e-16	-0.555559997993613	-0.5555599979936132	0.3086469113706637	nonce	15	0.8143395605676641	-0.8244540991172377	0.4	0.6	Vietnamese
-7.182050840094935e-17	-0.6152860832285303	-0.6152860832285306	0.3785769642147063	nonce	16	0.03531336023054017	-0.09342483456443047	0.4	0.6	Vietnamese
-2.208155089555836e-16	-0.7201151220092104	-0.7201151220092099	0.5185657889463393	nonce	17	-1.3320049136040621	1.3699792875146153	0.4	0.6	Vietnamese
-5.395275476624704e-16	-0.6267043776846941	-0.6267043776846937	0.3927583770091591	nonce	18	-0.11361906200219662	0.05482369870307672	0.4	0.6	Vietnamese
2.6806168292894174e-16	-0.45009917909004993	-0.4500991790900501	0.202589271017537	nonce	19	2.189898342157678	-1.9331510852393818	0.4	0.6	Vietnamese
-2.2293602143269995e-16	-0.7031546416832801	-0.7031546416832802	0.4944264501207422	nonce	20	-1.1107840100033508	1.117633373407808	0.4	0.6	Vietnamese
1.007071481049136e-16	-0.5809312439496471	-0.580931243949647	0.337481110196884	nonce	21	0.4834143834493657	-0.5230294282549027	0.4	0.6	Vietnamese
