i	lex.type	test	b	b0	r	language
1	og	min.pairs	0.12056676830255873	0	0.12056676830255873	Arabic
1	og	network.prop	0.03604657674695385	0	0.03604657674695385	Arabic
1	og	mean.edit	-0.08423439220109628	0	-0.08423439220109628	Arabic
2	scr	min.pairs	0.05302127326759119	0	0.05302127326759119	Arabic
2	scr	network.prop	0.048593329633430944	0	0.048593329633430944	Arabic
2	scr	mean.edit	-0.01695748441621106	0	-0.01695748441621106	Arabic
3	scr	min.pairs	0.03188732873894459	0	0.03188732873894459	Arabic
3	scr	network.prop	0.027890449233746444	0	0.027890449233746444	Arabic
3	scr	mean.edit	-0.012651111845822832	0	-0.012651111845822832	Arabic
4	scr	min.pairs	7.751170717059249e-4	0	7.751170717059249e-4	Arabic
4	scr	network.prop	-0.016019636475132052	0	-0.016019636475132052	Arabic
4	scr	mean.edit	-0.03149076799656696	0	-0.03149076799656696	Arabic
5	scr	min.pairs	0.01908313044425324	0	0.01908313044425324	Arabic
5	scr	network.prop	0.011891392415298666	0	0.011891392415298666	Arabic
5	scr	mean.edit	-0.031040344326287255	0	-0.031040344326287255	Arabic
6	scr	min.pairs	-0.009503684853206403	0	-0.009503684853206403	Arabic
6	scr	network.prop	0.02321876775241309	0	0.02321876775241309	Arabic
6	scr	mean.edit	0.024852332550697902	0	0.024852332550697902	Arabic
7	scr	min.pairs	0.04271651317118961	0	0.04271651317118961	Arabic
7	scr	network.prop	0.019527138400209268	0	0.019527138400209268	Arabic
7	scr	mean.edit	-0.036277640915273066	0	-0.036277640915273066	Arabic
8	scr	min.pairs	-0.0334030554933968	0	-0.0334030554933968	Arabic
8	scr	network.prop	-0.028708647928669707	0	-0.028708647928669707	Arabic
8	scr	mean.edit	-0.010624652915743634	0	-0.010624652915743634	Arabic
9	scr	min.pairs	0.004545247967722508	0	0.004545247967722508	Arabic
9	scr	network.prop	0.017833183795994863	0	0.017833183795994863	Arabic
9	scr	mean.edit	0.0279396778694812	0	0.0279396778694812	Arabic
10	scr	min.pairs	-0.01745555093329121	0	-0.01745555093329121	Arabic
10	scr	network.prop	-0.023347491019875436	0	-0.023347491019875436	Arabic
10	scr	mean.edit	-0.013852863851809928	0	-0.013852863851809928	Arabic
11	scr	min.pairs	0.05331284699712234	0	0.05331284699712234	Arabic
11	scr	network.prop	0.018994018521247488	0	0.018994018521247488	Arabic
11	scr	mean.edit	-0.02885601186871084	0	-0.02885601186871084	Arabic
12	scr	min.pairs	0.003013840968263295	0	0.003013840968263295	Arabic
12	scr	network.prop	-0.008138100880147096	0	-0.008138100880147096	Arabic
12	scr	mean.edit	-0.003706985654109175	0	-0.003706985654109175	Arabic
13	scr	min.pairs	-0.020183983360445384	0	-0.020183983360445384	Arabic
13	scr	network.prop	1.9875197914823325e-4	0	1.9875197914823325e-4	Arabic
13	scr	mean.edit	0.019487650427973218	0	0.019487650427973218	Arabic
14	scr	min.pairs	0.004793524613331485	0	0.004793524613331485	Arabic
14	scr	network.prop	8.905686525683213e-4	0	8.905686525683213e-4	Arabic
14	scr	mean.edit	-0.023907935927794426	0	-0.023907935927794426	Arabic
15	scr	min.pairs	-0.03503620839195464	0	-0.03503620839195464	Arabic
15	scr	network.prop	-0.011816210940320529	0	-0.011816210940320529	Arabic
15	scr	mean.edit	-0.017172091645146725	0	-0.017172091645146725	Arabic
16	scr	min.pairs	0.025308288175291214	0	0.025308288175291214	Arabic
16	scr	network.prop	-0.012706761131480336	0	-0.012706761131480336	Arabic
16	scr	mean.edit	-0.014525096602650011	0	-0.014525096602650011	Arabic
17	scr	min.pairs	0.02683114059976503	0	0.02683114059976503	Arabic
17	scr	network.prop	0.031994898329428846	0	0.031994898329428846	Arabic
17	scr	mean.edit	0.006242254989640036	0	0.006242254989640036	Arabic
18	scr	min.pairs	-0.02031680685638734	0	-0.02031680685638734	Arabic
18	scr	network.prop	-0.013078693164193654	0	-0.013078693164193654	Arabic
18	scr	mean.edit	0.02101707747755831	0	0.02101707747755831	Arabic
19	scr	min.pairs	-0.01887726674582468	0	-0.01887726674582468	Arabic
19	scr	network.prop	-0.03216587905870891	0	-0.03216587905870891	Arabic
19	scr	mean.edit	-0.019867329599202784	0	-0.019867329599202784	Arabic
20	scr	min.pairs	-0.036207580065213615	0	-0.036207580065213615	Arabic
20	scr	network.prop	-0.037840239107276005	0	-0.037840239107276005	Arabic
20	scr	mean.edit	0.026616601958547224	0	0.026616601958547224	Arabic
21	scr	min.pairs	0.002874340365714743	0	0.002874340365714743	Arabic
21	scr	network.prop	0.027849076267251652	0	0.027849076267251652	Arabic
21	scr	mean.edit	0.021369494173196012	0	0.021369494173196012	Arabic
22	scr	min.pairs	-0.017532728217589385	0	-0.017532728217589385	Arabic
22	scr	network.prop	-0.002077162148675366	0	-0.002077162148675366	Arabic
22	scr	mean.edit	-0.005523587505348654	0	-0.005523587505348654	Arabic
23	scr	min.pairs	-0.05429236761178104	0	-0.05429236761178104	Arabic
23	scr	network.prop	-0.05055251855580506	0	-0.05055251855580506	Arabic
