word	phones	freq	word.length	freq.rank	unig.p	unig.h	min.pairs	min.pairs.2	min.pairs.3	mean.dist	mean.dist.nonmp	mean.dist.all	scaled.unig.h	network	language
wi	wi	57857.660049478065	2	1	0.05800597376082272	4.107654705546249	3	35	94	2.669172932330827	2.7286821705426356	2.669172932330827	-1.6226532751032976	38	Arabic
ah	ah	37938.21275568696	2	2	0.038035464478808276	4.716510966816164	7	50	75	2.4962406015037595	2.6	2.4962406015037595	-1.4458478750636525	57	Arabic
yacni	yacni	26684.969528751582	5	3	0.026753374418692577	5.224135318818596	0	2	91	2.9468085106382977	4.625854993160055	4.622693096377307	-4.904013698322272	2	Arabic
ana	ana	25282.085319495563	3	4	0.025346894022458315	5.302047217809703	3	66	226	2.7466216216216215	3.1496437054631827	3.1270588235294117	-3.1635339196297596	69	Arabic
fi	fi	19670.548482471488	2	5	0.019720972437521266	5.664125497277977	3	38	91	2.6466165413533833	2.705426356589147	2.6466165413533833	-1.1706706669123732	41	Arabic
la	la	18011.22307367405	2	6	0.018057393474233432	5.79126653024425	13	34	85	2.526315789473684	2.7142857142857144	2.526315789473684	-1.1337502595436952	47	Arabic
Eh	Eh	16993.000663730163	2	7	0.017036560928579532	5.875222053273626	6	47	79	2.5338345864661656	2.626984126984127	2.5338345864661656	-1.1093704661852655	53	Arabic
ya	ya	15899.354371568215	2	8	0.01594011115732164	5.97119449987184	10	36	86	2.556390977443609	2.7049180327868854	2.556390977443609	-1.0815010856878247	46	Arabic
mi$	mi$	15529.777348699692	3	9	0.015569586751862074	6.0051255368768	2	15	187	2.892682926829268	3.485781990521327	3.4658823529411764	-2.8361926851912886	17	Arabic
da	da	13236.8913292705	2	10	0.0132708230935007	6.235598336317131	9	40	83	2.5413533834586466	2.6747967479674797	2.5413533834586466	-1.0047210161567626	49	Arabic
ma	ma	12716.466541965849	2	11	0.012749064236833151	6.293464830566972	8	41	83	2.5488721804511276	2.6693548387096775	2.5488721804511276	-0.9879172000255207	49	Arabic
E	E	12392.143848428166	1	12	0.012423910166735982	6.33073688655898	5	24	0	1.7666666666666666	2	1.7666666666666666	-0.7281446012948343	29	Arabic
kida	kida	12324.262354431907	4	13	0.012355854663692389	6.338661383363371	0	11	158	2.9176470588235293	4.102	4.0979020979020975	-3.2247870225580635	11	Arabic
bass	bass	11607.735473360284	4	14	0.011637491020454459	6.425076135180844	1	13	165	2.9	4.135135135135135	4.127872127872128	-3.1807275873801464	14	Arabic
illi	illi	11389.006214927895	4	15	0.011418201066202881	6.452520817296613	1	24	174	2.855	4.049049049049049	4.041958041958042	-3.1667346386390287	25	Arabic
huwwa	huwwa	10514.089181198335	5	16	0.010541041249196567	6.567838805640632	1	2	26	2.7666666666666666	5.0130047912388775	5.006835269993164	-4.058265744804962	3	Arabic
M	M	9548.663488807097	1	17	0.009573140761465463	6.706791962080713	2	27	0	1.8666666666666667	2	1.8666666666666667	-0.41204243294800363	29	Arabic
cala	cala	9518.49393591987	4	18	0.009542893871223866	6.711357456526505	4	56	250	2.784565916398714	3.8755020080321283	3.86013986013986	-3.034764160358798	60	Arabic
min	min	9480.781994810837	3	19	0.009505085258421869	6.717084717088547	3	31	196	2.826839826839827	3.3871733966745845	3.3623529411764705	-2.5047166737711817	34	Arabic
HAgaB	HAgaB	9073.493030833282	5	20	0.009096752240160308	6.780432724332978	1	9	60	2.8028169014084505	4.8261464750171115	4.820232399179767	-3.9244558132035188	10	Arabic
inta	inta	9035.78108972425	4	21	0.009058943627358313	6.786441458720269	3	22	145	2.818713450292398	4.093279839518556	4.07992007992008	-2.996481822471138	25	Arabic
baqa	baqa	8779.339890182828	4	22	0.008801845060304738	6.827978308600771	4	41	240	2.8181818181818183	3.9216867469879517	3.906093906093906	-2.9753038394726983	45	Arabic
di	di	7776.202256682555	2	23	0.0077961359597716355	7.003025034140946	4	38	90	2.6315789473684212	2.703125	2.6315789473684212	-0.7818684433231687	42	Arabic
hiyya	hiyya	6667.471188076993	5	24	0.006684562743392945	7.224951092117623	4	3	54	2.774193548387097	4.827160493827161	4.813397129186603	-3.6446690123640937	7	Arabic
aywa	aywa	6456.284317866409	4	25	0.006472834511701765	7.271386665107907	0	16	171	2.898936170212766	4.024	4.01998001998002	-2.7492276044551165	16	Arabic
Tab	Tab	5664.333554576721	3	26	0.005678853642859844	7.460184553994782	1	34	196	2.831896551724138	3.375886524822695	3.3623529411764705	-2.1587421054660827	35	Arabic
in	in	5407.892355035298	2	27	0.005421755075806269	7.52702434280715	4	41	87	2.6090225563909772	2.6796875	2.6090225563909772	-0.6297046022287364	45	Arabic
Tayyib	Tayyib	5340.01086103904	6	28	0.005353699572762676	7.545248101426057	0	3	16	2.7	5.434810126582279	5.431372549019608	-4.4165605255389035	3	Arabic
walla	walla	5264.586978820974	5	29	0.005278082347158683	7.5657704252994025	3	19	124	2.8095238095238093	4.518163125428376	4.50786056049214	-3.4301520029311927	22	Arabic
inti	inti	4895.009955952453	4	30	0.00490755794169912	7.670778983509916	4	23	166	2.8247422680412373	4.085341365461847	4.068931068931069	-2.545593391625805	27	Arabic
hina	hina	4661.19592107645	4	31	0.004673144542326742	7.74139062360468	1	35	139	2.772727272727273	4.088088088088088	4.080919080919081	-2.5095913327859782	36	Arabic
kAn	kAn	4525.432933083932	3	32	0.004537033536239556	7.784034961013173	3	34	189	2.8105726872246697	3.3895486935866983	3.364705882352941	-2.007962897614156	37	Arabic
iHna	iHna	4344.415615760574	4	33	0.004355552194789973	7.842928650066742	0	34	118	2.758169934640523	4.104	4.0999000999001	-2.4578211430798462	34	Arabic
rabbina	rabbina	4329.330839316962	7	34	0.004340428749669175	7.847946724833366	0	0	4	2.4	6.224653537563822	6.220116618075802	-4.4904993066513725	0	Arabic
fI	fI	4321.788451095155	2	35	0.004332867027108776	7.85046232275215	4	37	91	2.6390977443609023	2.7109375	2.6390977443609023	-0.5357816436097083	41	Arabic
mhm	mhm	4291.618898207928	3	36	0.004302620136867178	7.860568809202473	1	26	163	2.837696335078534	3.491725768321513	3.4776470588235293	-1.9723300475273349	27	Arabic
wallAhi	wallAhi	4268.991733542509	7	37	0.004279934969185981	7.868195408677172	0	0	12	2.769230769230769	6.274252370532458	6.269679300291545	-4.474311196294625	0	Arabic
law	law	4050.2624751101184	3	38	0.004060645014934402	7.944075373523642	2	29	204	2.847457627118644	3.3791469194312795	3.36	-1.9334508201250769	31	Arabic
dilwaqti	dilwaqti	3944.6690400048274	8	39	0.003954780899088813	7.9821865152621125	0	0	1	1.5	6.941468253968254	6.934588701684836	-4.457128339347234	0	Arabic
kull	kull	3929.5842635612144	4	40	0.003939657453968014	7.987714089230546	1	11	116	2.875968992248062	4.261261261261262	4.253746253746254	-2.3840008226209264	12	Arabic
zayy	zayy	3778.736499125083	4	41	0.0037884230027600287	8.0441868583138465	4	4	120	2.883720930232558	4.232931726907631	4.215784215784216	-2.3552076101611057	8	Arabic
qawi	qawi	3741.0245580160504	4	42	0.0037506143899580326	8.05865734112218	0	19	226	2.910569105691057	3.976	3.972027972027972	-2.3478296881526783	19	Arabic
kuwayyis	kuwayyis	3680.685452241598	8	43	0.0036901206094748385	8.082116313946168	0	0	2	2	7.472222222222222	7.464816650148662	-4.3765902166250825	0	Arabic
lamma	lamma	3627.888734688952	5	44	0.0036371885515520436	8.102960567739013	1	10	109	2.87603305785124	4.562628336755647	4.557074504442926	-3.092036140262344	11	Arabic
lissa	lissa	3567.5496289144994	5	45	0.0035766947710688494	8.127157278169658	0	4	55	2.8833333333333333	4.822161422708619	4.818865345181135	-3.0768063529400167	4	Arabic
Tabcan	Tabcan	3552.4648524708864	6	46	0.003561571325948051	8.13327040189627	0	6	35	2.7857142857142856	5.2126582278481015	5.2093611638203665	-3.9699691849520544	6	Arabic
ilHamdulillA	ilHamdulillA	3401.6170880347554	12	47	0.003410336874740066	8.1958700282536725	0	0	0	0	9.831460674157304	9.722222222222221	-4.21449161070303	0	Arabic
cArif	cArif	3394.074699812949	5	48	0.0034027751521796667	8.199072460292017	1	14	113	2.852713178294574	4.891170431211499	4.885167464114833	-3.031541814518182	15	Arabic
mafI$	mafI$	3326.19320581669	5	49	0.0033347196491360733	8.228218805951533	1	9	77	2.840909090909091	4.724845995893224	4.71907040328093	-3.013196649505368	10	Arabic
ha	ha	3032.040065166234	2	50	0.003039812469280502	8.361801960330126	11	38	83	2.526315789473684	2.6859504132231407	2.526315789473684	-0.38729403671619517	49	Arabic
carfaB	carfaB	2994.328124057202	6	52	0.0030020038564785062	8.379858454366097	0	18	100	2.823529411764706	5.181012658227848	5.1777356103731815	-3.782690422161699	18	Arabic
xalAS	xalAS	2994.328124057202	5	51	0.0030020038564785062	8.379858454366097	0	15	97	2.84070796460177	4.676470588235294	4.673274094326726	-2.917752287280767	15	Arabic
ca$An	ca$An	2933.989018282749	5	53	0.0029415100759953117	8.409227306522862	0	8	104	2.9026548672566372	4.678522571819426	4.675324675324675	-2.8992670732046455	8	Arabic
bacdEn	bacdEn	2896.2770771737164	6	54	0.0029037014631933156	8.427891150787898	0	5	19	2.68	5.431645569620253	5.428209993674889	-3.7462105365011382	5	Arabic
cAyiz	cAyiz	2828.3955831774574	5	55	0.0028356459601497222	8.462106866125811	3	13	104	2.8181818181818183	4.944482522275531	4.9330143540669855	-2.865983852795012	16	Arabic
barDu	barDu	2768.056477403005	5	56	0.002775152179666528	8.493217398665841	1	9	80	2.8461538461538463	4.6974674880219025	4.69172932330827	-2.8464023978932365	10	Arabic
kunt	kunt	2737.886924515779	4	57	0.0027449052894249312	8.509027913513304	2	16	101	2.808333333333333	4.293587174348698	4.282717282717282	-2.118203696953615	18	Arabic
yOm	yOm	2730.3445362939724	3	58	0.002737343566864532	8.513007764425849	1	21	137	2.8375	3.5768321513002364	3.5623529411764707	-1.6685656343650166	22	Arabic
bitAc	bitAc	2722.8021480721654	5	59	0.0027297818443041324	8.516998624621884	3	4	62	2.8142857142857145	4.86771761480466	4.856459330143541	-2.8314341229860807	7	Arabic
mA$i	mA$i	2685.0902069631325	4	60	0.002691973231502136	8.537120220542658	4	45	176	2.752212389380531	4.104417670682731	4.087912087912088	-2.1038805501004907	49	Arabic
A	A	2654.9206540759064	1	61	0.002661726341260539	8.553422032871758	3	26	0	1.8333333333333333	2	1.8333333333333333	1.140187034242837	29	Arabic
