i	lex.type	test	b	b0	r	language
1	og	min.pairs	0.14956919479634592	0	0.14956919479634592	Armenian
1	og	network.prop	0.06819073231860587	0	0.06819073231860587	Armenian
1	og	mean.edit	-0.1120088525453549	0	-0.1120088525453549	Armenian
2	scr	min.pairs	-0.010555495513252432	0	-0.010555495513252432	Armenian
2	scr	network.prop	0.007291226143847337	0	0.007291226143847337	Armenian
2	scr	mean.edit	0.00751616549205436	0	0.00751616549205436	Armenian
3	scr	min.pairs	-0.016271863774410422	0	-0.016271863774410422	Armenian
3	scr	network.prop	-0.019954229697629066	0	-0.019954229697629066	Armenian
3	scr	mean.edit	-0.017252232224460498	0	-0.017252232224460498	Armenian
4	scr	min.pairs	-0.00856288424051941	0	-0.00856288424051941	Armenian
4	scr	network.prop	-0.0025677910175038237	0	-0.0025677910175038237	Armenian
4	scr	mean.edit	0.030868444586991728	0	0.030868444586991728	Armenian
5	scr	min.pairs	-0.0061814517901325455	0	-0.0061814517901325455	Armenian
5	scr	network.prop	-6.776945781546314e-4	0	-6.776945781546314e-4	Armenian
5	scr	mean.edit	0.013045128367337483	0	0.013045128367337483	Armenian
6	scr	min.pairs	-0.014378673574531849	0	-0.014378673574531849	Armenian
6	scr	network.prop	0.018961923379413118	0	0.018961923379413118	Armenian
6	scr	mean.edit	0.023114988352119732	0	0.023114988352119732	Armenian
7	scr	min.pairs	-0.005904245602952227	0	-0.005904245602952227	Armenian
7	scr	network.prop	-0.009983129685039168	0	-0.009983129685039168	Armenian
7	scr	mean.edit	-0.008783297114709899	0	-0.008783297114709899	Armenian
8	scr	min.pairs	-0.009324454015981996	0	-0.009324454015981996	Armenian
8	scr	network.prop	0.007601554823960339	0	0.007601554823960339	Armenian
8	scr	mean.edit	0.01071484299561965	0	0.01071484299561965	Armenian
9	scr	min.pairs	-0.002349416536103311	0	-0.002349416536103311	Armenian
9	scr	network.prop	-0.011242648309210524	0	-0.011242648309210524	Armenian
9	scr	mean.edit	-0.021600701643411317	0	-0.021600701643411317	Armenian
10	scr	min.pairs	0.0027701424544585396	0	0.0027701424544585396	Armenian
10	scr	network.prop	0.00842809548553857	0	0.00842809548553857	Armenian
10	scr	mean.edit	0.0035035087856978655	0	0.0035035087856978655	Armenian
11	scr	min.pairs	0.004067482387459403	0	0.004067482387459403	Armenian
11	scr	network.prop	-9.706736949015136e-4	0	-9.706736949015136e-4	Armenian
11	scr	mean.edit	-0.010946892011670692	0	-0.010946892011670692	Armenian
12	scr	min.pairs	0.0028348850891732123	0	0.0028348850891732123	Armenian
12	scr	network.prop	0.027418439093477402	0	0.027418439093477402	Armenian
12	scr	mean.edit	0.009563012836679319	0	0.009563012836679319	Armenian
13	scr	min.pairs	-0.007369960730173269	0	-0.007369960730173269	Armenian
13	scr	network.prop	-0.001158032931663803	0	-0.001158032931663803	Armenian
13	scr	mean.edit	-0.004233171221029269	0	-0.004233171221029269	Armenian
14	scr	min.pairs	-0.006599510564415245	0	-0.006599510564415245	Armenian
14	scr	network.prop	0.0052628273137067805	0	0.0052628273137067805	Armenian
14	scr	mean.edit	-0.005212380229142931	0	-0.005212380229142931	Armenian
15	scr	min.pairs	0.009138616237022903	0	0.009138616237022903	Armenian
15	scr	network.prop	-0.004144449883493261	0	-0.004144449883493261	Armenian
15	scr	mean.edit	-0.007861577546494377	0	-0.007861577546494377	Armenian
16	scr	min.pairs	0.0035629732803179304	0	0.0035629732803179304	Armenian
16	scr	network.prop	3.214954734750288e-4	0	3.214954734750288e-4	Armenian
16	scr	mean.edit	-0.001939604425588667	0	-0.001939604425588667	Armenian
17	scr	min.pairs	0.009437496515977617	0	0.009437496515977617	Armenian
17	scr	network.prop	0.01474691538592951	0	0.01474691538592951	Armenian
17	scr	mean.edit	-0.0016861231669252842	0	-0.0016861231669252842	Armenian
18	scr	min.pairs	-0.012597787782701878	0	-0.012597787782701878	Armenian
18	scr	network.prop	-0.003939668565121302	0	-0.003939668565121302	Armenian
18	scr	mean.edit	0.020291261216625518	0	0.020291261216625518	Armenian
19	scr	min.pairs	-0.01416728645031688	0	-0.01416728645031688	Armenian
19	scr	network.prop	0.0037369121375453083	0	0.0037369121375453083	Armenian
19	scr	mean.edit	0.011489597953469143	0	0.011489597953469143	Armenian
20	scr	min.pairs	0.007860974178142683	0	0.007860974178142683	Armenian
20	scr	network.prop	0.012363474081462694	0	0.012363474081462694	Armenian
20	scr	mean.edit	-0.013786246533833644	0	-0.013786246533833644	Armenian
21	scr	min.pairs	-3.099679196828589e-4	0	-3.099679196828589e-4	Armenian
21	scr	network.prop	-1.2287232869967455e-4	0	-1.2287232869967455e-4	Armenian
21	scr	mean.edit	-0.005864009679844806	0	-0.005864009679844806	Armenian
22	scr	min.pairs	0.007323818572711215	0	0.007323818572711215	Armenian
22	scr	network.prop	8.681558023396096e-4	0	8.681558023396096e-4	Armenian
22	scr	mean.edit	-0.0037434181601214036	0	-0.0037434181601214036	Armenian
23	scr	min.pairs	0.0067280686292927735	0	0.0067280686292927735	Armenian
23	scr	network.prop	0.00955042681724595	0	0.00955042681724595	Armenian
23	scr	mean.edit	0.023375579338589265	0	0.023375579338589265	Armenian
24	scr	min.pairs	-0.024200170043686246	0	-0.024200170043686246	Armenian
24	scr	network.prop	-0.016184332145759987	0	-0.016184332145759987	Armenian
24	scr	mean.edit	0.02740708506114514	0	0.02740708506114514	Armenian
