word	phones	freq	word.length	freq.rank	unig.p	unig.h	min.pairs	min.pairs.2	min.pairs.3	mean.dist	mean.dist.nonmp	mean.dist.all	scaled.unig.h	network	language
E	E	128458.01934882755	1	1	0.13283000682040708	2.9123470009069123	19	57	0	1.7272727272727273	2	1.7272727272727273	-1.3345479587174522	76	Armenian
yEv	yEv	34320.32704266997	3	2	0.03548839767470743	4.816508752567734	14	155	751	2.798045602605863	3.322477650063857	3.299810246679317	-4.023366627576881	169	Armenian
vu	vu	23339.099275965196	2	3	0.024133430763790695	5.372823168788757	17	178	484	2.6838235294117645	2.731117824773414	2.6838235294117645	-2.4913977062760617	195	Armenian
vor	vor	23036.237652602955	3	4	0.023820261436560106	5.391666942351079	27	225	770	2.724340175953079	3.2144236960721186	3.174573055028463	-3.786402420141925	252	Armenian
asEl	asEl	14624.345844830303	4	5	0.015122076209487585	6.04719995950824	15	183	602	2.730337078651685	3.8274793388429753	3.8116438356164384	-4.061731682762602	198	Armenian
ink@	ink@	13561.337459274288	4	6	0.014022889005611052	6.156072584741721	0	8	188	2.9441624365482233	4.2672147995889	4.265753424657534	-4.011741571553993	8	Armenian
na	na	11216.254770868623	2	7	0.011597992910572622	6.429981028258039	18	249	412	2.5764705882352943	2.6232980332829046	2.5764705882352943	-2.162078222054828	267	Armenian
mi	mi	10169.606499354573	2	8	0.01051572262687587	6.571308196158789	11	157	511	2.7323529411764707	2.7649700598802394	2.7323529411764707	-2.1180528292313876	168	Armenian
El	El	8875.960408524019	2	9	0.009178048109245345	6.767596915612079	14	204	461	2.6544117647058822	2.693233082706767	2.6544117647058822	-2.056906143076819	218	Armenian
mEnK	mEnK	7152.961080884803	4	10	0.007396407588847871	7.078959556106125	7	83	454	2.81651376146789	4.115384615384615	4.1065068493150685	-3.5879874622676224	90	Armenian
TE	TE	6436.70730758411	2	11	0.006655776571220853	7.231177280420153	16	197	466	2.6588235294117646	2.7028657616892913	2.6588235294117646	-1.912494364583938	213	Armenian
