i	lex.type	test	b	b0	r	language
1	og	min.pairs	0.17036511406593785	0	0.17036511406593785	Bengali
1	og	network.prop	0.06639007838334486	0	0.06639007838334486	Bengali
1	og	mean.edit	-0.1348227863304283	0	-0.1348227863304283	Bengali
2	scr	min.pairs	-0.007259763100140737	0	-0.007259763100140737	Bengali
2	scr	network.prop	-0.007978490593464236	0	-0.007978490593464236	Bengali
2	scr	mean.edit	-0.001466255915289972	0	-0.001466255915289972	Bengali
3	scr	min.pairs	-0.012781462700745887	0	-0.012781462700745887	Bengali
3	scr	network.prop	-0.017168404696697722	0	-0.017168404696697722	Bengali
3	scr	mean.edit	0.0029928149997918356	0	0.0029928149997918356	Bengali
4	scr	min.pairs	-0.012919594275357023	0	-0.012919594275357023	Bengali
4	scr	network.prop	-0.011917690893725824	0	-0.011917690893725824	Bengali
4	scr	mean.edit	-0.005087697582813655	0	-0.005087697582813655	Bengali
5	scr	min.pairs	-0.016830250862389748	0	-0.016830250862389748	Bengali
5	scr	network.prop	-0.00364880467708763	0	-0.00364880467708763	Bengali
5	scr	mean.edit	0.012369883953291036	0	0.012369883953291036	Bengali
6	scr	min.pairs	-0.02197731568702281	0	-0.02197731568702281	Bengali
6	scr	network.prop	0.016691221876289263	0	0.016691221876289263	Bengali
6	scr	mean.edit	0.02341526610142251	0	0.02341526610142251	Bengali
7	scr	min.pairs	-0.0065999504348011944	0	-0.0065999504348011944	Bengali
7	scr	network.prop	-0.011796508345112361	0	-0.011796508345112361	Bengali
7	scr	mean.edit	-0.0026235377403776715	0	-0.0026235377403776715	Bengali
8	scr	min.pairs	0.011131669538948145	0	0.011131669538948145	Bengali
8	scr	network.prop	0.0158672075983681	0	0.0158672075983681	Bengali
8	scr	mean.edit	-0.0063174643977292775	0	-0.0063174643977292775	Bengali
9	scr	min.pairs	-0.00615801698687602	0	-0.00615801698687602	Bengali
9	scr	network.prop	-7.23376059796789e-4	0	-7.23376059796789e-4	Bengali
9	scr	mean.edit	0.010120400139173674	0	0.010120400139173674	Bengali
10	scr	min.pairs	0.0048763888600562915	0	0.0048763888600562915	Bengali
10	scr	network.prop	-0.007038418468312389	0	-0.007038418468312389	Bengali
10	scr	mean.edit	-0.01285202273585964	0	-0.01285202273585964	Bengali
11	scr	min.pairs	3.6088198772032086e-4	0	3.6088198772032086e-4	Bengali
11	scr	network.prop	0.009560656462869731	0	0.009560656462869731	Bengali
11	scr	mean.edit	0.020615590281743167	0	0.020615590281743167	Bengali
