word	phones	freq	word.length	freq.rank	unig.p	unig.h	min.pairs	min.pairs.2	min.pairs.3	mean.dist	mean.dist.nonmp	mean.dist.all	scaled.unig.h	network	language
kOrO	kOrO	23010.55251561889	4	1	0.024318622477170215	5.361794679810683	15	117	424	2.7307001795332138	4.079412746079413	4.062728177895785	-4.6855765193050525	132	Bengali
kOra	kOra	11248.90636424715	4	2	0.011888367607317587	6.394305557660542	18	137	682	2.7899761336515514	3.867735470941884	3.8493196150016593	-4.165069549055807	155	Bengali
ekti	ekti	8661.44307067444	4	3	0.009153816015511197	6.771410989465601	11	58	440	2.8372549019607844	4.082972342552482	4.070361765682044	-3.9749640402575475	69	Bengali
2ini	2ini	8365.434228051905	4	4	0.008840980098652817	6.821577971031014	10	109	619	2.821380243572395	3.957694870086609	3.946564885496183	-3.9496739787760258	119	Bengali
ba	ba	7018.850649185225	2	5	0.0074178479219618055	7.074783594130489	42	316	312	2.3994038748137108	2.4968152866242037	2.3994038748137108	-2.5202753250133543	358	Bengali
er	er	6820.941076179406	2	6	0.007208687877357069	7.116047600105901	22	249	399	2.5588673621460507	2.615740740740741	2.5588673621460507	-2.503322175600261	271	Bengali
2ar	2ar	6762.195583327535	3	7	0.0071466029073447125	7.128526655829102	21	279	821	2.7112299465240643	3.19732246798603	3.168965517241379	-3.275257001503422	300	Bengali
as	as	6760.104319827953	2	8	0.007144392762781165	7.128972889905509	26	320	324	2.4411326378539493	2.5031055900621118	2.4411326378539493	-2.49801187273459	346	Bengali
kaj	kaj	6599.647374950998	3	9	0.0069748143980872205	7.163629457759229	18	257	832	2.732851985559567	3.2178965717606043	3.193103448275862	-3.259064264118723	275	Bengali
amar	amar	6501.167875607085	4	10	0.006870736681367478	7.185319491357227	19	149	688	2.778296382730455	3.8389575676578684	3.8197809492200463	-3.766305453794362	168	Bengali
ama3er	ama3er	5734.814860442381	6	11	0.006060819159944143	7.366271487973499	5	14	85	2.742857142857143	5.553312159709619	5.5468962392387855	-4.358775089355492	19	Bengali
o	o	5519.6048348491195	1	12	0.005833375192131886	7.421453415992948	28	110	0	1.7841726618705036	2	1.7841726618705036	-0.9824854421220806	138	Bengali
amra	amra	4894.126933610749	4	13	0.005172341045398379	7.594966880302116	7	91	705	2.8656716417910446	3.8675540765391014	3.8596083637570526	-3.5597949696295412	98	Bengali
kO1a	kO1a	4446.406429836779	4	14	0.00469916918656634	7.733378573908324	11	89	579	2.8323529411764707	3.9573475508163947	3.9452373050116165	-3.490019190185879	100	Bengali
3ec	3ec	4350.588538583242	3	15	0.0045979043811092924	7.7648078208534574	15	142	752	2.8076923076923075	3.3990719257540603	3.3764367816091956	-2.9817438560690954	157	Bengali
sa1e	sa1e	4143.7435669883025	4	16	0.00437930099155122	7.835083674310843	7	77	730	2.884662576687117	3.935440931780366	3.9273149684699633	-3.4387478527064603	84	Bengali
ekta	ekta	4045.834412235184	4	17	0.004275826041530625	7.869581125272124	12	52	524	2.865874363327674	4.020333333333333	4.006969797543976	-3.421357078365592	64	Bengali
manuS	manuS	3902.297690218476	5	18	0.004124129755578103	7.921694560398314	2	24	156	2.830601092896175	4.869185360094451	4.866210476639925	-4.096858293052928	26	Bengali
jan	jan	3782.3352112879556	3	19	0.003997347826523744	7.96674117130627	26	280	816	2.701691896705254	3.1967308814944544	3.1620689655172414	-2.888593066579313	306	Bengali
aC	aC	3566.935070831095	2	20	0.0037697029364784362	8.051333445241173	20	317	333	2.4634873323397914	2.5123076923076924	2.4634873323397914	-2.1190637813479465	337	Bengali
raK	raK	3542.030023699719	3	21	0.0037433821239489257	8.06144195878931	15	239	820	2.7469767441860466	3.2470997679814384	3.225862068965517	-2.8449080928017367	254	Bengali
Hiseb	Hiseb	3519.2162400679244	5	22	0.003719271455982962	8.070764235849499	2	12	119	2.8582089552238807	4.993388429752066	4.99032562529495	-4.009444004681319	14	Bengali
na	na	3507.8093482520267	2	23	0.0037072161219999797	8.07544806131811	34	319	317	2.418777943368107	2.498427672955975	2.418777943368107	-2.1091563891855065	353	Bengali
mOnO	mOnO	3422.447774496395	4	24	0.0036170020393606656	8.110989873238848	14	99	418	2.755639097744361	4.089059372915277	4.07334882177232	-3.2996586646331463	113	Bengali
sOrOkar	sOrOkar	3318.264829244533	7	25	0.003506896655649431	8.155589368065908	3	15	73	2.739130434782609	5.869779446269357	5.864978902953586	-4.160217634126808	18	Bengali
eKOnO	eKOnO	3072.636425475544	5	26	0.0032473051305492214	8.266541331929824	1	38	253	2.8532423208191124	4.803824362606233	4.801793298725814	-3.894640537902953	39	Bengali
rO	rO	2947.9210749550666	2	27	0.0031155001456686193	8.326320500303583	10	181	479	2.6959761549925485	2.7257575757575756	2.6959761549925485	-2.0060864656234996	191	Bengali
bOCOrO	bOCOrO	2892.217419920768	6	28	0.0030566299313850576	8.353842390099578	3	31	234	2.8513011152416357	5.337414965986395	5.333257816039873	-3.7864402342445627	34	Bengali
biBinOnO	biBinOnO	2862.9397309266315	8	29	0.0030256879074954043	8.368521099992172	0	7	13	2.5238095238095237	6.9031971580817055	6.901154187629476	-4.147179151587167	7	Bengali
ne	ne	2721.304157545906	2	30	0.002876000843873379	8.441720185570635	27	236	407	2.563338301043219	2.6329704510108867	2.563338301043219	-1.9586749732026703	263	Bengali
jana	jana	2666.551076829599	4	31	0.002818135240755066	8.471043437214343	24	211	856	2.76007326007326	3.75	3.726850315300365	-3.118149303586415	235	Bengali
eta	eta	2662.5586646940346	3	32	0.002813915873861022	8.473205086925502	20	151	1006	2.835314091680815	3.2390924956369984	3.211494252873563	-2.654963933589504	171	Bengali
bOjObOHar	bOjObOHar	2639.174536471445	9	33	0.002789202439195909	8.485931636267523	1	5	7	2.2857142857142856	7.278918548939083	7.274281805745554	-4.370879262792939	6	Bengali
emOnO	emOnO	2600.200989433796	5	34	0.002748013381420721	8.507395255301448	6	42	268	2.8201892744479493	4.76294020326164	4.756488909863143	-3.7534040707991183	48	Bengali
nam	nam	2573.5849085300356	3	35	0.0027198842687937634	8.522239018623768	21	242	844	2.740974729241877	3.2270081490104774	3.1982758620689653	-2.632344839520895	263	Bengali
jOnOjO	jOnOjO	2444.8771458739943	6	36	0.002583859917019118	8.59625642767206	7	28	233	2.83271375464684	5.405129369042215	5.396918894426824	-3.6459520902822273	35	Bengali
curu	curu	2432.8999094673018	4	37	0.0025712018163369867	8.603341431393849	6	41	383	2.8700696055684456	4.184298070525616	4.176568204447395	-3.051455548006979	47	Bengali
bOjapar	bOjapar	2427.006348695755	7	38	0.0025649732271124464	8.606840517431584	3	13	26	2.488372093023256	6.218442045987799	6.213314580403188	-3.8887355744974106	16	Bengali
Daka	Daka	2284.9905455878334	4	39	0.0024148843190243217	8.693830203827632	12	154	794	2.8116545265348596	3.822	3.809492200464653	-3.0058385595650123	166	Bengali
kaCe	kaCe	2275.674917271517	4	40	0.0024050391296048866	8.699723918056506	5	90	740	2.876794258373206	3.928500166278683	3.9223365416528377	-3.0028674341244996	95	Bengali
BarO2O	BarO2O	2273.0133091811413	6	41	0.002402226218342191	8.701412268209275	0	49	238	2.8194444444444446	5.261273510083843	5.260081558676937	-3.5850102858726727	49	Bengali
3e	3e	2270.7319308179617	2	42	0.0023998151515455947	8.702860999752827	27	228	415	2.5752608047690013	2.645412130637636	2.5752608047690013	-1.8513863293583084	255	Bengali
ar	ar	2238.7926337334493	2	43	0.0023660602163932455	8.723297493830357	29	339	302	2.403874813710879	2.4711388455538223	2.403874813710879	-1.8429900786941678	368	Bengali
Bab	Bab	2201.1498907409878	3	44	0.0023262776142494047	8.747761008658491	12	231	805	2.754051477597712	3.2663578459756804	3.2488505747126437	-2.528312735007528	243	Bengali
3eKa	3eKa	2132.3283101184074	4	45	0.0022535437658854143	8.793588815876747	9	74	596	2.860294117647059	3.9983349983349985	3.988051775638898	-2.955548481244399	83	Bengali
kinO2u	kinO2u	2030.4267432297245	6	46	0.002145849448970776	8.864235423312453	1	11	52	2.753846153846154	5.517905711695376	5.515632079746262	-3.4906480819194576	12	Bengali
pa	pa	2019.5901960046222	2	47	0.0021343968816869433	8.871955820775296	31	312	327	2.4381520119225035	2.511737089201878	2.4381520119225035	-1.7819144082975562	343	Bengali
3ui	3ui	1980.9968786941695	3	48	0.0020936096683778545	8.8997917927215	11	185	869	2.803001876172608	3.282986111111111	3.2666666666666666	-2.458181736188048	196	Bengali
sOmOpOrOkO	sOmOpOrOkO	1962.3656220615371	10	49	0.002073919289538984	8.913424534603319	0	5	7	2.3846153846153846	7.574788334901223	7.571227080394922	-4.150434866158782	5	Bengali
Ha2	Ha2	1960.8447031527508	3	50	0.0020723119116745864	8.914543119688153	20	238	832	2.7424381301558203	3.2390924956369984	3.211494252873563	-2.451377026862499	258	Bengali
ma3OjOmO	ma3OjOmO	1940.8826424749307	8	51	0.0020512150772043682	8.929305513201205	1	2	15	2.6315789473684212	6.668936926265917	6.665285587451909	-3.7983432646906845	3	Bengali
Kub	Kub	1931.376899295016	3	52	0.002041168965551883	8.936388672759763	5	101	721	2.86231884057971	3.4677047289504035	3.4586206896551723	-2.4412997884524077	106	Bengali
3OlO	3OlO	1921.3008115243067	4	53	0.0020305200872002493	8.943934985269417	8	79	430	2.810810810810811	4.10918774966711	4.099568536342516	-2.879756321764082	87	Bengali
bOjObOsO1a	bOjObOsO1a	1911.4148386171958	10	54	0.002020072131081665	8.951377476192002	5	0	6	1.9166666666666667	7.864214992927864	7.8443817583450866	-4.125509621865845	5	Bengali
3in	3in	1891.0725482121788	3	55	0.0019985734521453472	8.966813688586985	21	191	819	2.7713178294573644	3.30093131548312	3.2712643678160918	-2.427264889124537	212	Bengali
esObO	esObO	1818.6387851812308	5	56	0.0019220220813534123	9.023159373901064	3	25	228	2.867704280155642	4.828058573452999	4.8242095327984895	-3.4509605774559025	28	Bengali
jOnO	jOnO	1751.3381234674366	4	57	0.001850895610853819	9.077560754094524	9	94	403	2.7731755424063116	4.107892107892108	4.097245270494524	-2.812393211533977	103	Bengali
BaSa	BaSa	1742.7829546055136	4	58	0.0018418541103665828	9.084625491737754	7	136	770	2.8326039387308533	3.853910149750416	3.8460006637902424	-2.8088317525070843	143	Bengali
eKane	eKane	1726.0528466088642	5	59	0.0018241729538582094	9.098541763578066	8	27	186	2.7927927927927927	4.854575549775361	4.846153846153846	-3.406756429768439	35	Bengali
