i	lex.type	test	b	b0	r	language
1	og	min.pairs	0.09449343673338521	0	0.09449343673338521	Cantonese
1	og	network.prop	0.06171341697923122	0	0.06171341697923122	Cantonese
1	og	mean.edit	-0.045119673865287376	0	-0.045119673865287376	Cantonese
2	scr	min.pairs	0.0014221804024419284	0	0.0014221804024419284	Cantonese
2	scr	network.prop	0.003793505511744245	0	0.003793505511744245	Cantonese
2	scr	mean.edit	-0.0021128202108752128	0	-0.0021128202108752128	Cantonese
3	scr	min.pairs	8.676155064395862e-4	0	8.676155064395862e-4	Cantonese
3	scr	network.prop	0.0057667126291322	0	0.0057667126291322	Cantonese
3	scr	mean.edit	0.018056171909156395	0	0.018056171909156395	Cantonese
4	scr	min.pairs	-0.0035668327483747635	0	-0.0035668327483747635	Cantonese
4	scr	network.prop	2.859563778341653e-4	0	2.859563778341653e-4	Cantonese
4	scr	mean.edit	-0.0031054770545139343	0	-0.0031054770545139343	Cantonese
5	scr	min.pairs	-0.012198342205177478	0	-0.012198342205177478	Cantonese
5	scr	network.prop	-0.008578393744968075	0	-0.008578393744968075	Cantonese
5	scr	mean.edit	0.013135705528843494	0	0.013135705528843494	Cantonese
6	scr	min.pairs	0.012970956203786315	0	0.012970956203786315	Cantonese
6	scr	network.prop	0.012964363518840725	0	0.012964363518840725	Cantonese
6	scr	mean.edit	5.07434023778289e-4	0	5.07434023778289e-4	Cantonese
7	scr	min.pairs	0.00522377233310424	0	0.00522377233310424	Cantonese
7	scr	network.prop	0.0032550535021870154	0	0.0032550535021870154	Cantonese
7	scr	mean.edit	-0.011275051222398977	0	-0.011275051222398977	Cantonese
8	scr	min.pairs	-0.010447906845941143	0	-0.010447906845941143	Cantonese
8	scr	network.prop	-0.01612245007778832	0	-0.01612245007778832	Cantonese
8	scr	mean.edit	-0.006210327961957541	0	-0.006210327961957541	Cantonese
9	scr	min.pairs	-0.01700855674201493	0	-0.01700855674201493	Cantonese
9	scr	network.prop	-0.016560649042933688	0	-0.016560649042933688	Cantonese
9	scr	mean.edit	0.005260474982861531	0	0.005260474982861531	Cantonese
10	scr	min.pairs	0.010106399336755672	0	0.010106399336755672	Cantonese
10	scr	network.prop	0.004699880063201219	0	0.004699880063201219	Cantonese
10	scr	mean.edit	-7.026273002422327e-4	0	-7.026273002422327e-4	Cantonese
11	scr	min.pairs	-0.00456107108803927	0	-0.00456107108803927	Cantonese
11	scr	network.prop	-0.01235121328513687	0	-0.01235121328513687	Cantonese
11	scr	mean.edit	0.020748496223596587	0	0.020748496223596587	Cantonese
12	scr	min.pairs	-0.013542685536666465	0	-0.013542685536666465	Cantonese
12	scr	network.prop	-0.01633717355632933	0	-0.01633717355632933	Cantonese
12	scr	mean.edit	0.001487855136927559	0	0.001487855136927559	Cantonese
13	scr	min.pairs	-0.003944349167627745	0	-0.003944349167627745	Cantonese
13	scr	network.prop	-0.01453001443719634	0	-0.01453001443719634	Cantonese
13	scr	mean.edit	0.013208709513867954	0	0.013208709513867954	Cantonese
14	scr	min.pairs	-0.009758073442154042	0	-0.009758073442154042	Cantonese
14	scr	network.prop	-0.007853222662117616	0	-0.007853222662117616	Cantonese
14	scr	mean.edit	-6.116498903874799e-4	0	-6.116498903874799e-4	Cantonese
15	scr	min.pairs	0.002561279622629164	0	0.002561279622629164	Cantonese
15	scr	network.prop	0.0041568924490159994	0	0.0041568924490159994	Cantonese
15	scr	mean.edit	-0.003907634584886294	0	-0.003907634584886294	Cantonese
16	scr	min.pairs	-0.0011396909668909899	0	-0.0011396909668909899	Cantonese
16	scr	network.prop	0.0065253501265929315	0	0.0065253501265929315	Cantonese
16	scr	mean.edit	0.008897658362675467	0	0.008897658362675467	Cantonese
17	scr	min.pairs	-0.014025935303626717	0	-0.014025935303626717	Cantonese
17	scr	network.prop	-0.018852296489868747	0	-0.018852296489868747	Cantonese
17	scr	mean.edit	-0.004482972865234661	0	-0.004482972865234661	Cantonese
18	scr	min.pairs	0.016610491930356307	0	0.016610491930356307	Cantonese
18	scr	network.prop	0.012639422821646644	0	0.012639422821646644	Cantonese
18	scr	mean.edit	-0.007736199923899916	0	-0.007736199923899916	Cantonese
19	scr	min.pairs	0.02447123099849487	0	0.02447123099849487	Cantonese
19	scr	network.prop	-0.0022812146331897443	0	-0.0022812146331897443	Cantonese
19	scr	mean.edit	-0.026669770365256272	0	-0.026669770365256272	Cantonese
20	scr	min.pairs	-0.010108810465268155	0	-0.010108810465268155	Cantonese
20	scr	network.prop	-0.010549412176751446	0	-0.010549412176751446	Cantonese
20	scr	mean.edit	-0.005916945270606372	0	-0.005916945270606372	Cantonese
21	scr	min.pairs	-0.012078485291788702	0	-0.012078485291788702	Cantonese
21	scr	network.prop	-0.019270646938048072	0	-0.019270646938048072	Cantonese
21	scr	mean.edit	-0.0060340325672760126	0	-0.0060340325672760126	Cantonese
22	scr	min.pairs	-0.018487901092863045	0	-0.018487901092863045	Cantonese
22	scr	network.prop	-0.0340655965500992	0	-0.0340655965500992	Cantonese
22	scr	mean.edit	-0.01231673881328254	0	-0.01231673881328254	Cantonese
23	scr	min.pairs	0.005192531918068516	0	0.005192531918068516	Cantonese
23	scr	network.prop	-0.0019151799415497892	0	-0.0019151799415497892	Cantonese
23	scr	mean.edit	-0.015141711223849948	0	-0.015141711223849948	Cantonese
24	scr	min.pairs	-0.0013905758149876277	0	-0.0013905758149876277	Cantonese
24	scr	network.prop	0.0015811212491146469	0	0.0015811212491146469	Cantonese
24	scr	mean.edit	0.01514186948634798	0	0.01514186948634798	Cantonese
25	scr	min.pairs	-0.004968869547473605	0	-0.004968869547473605	Cantonese
25	scr	network.prop	-0.009948142469257133	0	-0.009948142469257133	Cantonese
25	scr	mean.edit	-0.00512686659532661	0	-0.00512686659532661	Cantonese
26	scr	min.pairs	0.005344204304443334	0	0.005344204304443334	Cantonese
26	scr	network.prop	-0.00796005029642926	0	-0.00796005029642926	Cantonese
26	scr	mean.edit	0.0022008221295237596	0	0.0022008221295237596	Cantonese
27	scr	min.pairs	0.005713696041065327	0	0.005713696041065327	Cantonese
27	scr	network.prop	0.0021091195076645636	0	0.0021091195076645636	Cantonese
27	scr	mean.edit	-0.006675675196313035	0	-0.006675675196313035	Cantonese
28	scr	min.pairs	-0.012865609078837456	0	-0.012865609078837456	Cantonese
28	scr	network.prop	7.876658182944618e-4	0	7.876658182944618e-4	Cantonese
28	scr	mean.edit	0.007259310085949293	0	0.007259310085949293	Cantonese
29	scr	min.pairs	0.0034780113304132016	0	0.0034780113304132016	Cantonese
29	scr	network.prop	0.013262113518176251	0	0.013262113518176251	Cantonese
29	scr	mean.edit	0.024358851052727438	0	0.024358851052727438	Cantonese
30	scr	min.pairs	-0.019102315019564213	0	-0.019102315019564213	Cantonese
30	scr	network.prop	-0.017788052814545756	0	-0.017788052814545756	Cantonese
30	scr	mean.edit	0.011035414702891697	0	0.011035414702891697	Cantonese
31	scr	min.pairs	-0.02304797705157846	0	-0.02304797705157846	Cantonese
31	scr	network.prop	-0.017115939160072226	0	-0.017115939160072226	Cantonese
31	scr	mean.edit	0.005964119826618906	0	0.005964119826618906	Cantonese
32	scr	min.pairs	-0.011534817103116659	0	-0.011534817103116659	Cantonese
