i	lex.type	test	b	b0	r	language
1	og	min.pairs	0.13392373204291202	0	0.13392373204291202	Dutch
1	og	network.prop	0.04693346012643825	0	0.04693346012643825	Dutch
1	og	mean.edit	-0.06979434015791902	0	-0.06979434015791902	Dutch
2	scr	min.pairs	0.004645465537950585	0	0.004645465537950585	Dutch
2	scr	network.prop	0.005750098994817813	0	0.005750098994817813	Dutch
2	scr	mean.edit	-0.014559816406448245	0	-0.014559816406448245	Dutch
3	scr	min.pairs	0.025722525629624498	0	0.025722525629624498	Dutch
3	scr	network.prop	0.031268327450058656	0	0.031268327450058656	Dutch
3	scr	mean.edit	-0.0011001385234882914	0	-0.0011001385234882914	Dutch
4	scr	min.pairs	-0.013397350855217812	0	-0.013397350855217812	Dutch
4	scr	network.prop	-0.006305173559381685	0	-0.006305173559381685	Dutch
4	scr	mean.edit	0.009868935950501267	0	0.009868935950501267	Dutch
5	scr	min.pairs	-0.00495437015601872	0	-0.00495437015601872	Dutch
5	scr	network.prop	-0.007326021508899808	0	-0.007326021508899808	Dutch
5	scr	mean.edit	-0.022148489598014895	0	-0.022148489598014895	Dutch
6	scr	min.pairs	-0.019415300117914588	0	-0.019415300117914588	Dutch
6	scr	network.prop	-0.00810810167745532	0	-0.00810810167745532	Dutch
6	scr	mean.edit	-0.007592070230835537	0	-0.007592070230835537	Dutch
7	scr	min.pairs	-0.01777453555431938	0	-0.01777453555431938	Dutch
7	scr	network.prop	0.008036757289598821	0	0.008036757289598821	Dutch
7	scr	mean.edit	0.009721446996957782	0	0.009721446996957782	Dutch
8	scr	min.pairs	-0.007641643774730296	0	-0.007641643774730296	Dutch
8	scr	network.prop	0.007533086043340303	0	0.007533086043340303	Dutch
8	scr	mean.edit	0.007531644606110283	0	0.007531644606110283	Dutch
9	scr	min.pairs	-0.007933563744978693	0	-0.007933563744978693	Dutch
9	scr	network.prop	-0.0011372760488905255	0	-0.0011372760488905255	Dutch
9	scr	mean.edit	0.009271308439035422	0	0.009271308439035422	Dutch
10	scr	min.pairs	-0.001973402203480569	0	-0.001973402203480569	Dutch
10	scr	network.prop	0.00975941978637841	0	0.00975941978637841	Dutch
10	scr	mean.edit	0.004761773531008601	0	0.004761773531008601	Dutch
11	scr	min.pairs	-0.006207609158741775	0	-0.006207609158741775	Dutch
11	scr	network.prop	-0.01648424156076721	0	-0.01648424156076721	Dutch
11	scr	mean.edit	-0.02242799454635337	0	-0.02242799454635337	Dutch
12	scr	min.pairs	0.010863901078935905	0	0.010863901078935905	Dutch
12	scr	network.prop	0.002426277409733372	0	0.002426277409733372	Dutch
12	scr	mean.edit	-0.004205653612164867	0	-0.004205653612164867	Dutch
13	scr	min.pairs	-0.016541057306245912	0	-0.016541057306245912	Dutch
13	scr	network.prop	-0.016305473822901942	0	-0.016305473822901942	Dutch
13	scr	mean.edit	0.0015217964456559875	0	0.0015217964456559875	Dutch
14	scr	min.pairs	-0.03218472273011735	0	-0.03218472273011735	Dutch
14	scr	network.prop	-0.02358727238368916	0	-0.02358727238368916	Dutch
14	scr	mean.edit	0.028360663986808768	0	0.028360663986808768	Dutch
15	scr	min.pairs	0.008924185054571576	0	0.008924185054571576	Dutch
15	scr	network.prop	0.004717283192645833	0	0.004717283192645833	Dutch
15	scr	mean.edit	-0.007454598890743276	0	-0.007454598890743276	Dutch
16	scr	min.pairs	-0.011322034134918762	0	-0.011322034134918762	Dutch
16	scr	network.prop	-0.015482847503164065	0	-0.015482847503164065	Dutch
16	scr	mean.edit	-0.008602502813300309	0	-0.008602502813300309	Dutch
17	scr	min.pairs	-6.597444960613236e-5	0	-6.597444960613236e-5	Dutch
17	scr	network.prop	-0.00770719621613094	0	-0.00770719621613094	Dutch
17	scr	mean.edit	-0.012162372931893366	0	-0.012162372931893366	Dutch
18	scr	min.pairs	-0.0013330397683809692	0	-0.0013330397683809692	Dutch
18	scr	network.prop	-0.001222486983648424	0	-0.001222486983648424	Dutch
18	scr	mean.edit	-0.0020393062248456662	0	-0.0020393062248456662	Dutch
19	scr	min.pairs	-1.4013295282413278e-4	0	-1.4013295282413278e-4	Dutch
19	scr	network.prop	-0.0022419066357823973	0	-0.0022419066357823973	Dutch
19	scr	mean.edit	9.686497035799612e-4	0	9.686497035799612e-4	Dutch
20	scr	min.pairs	0.012824787051176918	0	0.012824787051176918	Dutch
20	scr	network.prop	0.027662624869875436	0	0.027662624869875436	Dutch
20	scr	mean.edit	0.0028508867981067196	0	0.0028508867981067196	Dutch
21	scr	min.pairs	-0.015853805986781225	0	-0.015853805986781225	Dutch
21	scr	network.prop	-0.00443894577621924	0	-0.00443894577621924	Dutch
21	scr	mean.edit	0.02016453915229071	0	0.02016453915229071	Dutch
22	scr	min.pairs	-0.010979722061065959	0	-0.010979722061065959	Dutch
22	scr	network.prop	-0.01622557162543672	0	-0.01622557162543672	Dutch
22	scr	mean.edit	1.1293315080978278e-4	0	1.1293315080978278e-4	Dutch
23	scr	min.pairs	6.467071647739555e-5	0	6.467071647739555e-5	Dutch
23	scr	network.prop	-0.006000764411868948	0	-0.006000764411868948	Dutch
23	scr	mean.edit	-0.015985427921172368	0	-0.015985427921172368	Dutch
24	scr	min.pairs	-0.007039124520493447	0	-0.007039124520493447	Dutch
24	scr	network.prop	0.021519956755000715	0	0.021519956755000715	Dutch
