i	lex.type	test	b	b0	r	language
1	og	min.pairs	0.08127255886603195	0	0.08127255886603195	English
1	og	network.prop	0.0442871286519587	0	0.0442871286519587	English
1	og	mean.edit	-0.0628734776405087	0	-0.0628734776405087	English
2	scr	min.pairs	0.01562072869425862	0	0.01562072869425862	English
2	scr	network.prop	0.021585633978140426	0	0.021585633978140426	English
2	scr	mean.edit	0.006583004404584144	0	0.006583004404584144	English
3	scr	min.pairs	0.0014816267177006882	0	0.0014816267177006882	English
3	scr	network.prop	0.015444783559844818	0	0.015444783559844818	English
3	scr	mean.edit	0.018454069726909494	0	0.018454069726909494	English
4	scr	min.pairs	-0.025466132973828062	0	-0.025466132973828062	English
4	scr	network.prop	-0.008653227180094153	0	-0.008653227180094153	English
4	scr	mean.edit	0.012479058935315068	0	0.012479058935315068	English
5	scr	min.pairs	-0.0029775119133953363	0	-0.0029775119133953363	English
5	scr	network.prop	-0.0052530019614228	0	-0.0052530019614228	English
5	scr	mean.edit	0.0026656933713255482	0	0.0026656933713255482	English
6	scr	min.pairs	-0.02344222140190063	0	-0.02344222140190063	English
6	scr	network.prop	-0.006458049261341608	0	-0.006458049261341608	English
6	scr	mean.edit	0.039525130092909234	0	0.039525130092909234	English
7	scr	min.pairs	0.006398258711911259	0	0.006398258711911259	English
7	scr	network.prop	7.223198086489195e-4	0	7.223198086489195e-4	English
7	scr	mean.edit	0.001966958660501014	0	0.001966958660501014	English
8	scr	min.pairs	-0.0095411559653986	0	-0.0095411559653986	English
8	scr	network.prop	0.005157540725618167	0	0.005157540725618167	English
8	scr	mean.edit	0.02051602117117542	0	0.02051602117117542	English
9	scr	min.pairs	-6.215476834234371e-4	0	-6.215476834234371e-4	English
9	scr	network.prop	0.007417229265653506	0	0.007417229265653506	English
9	scr	mean.edit	0.00635380428663551	0	0.00635380428663551	English
10	scr	min.pairs	0.001707543169570724	0	0.001707543169570724	English
10	scr	network.prop	-0.00512045835680421	0	-0.00512045835680421	English
10	scr	mean.edit	-0.012218063654577824	0	-0.012218063654577824	English
11	scr	min.pairs	-0.0049444810271513494	0	-0.0049444810271513494	English
11	scr	network.prop	-6.351276341580016e-4	0	-6.351276341580016e-4	English
11	scr	mean.edit	0.013579986013661925	0	0.013579986013661925	English
12	scr	min.pairs	0.0025074507550903787	0	0.0025074507550903787	English
12	scr	network.prop	-6.559769776510158e-4	0	-6.559769776510158e-4	English
12	scr	mean.edit	0.01514179808021371	0	0.01514179808021371	English
13	scr	min.pairs	0.01042525654586171	0	0.01042525654586171	English
13	scr	network.prop	0.0020060380940106625	0	0.0020060380940106625	English
13	scr	mean.edit	-0.002769504188691387	0	-0.002769504188691387	English
14	scr	min.pairs	-0.007303558631339445	0	-0.007303558631339445	English
14	scr	network.prop	-0.012976676105510329	0	-0.012976676105510329	English
14	scr	mean.edit	0.006666616771841221	0	0.006666616771841221	English
15	scr	min.pairs	0.010748457482489813	0	0.010748457482489813	English
15	scr	network.prop	0.02051321363603505	0	0.02051321363603505	English
15	scr	mean.edit	-0.009740611227052724	0	-0.009740611227052724	English
16	scr	min.pairs	-4.182537996669085e-4	0	-4.182537996669085e-4	English
16	scr	network.prop	0.004706902095854932	0	0.004706902095854932	English
16	scr	mean.edit	-0.015007357459468804	0	-0.015007357459468804	English
17	scr	min.pairs	-0.009110638794453601	0	-0.009110638794453601	English
17	scr	network.prop	0.006397428473076144	0	0.006397428473076144	English
17	scr	mean.edit	0.0019674172028902297	0	0.0019674172028902297	English
18	scr	min.pairs	0.015575251126231612	0	0.015575251126231612	English
18	scr	network.prop	0.00558101012046134	0	0.00558101012046134	English
18	scr	mean.edit	-0.018644355303460425	0	-0.018644355303460425	English
19	scr	min.pairs	0.01882204761868449	0	0.01882204761868449	English
19	scr	network.prop	0.02886105489701844	0	0.02886105489701844	English
19	scr	mean.edit	-1.1797287006390283e-4	0	-1.1797287006390283e-4	English
20	scr	min.pairs	-0.002282283422004871	0	-0.002282283422004871	English
20	scr	network.prop	0.012343299666113104	0	0.012343299666113104	English
20	scr	mean.edit	-0.01148691489214193	0	-0.01148691489214193	English
21	scr	min.pairs	-0.006370347560797102	0	-0.006370347560797102	English
21	scr	network.prop	-0.0037814206054546007	0	-0.0037814206054546007	English
21	scr	mean.edit	-0.019860709469463368	0	-0.019860709469463368	English
22	scr	min.pairs	0.00496725812073462	0	0.00496725812073462	English
22	scr	network.prop	0.021152589085124764	0	0.021152589085124764	English
22	scr	mean.edit	0.004785925045315626	0	0.004785925045315626	English
23	scr	min.pairs	-0.01796028040371011	0	-0.01796028040371011	English
