word	phones	freq	word.length	freq.rank	unig.p	unig.h	min.pairs	min.pairs.2	min.pairs.3	mean.dist	mean.dist.nonmp	mean.dist.all	scaled.unig.h	network	language
the	Dx	59664.60416100584	2	1	0.0597303060099327	4.065393076769948	6	158	1085	2.8616	2.8728881737731293	2.8616	-2.285382991566668	164	English
to	tu	34834.68866136236	2	2	0.03487304814575057	4.841743718617815	24	271	954	2.7424	2.7787755102040816	2.7424	-2.0984840974569563	295	English
and	@nd	33340.93227337076	3	3	0.033377646853583076	4.9049739424538945	10	166	1475	2.885593220338983	3.341712204007286	3.33200290275762	-3.543394745664543	176	English
a	x	33270.24509996101	1	4	0.033306881840421375	4.908035893220564	5	143	0	1.9530201342281879	2	1.9530201342281879	-1.5653227713758155	148	English
that	D@t	22749.596119947153	3	5	0.02277464766513777	5.456427454767832	13	251	1402	2.8320335932813436	3.3056163384390955	3.293541364296081	-3.3549944247536745	264	English
in	In	21095.08635186441	2	6	0.021118315973447908	5.565361394549072	23	336	890	2.692	2.7259380097879284	2.692	-1.9242801539039691	359	English
you	yu	20331.23496874461	2	7	0.020353623447595625	5.618570537075104	21	213	1015	2.7936	2.826547231270358	2.7936	-1.911470568442726	234	English
i	Y	20017.516198895883	1	8	0.020039559214913245	5.641005414048612	19	129	0	1.8590604026845639	2	1.8590604026845639	-1.4154581134085948	148	English
is	Iz	16088.63215821929	2	9	0.01610634874067824	5.956226713157417	9	291	949	2.7504	2.765322580645161	2.7504	-1.8301831159729374	300	English
it	It	15004.82830598164	2	10	0.015021351418409785	6.056841576860477	22	361	866	2.6736	2.7057864710676447	2.6736	-1.8059610625044915	383	English
this	DIs	10819.188609467225	3	11	0.010831102552508097	6.528676080155076	4	200	1382	2.867044738500315	3.352235550708833	3.3476052249637154	-2.988668015349665	204	English
for	for	10104.413139956816	3	12	0.010115539981992414	6.627282854698162	28	220	1336	2.82397476340694	3.3487348734873486	3.323657474600871	-2.9549796852310477	248	English
on	cn	9269.229717985627	2	13	0.009279436867419754	6.751747028148888	13	291	945	2.744	2.7645631067961167	2.744	-1.6386693088099484	304	English
we	wi	9188.605002770193	2	14	0.009198723369366767	6.764350631805763	22	271	956	2.7456	2.779136104319478	2.7456	-1.6356351133597324	293	English
have	h@v	8783.745250504016	3	15	0.008793417791059271	6.82936026925473	11	198	1311	2.8533859303090074	3.377915451895044	3.367198838896952	-2.8859413186214207	209	English
he	hi	8018.389181353738	2	16	0.008027218922236765	6.9608840406368735	23	288	938	2.7304	2.7650897226753672	2.7304	-1.588321599611979	311	English
they	De	7550.167265694301	2	17	0.00755848140698525	7.047687876496554	18	249	982	2.7696	2.7977254264825344	2.7696	-1.5674244172665892	267	English
with	wIT	7438.787429416378	3	18	0.007446978920749625	7.0691290107661064	10	198	1321	2.8555555555555556	3.3744990892531876	3.364658925979681	-2.8040259679410133	208	English
but	b^t	7350.143233708843	3	19	0.007358237111261918	7.086424118309058	29	291	1414	2.7971181556195965	3.2677916360968453	3.242743105950653	-2.7981172127358693	320	English
are	ar	7288.285756346059	2	20	0.007296311517288125	7.0986169577289955	18	278	953	2.7464	2.7741673436230707	2.7464	-1.5551637344677565	296	English
be	bi	7056.927877901772	2	21	0.007064698870701296	7.145156216955614	26	294	929	2.7208	2.759607522485691	2.7208	-1.5439598587790122	320	English
what	hwat	6642.659704192285	4	22	0.006649974510525025	7.232435473914368	5	56	559	2.888888888888889	4.070612141224283	4.065686025868628	-3.4549376508370764	61	English
not	nat	6500.739701999081	3	23	0.006507898227959649	7.2635925946789905	20	211	1438	2.8479041916167667	3.319926873857404	3.30188679245283	-2.73758881449732	231	English
so	so	5754.994156278973	2	24	0.005761331477408439	7.439382019197683	26	295	928	2.72	2.758789860997547	2.72	-1.473127847966608	321	English
know	no	5673.641900565287	2	25	0.0056798896376995195	7.459921386743826	20	278	951	2.7432	2.77379983726607	2.7432	-1.4681831942583943	298	English
about	xbWt	5620.366094079618	4	26	0.005626555164621851	7.473532376209258	1	32	509	2.9318600368324126	4.088048718599341	4.086228759827542	-3.3623491937494228	33	English
at	@t	5538.914628297989	2	27	0.005545014005596214	7.494593180311408	27	356	866	2.6696	2.7086743044189854	2.6696	-1.4598362959301374	383	English
do	du	5512.045234896619	2	28	0.005518115023985036	7.5016087549728505	22	263	964	2.752	2.7856560717196412	2.752	-1.4581473643120133	285	English
its	Its	5418.258650667346	3	29	0.005424225163247437	7.526367217699967	1	126	1514	2.920219244823386	3.3587509077705158	3.356676342525399	-2.6478136617439163	127	English
think	TIGk	5388.694050420177	4	30	0.005394628006865414	7.534260804309971	10	41	426	2.8661087866108788	4.124872838250254	4.115901597768197	-3.339027652055261	51	English
there	D@r	5164.661181992387	3	31	0.00517034843649628	7.5955227757531185	12	187	1351	2.8620245003223728	3.3711265038279254	3.359579100145138	-2.6241871383125694	199	English
were	wX	5141.561771172872	2	32	0.0051472235889203945	7.601989831897994	4	222	1023	2.8136	2.8216867469879516	2.8136	-1.4339815927449338	226	English
all	cl	4998.137082949191	2	33	0.005003640963384792	7.642806012130311	17	291	941	2.7376	2.7637987012987013	2.7376	-1.4241554928668614	308	English
well	wEl	4864.153886191468	3	34	0.004869510226156871	7.682007610881773	21	230	1349	2.8282323547782635	3.338332114118508	3.3193033381712627	-2.594640185888978	251	English
from	fr^m	4615.500385902362	4	35	0.004620582912022171	7.757709417601861	3	71	613	2.883720930232558	4.043158161970043	4.039817397920365	-3.253216668396222	74	English
just	J^st	4293.034595063277	4	36	0.004297762026249135	7.8621986839474	8	80	580	2.8520179372197307	4.038637519064565	4.0314481359371035	-3.2130896495043686	88	English
people	pipL	4150.76735763227	4	37	0.004155338126075245	7.910818408637735	4	49	463	2.88394584139265	4.103098019299137	4.098909459802181	-3.1944182138689228	53	English
one	w^n	4150.155562213286	3	38	0.004154725656955484	7.9110310679352915	13	244	1392	2.8345454545454545	3.3143690736688547	3.3022496371552976	-2.5163958881530784	257	English
going	goIG	4086.9091438992923	4	39	0.004091409592547634	7.93318631146502	1	35	513	2.9272727272727272	4.115706673433139	4.113872685772255	-3.1858282668751956	36	English
now	nW	3990.228932688333	2	40	0.003994622918405754	7.967724961589419	10	215	1024	2.8096	2.8264729620661826	2.8096	-1.3459344042816128	225	English
if	If	3898.59189993117	2	41	0.00390288497619705	8.001243339619116	7	281	961	2.7616	2.7737520128824475	2.7616	-1.3378651795673902	288	English
right	rYt	3728.9922887817243	3	42	0.003733098604267298	8.065410668866352	27	303	1481	2.801324503311258	3.2349706744868034	3.2119013062409287	-2.4636531533476362	330	English
out	Wt	3700.353649168695	2	43	0.0037044284281746455	8.076533324438799	13	288	948	2.7464	2.766990291262136	2.7464	-1.3197398452895146	301	English
his	hIz	3698.8324281268942	3	44	0.0037029055319849668	8.07712654051989	14	215	1329	2.8422065426555485	3.3582634075155053	3.345065312046444	-2.4596505059258886	229	English
say	se	3690.597992487582	2	45	0.003694662028697356	8.080341885601316	31	291	927	2.7152	2.7610837438423643	2.7152	-1.3188229710949764	322	English
like	lYk	3571.9096812044854	3	46	0.0035758430194634903	8.12750088147772	17	255	1389	2.8243080625752106	3.306428049671293	3.29100145137881	-2.442440456864263	272	English
or	or	3518.0716843338023	2	47	0.003521945736924417	8.149411603111682	24	300	925	2.7192	2.7551020408163267	2.7192	-1.3021951058968082	324	English
an	@n	3453.022949785502	2	48	0.0034568253715961885	8.176336559828215	22	343	884	2.688	2.7204563977180114	2.688	-1.2957131834728193	365	English
who	hu	3376.1351471292746	2	49	0.003379852901139588	8.20882382614708	23	265	961	2.7488	2.7838499184339316	2.7488	-1.287892188911404	288	English
when	hwEn	3319.8830386052996	4	50	0.003323538848560372	8.233064067129403	3	47	491	2.896678966789668	4.096217314039096	4.092822723814354	-3.070666195328074	50	English
up	^p	3306.340864331009	2	51	0.0033099817618283387	8.238961016932404	5	288	956	2.7592	2.7684887459807075	2.7592	-1.2806369522622223	293	English
can	k@n	3301.165405786622	3	52	0.0033048006041395397	8.24122105562114	26	299	1392	2.7939464493597206	3.270795163063393	3.2481857764876634	-2.4035887371376816	325	English
had	h@d	3279.0580956465415	3	53	0.0032826689497308355	8.250915020180225	26	251	1352	2.812269938650307	3.320630267497252	3.297532656023222	-2.4002768604462688	277	English
would	wUd	3277.1069643103187	3	54	0.0032807156698353777	8.251773719605955	12	149	1371	2.8851924331376386	3.3915421071819174	3.3798984034833093	-2.3999834916603944	161	English
no	no	3271.0386151544403	2	55	0.003274640638296115	8.254447691842401	20	278	951	2.7432	2.77379983726607	2.7432	-1.276908685345065	298	English
very	vEri	3228.080655734897	4	56	0.003231635374157137	8.273519856860425	7	46	582	2.900943396226415	4.047776365946633	4.041339081917322	-3.0551299560989347	53	English
been	bIn	3144.1654732660036	3	57	0.0031476277854329982	8.311519335893884	24	310	1407	2.7927669345579793	3.2577810325887953	3.2369375907111757	-2.3795718104754617	334	English
get	gEt	3119.3960263027716	3	58	0.0031228310626923556	8.322929759366456	18	252	1418	2.827708703374778	3.2977712824260137	3.281567489114659	-2.375673517335681	270	English
will	wIl	3079.6293240687446	3	59	0.0030830205699078133	8.341439769526115	24	278	1333	2.7988997555012225	3.3083119736360307	3.287010159651669	-2.3693496989606553	302	English
me	mi	3061.2258564652216	2	60	0.003064596836656588	8.350086992153372	20	279	950	2.7424	2.7729861676159477	2.7424	-1.2538844505495592	299	English
by	bY	3020.7812187669138	2	61	0.003024107661874471	8.369274782508025	20	284	945	2.7384	2.768917819365338	2.7384	-1.249265175953279	304	English
my	mY	3007.2059744699754	2	62	0.003010517468703531	8.375772795893834	20	257	972	2.76	2.790886899918633	2.76	-1.2477008421970435	277	English
she	Si	2963.9007798126295	2	63	0.0029671645869560398	8.396699330139297	20	259	970	2.7584	2.789259560618389	2.7584	-1.2426629818576524	279	English
your	yUr	2945.7949424129374	3	64	0.0029490388116549695	8.405539475143518	8	100	1321	2.916783216783217	3.446305060065526	3.4379535558780843	-2.3474504729353507	108	English
year	yIr	2933.311008863378	3	65	0.0029365411309679305	8.411666439427501	13	190	1395	2.8630393996247654	3.352662290299052	3.3403483309143684	-2.3453572374920437	203	English
some	s^m	2906.7227106545147	3	66	0.0029099235540874543	8.424803031730448	18	228	1391	2.836996336996337	3.3251735476799413	3.3087808417997095	-2.3408692105771993	246	English
time	tYm	2841.475555970327	3	67	0.002844604550125789	8.45755617807972	14	204	1301	2.8453947368421053	3.3765049252097774	3.3632075471698113	-2.329679322136466	218	English
more	mor	2795.938134784252	3	68	0.0027990169837521376	8.480864043803189	20	226	1327	2.829097839898348	3.3495429616087753	3.331277213352685	-2.3217163492221706	246	English
here	hIr	2710.915106556656	3	69	0.0027139003293246457	8.525416547335503	24	244	1367	2.819682151589242	3.320761625778103	3.299346879535559	-2.3064952910995196	268	English
because	bxkcz	2703.342071370301	5	70	0.0027063189548151567	8.529452405653203	0	2	47	2.9	5.053598774885145	5.052309262566982	-3.506856169145255	2	English
her	hR	2662.4179183435995	2	71	0.002665349736668902	8.551459434509535	15	255	979	2.7696	2.793354943273906	2.7696	-1.2054059863713666	270	English
go	go	2658.284165512619	2	72	0.0026612114318056435	8.553701148409482	21	266	962	2.7512	2.7833876221498373	2.7512	-1.2048663154723858	287	English
their	DEr	2617.2111973840024	3	73	0.0026200932346843115	8.57616613441713	9	147	1381	2.890767230169051	3.3900218499635835	3.3809869375907113	-2.2891570417661296	156	English
how	hW	2584.25691981543	2	74	0.002587102668314418	8.59444697662745	13	227	1009	2.7952	2.8163430420711975	2.7952	-1.19505715216005	240	English
them	DEm	2574.617008213585	3	75	0.0025774521413733003	8.59983864505878	3	146	1317	2.894342194955692	3.4153343023255816	3.411465892597968	-2.2810694904094637	149	English
our	Wr	2518.6129248594684	2	76	0.00252138638708588	8.631567065307983	9	264	976	2.772	2.7870967741935484	2.772	-1.1861208505075738	273	English
thing	TIG	2412.19359197872	3	77	0.002414849866686164	8.693850786416858	8	159	1313	2.8798109385550306	3.4062613760465963	3.3980406386066764	-2.2489508852943025	167	English
over	ovX	2406.307127947405	3	78	0.0024089569205608848	8.697375690607867	4	60	1445	2.9529801324503313	3.4311159578335153	3.426342525399129	-2.247746625885419	64	English
want	wcnt	2395.344415439646	4	79	0.002397982136063524	8.703963373328031	4	82	675	2.877952755905512	3.9979685119349924	3.9939132640121735	-2.889826708011685	86	English
did	dId	2352.8494363371724	3	80	0.0023554403620692312	8.729787480118016	16	256	1397	2.825748502994012	3.303030303030303	3.2884615384615383	-2.2366733596741204	272	English
said	sEd	2349.9392743441626	3	81	0.002352526995445498	8.731573006566132	15	257	1479	2.834474885844749	3.2726277372262773	3.2590711175616836	-2.2360633467749222	272	English
back	b@k	2175.1807396616537	3	82	0.002177576019046399	8.843061200562676	25	288	1326	2.7920731707317072	3.303296703296703	3.2812046444121914	-2.197974167800277	313	English
really	rili	2169.1123905057752	4	83	0.0021715009875071366	8.847091675793227	3	68	650	2.8933518005540164	4.0121858339680125	4.008876489982247	-2.834861137883295	71	English
him	hIm	2087.875879871357	3	84	0.002090175020334389	8.902160533553715	17	239	1314	2.8243157224697644	3.3455076698319943	3.3298258345428158	-2.1777832848835836	256	English
new	nu	2076.053346774754	2	85	0.0020783394684254705	8.910352966601463	23	247	979	2.7632	2.798531810766721	2.7632	-1.1190058462343617	270	English
