i	lex.type	test	b	b0	r	language
1	og	min.pairs	0.08824196656359361	0	0.08824196656359361	Finnish
1	og	network.prop	0.043920672198608894	0	0.043920672198608894	Finnish
1	og	mean.edit	-0.05531498145671803	0	-0.05531498145671803	Finnish
2	scr	min.pairs	-0.006854110601083803	0	-0.006854110601083803	Finnish
2	scr	network.prop	-0.011981782462971293	0	-0.011981782462971293	Finnish
2	scr	mean.edit	-0.0183400746946931	0	-0.0183400746946931	Finnish
3	scr	min.pairs	-0.0033130167866970753	0	-0.0033130167866970753	Finnish
3	scr	network.prop	0.014884837331138616	0	0.014884837331138616	Finnish
3	scr	mean.edit	0.014440509442947138	0	0.014440509442947138	Finnish
4	scr	min.pairs	-0.007126309760521485	0	-0.007126309760521485	Finnish
4	scr	network.prop	-0.02504163365369497	0	-0.02504163365369497	Finnish
4	scr	mean.edit	0.0141081424541449	0	0.0141081424541449	Finnish
5	scr	min.pairs	0.010676206291343585	0	0.010676206291343585	Finnish
5	scr	network.prop	0.027371624629363135	0	0.027371624629363135	Finnish
5	scr	mean.edit	0.007048602424302159	0	0.007048602424302159	Finnish
6	scr	min.pairs	-4.5990472927783644e-5	0	-4.5990472927783644e-5	Finnish
6	scr	network.prop	0.016182394312224218	0	0.016182394312224218	Finnish
6	scr	mean.edit	0.033412443916980145	0	0.033412443916980145	Finnish
7	scr	min.pairs	0.005027706051121426	0	0.005027706051121426	Finnish
7	scr	network.prop	-0.008905400919412809	0	-0.008905400919412809	Finnish
7	scr	mean.edit	-0.025843577062962482	0	-0.025843577062962482	Finnish
8	scr	min.pairs	0.03179764402360439	0	0.03179764402360439	Finnish
8	scr	network.prop	0.008666592165459366	0	0.008666592165459366	Finnish
8	scr	mean.edit	-0.0020463528071794227	0	-0.0020463528071794227	Finnish
9	scr	min.pairs	0.007834298130702884	0	0.007834298130702884	Finnish
9	scr	network.prop	-2.4014149172554202e-4	0	-2.4014149172554202e-4	Finnish
9	scr	mean.edit	-0.008230873156091504	0	-0.008230873156091504	Finnish
