word	phones	freq	word.length	freq.rank	unig.p	unig.h	min.pairs	min.pairs.2	min.pairs.3	mean.dist	mean.dist.nonmp	mean.dist.all	scaled.unig.h	network	language
oLa	oLa	70427.2188171518	3	1	0.07172507319656948	3.8013786544869697	7	75	551	2.854889589905363	3.411418975650714	3.3944954128440368	-4.678204155797481	82	Finnish
ja	ja	40604.03225718635	2	2	0.0413522958117053	4.595888762089961	11	146	162	2.465625	2.5259740259740258	2.465625	-3.6726701146797844	157	Finnish
ei	ei	15386.518804204006	2	3	0.015670066289812868	5.995844906851149	11	164	144	2.409375	2.4675324675324677	2.409375	-3.1296560816770134	175	Finnish
se	se	13964.360829528285	2	4	0.014221700351985162	6.1357622253290165	18	141	160	2.4375	2.53156146179402	2.4375	-3.0753850477750473	159	Finnish
eTä	eTä	11493.337690403834	3	5	0.01170514044090495	6.416713945441706	1	56	437	2.8767676767676766	3.5413533834586466	3.5362802335279397	-3.5014456932504787	57	Finnish
joka	joka	10836.95110361979	4	6	0.011036657760869512	6.501552843912697	7	67	486	2.8502673796791442	4.031339031339031	4.021095334685598	-4.048223388722183	74	Finnish
hän	hän	7850.686401942138	3	7	0.007995361257762427	6.966621063588412	0	31	444	2.9285714285714284	3.5776293823038396	3.57464553794829	-3.2540174353395237	31	Finnish
sAda	sAda	6434.387864348742	4	8	0.006552962736519943	7.253636956808707	3	48	373	2.8658823529411763	4.146281999187322	4.140770791075051	-3.6487263629663373	51	Finnish
muTa	muTa	5626.511494945146	4	9	0.005730198573708223	7.447199149809017	3	70	471	2.855045871559633	4.023973994311255	4.018661257606491	-3.5459087138809955	73	Finnish
tämä	tämä	5440.746598065276	4	10	0.005541010344358223	7.495635224290788	2	23	252	2.8920863309352516	4.283509341998375	4.279107505070994	-3.5201801186840487	25	Finnish
voida	voida	5109.4291357864395	5	11	0.0052035872623116585	7.586277749629946	2	19	230	2.8968253968253967	4.707730812013348	4.704362322867463	-3.7896960942310307	21	Finnish
tuLa	tuLa	4986.406883770392	4	12	0.0050782979185202085	7.6214392514403215	8	78	475	2.8274021352313166	4.0317589576547235	4.020283975659229	-3.453354701403501	86	Finnish
tehdä	tehdä	4443.994126251372	5	13	0.004525889412416741	7.787582951075205	0	12	113	2.880952380952381	4.971650917176209	4.97026951931092	-3.675446958146259	12	Finnish
kun	kun	4293.048804599648	3	14	0.004372162424101921	7.837437287107506	2	65	517	2.876923076923077	3.459030100334448	3.4520433694745623	-2.86219755515306	67	Finnish
pitÄ	pitÄ	4180.345384259551	4	15	0.004257382070580016	7.8758177168359556	4	41	384	2.8790697674418606	4.113008130081301	4.106288032454361	-3.3182322615070166	45	Finnish
kuin	kuin	3540.681527201607	4	16	0.0036059302918608005	8.115412777120559	2	48	423	2.8839662447257384	4.048334687246141	4.04421906693712	-3.190962568758266	50	Finnish
ne	ne	3409.9849682104796	2	17	0.0034728252166126013	8.169674481333837	14	131	174	2.49375	2.5704918032786885	2.49375	-2.2864725514515682	145	Finnish
sanoa	sanoa	3322.6637996562017	5	18	0.003383894866793928	8.207099538163794	4	44	339	2.8582474226804124	4.580133555926544	4.574881911642123	-3.437353718110748	48	Finnish
kaiKi	kaiKi	3035.318042207548	5	19	0.003091253813634676	8.337592170213977	0	42	340	2.882506527415144	4.600055586436909	4.5987774381772715	-3.363293682055418	42	Finnish
marKa	marKa	2947.841313376747	5	20	0.0030021650368270134	8.379780996821625	5	63	333	2.810945273631841	4.601168939604787	4.594887468741317	-3.339349755332468	68	Finnish
nyt	nyt	2875.168737528279	3	21	0.0029281532284713896	8.415793233713739	1	28	423	2.9271523178807946	3.599832915622389	3.5946622185154293	-2.601968873619528	29	Finnish
kertoa	kertoa	2825.052401775482	6	22	0.002877113333519045	8.441162232689686	4	12	106	2.813008130081301	5.364854802680566	5.359196826970749	-3.8262143641157786	16	Finnish
tai	tai	2823.1856784572196	3	23	0.0028752122096511877	8.442115844252715	9	142	568	2.7736111111111112	3.283431455004205	3.2635529608006673	-2.590125132277759	151	Finnish
vain	vain	2743.3832566014985	4	24	0.0027939391643002735	8.483483677056382	2	64	472	2.868274582560297	4.034524776604386	4.0304259634888435	-2.9954482276489625	66	Finnish
paljon	paljon	2722.6418863985823	6	25	0.0027728155657685224	8.494432626164313	2	1	37	2.8048780487804876	5.654180104192508	5.650470996529499	-3.792636149876486	3	Finnish
mU	mU	2687.6408241811605	2	26	0.0027371694932461915	8.513099511451843	12	113	194	2.5625	2.6319218241042344	2.5625	-2.153265085391774	125	Finnish
vielä	vielä	2666.977234116505	5	27	0.0027161251082089342	8.52423435116351	1	19	159	2.8666666666666667	4.858771198220739	4.856348985829397	-3.2573664244516927	20	Finnish
sekä	sekä	2558.5517213807593	4	28	0.0026057014968842033	8.584112463085656	3	42	356	2.873134328358209	4.147094676960585	4.14158215010142	-2.9419955618702414	45	Finnish
mikä	mikä	2551.784849352058	4	29	0.0025988099228632195	8.587933165808007	6	43	328	2.8465608465608465	4.1330349877949555	4.123732251521298	-2.9399660556651455	49	Finnish
kaksi	kaksi	2477.9714981424286	5	30	0.0025236363165883485	8.630280267391933	4	44	268	2.826498422712934	4.658041179744018	4.652681300361212	-3.197180923891192	48	Finnish
jos	jos	2373.486845745237	3	31	0.0024172261889846506	8.692431806817837	5	64	433	2.8469184890656063	3.52975691533948	3.5162635529608006	-2.477496580107848	69	Finnish
asia	asia	2343.5414925147766	4	32	0.0023867289936044347	8.710749522925854	4	63	644	2.896067415730337	3.8934959349593496	3.8872210953346857	-2.8747276487616724	67	Finnish
yksi	yksi	2299.9327616631444	4	33	0.0023423166276914267	8.737848176233477	1	29	339	2.908108108108108	4.183110028420625	4.180121703853955	-2.8603332064210436	30	Finnish
vIme	vIme	2264.0242644993455	4	34	0.0023057463977333324	8.760550440732361	2	26	238	2.8764044943820224	4.287164906580016	4.2827586206896555	-2.848274067037946	28	Finnish
he	he	2242.0643387970076	2	35	0.0022833817877878403	8.774612182305914	11	137	171	2.49375	2.5551948051948052	2.49375	-2.0518297292820873	148	Finnish
prosenTi	prosenTi	2188.136776269425	8	36	0.0022284604316052865	8.809736939880972	0	2	3	2.1666666666666665	7.263250883392226	7.261112746541066	-4.24112033567389	2	Finnish
ihminen	ihminen	2157.6988154966452	7	37	0.0021974615507599415	8.829946362075315	0	13	112	2.873015873015873	6.3723044946739416	6.370649350649351	-4.084724827413485	13	Finnish
kuitenkin	kuitenkin	2137.424126123294	9	38	0.0021768132331951543	8.843566652561732	1	0	6	2.375	7.827160493827161	7.821843251088534	-4.828237019696807	1	Finnish
