i	lex.type	test	b	b0	r	language
1	og	min.pairs	0.10318071068801161	0	0.10318071068801161	French
1	og	network.prop	0.07476506807022823	0	0.07476506807022823	French
1	og	mean.edit	-0.031186589999336607	0	-0.031186589999336607	French
2	scr	min.pairs	1.9920476097825936e-4	0	1.9920476097825936e-4	French
2	scr	network.prop	0.01839617070475678	0	0.01839617070475678	French
2	scr	mean.edit	0.004733024010681416	0	0.004733024010681416	French
3	scr	min.pairs	9.316390945731016e-4	0	9.316390945731016e-4	French
3	scr	network.prop	0.006968490851347533	0	0.006968490851347533	French
3	scr	mean.edit	0.004374649595863304	0	0.004374649595863304	French
4	scr	min.pairs	-0.007205810994731992	0	-0.007205810994731992	French
4	scr	network.prop	-0.0038634524860679735	0	-0.0038634524860679735	French
4	scr	mean.edit	0.0019070063393523946	0	0.0019070063393523946	French
5	scr	min.pairs	-0.013757168574923349	0	-0.013757168574923349	French
5	scr	network.prop	-0.009142069499745845	0	-0.009142069499745845	French
5	scr	mean.edit	-0.005573647713656632	0	-0.005573647713656632	French
6	scr	min.pairs	-0.006027305572357288	0	-0.006027305572357288	French
6	scr	network.prop	0.0031901683484106586	0	0.0031901683484106586	French
6	scr	mean.edit	0.011235176077931765	0	0.011235176077931765	French
7	scr	min.pairs	-0.007697351776558191	0	-0.007697351776558191	French
7	scr	network.prop	0.0058608109456431915	0	0.0058608109456431915	French
7	scr	mean.edit	4.916293426015923e-4	0	4.916293426015923e-4	French
8	scr	min.pairs	0.026499791227296017	0	0.026499791227296017	French
8	scr	network.prop	0.014754773605315567	0	0.014754773605315567	French
8	scr	mean.edit	0.0014234018889218412	0	0.0014234018889218412	French
9	scr	min.pairs	0.008012101809741077	0	0.008012101809741077	French
9	scr	network.prop	0.01777149445970052	0	0.01777149445970052	French
9	scr	mean.edit	0.013228504971202272	0	0.013228504971202272	French
10	scr	min.pairs	-0.003934150826681518	0	-0.003934150826681518	French
10	scr	network.prop	2.767587448484083e-4	0	2.767587448484083e-4	French
10	scr	mean.edit	-0.0026464763959394757	0	-0.0026464763959394757	French
11	scr	min.pairs	0.010841637501970836	0	0.010841637501970836	French
11	scr	network.prop	-3.533572210885169e-4	0	-3.533572210885169e-4	French
11	scr	mean.edit	-0.00432772223507076	0	-0.00432772223507076	French
12	scr	min.pairs	-0.018939520712878587	0	-0.018939520712878587	French
12	scr	network.prop	-0.028339802988575864	0	-0.028339802988575864	French
12	scr	mean.edit	0.009551878324993924	0	0.009551878324993924	French
13	scr	min.pairs	0.007637249259731989	0	0.007637249259731989	French
13	scr	network.prop	-0.0038883499145083984	0	-0.0038883499145083984	French
13	scr	mean.edit	-0.014326719754977416	0	-0.014326719754977416	French
14	scr	min.pairs	-0.016380632537056915	0	-0.016380632537056915	French
14	scr	network.prop	-0.02017201756595126	0	-0.02017201756595126	French
14	scr	mean.edit	-0.00275729640726152	0	-0.00275729640726152	French
15	scr	min.pairs	-0.01905914170558685	0	-0.01905914170558685	French
15	scr	network.prop	-0.004210557168462743	0	-0.004210557168462743	French
15	scr	mean.edit	0.012979819834450249	0	0.012979819834450249	French
16	scr	min.pairs	0.013596223479741104	0	0.013596223479741104	French
16	scr	network.prop	0.00315135304262637	0	0.00315135304262637	French
16	scr	mean.edit	-0.01099307841066955	0	-0.01099307841066955	French
17	scr	min.pairs	-0.013300199089386648	0	-0.013300199089386648	French
17	scr	network.prop	-0.009368238490207837	0	-0.009368238490207837	French
17	scr	mean.edit	0.006128978607950076	0	0.006128978607950076	French
18	scr	min.pairs	0.010876504513475825	0	0.010876504513475825	French
18	scr	network.prop	-0.0030605241585766082	0	-0.0030605241585766082	French
