word	phones	freq	word.length	freq.rank	unig.p	unig.h	min.pairs	min.pairs.2	min.pairs.3	mean.dist	mean.dist.nonmp	mean.dist.all	scaled.unig.h	network	language
p9ti	p9ti	13482.711905948507	4	1	0.013682728337019395	6.191500257370611	0	57	671	2.9176954732510287	4.105426356589147	4.104517271922055	-4.0758119276328175	57	French
s9l	s9l	10859.381576217742	3	2	0.011020480824029582	6.5036690196487665	9	137	1166	2.8796648895658796	3.441860465116279	3.432046332046332	-3.1834675007096718	146	French
Soz	Soz	10802.858461613836	3	3	0.010963119187343846	6.511197862654681	7	100	1076	2.9011824324324325	3.5058094500387296	3.4976833976833976	-3.1803419635001076	107	French
vRE	vRE	9831.001978187227	3	4	0.009976845184156815	6.647200597026365	4	163	1305	2.8818737270875765	3.3690522243713734	3.3640926640926643	-3.1238815476636677	167	French
s2	s2	8342.184357690967	2	5	0.00846594091009676	6.884113865579091	19	214	711	2.7301587301587302	2.768648648648649	2.7301587301587302	-2.315999568432364	233	French
gR@	gR@	7780.699086165007	3	6	0.007896125987912023	6.984639275530667	13	175	1257	2.858921161825726	3.376164596273292	3.362934362934363	-2.983796657490914	188	French
Om	Om	6843.377738493154	2	7	0.006944899450243107	7.169830477955167	14	245	685	2.707936507936508	2.736559139784946	2.707936507936508	-2.2147355774796496	259	French
ZuR	ZuR	6467.998476312269	3	8	0.006563951425572659	7.251219721975107	9	183	1208	2.854389721627409	3.389922480620155	3.3803088803088803	-2.8731279791760866	192	French
fam	fam	6391.253730190588	3	9	0.006486068168865734	7.268440097999462	18	219	1216	2.8225584594222832	3.3566705562038117	3.338996138996139	-2.8659790817977604	237	French
vi	vi	6220.100764633508	2	10	0.006312376143987598	7.307601108953125	22	272	650	2.6624338624338626	2.704989154013015	2.6624338624338626	-2.165906761349898	294	French
dj2	dj2	5502.537388395799	3	11	0.0055841676937778695	7.4844420180161935	8	98	1027	2.8968253968253967	3.526152654010074	3.516988416988417	-2.7763076624549363	106	French
s6	s6	5300.351527482373	2	12	0.005378982399620227	7.538451016318796	21	217	706	2.7227513227513227	2.7648970747562296	2.7227513227513227	-2.0840886873621574	238	French
@	@	5278.211277311554	1	13	0.005356513698181364	7.544489960616588	19	143	0	1.8711656441717792	2	1.8711656441717792	-1.7531074281684915	162	French
dERnje	dERnje	5251.289707640298	6	14	0.0053291927462254425	7.551867271231085	0	7	62	2.857142857142857	5.618525519848771	5.617463617463618	-4.313383089527268	7	French
fij	fij	5125.818138584218	3	15	0.005201859802720474	7.586756767473746	10	180	1116	2.844682478959449	3.427685149282668	3.416988416988417	-2.7338325362946985	190	French
m6d	m6d	5059.793293508106	3	16	0.005134855477109122	7.605460612868789	7	113	1069	2.8907563025210083	3.4984508133230054	3.4903474903474905	-2.726067788816471	120	French
b9zw5	b9zw5	4697.509364990841	5	17	0.004767197055765648	7.712643023110153	0	5	41	2.8297872340425534	5.1428316372076415	5.141913602284898	-3.8236832688517493	5	French
pR9mje	pR9mje	4592.259427452537	6	18	0.004660385732281868	7.745334915400667	0	6	58	2.8615384615384616	5.638941398865785	5.637875637875638	-4.207758608665719	6	French
m9sj2	m9sj2	4501.871170909225	5	19	0.004568656563271492	7.774014288840962	0	8	111	2.908333333333333	5.029280485627567	5.02838272045698	-3.7920434417788997	8	French
@f@	@f@	4480.370460289421	3	20	0.004546836888971855	7.780921034195697	4	81	1134	2.9245901639344263	3.4986460348162476	3.4934362934362935	-2.6532268389876217	85	French
Zyst	Zyst	4000.837614086256	4	21	0.004060190158770582	7.9442369871307426	3	37	430	2.902335456475584	4.22761524822695	4.224534986713906	-3.2489293926300835	40	French
fu	fu	3914.103869263024	2	22	0.00397216971627006	7.9758570194014515	23	248	673	2.6857142857142855	2.730727470141151	2.6857142857142855	-1.9290627784012762	271	French
