i	lex.type	test	b	b0	r	language
1	og	min.pairs	0.056592908065366224	0	0.056592908065366224	Georgian
1	og	network.prop	0.044162444091704396	0	0.044162444091704396	Georgian
1	og	mean.edit	0.010493275862468426	0	0.010493275862468426	Georgian
2	scr	min.pairs	-0.0023895935505510594	0	-0.0023895935505510594	Georgian
2	scr	network.prop	-0.011677723613356353	0	-0.011677723613356353	Georgian
2	scr	mean.edit	-0.008664008598988924	0	-0.008664008598988924	Georgian
3	scr	min.pairs	-0.015490580409612457	0	-0.015490580409612457	Georgian
3	scr	network.prop	0.0022200667253198213	0	0.0022200667253198213	Georgian
3	scr	mean.edit	0.014013120856028885	0	0.014013120856028885	Georgian
4	scr	min.pairs	0.011016858708880509	0	0.011016858708880509	Georgian
4	scr	network.prop	0.001436452492060258	0	0.001436452492060258	Georgian
4	scr	mean.edit	0.010774317827893233	0	0.010774317827893233	Georgian
5	scr	min.pairs	0.001569503350491964	0	0.001569503350491964	Georgian
5	scr	network.prop	0.01088730892038247	0	0.01088730892038247	Georgian
5	scr	mean.edit	-5.364483608238138e-4	0	-5.364483608238138e-4	Georgian
6	scr	min.pairs	-0.0217329456769577	0	-0.0217329456769577	Georgian
6	scr	network.prop	-0.02521054403186569	0	-0.02521054403186569	Georgian
6	scr	mean.edit	-0.0029113868508865537	0	-0.0029113868508865537	Georgian
7	scr	min.pairs	-1.4852142921020553e-4	0	-1.4852142921020553e-4	Georgian
7	scr	network.prop	-0.020957766073376537	0	-0.020957766073376537	Georgian
7	scr	mean.edit	-0.02901998008883099	0	-0.02901998008883099	Georgian
8	scr	min.pairs	0.0054671331622594185	0	0.0054671331622594185	Georgian
8	scr	network.prop	-0.009117348101593042	0	-0.009117348101593042	Georgian
8	scr	mean.edit	-0.013556613115354547	0	-0.013556613115354547	Georgian
9	scr	min.pairs	-0.01527616741978177	0	-0.01527616741978177	Georgian
9	scr	network.prop	-0.021760081409912403	0	-0.021760081409912403	Georgian
9	scr	mean.edit	0.003944234889771372	0	0.003944234889771372	Georgian
10	scr	min.pairs	-0.005412420418511292	0	-0.005412420418511292	Georgian
