word	phones	freq	word.length	freq.rank	unig.p	unig.h	min.pairs	min.pairs.2	min.pairs.3	mean.dist	mean.dist.nonmp	mean.dist.all	scaled.unig.h	network	language
es	es	20310.100377877035	2	1	0.021104150047638458	5.566329462670509	5	76	120	2.5594059405940595	2.6122448979591835	2.5594059405940595	-2.788593320306675	81	Georgian
is	is	18446.01754150725	2	2	0.019167188479352625	5.705217457587036	6	80	115	2.5297029702970297	2.58974358974359	2.5297029702970297	-2.742394113884835	86	Georgian
rom	rom	17053.386000893435	3	3	0.017720110205618363	5.818468613387172	8	38	351	2.85678391959799	3.5307692307692307	3.504896626768226	-3.416072307415574	46	Georgian
ar	ar	16103.969642822274	2	4	0.016733575185818986	5.901110474714644	9	90	102	2.4504950495049505	2.53125	2.4504950495049505	-2.677232960537387	99	Georgian
Qopna	Qopna	15281.479937749542	5	5	0.01587892918084896	5.97674256429435	1	17	162	2.8784530386740332	4.835398792500794	4.832645284217212	-4.508846483223912	18	Georgian
romeli	romeli	8862.849619535447	6	6	0.009209354200143183	6.762684292831603	1	20	141	2.8466257668711656	5.239517951292995	5.237139272271016	-4.425596124355796	21	Georgian
sakartvelo	sakartvelo	7727.214442514148	10	7	0.008029319895569294	6.960506491794054	0	1	3	2.2	8.351876234364713	8.349128002632446	-4.885035469843516	1	Georgian
3eli	3eli	5974.871709825462	4	8	0.0062084670549878915	7.331547190962918	11	134	543	2.769230769230769	3.7422245651027937	3.724463069669984	-3.5502889104950346	145	Georgian
tkma	tkma	5965.8537782192325	4	9	0.00619909655567	7.3337263094250105	5	47	371	2.858490566037736	4.03730951129795	4.0272393923520164	-3.5492211720346876	52	Georgian
unda	unda	5345.863636698437	4	10	0.005554867096865171	7.492031889877106	2	28	409	2.9204545454545454	4.020461699895068	4.015191199580933	-3.4716535869416125	30	Georgian
magram	magram	4795.292475205077	6	11	0.004982770642988708	7.6488361163878125	1	8	58	2.8088235294117645	5.476023098167211	5.473525721455458	-3.9429396783317197	9	Georgian
kona	kona	4494.550331011331	4	12	0.004670270595296833	7.74227814261085	8	85	479	2.818499127399651	3.9105263157894736	3.896280775275013	-3.3490363207169276	93	Georgian
misi	misi	4212.534347726288	4	13	0.004377228832019149	7.835766477749393	10	113	573	2.8048780487804876	3.761854583772392	3.7454164484023047	-3.303228305798191	123	Georgian
