i	lex.type	test	b	b0	r	language
1	og	min.pairs	0.12015388566075857	0	0.12015388566075857	German
1	og	network.prop	0.04500883635293516	0	0.04500883635293516	German
1	og	mean.edit	-0.06690626003244991	0	-0.06690626003244991	German
2	scr	min.pairs	0.0016272607095484898	0	0.0016272607095484898	German
2	scr	network.prop	-0.021456854842217342	0	-0.021456854842217342	German
2	scr	mean.edit	0.010695077712768623	0	0.010695077712768623	German
3	scr	min.pairs	0.017413840097112512	0	0.017413840097112512	German
3	scr	network.prop	0.003530730195750031	0	0.003530730195750031	German
3	scr	mean.edit	-0.008183016130313414	0	-0.008183016130313414	German
4	scr	min.pairs	0.012595630463826162	0	0.012595630463826162	German
4	scr	network.prop	0.009368393434282174	0	0.009368393434282174	German
4	scr	mean.edit	-0.007927609375242844	0	-0.007927609375242844	German
5	scr	min.pairs	-0.004850455599800379	0	-0.004850455599800379	German
5	scr	network.prop	0.005645068199814666	0	0.005645068199814666	German
5	scr	mean.edit	-0.0014632440706351406	0	-0.0014632440706351406	German
6	scr	min.pairs	-3.050901457280077e-4	0	-3.050901457280077e-4	German
6	scr	network.prop	-0.006921575465010019	0	-0.006921575465010019	German
6	scr	mean.edit	-0.003014922746443097	0	-0.003014922746443097	German
7	scr	min.pairs	-0.009555987994759128	0	-0.009555987994759128	German
7	scr	network.prop	0.0019035664260347673	0	0.0019035664260347673	German
7	scr	mean.edit	0.013434935859962027	0	0.013434935859962027	German
8	scr	min.pairs	0.006279591531490231	0	0.006279591531490231	German
8	scr	network.prop	-0.0037948344913114225	0	-0.0037948344913114225	German
8	scr	mean.edit	-0.009907442164598412	0	-0.009907442164598412	German
9	scr	min.pairs	-0.0022706461508454094	0	-0.0022706461508454094	German
9	scr	network.prop	-0.011789575018037611	0	-0.011789575018037611	German
9	scr	mean.edit	-0.015153700503035649	0	-0.015153700503035649	German
10	scr	min.pairs	0.013366774884165131	0	0.013366774884165131	German
10	scr	network.prop	0.01675246547908575	0	0.01675246547908575	German
10	scr	mean.edit	-0.009777391771316521	0	-0.009777391771316521	German
11	scr	min.pairs	0.002993069946667961	0	0.002993069946667961	German
11	scr	network.prop	-0.008788700748011332	0	-0.008788700748011332	German
11	scr	mean.edit	-0.006597436155312322	0	-0.006597436155312322	German
12	scr	min.pairs	0.01850277830018963	0	0.01850277830018963	German
12	scr	network.prop	0.010548581769198631	0	0.010548581769198631	German
12	scr	mean.edit	-0.008230895181933179	0	-0.008230895181933179	German
13	scr	min.pairs	0.0065360493050718605	0	0.0065360493050718605	German
13	scr	network.prop	0.005700917524964793	0	0.005700917524964793	German
13	scr	mean.edit	-0.00768372218249395	0	-0.00768372218249395	German
14	scr	min.pairs	0.011926207669011984	0	0.011926207669011984	German
14	scr	network.prop	0.012349990495142868	0	0.012349990495142868	German
14	scr	mean.edit	0.008001188692695817	0	0.008001188692695817	German
15	scr	min.pairs	0.008418948134135568	0	0.008418948134135568	German
15	scr	network.prop	-0.0016712414232030709	0	-0.0016712414232030709	German
15	scr	mean.edit	-0.007499362109082534	0	-0.007499362109082534	German
16	scr	min.pairs	0.008936528993954466	0	0.008936528993954466	German
16	scr	network.prop	0.011485184373983276	0	0.011485184373983276	German
16	scr	mean.edit	-0.01050368063344541	0	-0.01050368063344541	German
17	scr	min.pairs	-0.0026179908997594715	0	-0.0026179908997594715	German
17	scr	network.prop	-0.02199947404374717	0	-0.02199947404374717	German
17	scr	mean.edit	-0.016058058709927898	0	-0.016058058709927898	German
18	scr	min.pairs	-0.010862283891006613	0	-0.010862283891006613	German
18	scr	network.prop	1.3326830428062522e-4	0	1.3326830428062522e-4	German
18	scr	mean.edit	-0.0049192993895609835	0	-0.0049192993895609835	German
19	scr	min.pairs	-0.012432264507847231	0	-0.012432264507847231	German
19	scr	network.prop	-0.02712764530166582	0	-0.02712764530166582	German
19	scr	mean.edit	0.0021319946618410437	0	0.0021319946618410437	German
20	scr	min.pairs	-0.01705430266014713	0	-0.01705430266014713	German
20	scr	network.prop	-0.0032078263957957967	0	-0.0032078263957957967	German
20	scr	mean.edit	0.0074241929005934865	0	0.0074241929005934865	German
21	scr	min.pairs	-0.01000981886681826	0	-0.01000981886681826	German
21	scr	network.prop	-0.02368369416864822	0	-0.02368369416864822	German
21	scr	mean.edit	-0.007226420404993371	0	-0.007226420404993371	German
22	scr	min.pairs	-7.381113266910693e-4	0	-7.381113266910693e-4	German
22	scr	network.prop	0.007544430033699426	0	0.007544430033699426	German
22	scr	mean.edit	0.008175083277682408	0	0.008175083277682408	German
23	scr	min.pairs	-0.007518547297540019	0	-0.007518547297540019	German
23	scr	network.prop	-0.014589962590045209	0	-0.014589962590045209	German
23	scr	mean.edit	0.005011531771180648	0	0.005011531771180648	German
24	scr	min.pairs	0.02106723174914525	0	0.02106723174914525	German
24	scr	network.prop	0.003210835918366617	0	0.003210835918366617	German
24	scr	mean.edit	-0.023056565228079598	0	-0.023056565228079598	German
25	scr	min.pairs	3.2152248038496404e-4	0	3.2152248038496404e-4	German
25	scr	network.prop	-0.004727020976592908	0	-0.004727020976592908	German
25	scr	mean.edit	-0.0025313764750550805	0	-0.0025313764750550805	German
26	scr	min.pairs	0.006321099300546382	0	0.006321099300546382	German
26	scr	network.prop	0.0015099007431919878	0	0.0015099007431919878	German
26	scr	mean.edit	-0.011838448229366506	0	-0.011838448229366506	German
27	scr	min.pairs	0.008887865606812389	0	0.008887865606812389	German
27	scr	network.prop	0.012788857794416885	0	0.012788857794416885	German
27	scr	mean.edit	-0.010343531376514415	0	-0.010343531376514415	German
28	scr	min.pairs	-0.014456416602983777	0	-0.014456416602983777	German
28	scr	network.prop	-0.012481032708823666	0	-0.012481032708823666	German
28	scr	mean.edit	0.0041556347228362935	0	0.0041556347228362935	German
29	scr	min.pairs	0.007064908964679304	0	0.007064908964679304	German
29	scr	network.prop	-0.010428235849493959	0	-0.010428235849493959	German
29	scr	mean.edit	-7.66555877839593e-4	0	-7.66555877839593e-4	German
30	scr	min.pairs	-0.013768839501405047	0	-0.013768839501405047	German
30	scr	network.prop	-0.010417938958035462	0	-0.010417938958035462	German
30	scr	mean.edit	0.0017014006873599863	0	0.0017014006873599863	German
31	scr	min.pairs	0.006171510702915554	0	0.006171510702915554	German
31	scr	network.prop	-0.008404612168664673	0	-0.008404612168664673	German
31	scr	mean.edit	0.0023288314762627297	0	0.0023288314762627297	German
32	scr	min.pairs	-0.016548234085127865	0	-0.016548234085127865	German
32	scr	network.prop	-0.011851413164496578	0	-0.011851413164496578	German
32	scr	mean.edit	0.002992184103036231	0	0.002992184103036231	German
33	scr	min.pairs	-0.004473115043600095	0	-0.004473115043600095	German
33	scr	network.prop	0.015099205264012755	0	0.015099205264012755	German
33	scr	mean.edit	0.009274126597185819	0	0.009274126597185819	German
34	scr	min.pairs	0.011026840846140478	0	0.011026840846140478	German
34	scr	network.prop	0.00906714472452329	0	0.00906714472452329	German
34	scr	mean.edit	-0.008492897668902842	0	-0.008492897668902842	German
35	scr	min.pairs	-0.013599236319171306	0	-0.013599236319171306	German
35	scr	network.prop	-1.755266980353073e-4	0	-1.755266980353073e-4	German
35	scr	mean.edit	0.004194789448948207	0	0.004194789448948207	German
36	scr	min.pairs	3.3478263612311853e-4	0	3.3478263612311853e-4	German
36	scr	network.prop	-0.0070984694033764725	0	-0.0070984694033764725	German
36	scr	mean.edit	-0.023218164799123957	0	-0.023218164799123957	German
37	scr	min.pairs	-0.007146275173697484	0	-0.007146275173697484	German
37	scr	network.prop	0.002520183620179204	0	0.002520183620179204	German
37	scr	mean.edit	-0.005532254365161645	0	-0.005532254365161645	German
38	scr	min.pairs	-0.009077295770182061	0	-0.009077295770182061	German
38	scr	network.prop	0.008684250417401502	0	0.008684250417401502	German
38	scr	mean.edit	0.022866480758674	0	0.022866480758674	German
39	scr	min.pairs	0.008836193970705914	0	0.008836193970705914	German
39	scr	network.prop	0.012061572348572736	0	0.012061572348572736	German
39	scr	mean.edit	-7.291900446761519e-4	0	-7.291900446761519e-4	German
40	scr	min.pairs	-0.004468742386259285	0	-0.004468742386259285	German
40	scr	network.prop	-0.006186596768998639	0	-0.006186596768998639	German
40	scr	mean.edit	-0.005893848002702107	0	-0.005893848002702107	German
41	scr	min.pairs	0.014830734495743732	0	0.014830734495743732	German
41	scr	network.prop	-0.0047965401490425615	0	-0.0047965401490425615	German
41	scr	mean.edit	-0.005776212365015973	0	-0.005776212365015973	German
42	scr	min.pairs	0.004923050575454126	0	0.004923050575454126	German
42	scr	network.prop	-0.0013626712728955432	0	-0.0013626712728955432	German
42	scr	mean.edit	-5.566277735401366e-5	0	-5.566277735401366e-5	German
43	scr	min.pairs	0.009827658689379975	0	0.009827658689379975	German
43	scr	network.prop	-0.004568343760767312	0	-0.004568343760767312	German
43	scr	mean.edit	-0.00934558245677921	0	-0.00934558245677921	German
44	scr	min.pairs	0.015543060827271572	0	0.015543060827271572	German
44	scr	network.prop	9.475907397275143e-4	0	9.475907397275143e-4	German
44	scr	mean.edit	-0.018714557763584574	0	-0.018714557763584574	German
45	scr	min.pairs	0.001070544305240984	0	0.001070544305240984	German
45	scr	network.prop	-0.0013371382657242433	0	-0.0013371382657242433	German
45	scr	mean.edit	0.0019066911775235107	0	0.0019066911775235107	German
46	scr	min.pairs	-0.0103220896065747	0	-0.0103220896065747	German
46	scr	network.prop	-0.023763147589794233	0	-0.023763147589794233	German
46	scr	mean.edit	-0.00639508418888778	0	-0.00639508418888778	German
47	scr	min.pairs	-0.01059151078364815	0	-0.01059151078364815	German
47	scr	network.prop	0.007054382885609102	0	0.007054382885609102	German
47	scr	mean.edit	0.031940144980532756	0	0.031940144980532756	German
48	scr	min.pairs	0.002923464802179426	0	0.002923464802179426	German
48	scr	network.prop	0.014695375911433375	0	0.014695375911433375	German
48	scr	mean.edit	-0.002287205524148366	0	-0.002287205524148366	German
49	scr	min.pairs	0.00370221507064449	0	0.00370221507064449	German
49	scr	network.prop	-0.0052316263358932885	0	-0.0052316263358932885	German
49	scr	mean.edit	-5.871415640473324e-4	0	-5.871415640473324e-4	German
50	scr	min.pairs	0.0069902466252612615	0	0.0069902466252612615	German
50	scr	network.prop	-0.0032742713530739933	0	-0.0032742713530739933	German
50	scr	mean.edit	-0.009743225595650745	0	-0.009743225595650745	German
51	scr	min.pairs	-0.009265574968609965	0	-0.009265574968609965	German
51	scr	network.prop	-0.005115680424847535	0	-0.005115680424847535	German
51	scr	mean.edit	0.025798891232557377	0	0.025798891232557377	German
52	scr	min.pairs	0.006788677095973213	0	0.006788677095973213	German
52	scr	network.prop	0.016806612291389446	0	0.016806612291389446	German
52	scr	mean.edit	-0.0033658156156130704	0	-0.0033658156156130704	German
53	scr	min.pairs	-0.015275591005637325	0	-0.015275591005637325	German
53	scr	network.prop	0.016462307188466484	0	0.016462307188466484	German
53	scr	mean.edit	0.026075482144873267	0	0.026075482144873267	German
54	scr	min.pairs	-0.009215338730723825	0	-0.009215338730723825	German
54	scr	network.prop	-0.015367012328270053	0	-0.015367012328270053	German
54	scr	mean.edit	0.0012430005977054398	0	0.0012430005977054398	German
55	scr	min.pairs	-0.001094003272724716	0	-0.001094003272724716	German
55	scr	network.prop	0.009267218223028015	0	0.009267218223028015	German
55	scr	mean.edit	-8.89282980902255e-4	0	-8.89282980902255e-4	German
56	scr	min.pairs	-0.001792998569024863	0	-0.001792998569024863	German
56	scr	network.prop	-0.021837085243970447	0	-0.021837085243970447	German
56	scr	mean.edit	-0.013679598978654468	0	-0.013679598978654468	German
57	scr	min.pairs	-0.005249971010446937	0	-0.005249971010446937	German
57	scr	network.prop	-0.0096059003410466	0	-0.0096059003410466	German
57	scr	mean.edit	-0.01282378647207049	0	-0.01282378647207049	German
58	scr	min.pairs	-0.009896247327600416	0	-0.009896247327600416	German
58	scr	network.prop	-0.007439177762270375	0	-0.007439177762270375	German
58	scr	mean.edit	0.014371324188013379	0	0.014371324188013379	German
59	scr	min.pairs	-0.009095516421521852	0	-0.009095516421521852	German
59	scr	network.prop	0.007259760764510577	0	0.007259760764510577	German
59	scr	mean.edit	0.007697715189553705	0	0.007697715189553705	German
60	scr	min.pairs	0.010733444282239865	0	0.010733444282239865	German
60	scr	network.prop	0.006566611696545963	0	0.006566611696545963	German
60	scr	mean.edit	-0.004222414691273466	0	-0.004222414691273466	German
61	scr	min.pairs	0.015591674311873522	0	0.015591674311873522	German
61	scr	network.prop	0.0032675070896460937	0	0.0032675070896460937	German
61	scr	mean.edit	0.004996230033025083	0	0.004996230033025083	German
62	scr	min.pairs	0.003599538897264024	0	0.003599538897264024	German
62	scr	network.prop	-0.003428379302147266	0	-0.003428379302147266	German
62	scr	mean.edit	0.0026921659524207706	0	0.0026921659524207706	German
63	scr	min.pairs	0.0066240305886409055	0	0.0066240305886409055	German
63	scr	network.prop	-0.005085757970666186	0	-0.005085757970666186	German
63	scr	mean.edit	-0.014613393862499722	0	-0.014613393862499722	German
64	scr	min.pairs	-0.008080089128461755	0	-0.008080089128461755	German
64	scr	network.prop	-0.006513488773151461	0	-0.006513488773151461	German
64	scr	mean.edit	0.007286882702225412	0	0.007286882702225412	German
65	scr	min.pairs	0.018379692080125236	0	0.018379692080125236	German
