word	phones	freq	word.length	freq.rank	unig.p	unig.h	min.pairs	min.pairs.2	min.pairs.3	mean.dist	mean.dist.nonmp	mean.dist.all	scaled.unig.h	network	language
der	der	132491.79343559415	3	1	0.13670725760895783	2.870838259123241	7	85	402	2.793939393939394	3.4536771728748805	3.434123222748815	-3.853308054719665	92	German
und	Unt	30304.738735970615	3	2	0.031268938382696135	4.999125950876945	7	67	503	2.8546712802768166	3.3915950334288443	3.372511848341232	-3.1222441073966776	74	German
sein	zain	23441.48769413007	4	3	0.024187320692405447	5.36960522359308	14	85	467	2.7954144620811285	3.955841766329347	3.935130196436729	-4.49958632696738	99	German
in	In	22214.25319609516	2	4	0.022921039526462784	5.447183714368205	6	97	247	2.680911680911681	2.7180232558139537	2.680911680911681	-1.8364060882561304	103	German
ein	ain	20053.35399463319	3	5	0.020691387439031005	5.594825802948056	17	123	518	2.7572078907435507	3.2632594021215042	3.223696682464455	-2.9176220128545713	140	German
werden	verd@n	13896.84505092268	6	6	0.014338998115017387	6.1239119652461556	3	25	155	2.8152173913043477	5.317335945151812	5.312866927592955	-5.2491810408931245	28	German
zu	ծu	12414.901506125803	2	7	0.01280990387689794	6.2865965397659656	8	79	263	2.7207977207977208	2.7690058479532165	2.7207977207977208	-1.6123586196611772	87	German
haben	hab@n	11987.433279820943	5	8	0.012368834981853432	6.337146570224841	6	94	468	2.8084358523725834	4.505590812934421	4.49788902291918	-4.467677796224694	100	German
von	fOn	11249.481772799127	3	9	0.011607404223333354	6.428810812991802	6	89	448	2.8088235294117645	3.4026717557251906	3.385781990521327	-2.6311492884136416	95	German
mit	mIt	10316.421122447397	3	10	0.01064465657395217	6.553726784563989	7	94	475	2.8076256499133447	3.36676217765043	3.347867298578199	-2.5882408209094194	101	German
sie	zi	9822.708408881916	2	11	0.010135235504404767	6.624476577823445	9	80	261	2.7122507122507122	2.7653958944281527	2.7122507122507122	-1.5221751426816907	89	German
nicht	nIxt	9613.50469379442	4	12	0.00991937559769198	6.655534975588753	6	40	271	2.8270440251572326	4.219981668194317	4.2092279579716765	-3.898813174711497	46	German
er	er	9585.114199254156	2	13	0.009890081808619312	6.6598018299667565	14	93	243	2.646723646723647	2.7232142857142856	2.646723646723647	-1.5127464884120385	107	German
es	Es	9145.36356041769	2	14	0.009436339714046912	6.727556927238942	4	102	244	2.678062678062678	2.7052023121387285	2.678062678062678	-1.4946619922393183	106	German
sich	zIx	9032.204284306843	3	15	0.009319580072494857	6.745519334179299	6	68	397	2.8241525423728815	3.491412213740458	3.4739336492890995	-2.522360339181231	74	German
auf	auf	8879.982909324988	3	16	0.009162515501296717	6.770040550638013	7	92	521	2.824476650563607	3.326647564469914	3.308056872037915	-2.513937334449809	99	German
ich	Ix	8595.272559821893	2	17	0.00886874658109279	6.817054061648608	5	86	259	2.717948717948718	2.7507246376811594	2.717948717948718	-1.4707743343381106	91	German
