word	phones	freq	word.length	freq.rank	unig.p	unig.h	min.pairs	min.pairs.2	min.pairs.3	mean.dist	mean.dist.nonmp	mean.dist.all	scaled.unig.h	network	language
kuma	kuma	24884.670237220063	4	1	0.02544652415863947	5.29638758343677	18	161	921	2.818346957311535	3.8501100110011	3.835020519835841	-4.41888601196828	179	Hausa
su	su	20328.926061570815	2	2	0.02078791895627492	5.588110850132324	25	361	358	2.4442953020134226	2.497913769123783	2.4442953020134226	-5.492939722352613	386	Hausa
yi	yi	20217.779890618847	2	3	0.020674263292072496	5.596020268543113	28	387	329	2.4013422818791947	2.4594972067039107	2.4013422818791947	-5.488398653317462	415	Hausa
suka	suka	12362.617921092045	4	4	0.012641745001811254	6.305660570270812	17	158	884	2.8160377358490565	3.863898817706901	3.849521203830369	-3.9371283129561516	175	Hausa
daga	daga	12053.32352027814	4	5	0.012325467254611248	6.342213850016751	19	264	1285	2.805608667941364	3.6184319119669874	3.6038303693570453	-3.91968028435391	283	Hausa
cikin	cikin	11368.54654943174	5	6	0.011625229173663727	6.426597032741219	10	58	347	2.8052884615384617	4.72959587955626	4.721288792251433	-4.729753142250413	68	Hausa
mai	mai	10049.362220792076	3	7	0.010276259885807984	6.604540908317355	20	305	1253	2.779607346421786	3.1111641221374047	3.0897496457250826	-4.609142489001818	325	Hausa
ke	ke	8593.638775776963	2	8	0.00878766865840769	6.830303811109817	26	390	328	2.402684563758389	2.456824512534819	2.402684563758389	-4.779754036906626	416	Hausa
wani	wani	8211.495761043227	4	9	0.008396897498340926	6.895927908026627	18	275	1130	2.779494382022472	3.661991199119912	3.6478796169630643	-3.6553751716863405	293	Hausa
cewa	cewa	7646.606794819173	4	10	0.007819254291139839	6.998753257918835	4	72	673	2.8893333333333335	4.013424657534246	4.009028727770178	-3.6062934023232485	76	Hausa
wanda	wanda	7326.489171365749	5	11	0.007491908951171058	7.0604509179818455	9	112	724	2.842789598108747	4.2812438106555755	4.274560189760822	-4.376843142613413	121	Hausa
ku	ku	6661.277256829246	2	12	0.006811677672536322	7.197774116121785	37	353	354	2.422818791946309	2.500707213578501	2.422818791946309	-4.568776701183537	390	Hausa
haka	haka	6412.759413914168	4	13	0.00655754871549944	7.252627664467154	26	323	1304	2.7714631197097943	3.5791069459757443	3.559781121751026	-3.4851111735979505	349	Hausa
zai	zai	6290.790020322682	3	14	0.00643282545852824	7.280331740005498	27	296	1226	2.772258064516129	3.1297271421732886	3.10108644307983	-4.242575408428676	323	Hausa
domin	domin	5645.559439889903	5	15	0.005773026658851244	7.436456397181679	3	45	331	2.857894736842105	4.772106824925816	4.768926665348883	-4.167495063162029	48	Hausa
duk	duk	5051.531028097918	3	16	0.0051655860865034535	7.596852238355371	8	155	978	2.8476357267950965	3.3889943074003797	3.3783656117146905	-4.0708861969431736	163	Hausa
har	har	4973.687080652157	3	17	0.005085984553897261	7.619257204083077	9	233	1200	2.823977823977824	3.2093023255813953	3.1983939537080777	-4.058733142341011	242	Hausa
abin	abin	4956.203413311398	4	18	0.0050681061348092395	7.624337547365755	11	162	755	2.798708288482239	3.837771067801263	3.8281805745554034	-3.307682370666218	173	Hausa
yadda	yadda	4881.689688216258	5	19	0.004991910015362671	7.646192356383421	3	67	581	2.8834355828220857	4.37784371909001	4.374975291559597	-4.050720647150279	70	Hausa
suna	suna	4760.1365724186	4	20	0.004867612435036424	7.682569981094832	11	171	942	2.8257777777777777	3.8229481196815813	3.813406292749658	-3.279886200901289	182	Hausa
kamar	kamar	4744.31801625315	5	21	0.004851436722528212	7.687372229007689	23	185	787	2.7650602409638556	4.22284011916584	4.207353231864005	-4.027792983265463	208	Hausa
zuwa	zuwa	4716.843681860529	4	22	0.004823342063961322	7.6957511572325386	11	120	780	2.8410087719298245	3.9396102113642604	3.9296853625171	-3.2735944114952384	131	Hausa
kuwa	kuwa	4645.243901322181	4	23	0.004750125681029422	7.717818599218682	13	156	838	2.816468253968254	3.8893161219445207	3.8779753761969906	-3.2630609282721545	169	Hausa
yake	yake	4412.128336778726	4	24	0.004511746759855799	7.792098191782059	13	189	1009	2.82013201320132	3.7794561933534743	3.7685362517099863	-3.2276049455363607	202	Hausa
dai	dai	3991.271487219023	3	25	0.004081387671808415	7.936724532744734	28	318	1238	2.7621451104100947	3.1024904214559386	3.0732168162494093	-3.886530344688141	346	Hausa
idan	idan	3975.4529310535745	4	26	0.004065211959300205	7.942453708583394	11	101	779	2.8587443946188342	3.885533900631348	3.87578659370725	-3.1558355345317035	112	Hausa
iya	iya	3890.1159833189163	3	27	0.00397794824708486	7.973759777761347	24	279	1145	2.772256728778468	3.1859464627151053	3.1596598960793574	-3.866441434026039	303	Hausa
irin	irin	3858.062593194191	4	28	0.0039451711454234865	7.985696397529046	13	110	571	2.8	4.0054929964295525	3.9937072503419975	-3.1351944407965946	123	Hausa
wata	wata	3701.1258649211863	4	29	0.003784691050276243	8.045608748896587	31	262	1260	2.7895752895752897	3.6282086668506763	3.6049247606019152	-3.10659639357473	293	Hausa
wasu	wasu	3533.782191802491	4	30	0.0036135690390051768	8.112359826706344	12	129	871	2.8460019743336624	3.8654585392641407	3.8549931600547196	-3.074734007409929	141	Hausa
suke	suke	3520.04502460618	4	31	0.0035995217097217307	8.117979065011184	8	92	632	2.848567530695771	4.07789358200768	4.070041039671683	-3.0720517684604527	100	Hausa
lokacin	lokacin	3514.6334132864217	7	32	0.0035939879133373436	8.120198727622133	2	5	32	2.7	6.073514185131497	6.070157284768212	-4.6113219460736286	7	Hausa
mutane	mutane	3465.0963558209373	6	33	0.003543332392587948	8.140677476658533	2	11	118	2.8636363636363638	5.319205532895904	5.316731655441333	-4.196449863090729	13	Hausa
saboda	saboda	3460.517300088834	6	34	0.0035386499494934665	8.142585230191294	0	10	135	2.910958904109589	5.199964545293388	5.1990428925912795	-4.195286497964586	10	Hausa
zama	zama	3448.4452440678333	4	35	0.003526305326789832	8.147626888173356	25	294	1267	2.7813484562066795	3.6084320749517773	3.5896032831737346	-3.0578999311937776	319	Hausa
kasar	kasar	3394.3291308702455	5	36	0.003470967362945955	8.17044648490532	17	176	769	2.778816199376947	4.242213846459036	4.230480332081439	-3.7588323608836065	193	Hausa
duniya	duniya	3274.8574040417243	6	37	0.0033487981658444723	8.222140858127773	5	18	142	2.8132530120481927	5.341199432221433	5.336405529953917	-4.146772766216559	23	Hausa
bayan	bayan	3211.999457173757	5	38	0.0032845209924565843	8.250101298344763	18	147	819	2.8111675126903553	4.185515873015873	4.173354417869144	-3.714483054463677	165	Hausa
wajen	wajen	3152.47173265641	5	39	0.0032236492322283193	8.27708951302189	3	43	435	2.892116182572614	4.52106824925816	4.518086578375173	-3.699456861434518	46	Hausa
samu	samu	2726.619549570776	4	40	0.002788182024441502	8.486459535081693	17	146	902	2.828330206378987	3.8366785812482815	3.8224350205198356	-2.8961644657110472	163	Hausa
ci	ci	2674.584825342326	2	41	0.002734972443822389	8.514257987425264	32	384	328	2.3946308724832215	2.460674157303371	2.3946308724832215	-3.8129380500006067	416	Hausa
biyu	biyu	2644.196546392911	4	42	0.002703898048740827	8.530743529250909	8	69	597	2.8696296296296295	4.110257816785518	4.102325581395349	-2.8750263242841667	77	Hausa
yanzu	yanzu	2493.50398502732	5	43	0.002549803103267877	8.615398438717719	3	44	369	2.8729016786570742	4.5905044510385755	4.587467879027476	-3.511097042831869	47	Hausa
akwai	akwai	2488.9249292952168	5	44	0.0025451206601733952	8.618050230833653	5	23	354	2.906005221932115	4.457352068078369	4.453053963233841	-3.509620607999705	28	Hausa
mutum	mutum	2475.1877620989058	5	45	0.002531073330889949	8.626034978486222	2	18	143	2.847560975609756	4.990704113924051	4.988139948606444	-3.505174950480228	20	Hausa
gaba	gaba	2460.6180393149402	4	46	0.0025161746483165983	8.634552221142977	21	257	1305	2.8093434343434343	3.616019818331957	3.6	-2.825475174896667	278	Hausa
aiki	aiki	2446.048316530974	4	47	0.002501275965743246	8.643120045837588	13	167	934	2.824215246636771	3.7717659983521012	3.760875512995896	-2.8213854830449483	180	Hausa
inda	inda	2418.157704344525	4	48	0.0024727556305314024	8.659664611873291	9	122	826	2.8507306889352817	3.8897119341563786	3.881532147742818	-2.813488241992736	131	Hausa
bai	bai	2414.4112042000766	3	49	0.002468924540726826	8.66190154149157	26	304	1256	2.7737870195337115	3.108133971291866	3.0807746811525742	-3.493174876501259	330	Hausa
ina	ina	2351.9695351259365	3	50	0.002405073043983891	8.699703574203955	28	300	1132	2.754277891854894	3.1704980842911876	3.1402928672649977	-3.47267003961779	328	Hausa
amfani	amfani	2267.465142978934	6	51	0.0023186606850584524	8.752492574553424	5	12	128	2.828767123287671	5.187899219304471	5.183268344558667	-3.8233595574951926	17	Hausa
nuna	nuna	2157.15152761462	4	52	0.0022058563741459334	8.824445426213773	13	163	914	2.824014665444546	3.8385059049711616	3.8273597811217512	-2.734833183357873	176	Hausa
annabi	annabi	2135.9213601294123	6	53	0.002184146865253335	8.838714416202452	3	7	93	2.8461538461538463	5.319262149698474	5.316022686990429	-3.77078070914619	10	Hausa
dake	dake	2127.5958042528605	4	54	0.002175633332354277	8.844348850393658	11	199	1025	2.8187702265372168	3.766126818556135	3.7567715458276334	-2.725332653807942	210	Hausa
mata	mata	2110.1121369121015	4	55	0.0021577549132662556	8.85625327780439	23	265	1282	2.8001273074474855	3.6185623795097768	3.60109439124487	-2.719650296673386	288	Hausa
daya	daya	2059.7425238589617	4	56	0.0021062480392269544	8.891108941417498	24	313	1296	2.777233782129743	3.590633608815427	3.572640218878249	-2.703012593575371	337	Hausa
wurin	wurin	2042.2588565182027	5	57	0.0020883696201389325	8.903407207836265	6	59	413	2.845511482254697	4.660332541567696	4.6550701719707455	-3.3507427766960807	65	Hausa
dukan	dukan	1916.5429627822675	5	58	0.001959815273363156	8.995066608261638	11	69	475	2.8309352517985613	4.497721418664553	4.489227119984187	-3.2997096920624416	80	Hausa
aikin	aikin	1909.4662402871984	5	59	0.001952578770398957	9.000403534311907	6	90	476	2.816753926701571	4.493863816310372	4.488831784937735	-3.2967382587174394	96	Hausa
Sugaban	Sugaban	1890.7337395649565	7	60	0.0019334233213760767	9.01462673568698	3	1	28	2.696969696969697	5.915078707539354	5.91080298013245	-4.022417359000579	4	Hausa
Siga	Siga	1869.0872942859214	4	61	0.0019112881358385257	9.031238996765358	11	126	771	2.8338833883388337	3.932473236343673	3.9225718194254444	-2.636124116515667	137	Hausa
kada	kada	1832.87112622292	4	62	0.0018742542677276232	9.059467597456974	30	327	1308	2.765906362545018	3.5689845474613686	3.546922024623803	-2.6226497187135576	357	Hausa
bayyana	bayyana	1750.0318452512277	7	63	0.0017895446153819957	9.126191772431689	9	12	93	2.7130434782608694	5.52675238490253	5.517177152317881	-3.948961294003151	21	Hausa
ciki	ciki	1726.7202887968822	4	64	0.0017657067232646334	9.145538547580642	11	116	722	2.8341176470588234	4.007685973099094	3.997537619699042	-2.581565350634474	127	Hausa
sauran	sauran	1725.887733209227	6	65	0.0017648553699747276	9.146234325284453	1	47	358	2.8722358722358723	4.859929078014185	4.858383551931939	-3.5832523247521415	48	Hausa
samun	samun	1666.3600086918802	5	66	0.0017039836097464626	9.196872826006329	7	63	541	2.869281045751634	4.447634131855078	4.4419845819331885	-3.187350307842549	70	Hausa
kasance	kasance	1662.6135085474318	7	67	0.0017001525199418866	9.200120108949895	1	11	81	2.8297872340425534	5.771428571428571	5.769246688741722	-3.900285787313187	12	Hausa
fara	fara	1651.7902859079143	4	68	0.001689084927173111	9.209542416006993	23	306	1371	2.79129923574368	3.560727072431837	3.543638850889193	-2.5510142938013	329	Hausa
musu	musu	1650.957730320259	4	69	0.0016882335738832054	9.21026976416502	5	77	498	2.8450946643717727	4.16360646752535	4.158139534883721	-2.550667107678653	82	Hausa
abinda	abinda	1640.9670632683967	6	70	0.0016780173344043358	9.219026665350382	2	7	166	2.9204545454545454	5.222911863805639	5.220489188231124	-3.5388629062927794	9	Hausa
kawo	kawo	1637.2205631239483	4	71	0.0016741862445997595	9.222324255450957	14	135	885	2.8396135265700484	3.8673076923076923	3.855266757865937	-2.5449131203427866	149	Hausa
hanyar	hanyar	1616.822951226396	6	72	0.0016533280889970677	9.240411240974675	3	51	353	2.8529411764705883	5.0046115643845335	5.001595179014534	-3.525822401273943	54	Hausa
ganin	ganin	1594.3439503597056	5	73	0.0016303415501696108	9.260610049581548	12	148	762	2.810400866738895	4.306381292112564	4.297687289978256	-3.151863417137044	160	Hausa
ranar	ranar	1563.955671410291	5	74	0.0015992671550880493	9.288373325752096	12	150	837	2.823	4.197780420134761	4.189365487250445	-3.1364056941327108	162	Hausa
wato	wato	1527.3232255534622	4	75	0.001561807610332194	9.322567537145325	12	128	865	2.8459244532803183	3.8838550247116967	3.873324213406293	-2.4970638532361815	140	Hausa
bisa	bisa	1506.9256136559097	4	76	0.0015409494547295017	9.341964744423299	13	160	907	2.825161887141536	3.8541609447953857	3.8429548563611493	-2.487804956914373	173	Hausa
yace	yace	1505.2605024805994	4	77	0.0015392467481496902	9.34355976397868	13	157	897	2.8258426966292136	3.848393298544356	3.8372093023255816	-2.4870436039792367	170	Hausa
mutanen	mutanen	1484.0303349953917	7	78	0.001517537239257092	9.364052365062618	3	4	45	2.7547169811320753	5.983222866611433	5.978890728476821	-3.7923503730332966	7	Hausa
amirka	amirka	1476.9536125003226	6	79	0.0015103007362928928	9.370948432092803	2	8	103	2.8684210526315788	5.271324702961518	5.268876285005318	-3.4462196574164974	10	Hausa
yawa	yawa	1475.7047791188397	4	80	0.001509023706358034	9.372168814266988	29	263	1220	2.7858559153998677	3.6441379310344826	3.6221614227086185	-2.4733876056342776	292	Hausa
