i	lex.type	test	b	b0	r	language
1	og	min.pairs	0.08372485479429766	0	0.08372485479429766	Hebrew
1	og	network.prop	0.002452264372743902	0	0.002452264372743902	Hebrew
1	og	mean.edit	-0.13865312765120363	0	-0.13865312765120363	Hebrew
2	scr	min.pairs	0.003446109818055012	0	0.003446109818055012	Hebrew
2	scr	network.prop	-0.031215848664898595	0	-0.031215848664898595	Hebrew
2	scr	mean.edit	-0.031773413812724985	0	-0.031773413812724985	Hebrew
3	scr	min.pairs	-0.02666540880060207	0	-0.02666540880060207	Hebrew
3	scr	network.prop	-0.008322584243180053	0	-0.008322584243180053	Hebrew
3	scr	mean.edit	-0.0038650327356437504	0	-0.0038650327356437504	Hebrew
4	scr	min.pairs	-0.011527196943524354	0	-0.011527196943524354	Hebrew
4	scr	network.prop	-0.0171563607033416	0	-0.0171563607033416	Hebrew
4	scr	mean.edit	-0.010891492170367199	0	-0.010891492170367199	Hebrew
5	scr	min.pairs	0.010919345429643231	0	0.010919345429643231	Hebrew
5	scr	network.prop	-0.008138327174120871	0	-0.008138327174120871	Hebrew
5	scr	mean.edit	-0.019072504147169964	0	-0.019072504147169964	Hebrew
6	scr	min.pairs	0.013288010338200769	0	0.013288010338200769	Hebrew
6	scr	network.prop	0.004761043289380848	0	0.004761043289380848	Hebrew
6	scr	mean.edit	-0.003707425531667096	0	-0.003707425531667096	Hebrew
7	scr	min.pairs	-0.008503437196383192	0	-0.008503437196383192	Hebrew
7	scr	network.prop	0.0038541768166167564	0	0.0038541768166167564	Hebrew
7	scr	mean.edit	0.0032644098802735253	0	0.0032644098802735253	Hebrew
8	scr	min.pairs	-0.030451874991511082	0	-0.030451874991511082	Hebrew
8	scr	network.prop	-0.029412269260947012	0	-0.029412269260947012	Hebrew
8	scr	mean.edit	0.03820679734811549	0	0.03820679734811549	Hebrew
9	scr	min.pairs	0.001016259528923174	0	0.001016259528923174	Hebrew
9	scr	network.prop	0.009104110310715207	0	0.009104110310715207	Hebrew
9	scr	mean.edit	0.032125412579427366	0	0.032125412579427366	Hebrew
10	scr	min.pairs	-0.0018564289686392474	0	-0.0018564289686392474	Hebrew
10	scr	network.prop	0.0067479110318080385	0	0.0067479110318080385	Hebrew
10	scr	mean.edit	0.021066926509214042	0	0.021066926509214042	Hebrew
11	scr	min.pairs	-0.020535708351954993	0	-0.020535708351954993	Hebrew
11	scr	network.prop	0.011881409376859496	0	0.011881409376859496	Hebrew
11	scr	mean.edit	0.03478386943376055	0	0.03478386943376055	Hebrew
12	scr	min.pairs	0.022051247737046448	0	0.022051247737046448	Hebrew
12	scr	network.prop	0.0019764798464273602	0	0.0019764798464273602	Hebrew
12	scr	mean.edit	-0.02108262772407596	0	-0.02108262772407596	Hebrew
13	scr	min.pairs	-0.011758814651462108	0	-0.011758814651462108	Hebrew
13	scr	network.prop	0.008257023742867414	0	0.008257023742867414	Hebrew
13	scr	mean.edit	0.028765652711495095	0	0.028765652711495095	Hebrew
14	scr	min.pairs	-0.0065510401677223926	0	-0.0065510401677223926	Hebrew
14	scr	network.prop	-0.013581077950517176	0	-0.013581077950517176	Hebrew
14	scr	mean.edit	-0.00864903437771414	0	-0.00864903437771414	Hebrew
15	scr	min.pairs	0.031310389566962873	0	0.031310389566962873	Hebrew
15	scr	network.prop	0.021984288803818877	0	0.021984288803818877	Hebrew
15	scr	mean.edit	-0.005774896560653937	0	-0.005774896560653937	Hebrew
16	scr	min.pairs	0.0383081927993974	0	0.0383081927993974	Hebrew
16	scr	network.prop	0.02291854903045373	0	0.02291854903045373	Hebrew
16	scr	mean.edit	-0.01579372068999463	0	-0.01579372068999463	Hebrew
17	scr	min.pairs	-0.004591006208634853	0	-0.004591006208634853	Hebrew
17	scr	network.prop	-0.006946173081647937	0	-0.006946173081647937	Hebrew
17	scr	mean.edit	0.015276846119304183	0	0.015276846119304183	Hebrew
18	scr	min.pairs	0.009662572764720245	0	0.009662572764720245	Hebrew
18	scr	network.prop	0.0032962236840585746	0	0.0032962236840585746	Hebrew
18	scr	mean.edit	0.023524511685645597	0	0.023524511685645597	Hebrew
19	scr	min.pairs	0.038278437652557916	0	0.038278437652557916	Hebrew
19	scr	network.prop	0.015630741552914492	0	0.015630741552914492	Hebrew
19	scr	mean.edit	-0.023398536783287852	0	-0.023398536783287852	Hebrew
20	scr	min.pairs	-0.004836421508629138	0	-0.004836421508629138	Hebrew
20	scr	network.prop	-0.029976776608314562	0	-0.029976776608314562	Hebrew
20	scr	mean.edit	-0.02737479322847168	0	-0.02737479322847168	Hebrew
21	scr	min.pairs	-0.0033804510813775805	0	-0.0033804510813775805	Hebrew
21	scr	network.prop	0.009915472004011838	0	0.009915472004011838	Hebrew
21	scr	mean.edit	-0.001057488774236967	0	-0.001057488774236967	Hebrew
22	scr	min.pairs	0.012641174074206327	0	0.012641174074206327	Hebrew
22	scr	network.prop	0.01617218695158988	0	0.01617218695158988	Hebrew
22	scr	mean.edit	-0.03590497144471425	0	-0.03590497144471425	Hebrew
23	scr	min.pairs	0.00597783775995377	0	0.00597783775995377	Hebrew
23	scr	network.prop	-0.004832403827476861	0	-0.004832403827476861	Hebrew
23	scr	mean.edit	0.023040023919505617	0	0.023040023919505617	Hebrew
24	scr	min.pairs	-0.0015550869457738624	0	-0.0015550869457738624	Hebrew
24	scr	network.prop	-0.017713049770746576	0	-0.017713049770746576	Hebrew
24	scr	mean.edit	-0.002890489493087565	0	-0.002890489493087565	Hebrew
25	scr	min.pairs	-0.01655081962701594	0	-0.01655081962701594	Hebrew
25	scr	network.prop	-0.03293771729640677	0	-0.03293771729640677	Hebrew
25	scr	mean.edit	0.002670337675413401	0	0.002670337675413401	Hebrew
26	scr	min.pairs	-0.020526374001991917	0	-0.020526374001991917	Hebrew
26	scr	network.prop	-0.0157016237909445	0	-0.0157016237909445	Hebrew
26	scr	mean.edit	-0.005014443031079141	0	-0.005014443031079141	Hebrew
27	scr	min.pairs	0.007453111163243738	0	0.007453111163243738	Hebrew
27	scr	network.prop	-0.008903309450363066	0	-0.008903309450363066	Hebrew
27	scr	mean.edit	-0.008740744502117861	0	-0.008740744502117861	Hebrew
28	scr	min.pairs	0.00842672761568797	0	0.00842672761568797	Hebrew
28	scr	network.prop	-0.026271627646051728	0	-0.026271627646051728	Hebrew
28	scr	mean.edit	-0.022840830118640718	0	-0.022840830118640718	Hebrew
29	scr	min.pairs	0.002185416495663425	0	0.002185416495663425	Hebrew
29	scr	network.prop	0.002267418909310348	0	0.002267418909310348	Hebrew
29	scr	mean.edit	-0.006280565215231985	0	-0.006280565215231985	Hebrew
30	scr	min.pairs	0.009767249266650214	0	0.009767249266650214	Hebrew
30	scr	network.prop	0.015605414012962334	0	0.015605414012962334	Hebrew
30	scr	mean.edit	-0.0012758334809440523	0	-0.0012758334809440523	Hebrew
31	scr	min.pairs	7.775953512017782e-4	0	7.775953512017782e-4	Hebrew
31	scr	network.prop	0.013310926226423882	0	0.013310926226423882	Hebrew
31	scr	mean.edit	0.008826970364411739	0	0.008826970364411739	Hebrew
32	scr	min.pairs	-0.009765079242912084	0	-0.009765079242912084	Hebrew
32	scr	network.prop	-0.02905731824202948	0	-0.02905731824202948	Hebrew
32	scr	mean.edit	0.015468838414420925	0	0.015468838414420925	Hebrew
33	scr	min.pairs	-0.01756495968691611	0	-0.01756495968691611	Hebrew
33	scr	network.prop	-0.03479488885162744	0	-0.03479488885162744	Hebrew
