word	phones	freq	word.length	freq.rank	unig.p	unig.h	min.pairs	min.pairs.2	min.pairs.3	mean.dist	mean.dist.nonmp	mean.dist.all	scaled.unig.h	network	language
yoter	yoter	11497.812247123105	5	1	0.011498353342503749	6.442428919448563	3	27	146	2.7966101694915255	4.8003663003663	4.792961608775137	-3.0630514908222635	30	Hebrew
raTa	raTa	10544.209714314451	4	2	0.010544705932468507	6.567337327519838	8	93	459	2.800356506238859	3.849290780141844	3.8336272780717224	-2.8089395465093814	101	Hebrew
od	od	9864.701375123688	2	3	0.009865165615122636	6.663441013732459	8	77	131	2.557603686635945	2.6298076923076925	2.557603686635945	-2.1527280188435767	85	Hebrew
tov	tov	7092.151994192544	3	4	0.007092485756007435	7.139492936555202	6	57	256	2.775	3.411764705882353	3.3836477987421385	-2.5122992031820526	63	Hebrew
aXSav	aXSav	6827.941592432628	5	5	0.00682826292031445	7.194265674666233	0	16	120	2.8613138686131387	4.643347050754458	4.641224862888483	-2.7281013652603487	16	Hebrew
asa	asa	6410.480693891091	3	6	0.006410782375760355	7.285283849697735	9	129	351	2.693877551020408	3.027156549520767	2.993710691823899	-2.447964036733812	138	Hebrew
miyom	miyom	6301.881237777066	5	8	0.006302177808877188	7.30993382571023	0	21	122	2.8333333333333335	4.724279835390947	4.7221206581352835	-2.67657014994422	21	Hebrew
leyom	leyom	6301.881237777066	5	7	0.006302177808877188	7.30993382571023	1	19	109	2.8153846153846156	4.793687099725526	4.789762340036563	-2.67657014994422	20	Hebrew
davar	davar	5955.196188448739	5	9	0.005955476444299081	7.3915673548544945	3	61	314	2.8153034300791555	4.3992673992674	4.3925959780621575	-2.6402016688249144	64	Hebrew
maSehu	maSehu	5945.227758982091	6	10	0.005945507545710915	7.39398431196193	1	0	15	2.7058823529411766	5.442531037244693	5.438575430172069	-2.952676928886409	1	Hebrew
yaTa	yaTa	5901.140969039023	4	11	0.005901418681011548	7.404722469504983	5	93	443	2.804428044280443	3.8678466076696165	3.857142857142857	-2.4533998567923394	98	Hebrew
ulai	ulai	5708.186029608165	4	12	0.005708454660981342	7.452684039017878	1	19	274	2.91864406779661	4.1283107710417895	4.124044679600235	-2.433036178613703	20	Hebrew
hayom	hayom	5631.786481507165	5	13	0.005632051517462216	7.4721237540165415	1	16	128	2.856164383561644	4.674290942360476	4.670475319926874	-2.604313058928034	17	Hebrew
kTat	kTat	5492.002768684264	4	14	0.005492261226316441	7.508384039193702	0	26	229	2.88671875	4.196470588235294	4.194003527336861	-2.409386892536326	26	Hebrew
