i	lex.type	test	b	b0	r	language
1	og	min.pairs	0.19094572490566825	0	0.19094572490566825	Hungarian
1	og	network.prop	0.11525763295093336	0	0.11525763295093336	Hungarian
1	og	mean.edit	-0.02887288442753351	0	-0.02887288442753351	Hungarian
2	scr	min.pairs	-0.007818517346885276	0	-0.007818517346885276	Hungarian
2	scr	network.prop	0.003077840499537221	0	0.003077840499537221	Hungarian
2	scr	mean.edit	-0.010442331646512032	0	-0.010442331646512032	Hungarian
3	scr	min.pairs	-0.008556397149055362	0	-0.008556397149055362	Hungarian
3	scr	network.prop	-0.004068948742783146	0	-0.004068948742783146	Hungarian
3	scr	mean.edit	0.0033611443163597972	0	0.0033611443163597972	Hungarian
4	scr	min.pairs	0.009677911301648466	0	0.009677911301648466	Hungarian
4	scr	network.prop	0.014058685403556093	0	0.014058685403556093	Hungarian
4	scr	mean.edit	-0.002142370316807038	0	-0.002142370316807038	Hungarian
5	scr	min.pairs	0.010570510030853675	0	0.010570510030853675	Hungarian
5	scr	network.prop	0.015682908882624903	0	0.015682908882624903	Hungarian
5	scr	mean.edit	6.160199696922314e-5	0	6.160199696922314e-5	Hungarian
6	scr	min.pairs	0.02086533198580374	0	0.02086533198580374	Hungarian
6	scr	network.prop	0.013471753516693991	0	0.013471753516693991	Hungarian
6	scr	mean.edit	-0.005320903455870211	0	-0.005320903455870211	Hungarian
7	scr	min.pairs	0.009927670019041851	0	0.009927670019041851	Hungarian
7	scr	network.prop	0.014441416723558947	0	0.014441416723558947	Hungarian
7	scr	mean.edit	-0.007587639369006871	0	-0.007587639369006871	Hungarian
8	scr	min.pairs	0.030732140265014682	0	0.030732140265014682	Hungarian
8	scr	network.prop	0.01116984867626492	0	0.01116984867626492	Hungarian
8	scr	mean.edit	-0.014971922387835861	0	-0.014971922387835861	Hungarian
9	scr	min.pairs	-0.012956138885368803	0	-0.012956138885368803	Hungarian
9	scr	network.prop	-0.02259426164148806	0	-0.02259426164148806	Hungarian
9	scr	mean.edit	-0.008587205264654375	0	-0.008587205264654375	Hungarian
10	scr	min.pairs	0.00579004897032574	0	0.00579004897032574	Hungarian
10	scr	network.prop	-0.005717857885370066	0	-0.005717857885370066	Hungarian
10	scr	mean.edit	-0.0126484207428353	0	-0.0126484207428353	Hungarian
11	scr	min.pairs	0.0023752892535732254	0	0.0023752892535732254	Hungarian
11	scr	network.prop	0.0032224212778235923	0	0.0032224212778235923	Hungarian
11	scr	mean.edit	0.008246863236958167	0	0.008246863236958167	Hungarian
12	scr	min.pairs	0.019307203023460413	0	0.019307203023460413	Hungarian
12	scr	network.prop	0.001120264781032352	0	0.001120264781032352	Hungarian
12	scr	mean.edit	-0.008390513079959302	0	-0.008390513079959302	Hungarian
13	scr	min.pairs	0.001676993182985448	0	0.001676993182985448	Hungarian
13	scr	network.prop	0.005180684875624387	0	0.005180684875624387	Hungarian
13	scr	mean.edit	-0.013562444770293627	0	-0.013562444770293627	Hungarian
14	scr	min.pairs	-0.01698275379664693	0	-0.01698275379664693	Hungarian
14	scr	network.prop	-0.004041170727070766	0	-0.004041170727070766	Hungarian
14	scr	mean.edit	0.011566549172896925	0	0.011566549172896925	Hungarian
15	scr	min.pairs	-1.7262582711654037e-5	0	-1.7262582711654037e-5	Hungarian
15	scr	network.prop	-0.007391632093961385	0	-0.007391632093961385	Hungarian
15	scr	mean.edit	-0.021908021421849378	0	-0.021908021421849378	Hungarian
16	scr	min.pairs	-0.02337990016647251	0	-0.02337990016647251	Hungarian
