word	phones	freq	word.length	freq.rank	unig.p	unig.h	min.pairs	min.pairs.2	min.pairs.3	mean.dist	mean.dist.nonmp	mean.dist.all	scaled.unig.h	network	language
az	az	61133.67707679282	2	1	0.07169920888798277	3.801898989113662	2	101	182	2.6223776223776225	2.6431095406360425	2.6223776223776225	-3.107253069686109	103	Hungarian
és	eeS	25307.928546069026	3	2	0.029681814379779497	5.074276906552371	12	95	292	2.695	3.4833869239013935	3.448202959830867	-3.203410433517009	107	Hungarian
hogy	hoJ	21334.665906572885	3	3	0.025021865860762705	5.32066681563064	8	60	358	2.8149882903981265	3.489861259338314	3.4651162790697674	-3.111587193595528	68	Hungarian
nem	nEm	18875.6096535955	3	4	0.022137819024711083	5.497343092190997	6	70	352	2.801864801864802	3.476038338658147	3.456659619450317	-3.045744447877066	76	Hungarian
ez	Ez	16473.819191963445	2	5	0.01932093503787998	5.693691274593268	8	94	183	2.604895104895105	2.660649819494585	2.604895104895105	-2.5161961639497292	102	Hungarian
egy	EJ	9990.203784306941	2	6	0.011716777760067909	6.415280322125022	17	91	177	2.5524475524475525	2.66044776119403	2.5524475524475525	-2.2907484798033413	108	Hungarian
csak	Cak	5449.163939968534	3	7	0.006390924974231306	7.289759533589618	9	76	419	2.8079207920792078	3.389957264957265	3.3636363636363638	-2.3777565195018457	85	Hungarian
már	maar	4922.779070129537	4	8	0.005773566743175596	7.436321434955186	18	106	356	2.6985446985446986	4.054001928640308	4.025800286669852	-3.1709486651044747	124	Hungarian
lesz	lEs	4627.973562798615	3	9	0.005427810972180569	7.525413806028808	8	77	373	2.7908496732026142	3.4375667022411953	3.4133192389006344	-2.28993417776044	85	Hungarian
még	meeg	4439.330159772272	4	10	0.0052065649518907115	7.585452421043433	11	86	148	2.548780487804878	4.308024987986545	4.288580984233159	-3.100992527589063	97	Hungarian
én	een	3946.9407191987357	3	11	0.004629077468035093	7.755059578196709	13	88	326	2.7266355140186915	3.46137339055794	3.423890063424947	-2.2043510509448514	101	Hungarian
tud	tud	3919.4588498712774	3	12	0.004596845997857591	7.765139950430096	1	39	386	2.8969555035128804	3.5084745762711864	3.5021141649048624	-2.2005943531095107	40	Hungarian
vagy	vaJ	3899.8289432088063	3	13	0.004573823519159375	7.772383584182624	12	75	410	2.7951807228915664	3.39978563772776	3.365750528541226	-2.1978948354123373	87	Hungarian
amely	amEL	3812.333095603267	4	14	0.004471206052743599	7.805120251547923	2	11	205	2.9178082191780823	4.1947368421052635	4.189679885332059	-2.9979481277525935	13	Hungarian
aki	aki	3712.970077151779	3	15	0.004354670451478446	7.843220740581275	4	64	482	2.8638838475499093	3.351753453772582	3.3382663847780125	-2.1714956324917236	68	Hungarian
ki	ki	3664.7429655560272	2	16	0.004298108407222147	7.862082413671769	7	73	205	2.6853146853146854	2.737410071942446	2.6853146853146854	-1.8387208581631846	80	Hungarian
sem	SEm	3270.9848832765597	3	17	0.003836298414062021	8.026069337053038	4	78	356	2.797266514806378	3.455897980871413	3.441860465116279	-2.1033526204424797	82	Hungarian
nagy	naJ	3231.6090750486132	3	18	0.0037901174147460088	8.043541742057823	4	74	407	2.825102880658436	3.410201912858661	3.3964059196617336	-2.096841100377549	78	Hungarian
lehet	lEhEt	3188.075295682161	5	19	0.003739059835851192	8.0631087259573	6	37	226	2.8074074074074074	4.880987364090508	4.872727272727273	-3.8482789728926767	43	Hungarian
mond	mond	3181.3743593623813	4	20	0.0037312007988046644	8.066144282147564	2	28	239	2.8703703703703702	4.238755980861244	4.233635929288103	-2.875503869463775	30	Hungarian
szerint	sErint	3177.4840687692736	6	21	0.0037266381621172	8.067909537251118	3	12	56	2.7083333333333335	5.621366107303238	5.61676505312869	-3.9552575159511814	15	Hungarian
év	eev	3034.185750133238	3	22	0.003558574067620222	8.134485020346379	16	90	282	2.67866323907455	3.502691065662002	3.456659619450317	-2.0629488582286086	106	Hungarian
mert	mErt	2970.2993266317426	4	23	0.003483646364220573	8.165186105753955	3	57	337	2.8341708542713566	4.097175682144567	4.090778786430961	-2.829044152313605	60	Hungarian
úgy	uuJ	2630.1844256498994	3	24	0.0030847505264848447	8.340630465872955	4	65	302	2.795698924731183	3.540913921360255	3.526427061310782	-1.9861237042516482	69	Hungarian
minden	mindEn	2576.648316570434	6	25	0.0030219619482169825	8.370298790097227	2	9	43	2.709090909090909	5.734640831758034	5.731050767414404	-3.776859120954578	11	Hungarian
jó	joo	2509.817407069568	3	26	0.0029435808730126013	8.408212019338105	9	56	327	2.8040712468193383	3.530982905982906	3.503171247357294	-1.9609377815760343	65	Hungarian
olyan	oLan	2429.6113929836824	4	27	0.002849513118004299	8.45506885038364	0	15	274	2.9379310344827587	4.196940726577438	4.194935499283325	-2.693062505047763	15	Hungarian
több	t0bb	2234.686419825349	4	28	0.002620899904531013	8.575722028284668	3	9	114	2.858267716535433	4.414073719483007	4.407071189679885	-2.6364650766640922	12	Hungarian
két	keet	2169.425902857481	4	29	0.0025443606276224894	8.618481117652271	18	91	213	2.5975232198142413	4.21648987463838	4.186813186813187	-2.6164071342183566	109	Hungarian
pedig	pEdig	2163.2870956830357	5	30	0.0025371608706477745	8.622569287164934	0	2	74	2.935064935064935	5.058961572308595	5.057478005865103	-3.5250656662829227	2	Hungarian
új	uuj	2156.336324187552	3	31	0.002529008820235997	8.627212216071952	6	59	315	2.8057742782152233	3.538871139510117	3.519027484143763	-1.8793219894245976	65	Hungarian
így	iiJ	2061.586333801745	3	32	0.0024178835014649256	8.692039550376034	6	71	323	2.7855361596009973	3.5047923322683707	3.485200845665962	-1.8551624940396514	77	Hungarian
tesz	tEs	2059.8374875718155	3	33	0.0024158324079081753	8.693263909745019	7	81	366	2.7846153846153845	3.4371002132196162	3.4154334038054968	-1.8547062065053566	88	Hungarian
majd	majd	1832.130570287156	4	34	0.002148771655008868	8.862272105614258	0	41	279	2.8629283489096573	4.203154875717018	4.201146679407549	-2.5020467566319384	41	Hungarian
után	utaan	1785.3132428971637	5	35	0.0020938630433136227	8.899617203995108	5	29	182	2.806451612903226	4.88454759106933	4.877419354838709	-3.3650086765735243	34	Hungarian
szó	soo	1730.6528755270297	3	36	0.0020297559049021357	8.94447804294677	11	62	345	2.79236276849642	3.4978586723768736	3.4651162790697674	-1.7610851011973325	73	Hungarian
itt	itt	1727.9582247033632	3	37	0.0020265955464626533	8.946726089954181	5	56	393	2.8483516483516484	3.4627659574468086	3.446088794926004	-1.7602473113686479	61	Hungarian
más	maaS	1710.8712832221672	4	38	0.0020065555252321604	8.961063205858542	5	99	364	2.7611940298507465	4.058457115476761	4.0492116579073105	-2.4557046517799095	104	Hungarian
elnök	Eln0k	1656.184147797493	5	39	0.0019424169925315391	9.00793133700561	1	4	74	2.8875	5.059272300469484	5.056598240469208	-3.3024330966124906	5	Hungarian
fel	fEl	1617.3615460300343	3	40	0.0018968848085242945	9.04215221330153	10	92	383	2.763374485596708	3.3935828877005347	3.3646934460887947	-1.7246844271106039	102	Hungarian
lát	laat	1601.2560998819617	4	41	0.0018779959112287126	9.05659036270154	9	111	415	2.753731343283582	3.9908785405664906	3.976110845676063	-2.4108936363373465	120	Hungarian
rész	rees	1525.1455981406552	4	42	0.001788731482457902	9.126847452890821	10	89	126	2.504424778761062	4.3275696445725265	4.309603440038223	-2.3779366044579646	99	Hungarian
hanem	hanEm	1523.3610611713398	5	43	0.0017866385298489732	9.128536504756346	0	4	120	2.944	4.863303021413905	4.861876832844575	-3.232756701588692	4	Hungarian
akar	akar	1520.6396422931336	4	44	0.001783446777120357	9.131116122140366	4	69	374	2.8214285714285716	4.064176245210728	4.056378404204491	-2.3759342062920177	73	Hungarian
amikor	amikor	1467.7727345771614	6	45	0.0017214430560808427	9.182165826129243	1	1	32	2.8285714285714287	5.764942121426884	5.76245572609209	-3.2978878122339235	2	Hungarian
között	k0z0tt	1461.9283760026533	6	46	0.0017145886362866015	9.187921797812985	3	11	45	2.6666666666666665	5.926967619948003	5.922077922077922	-3.294492003353943	14	Hungarian
egyik	EJik	1438.194034310757	4	47	0.0016867523665878492	9.211536098659108	2	17	224	2.901639344262295	4.235885167464115	4.230769230769231	-2.3382098467615156	19	Hungarian
azonban	azonban	1437.7568227532747	7	48	0.0016862395931986616	9.211974745202117	0	2	13	2.6875	6.591373439273553	6.589877439854743	-3.8418551569392014	2	Hungarian
kérdés	keerdeeS	1426.0591829194116	8	49	0.0016725202888471338	9.223760572783926	1	7	22	2.6129032258064515	7.445425558008339	7.4420201029664135	-4.069865000665538	8	Hungarian
ilyen	iLEn	1401.441495427704	4	50	0.0016436480076069619	9.248882910247943	2	16	203	2.8963963963963963	4.248803827751196	4.243669374104157	-2.3206907599788087	18	Hungarian
áll	aall	1355.480745782983	4	51	0.001589744013164002	9.29698980888276	3	50	391	2.8674157303370786	4.111057922450933	4.104634495938844	-2.298124203526578	53	Hungarian
nagyon	naJon	1316.5421491125185	5	52	0.001544075787237177	9.339040719110562	2	10	106	2.857142857142857	4.9122395068975635	4.908504398826979	-3.11114354796469	12	Hungarian
úr	uur	1315.73018479148	3	53	0.0015431234938001145	9.33993076146781	9	65	358	2.8013856812933025	3.4786324786324787	3.451374207188161	-1.6137099510290507	74	Hungarian
eset	ESEt	1291.7460079238795	4	54	0.0015149942107361121	9.36647200393961	6	47	350	2.8465346534653464	4.12032598274209	4.109412326803631	-2.265530668676662	53	Hungarian
ott	ott	1253.8602880653114	3	55	0.0014705608268485552	9.409417824967651	8	44	398	2.860310421286031	3.4813233724653148	3.456659619450317	-1.5878138933250068	52	Hungarian
kormány	kormaaN	1233.6593295726595	7	56	0.0014468686033154816	9.432850374508087	1	5	41	2.7916666666666665	6.382606721162579	6.379936450295053	-3.6956155808778353	6	Hungarian
azért	azeert	1229.9564153613298	6	57	0.0014425257266519546	9.437187235890308	1	8	23	2.606060606060606	5.792818332152138	5.790318772136954	-3.147434680176685	9	Hungarian
kis	kiS	1226.9673159377264	3	58	0.0014390200310319989	9.440697610256292	1	61	388	2.8536585365853657	3.4597457627118646	3.453488372093023	-1.576156714506296	62	Hungarian
vesz	vEs	1221.7475453024786	3	59	0.0014328981446508824	9.446848223163673	7	84	357	2.775055679287305	3.4402985074626864	3.4186046511627906	-1.5738645378227156	91	Hungarian
kerül	kEryl	1220.070080551322	5	60	0.0014309307691984894	9.44883041088551	5	19	132	2.7961783439490446	4.930082256169213	4.922873900293255	-3.047715503575558	24	Hungarian
alap	alap	1211.6470660561527	4	61	0.0014210520328843455	9.458824903754959	4	60	333	2.821608040201005	4.100574712643678	4.092689918776875	-2.2222086714922096	64	Hungarian
szeret	sErEt	1204.3840005910388	5	62	0.001412533715766006	9.467498981036634	6	56	267	2.7848484848484847	4.785777255362915	4.777712609970674	-3.0369302387926456	62	Hungarian
kap	kap	1199.2356114345635	3	63	0.0014064955474892464	9.473679299108907	4	89	434	2.8106060606060606	3.3496280552603612	3.33615221987315	-1.5638652796019255	93	Hungarian
élet	eelEt	1198.2541161014399	5	64	0.0014053444235543355	9.474860533391244	4	36	171	2.7783018867924527	4.917474302496329	4.911436950146627	-3.032677299723664	40	Hungarian
ország	orsaag	1196.3446615442722	6	65	0.0014031049642627817	9.477161345727753	0	4	49	2.8703703703703702	5.693197921587152	5.69185360094451	-3.1238514444323666	4	Hungarian
sor	Sor	1187.270291055303	3	66	0.0013924623002463793	9.488146016331147	4	73	397	2.823157894736842	3.4229543039319874	3.409090909090909	-1.5584739027742651	77	Hungarian
hely	hEL	1173.1902943674033	3	67	0.0013759489041619312	9.505357388082025	4	75	350	2.8	3.4686503719447397	3.4545454545454546	-1.5520596631506907	79	Hungarian
törvény	t0rveeN	1137.1961836963096	7	68	0.0013337340500398386	9.550313266520368	2	7	24	2.588235294117647	6.797410856234386	6.793236495687698	-3.6178445584033625	9	Hungarian
százalék	saazaleek	1126.9172507530523	9	69	0.0013216786430124091	9.563412846463073	0	0	5	2.5	8.076901565995525	8.074643556052559	-4.111396245174261	0	Hungarian
valami	valami	1106.5110705089294	6	70	0.0012977457299293092	9.589776543932881	1	7	88	2.8762886597938144	5.545476021733995	5.543093270365998	-3.057412672475601	8	Hungarian
illetve	illEtvE	1064.5209156209355	7	71	0.001248498555041216	9.64559013310848	0	0	4	2.4	6.725766174801362	6.724239673172946	-3.55476268458106	0	Hungarian
