i	lex.type	test	b	b0	r	language
1	og	min.pairs	0.17715275571357353	0	0.17715275571357353	Italian
1	og	network.prop	0.044415731129934154	0	0.044415731129934154	Italian
1	og	mean.edit	-0.18246119853476792	0	-0.18246119853476792	Italian
2	scr	min.pairs	-0.0014412121354122353	0	-0.0014412121354122353	Italian
2	scr	network.prop	-0.016631706177574163	0	-0.016631706177574163	Italian
2	scr	mean.edit	-0.02906561393168792	0	-0.02906561393168792	Italian
3	scr	min.pairs	0.013051738273661186	0	0.013051738273661186	Italian
3	scr	network.prop	-5.833701652515364e-4	0	-5.833701652515364e-4	Italian
3	scr	mean.edit	-0.013803490469160249	0	-0.013803490469160249	Italian
4	scr	min.pairs	0.012557356687146422	0	0.012557356687146422	Italian
4	scr	network.prop	0.0049687542477471905	0	0.0049687542477471905	Italian
4	scr	mean.edit	0.0018995294354133589	0	0.0018995294354133589	Italian
5	scr	min.pairs	-0.004979689403222093	0	-0.004979689403222093	Italian
5	scr	network.prop	0.014993991038086865	0	0.014993991038086865	Italian
5	scr	mean.edit	0.0014412935154945567	0	0.0014412935154945567	Italian
6	scr	min.pairs	0.01167259963231457	0	0.01167259963231457	Italian
6	scr	network.prop	0.007651124635932298	0	0.007651124635932298	Italian
6	scr	mean.edit	0.0024174160214967323	0	0.0024174160214967323	Italian
7	scr	min.pairs	0.00795889154546295	0	0.00795889154546295	Italian
7	scr	network.prop	0.016400899353925892	0	0.016400899353925892	Italian
7	scr	mean.edit	-0.009308977356511604	0	-0.009308977356511604	Italian
8	scr	min.pairs	0.00910938713864554	0	0.00910938713864554	Italian
8	scr	network.prop	0.014361633342666503	0	0.014361633342666503	Italian
8	scr	mean.edit	-0.013967290088985666	0	-0.013967290088985666	Italian
9	scr	min.pairs	0.00528501235394565	0	0.00528501235394565	Italian
9	scr	network.prop	0.006533909915506753	0	0.006533909915506753	Italian
9	scr	mean.edit	-0.014128038017517275	0	-0.014128038017517275	Italian
10	scr	min.pairs	0.006619388155031427	0	0.006619388155031427	Italian
10	scr	network.prop	-0.002139172944683725	0	-0.002139172944683725	Italian
10	scr	mean.edit	0.015411089833110873	0	0.015411089833110873	Italian
11	scr	min.pairs	0.03051449152275272	0	0.03051449152275272	Italian
11	scr	network.prop	0.005843626823164777	0	0.005843626823164777	Italian
11	scr	mean.edit	-0.02169175133129393	0	-0.02169175133129393	Italian
12	scr	min.pairs	-0.009638959943218211	0	-0.009638959943218211	Italian
12	scr	network.prop	-0.020390398142836014	0	-0.020390398142836014	Italian
12	scr	mean.edit	-0.006342081263875838	0	-0.006342081263875838	Italian
13	scr	min.pairs	-0.021808046589507562	0	-0.021808046589507562	Italian
13	scr	network.prop	-0.015942408571833145	0	-0.015942408571833145	Italian
13	scr	mean.edit	-0.0023473682034947595	0	-0.0023473682034947595	Italian
14	scr	min.pairs	-0.012612044141744565	0	-0.012612044141744565	Italian
14	scr	network.prop	-0.013291569908587925	0	-0.013291569908587925	Italian
14	scr	mean.edit	-0.0019756955334598674	0	-0.0019756955334598674	Italian
15	scr	min.pairs	-0.008470582147773457	0	-0.008470582147773457	Italian
15	scr	network.prop	-0.021174858595671947	0	-0.021174858595671947	Italian
15	scr	mean.edit	-0.012322492511185267	0	-0.012322492511185267	Italian
16	scr	min.pairs	-0.0029920865361857912	0	-0.0029920865361857912	Italian
16	scr	network.prop	0.0029200184776168904	0	0.0029200184776168904	Italian
16	scr	mean.edit	-0.01018845815615172	0	-0.01018845815615172	Italian
17	scr	min.pairs	0.0011280307537287226	0	0.0011280307537287226	Italian
17	scr	network.prop	-0.0028355252653873065	0	-0.0028355252653873065	Italian
17	scr	mean.edit	-0.005786725700522084	0	-0.005786725700522084	Italian
18	scr	min.pairs	-0.019048453078617883	0	-0.019048453078617883	Italian
18	scr	network.prop	-0.021585738817402438	0	-0.021585738817402438	Italian
18	scr	mean.edit	0.001771210272493751	0	0.001771210272493751	Italian
19	scr	min.pairs	0.008937825058642164	0	0.008937825058642164	Italian
19	scr	network.prop	0.011279526656445741	0	0.011279526656445741	Italian
19	scr	mean.edit	-0.010573687350517745	0	-0.010573687350517745	Italian
20	scr	min.pairs	0.0027383891422901336	0	0.0027383891422901336	Italian
20	scr	network.prop	0.0050640034688401005	0	0.0050640034688401005	Italian
20	scr	mean.edit	-0.016406548152255788	0	-0.016406548152255788	Italian
21	scr	min.pairs	-0.002188958914752638	0	-0.002188958914752638	Italian
21	scr	network.prop	-0.012205025659239756	0	-0.012205025659239756	Italian
21	scr	mean.edit	-0.005468498735140402	0	-0.005468498735140402	Italian
22	scr	min.pairs	-0.0011890151901980015	0	-0.0011890151901980015	Italian
22	scr	network.prop	-0.017333678971511737	0	-0.017333678971511737	Italian
22	scr	mean.edit	-0.014324676851831827	0	-0.014324676851831827	Italian
23	scr	min.pairs	-0.013849328792172162	0	-0.013849328792172162	Italian
23	scr	network.prop	-0.020439884933839626	0	-0.020439884933839626	Italian
23	scr	mean.edit	-0.005886359036070312	0	-0.005886359036070312	Italian
24	scr	min.pairs	-0.005316719885299895	0	-0.005316719885299895	Italian
24	scr	network.prop	-0.015970451764218224	0	-0.015970451764218224	Italian
24	scr	mean.edit	0.011327293593807602	0	0.011327293593807602	Italian
25	scr	min.pairs	0.00200730081047437	0	0.00200730081047437	Italian
25	scr	network.prop	-0.01726417547476559	0	-0.01726417547476559	Italian
25	scr	mean.edit	-0.029405336939380328	0	-0.029405336939380328	Italian
26	scr	min.pairs	-0.0014313894525098745	0	-0.0014313894525098745	Italian
26	scr	network.prop	-0.0010467986637167164	0	-0.0010467986637167164	Italian
26	scr	mean.edit	0.01544490724321908	0	0.01544490724321908	Italian
27	scr	min.pairs	-0.021047634714211946	0	-0.021047634714211946	Italian
27	scr	network.prop	-0.010653065245790983	0	-0.010653065245790983	Italian
27	scr	mean.edit	-6.59014191343426e-4	0	-6.59014191343426e-4	Italian
28	scr	min.pairs	0.01092870095005465	0	0.01092870095005465	Italian
28	scr	network.prop	0.0070869441223943555	0	0.0070869441223943555	Italian
28	scr	mean.edit	-0.008824252210673011	0	-0.008824252210673011	Italian
29	scr	min.pairs	-0.0077319599918216205	0	-0.0077319599918216205	Italian
29	scr	network.prop	-0.007306318831446617	0	-0.007306318831446617	Italian
29	scr	mean.edit	0.015537615876186866	0	0.015537615876186866	Italian
30	scr	min.pairs	0.007989481093805744	0	0.007989481093805744	Italian
30	scr	network.prop	0.004625764286632799	0	0.004625764286632799	Italian
30	scr	mean.edit	0.002007221384813891	0	0.002007221384813891	Italian
31	scr	min.pairs	-0.009930476295039821	0	-0.009930476295039821	Italian
31	scr	network.prop	-0.014208902106617736	0	-0.014208902106617736	Italian
31	scr	mean.edit	-0.021264801396274624	0	-0.021264801396274624	Italian
32	scr	min.pairs	-0.013581995979951616	0	-0.013581995979951616	Italian
32	scr	network.prop	-0.011901182943789092	0	-0.011901182943789092	Italian
32	scr	mean.edit	0.0029135536176786974	0	0.0029135536176786974	Italian
33	scr	min.pairs	0.018176834951801096	0	0.018176834951801096	Italian
33	scr	network.prop	0.013217132945598186	0	0.013217132945598186	Italian
33	scr	mean.edit	-0.025101341668822694	0	-0.025101341668822694	Italian
34	scr	min.pairs	0.00934314232918791	0	0.00934314232918791	Italian
34	scr	network.prop	0.002174608485228701	0	0.002174608485228701	Italian
34	scr	mean.edit	0.005800780487325266	0	0.005800780487325266	Italian
35	scr	min.pairs	0.0091508752495951	0	0.0091508752495951	Italian
35	scr	network.prop	0.015966429793167432	0	0.015966429793167432	Italian
35	scr	mean.edit	0.0019193543254535795	0	0.0019193543254535795	Italian
36	scr	min.pairs	0.0043252021212243945	0	0.0043252021212243945	Italian
36	scr	network.prop	-0.022604967113390377	0	-0.022604967113390377	Italian
36	scr	mean.edit	-0.007704106163842517	0	-0.007704106163842517	Italian
37	scr	min.pairs	-0.007095344147449074	0	-0.007095344147449074	Italian
37	scr	network.prop	-0.005560254419031845	0	-0.005560254419031845	Italian
37	scr	mean.edit	-0.010733699124363274	0	-0.010733699124363274	Italian
38	scr	min.pairs	0.02211162875887028	0	0.02211162875887028	Italian
38	scr	network.prop	0.02892075944051566	0	0.02892075944051566	Italian
38	scr	mean.edit	-0.006659913018727651	0	-0.006659913018727651	Italian
39	scr	min.pairs	-0.025217797376734283	0	-0.025217797376734283	Italian
39	scr	network.prop	0.0018831098336715832	0	0.0018831098336715832	Italian
39	scr	mean.edit	0.02478876965176584	0	0.02478876965176584	Italian
40	scr	min.pairs	0.007753988219315098	0	0.007753988219315098	Italian
40	scr	network.prop	-0.008761755958056642	0	-0.008761755958056642	Italian
40	scr	mean.edit	-7.130548796919384e-4	0	-7.130548796919384e-4	Italian
41	scr	min.pairs	-0.0040342280189763205	0	-0.0040342280189763205	Italian
41	scr	network.prop	-0.013715461249443638	0	-0.013715461249443638	Italian
41	scr	mean.edit	-0.009113655465759424	0	-0.009113655465759424	Italian
42	scr	min.pairs	-0.00872053838736242	0	-0.00872053838736242	Italian
42	scr	network.prop	0.018281038085844154	0	0.018281038085844154	Italian
42	scr	mean.edit	0.012001108871918223	0	0.012001108871918223	Italian
43	scr	min.pairs	-0.003749455257362389	0	-0.003749455257362389	Italian
43	scr	network.prop	-0.010821539808140114	0	-0.010821539808140114	Italian
43	scr	mean.edit	0.003426840875723126	0	0.003426840875723126	Italian
44	scr	min.pairs	0.01853646287294313	0	0.01853646287294313	Italian
44	scr	network.prop	0.015469503976680206	0	0.015469503976680206	Italian
44	scr	mean.edit	0.009620248206398984	0	0.009620248206398984	Italian
45	scr	min.pairs	-0.0033666446118991084	0	-0.0033666446118991084	Italian
45	scr	network.prop	0.006737792997296648	0	0.006737792997296648	Italian
45	scr	mean.edit	-0.010171370941120838	0	-0.010171370941120838	Italian
46	scr	min.pairs	-0.0043826503156331065	0	-0.0043826503156331065	Italian
46	scr	network.prop	7.677318524977153e-4	0	7.677318524977153e-4	Italian
46	scr	mean.edit	0.00944606141927364	0	0.00944606141927364	Italian
47	scr	min.pairs	0.009339826175270812	0	0.009339826175270812	Italian
47	scr	network.prop	-0.016541820752626342	0	-0.016541820752626342	Italian
47	scr	mean.edit	0.011238202369794377	0	0.011238202369794377	Italian
48	scr	min.pairs	0.015979355575984282	0	0.015979355575984282	Italian
48	scr	network.prop	0.012697671134334749	0	0.012697671134334749	Italian
48	scr	mean.edit	7.735595962232975e-4	0	7.735595962232975e-4	Italian
49	scr	min.pairs	-0.014234335259842378	0	-0.014234335259842378	Italian
49	scr	network.prop	-0.02310431691393301	0	-0.02310431691393301	Italian
49	scr	mean.edit	-0.01782798246432453	0	-0.01782798246432453	Italian
50	scr	min.pairs	0.017001774743954687	0	0.017001774743954687	Italian
50	scr	network.prop	0.012516236426380457	0	0.012516236426380457	Italian
50	scr	mean.edit	-0.025553237554225536	0	-0.025553237554225536	Italian
51	scr	min.pairs	0.02405243289668518	0	0.02405243289668518	Italian
51	scr	network.prop	0.015636603779797413	0	0.015636603779797413	Italian
