word	phones	freq	word.length	freq.rank	unig.p	unig.h	min.pairs	min.pairs.2	min.pairs.3	mean.dist	mean.dist.nonmp	mean.dist.all	scaled.unig.h	network	language
di	di	78402.60014446259	2	1	0.08557377793466092	3.5466874052879995	20	167	236	2.5047169811320753	2.5856079404466503	2.5047169811320753	-2.7630138110568514	187	Italian
il	il	73956.04132285719	2	2	0.08072050984824092	3.630920902927013	14	154	255	2.563679245283019	2.6234718826405867	2.563679245283019	-2.739039955787103	168	Italian
in	in	31626.381732752707	2	3	0.03451912260930983	4.856460394530289	21	174	228	2.483490566037736	2.5671641791044775	2.483490566037736	-2.3902368403689174	195	Italian
essere	essere	28335.89452895376	6	4	0.030927667469353968	5.014958158717084	0	6	95	2.911764705882353	5.483349420849421	5.482026537997587	-5.718879697323284	6	Italian
e	e	26328.128450584853	1	5	0.028736258916340303	5.120983935709233	30	70	0	1.683168316831683	2	1.683168316831683	-0.997874988800362	100	Italian
ke	ke	15938.63800525669	2	6	0.017396482600444907	5.845060553118605	22	163	238	2.5047169811320753	2.5935162094763093	2.5047169811320753	-2.1088694771945113	185	Italian
al	al	15646.33670923694	2	7	0.017077445653334498	5.871763988753946	18	180	225	2.483490566037736	2.5555555555555554	2.483490566037736	-2.1012693618120273	198	Italian
da	da	15435.635223312176	2	8	0.016847472130341556	5.891324050510528	20	190	213	2.4504716981132075	2.5285359801488836	2.4504716981132075	-2.0957023355960525	210	Italian
a	a	15138.102318914445	1	9	0.0165227250601899	5.919404542569259	25	75	0	1.7326732673267327	2	1.7326732673267327	-0.807214329097836	100	Italian
un	un	11587.41018708649	2	10	0.01264726506978736	6.30503074926964	17	170	236	2.5117924528301887	2.58128078817734	2.5117924528301887	-1.9779564886566188	187	Italian
per	per	11507.47045217944	3	11	0.012560013561412802	6.31501816782445	6	128	544	2.7893961708394697	3.3522267206477734	3.3381642512077296	-4.193994016109317	134	Italian
si	si	9924.531843619172	2	12	0.010832289777717542	6.528517951280549	26	178	219	2.4504716981132075	2.5516372795969775	2.4504716981132075	-1.9143493728912027	204	Italian
una	una	9838.620581107518	3	13	0.010738520549570613	6.541060943455055	12	106	665	2.830357142857143	3.2864117168429616	3.261674718196457	-4.087749738812738	118	Italian
kon	kon	8676.809846222777	3	14	0.00947044355153812	6.722352288258923	13	156	577	2.752342704149933	3.276058631921824	3.249597423510467	-4.00253946011625	169	Italian
avere	avere	8493.072724422054	5	15	0.009269900717112247	6.753230397342763	0	33	236	2.8666666666666667	4.68375815056313	4.6823703703703705	-4.767068560834261	33	Italian
non	non	6416.29494895468	3	16	0.00700316823821453	7.157776538677684	15	128	585	2.7791495198902605	3.3140293637846656	3.28341384863124	-3.797882024486697	143	Italian
suo	suo	5566.307994299814	3	17	0.006075436316429135	7.362796262948637	16	151	603	2.7587548638132295	3.2612244897959184	3.2294685990338166	-3.7015189694147344	167	Italian
su	su	5141.883685608244	2	18	0.005612191583791151	7.477220025478391	21	153	249	2.5330188679245285	2.6194029850746268	2.5330188679245285	-1.644337479067204	174	Italian
kuesto	kuesto	4244.029648677245	6	19	0.004632214365784322	7.754082265942467	2	22	122	2.802721088435374	5.399323998068566	5.39589867310012	-4.188508563395656	24	Italian
kome	kome	4231.802009150107	4	20	0.00461886831211222	7.758244870358866	6	73	502	2.8487972508591066	3.97	3.9605548331166016	-4.227013011876486	79	Italian
anke	anke	3597.416133760397	4	21	0.003926457653212425	7.992555946921644	2	56	381	2.856818181818182	4.01171875	4.007368877329865	-4.096821147267802	58	Italian
ma	ma	3307.130643325997	2	22	0.0036096208895041236	8.113936962661368	26	173	224	2.4622641509433962	2.5642317380352644	2.4622641509433962	-1.4631202658720535	199	Italian
venire	venire	3166.2139752300845	6	23	0.0034558151274412235	8.176758243624164	4	22	135	2.7962962962962963	5.340821256038647	5.3353437876960195	-3.9523560234131065	26	Italian
fare	fare	3014.7060274351425	4	24	0.003290449342938523	8.247499673174637	8	116	564	2.8040638606676342	3.8516100957354222	3.8400520156046816	-3.955165022520877	124	Italian
ad	ad	2924.1512974692337	2	25	0.0031916119276135524	8.29149904166816	16	184	223	2.483490566037736	2.5479115479115477	2.483490566037736	-1.4125839863298288	200	Italian
kuello	kuello	2902.522889306414	6	26	0.0031680052539344262	8.302209556624977	1	12	76	2.811111111111111	5.530774800868936	5.5283474065138725	-3.88226534456313	13	Italian
potere	potere	2855.9696379647316	6	27	0.003117193959600957	8.325536358813801	0	29	164	2.8350515463917527	5.321669884169884	5.320386007237635	-3.869232468607473	29	Italian
