i	lex.type	test	b	b0	r	language
1	og	min.pairs	0.15330405476965409	0	0.15330405476965409	Japanese
1	og	network.prop	0.0992463863897278	0	0.0992463863897278	Japanese
1	og	mean.edit	-0.09084925890233846	0	-0.09084925890233846	Japanese
2	scr	min.pairs	0.02120615383181657	0	0.02120615383181657	Japanese
2	scr	network.prop	0.038598592966174704	0	0.038598592966174704	Japanese
2	scr	mean.edit	0.017096421505073043	0	0.017096421505073043	Japanese
3	scr	min.pairs	0.0012336239106773535	0	0.0012336239106773535	Japanese
3	scr	network.prop	-0.02917351390371951	0	-0.02917351390371951	Japanese
3	scr	mean.edit	-0.04303798789173812	0	-0.04303798789173812	Japanese
4	scr	min.pairs	-0.055787218944471834	0	-0.055787218944471834	Japanese
4	scr	network.prop	-0.04523502277140784	0	-0.04523502277140784	Japanese
4	scr	mean.edit	-0.01792454096267218	0	-0.01792454096267218	Japanese
5	scr	min.pairs	0.009135260995182843	0	0.009135260995182843	Japanese
5	scr	network.prop	0.002360876979730296	0	0.002360876979730296	Japanese
5	scr	mean.edit	-0.024776674726007315	0	-0.024776674726007315	Japanese
6	scr	min.pairs	-0.006044976259353429	0	-0.006044976259353429	Japanese
6	scr	network.prop	-0.024160773011889097	0	-0.024160773011889097	Japanese
6	scr	mean.edit	-0.022460033287335424	0	-0.022460033287335424	Japanese
7	scr	min.pairs	-0.036759680815203484	0	-0.036759680815203484	Japanese
7	scr	network.prop	-0.02981794727506656	0	-0.02981794727506656	Japanese
7	scr	mean.edit	0.032305588033599786	0	0.032305588033599786	Japanese
8	scr	min.pairs	0.03603305913210942	0	0.03603305913210942	Japanese
8	scr	network.prop	0.03984327805574694	0	0.03984327805574694	Japanese
8	scr	mean.edit	-0.02689117743125842	0	-0.02689117743125842	Japanese
9	scr	min.pairs	0.03105356223001656	0	0.03105356223001656	Japanese
9	scr	network.prop	-0.022589648335763438	0	-0.022589648335763438	Japanese
9	scr	mean.edit	-0.06021150167879555	0	-0.06021150167879555	Japanese
10	scr	min.pairs	-0.006317171839955908	0	-0.006317171839955908	Japanese
10	scr	network.prop	-0.0133065308671591	0	-0.0133065308671591	Japanese
10	scr	mean.edit	-0.03512638225202792	0	-0.03512638225202792	Japanese
11	scr	min.pairs	0.004295737591907344	0	0.004295737591907344	Japanese
11	scr	network.prop	0.01906562261051507	0	0.01906562261051507	Japanese
11	scr	mean.edit	-0.0038796561120120255	0	-0.0038796561120120255	Japanese
12	scr	min.pairs	0.02589595309845856	0	0.02589595309845856	Japanese
12	scr	network.prop	0.007405052566246526	0	0.007405052566246526	Japanese
12	scr	mean.edit	0.004458028655582278	0	0.004458028655582278	Japanese
13	scr	min.pairs	0.020363603828179394	0	0.020363603828179394	Japanese
13	scr	network.prop	0.02135707969935513	0	0.02135707969935513	Japanese
13	scr	mean.edit	-0.01443964651562634	0	-0.01443964651562634	Japanese
14	scr	min.pairs	-0.04866879715613839	0	-0.04866879715613839	Japanese
14	scr	network.prop	-0.017758399653468624	0	-0.017758399653468624	Japanese
14	scr	mean.edit	0.013585641996595888	0	0.013585641996595888	Japanese
15	scr	min.pairs	-5.379127012331059e-4	0	-5.379127012331059e-4	Japanese
15	scr	network.prop	0.029458493624805866	0	0.029458493624805866	Japanese
15	scr	mean.edit	-0.006277518117271255	0	-0.006277518117271255	Japanese
16	scr	min.pairs	0.044932802488474456	0	0.044932802488474456	Japanese
16	scr	network.prop	0.01143535964126304	0	0.01143535964126304	Japanese
16	scr	mean.edit	0.005368140753567599	0	0.005368140753567599	Japanese
17	scr	min.pairs	0.014409431486347076	0	0.014409431486347076	Japanese
17	scr	network.prop	-0.006944163532660511	0	-0.006944163532660511	Japanese
17	scr	mean.edit	-0.014583432004987682	0	-0.014583432004987682	Japanese
18	scr	min.pairs	-0.0034593156238317364	0	-0.0034593156238317364	Japanese
18	scr	network.prop	0.02488990579116847	0	0.02488990579116847	Japanese
18	scr	mean.edit	3.995407184770055e-4	0	3.995407184770055e-4	Japanese
19	scr	min.pairs	0.03423058668603486	0	0.03423058668603486	Japanese
19	scr	network.prop	0.03059085693304658	0	0.03059085693304658	Japanese
19	scr	mean.edit	-0.04198711715063518	0	-0.04198711715063518	Japanese
20	scr	min.pairs	0.00863790069600854	0	0.00863790069600854	Japanese
20	scr	network.prop	0.015921779061425494	0	0.015921779061425494	Japanese
20	scr	mean.edit	-0.013933812568473397	0	-0.013933812568473397	Japanese
