word	phones	freq	word.length	freq.rank	unig.p	unig.h	min.pairs	min.pairs.2	min.pairs.3	mean.dist	mean.dist.nonmp	mean.dist.all	scaled.unig.h	network	language
uN	uN	88704.2604912999	2	1	0.08871419203147742	3.494691271994476	14	144	107	2.3421052631578947	2.4262948207171315	2.3421052631578947	-2.218426219658766	158	Japanese
no	no	41069.60081883317	2	2	0.041074199069112784	4.605623746316597	17	114	134	2.4323308270676693	2.5403225806451615	2.4323308270676693	-1.8655589255029537	131	Japanese
ne	ne	29370.841862845446	2	3	0.029374130292221814	5.089310052707242	19	116	130	2.4097744360902253	2.5284552845528454	2.4097744360902253	-1.7119248549349548	135	Japanese
i	i	26787.998976458548	1	4	0.026790998224596536	5.222107853206404	19	79	0	1.7878787878787878	2	1.7878787878787878	-1.495721438660613	98	Japanese
s0	s0	23925.281473899693	2	5	0.023927960205370996	5.385158773551264	14	108	143	2.4774436090225564	2.5697211155378485	2.4774436090225564	-1.6179539430958811	122	Japanese
ni	ni	21750.25588536336	2	6	0.021752691095791817	5.522662297301198	15	124	126	2.4097744360902253	2.504	2.4097744360902253	-1.5742784745286889	139	Japanese
da	da	19319.34493346981	2	7	0.019321507973320967	5.6936484941138215	21	124	120	2.3646616541353382	2.4918032786885247	2.3646616541353382	-1.5199678498941183	145	Japanese
ga	ga	17919.97185261003	2	8	0.017921978215319653	5.802126299928507	19	131	115	2.3533834586466167	2.467479674796748	2.3533834586466167	-1.485511867466253	150	Japanese
ha	ha	17432.190378710337	2	9	0.017434142128244907	5.841940813774612	22	127	116	2.345864661654135	2.477366255144033	2.345864661654135	-1.4728655184812918	149	Japanese
N	N	15097.236438075743	1	10	0.015098926760608436	6.049410184077059	12	86	0	1.8585858585858586	2	1.8585858585858586	-1.2806167954906265	98	Japanese
n@	n@	14905.32241555783	2	11	0.014906991250939684	6.06786708878462	14	97	154	2.518796992481203	2.6135458167330676	2.518796992481203	-1.4011041871815393	111	Japanese
ru	ru	14297.594677584442	2	12	0.014299195470321971	6.127922212255583	19	125	121	2.3759398496240602	2.491869918699187	2.3759398496240602	-1.3820287803416027	144	Japanese
kara	kara	13330.028147389969	4	13	0.01333152060907535	6.229014844452483	12	102	264	2.6596306068601585	3.5702380952380954	3.52989449003517	-3.3640815188108424	114	Japanese
tte	tte	12994.178607983624	3	14	0.012995633467155036	6.265829230635721	5	59	301	2.80327868852459	3.373692077727952	3.351111111111111	-2.968638488861602	64	Japanese
na	na	12938.203684749233	2	15	0.012939652276834983	6.272057341008923	20	131	114	2.345864661654135	2.4653061224489794	2.345864661654135	-1.3362469042586076	151	Japanese
de	de	12698.311156601843	2	16	0.012699732889749045	6.299058036295943	16	117	132	2.4285714285714284	2.5301204819277108	2.4285714285714284	-1.3276706293665894	133	Japanese
yo	yo	12186.540429887411	2	17	0.012187904863965707	6.3584060459455785	16	118	131	2.424812030075188	2.5261044176706826	2.424812030075188	-1.308819824243282	134	Japanese
ano	ano	11986.629989764584	3	18	0.011987972041394089	6.382268565491041	3	77	377	2.8122270742358078	3.2086438152011922	3.194074074074074	-2.911675176787259	80	Japanese
aa	aa	11194.984646878198	2	19	0.011196238064010492	6.480842121606572	30	130	105	2.274436090225564	2.4468085106382977	2.274436090225564	-1.2699302537930945	160	Japanese
to	to	11115.020470829068	2	20	0.011116264934981844	6.491184065828031	22	109	134	2.4135338345864663	2.551440329218107	2.4135338345864663	-1.2666453251785421	131	Japanese
te	te	10707.203172978505	2	21	0.010708401976935749	6.54511298811459	20	119	126	2.3909774436090228	2.5142857142857142	2.3909774436090228	-1.2495157936148806	139	Japanese
mo	mo	9683.661719549642	2	22	0.009684745925369076	6.690070083744572	21	115	129	2.398496240601504	2.528688524590164	2.398496240601504	-1.2034728348519292	136	Japanese
kedo	kedo	9563.715455475947	4	23	0.009564786231826107	6.708051559240795	0	27	198	2.8672566371681416	3.890845070422535	3.8862837045720986	-3.106208847207791	27	Japanese
sa	sa	9515.736949846469	2	24	0.009516802354408918	6.7153073752435946	24	130	111	2.319548872180451	2.4605809128630707	2.319548872180451	-1.1954566727818488	154	Japanese
at	at	8724.091606960083	2	25	0.00872506837702532	6.840617847115293	8	147	110	2.3759398496240602	2.4280155642023344	2.3759398496240602	-1.1556541031740641	155	Japanese
m0	m0	8212.32088024565	2	26	0.008213240351241982	6.927832767120705	18	102	145	2.469924812030075	2.5870445344129553	2.469924812030075	-1.1279518858533364	120	Japanese
dakara	dakara	7356.704196519959	6	27	0.007357527870635466	7.086563182494525	1	8	32	2.6904761904761907	5.16231884057971	5.148843930635838	-4.458327400031553	9	Japanese
toka	toka	6812.9477993858745	4	28	0.006813710593240671	7.197343613213063	7	57	244	2.7605177993527508	3.711242603550296	3.6846424384525207	-2.8428155722106334	64	Japanese
ta	ta	6597.044524053224	2	29	0.006597783144863326	7.243802924305722	24	128	113	2.327067669172932	2.4688796680497926	2.327067669172932	-1.0275897693638558	152	Japanese
demo	demo	6581.051688843399	4	30	0.006581788519057597	7.247304613017275	2	21	152	2.840909090909091	3.9870588235294115	3.975381008206331	-2.8159208142562977	23	Japanese
ii	ii	6565.058853633572	2	31	0.006565793893251867	7.250814821661096	20	125	120	2.3684210526315788	2.489795918367347	2.3684210526315788	-1.0253625689679013	145	Japanese
ja	ja	6389.137666325487	2	32	0.006389853009388846	7.290001540510923	19	131	115	2.3533834586466167	2.467479674796748	2.3533834586466167	-1.0129156275317706	150	Japanese
