i	lex.type	test	b	b0	r	language
1	og	min.pairs	0.2413431698868583	0	0.2413431698868583	Kaqchikel
1	og	network.prop	0.13996926984857008	0	0.13996926984857008	Kaqchikel
1	og	mean.edit	-0.08522761218026796	0	-0.08522761218026796	Kaqchikel
2	scr	min.pairs	-0.005645131007558072	0	-0.005645131007558072	Kaqchikel
2	scr	network.prop	-0.02140681931526659	0	-0.02140681931526659	Kaqchikel
2	scr	mean.edit	0.004006021805176751	0	0.004006021805176751	Kaqchikel
3	scr	min.pairs	0.027623518456314892	0	0.027623518456314892	Kaqchikel
3	scr	network.prop	0.01950423598782648	0	0.01950423598782648	Kaqchikel
3	scr	mean.edit	-0.01655935974794602	0	-0.01655935974794602	Kaqchikel
4	scr	min.pairs	-0.003172428867740863	0	-0.003172428867740863	Kaqchikel
4	scr	network.prop	0.0034999311419855205	0	0.0034999311419855205	Kaqchikel
4	scr	mean.edit	0.006761143012544273	0	0.006761143012544273	Kaqchikel
5	scr	min.pairs	0.02273379527868218	0	0.02273379527868218	Kaqchikel
5	scr	network.prop	0.01683763762505281	0	0.01683763762505281	Kaqchikel
5	scr	mean.edit	-0.007939147058026294	0	-0.007939147058026294	Kaqchikel
6	scr	min.pairs	-0.006578829442287937	0	-0.006578829442287937	Kaqchikel
6	scr	network.prop	0.0052860372222871535	0	0.0052860372222871535	Kaqchikel
6	scr	mean.edit	-0.01079884641990689	0	-0.01079884641990689	Kaqchikel
7	scr	min.pairs	-0.012944040237901066	0	-0.012944040237901066	Kaqchikel
7	scr	network.prop	-0.0026867949857416343	0	-0.0026867949857416343	Kaqchikel
7	scr	mean.edit	-0.0020556668607293873	0	-0.0020556668607293873	Kaqchikel
8	scr	min.pairs	-4.5798629376134805e-4	0	-4.5798629376134805e-4	Kaqchikel
8	scr	network.prop	0.012698644640386347	0	0.012698644640386347	Kaqchikel
8	scr	mean.edit	0.008221005953973768	0	0.008221005953973768	Kaqchikel
9	scr	min.pairs	0.02661895632662409	0	0.02661895632662409	Kaqchikel
9	scr	network.prop	0.0267215324033087	0	0.0267215324033087	Kaqchikel
9	scr	mean.edit	0.015152543138799142	0	0.015152543138799142	Kaqchikel
10	scr	min.pairs	-0.019248348784687428	0	-0.019248348784687428	Kaqchikel
10	scr	network.prop	-0.01767983823628176	0	-0.01767983823628176	Kaqchikel
10	scr	mean.edit	-0.0016568185031200923	0	-0.0016568185031200923	Kaqchikel
11	scr	min.pairs	-0.00490884393456001	0	-0.00490884393456001	Kaqchikel
11	scr	network.prop	0.0038313677914913703	0	0.0038313677914913703	Kaqchikel
11	scr	mean.edit	0.020917912944764208	0	0.020917912944764208	Kaqchikel
12	scr	min.pairs	-0.0055555446003839265	0	-0.0055555446003839265	Kaqchikel
12	scr	network.prop	0.007807990223677813	0	0.007807990223677813	Kaqchikel
12	scr	mean.edit	-0.010450123246748195	0	-0.010450123246748195	Kaqchikel
13	scr	min.pairs	0.0028830271562204873	0	0.0028830271562204873	Kaqchikel
13	scr	network.prop	0.007346172270727387	0	0.007346172270727387	Kaqchikel
13	scr	mean.edit	0.014904022460947124	0	0.014904022460947124	Kaqchikel
14	scr	min.pairs	0.01801616161888199	0	0.01801616161888199	Kaqchikel
14	scr	network.prop	0.021245977946758827	0	0.021245977946758827	Kaqchikel
14	scr	mean.edit	0.01210730560829752	0	0.01210730560829752	Kaqchikel
15	scr	min.pairs	-0.008995567144439675	0	-0.008995567144439675	Kaqchikel
15	scr	network.prop	0.0035819007592553013	0	0.0035819007592553013	Kaqchikel
