word	phones	freq	word.length	freq.rank	unig.p	unig.h	min.pairs	min.pairs.2	min.pairs.3	mean.dist	mean.dist.nonmp	mean.dist.all	scaled.unig.h	network	language
ri	ri	136971.18064283452	2	1	0.13720445780381538	2.8656007391275105	21	211	326	2.5420393559928445	2.60707635009311	2.5420393559928445	-3.1941541065615704	232	Kaqchikel
chi	ճi	45563.90484413129	2	2	0.045641505243831114	4.453509817692376	18	203	337	2.5670840787119857	2.6240740740740742	2.5670840787119857	-2.7101315430589317	221	Kaqchikel
pa	pa	24855.30993416153	2	3	0.024897641292550413	5.327847116426107	26	271	261	2.4168157423971377	2.4906015037593985	2.4168157423971377	-2.443618185076524	297	Kaqchikel
chuqa'	ճuqa'	20098.141003923454	5	4	0.02013237037430914	5.634339145387576	7	44	288	2.820588235294118	4.507872426322164	4.496177062374246	-4.681029216652749	51	Kaqchikel
jun	jun	19807.746051175087	3	5	0.019841480846644922	5.65533648610716	14	126	535	2.7677514792899407	3.214570858283433	3.1809242871189776	-3.7744256392733755	140	Kaqchikel
k'o	Ko	16360.476934678309	2	6	0.016388340647276116	5.931186403741098	17	209	332	2.559928443649374	2.613678373382625	2.559928443649374	-2.2597097784491185	226	Kaqchikel
ta	ta	15607.94807863146	2	7	0.015634530150855936	5.9991203257542	29	270	259	2.407871198568873	2.489603024574669	2.407871198568873	-2.239002326413333	299	Kaqchikel
ri'	ri'	13707.890780272503	3	8	0.013731236843504562	6.186394607434398	21	155	555	2.726775956284153	3.130653266331658	3.0835791543756144	-3.547831481808797	176	Kaqchikel
taq	taq	12276.212437959304	3	9	0.012297120193676125	6.345535692807545	22	195	556	2.6873385012919897	3.0482897384305834	3.000983284169125	-3.4799284807813327	217	Kaqchikel
richin	riճin	12121.647382464203	5	10	0.012142291896693556	6.363815429143455	8	30	159	2.7525252525252526	4.673667205169629	4.659959758551308	-4.3106972794402365	38	Kaqchikel
re	re	11762.55684949579	2	11	0.011782589792592639	6.407199513909726	20	219	319	2.5313059033989265	2.592936802973978	2.5313059033989265	-2.1146126258760525	239	Kaqchikel
k'a	Ka	11456.549264879228	2	12	0.011476061043010988	6.445228642608575	24	262	272	2.440071556350626	2.5093632958801497	2.440071556350626	-2.103020679832627	286	Kaqchikel
