i	lex.type	test	b	b0	r	language
1	og	min.pairs	0.14229637258949737	0	0.14229637258949737	Korean
1	og	network.prop	0.03487841407516034	0	0.03487841407516034	Korean
1	og	mean.edit	-0.10795913119935471	0	-0.10795913119935471	Korean
2	scr	min.pairs	0.00651902923508115	0	0.00651902923508115	Korean
2	scr	network.prop	-0.009848739959562466	0	-0.009848739959562466	Korean
2	scr	mean.edit	-0.009331062327473208	0	-0.009331062327473208	Korean
3	scr	min.pairs	-0.01879214790662775	0	-0.01879214790662775	Korean
3	scr	network.prop	-0.018663598603663387	0	-0.018663598603663387	Korean
3	scr	mean.edit	0.017490557666142558	0	0.017490557666142558	Korean
4	scr	min.pairs	-0.024179066050246747	0	-0.024179066050246747	Korean
4	scr	network.prop	-0.02202886091165777	0	-0.02202886091165777	Korean
4	scr	mean.edit	-0.0010802866971063657	0	-0.0010802866971063657	Korean
5	scr	min.pairs	0.004438042250916451	0	0.004438042250916451	Korean
5	scr	network.prop	-0.004572879784388707	0	-0.004572879784388707	Korean
5	scr	mean.edit	0.002454458401004278	0	0.002454458401004278	Korean
6	scr	min.pairs	-0.0037359469979537313	0	-0.0037359469979537313	Korean
6	scr	network.prop	0.019983479205161876	0	0.019983479205161876	Korean
6	scr	mean.edit	0.0043338649129660315	0	0.0043338649129660315	Korean
7	scr	min.pairs	0.029541381625629064	0	0.029541381625629064	Korean
7	scr	network.prop	9.084109308377016e-4	0	9.084109308377016e-4	Korean
7	scr	mean.edit	-0.018221626607074465	0	-0.018221626607074465	Korean
8	scr	min.pairs	-0.005538409972138122	0	-0.005538409972138122	Korean
8	scr	network.prop	-0.02771281273888488	0	-0.02771281273888488	Korean
8	scr	mean.edit	0.007570425609803714	0	0.007570425609803714	Korean
9	scr	min.pairs	-0.01154743607888435	0	-0.01154743607888435	Korean
9	scr	network.prop	-0.014038080346943633	0	-0.014038080346943633	Korean
9	scr	mean.edit	-0.0032563945023118984	0	-0.0032563945023118984	Korean
10	scr	min.pairs	-0.010592630355362943	0	-0.010592630355362943	Korean
10	scr	network.prop	-0.013773129027123856	0	-0.013773129027123856	Korean
10	scr	mean.edit	-0.005802337240618208	0	-0.005802337240618208	Korean
11	scr	min.pairs	-0.004041630267891135	0	-0.004041630267891135	Korean
11	scr	network.prop	0.005191958231503091	0	0.005191958231503091	Korean
11	scr	mean.edit	0.005490323534889339	0	0.005490323534889339	Korean
12	scr	min.pairs	0.0033541290011323806	0	0.0033541290011323806	Korean
12	scr	network.prop	-3.5753318230589e-4	0	-3.5753318230589e-4	Korean
12	scr	mean.edit	0.01819302778354333	0	0.01819302778354333	Korean
13	scr	min.pairs	0.0048119350975194975	0	0.0048119350975194975	Korean
13	scr	network.prop	0.0025447782229064925	0	0.0025447782229064925	Korean
13	scr	mean.edit	0.005317832424013147	0	0.005317832424013147	Korean
14	scr	min.pairs	0.019595959762879613	0	0.019595959762879613	Korean
14	scr	network.prop	0.021459927881463753	0	0.021459927881463753	Korean
14	scr	mean.edit	-0.011913823931903862	0	-0.011913823931903862	Korean
15	scr	min.pairs	-0.002284010404370509	0	-0.002284010404370509	Korean
15	scr	network.prop	0.02215011710379507	0	0.02215011710379507	Korean
15	scr	mean.edit	0.0146018237011173	0	0.0146018237011173	Korean
16	scr	min.pairs	-0.015344540038321877	0	-0.015344540038321877	Korean
16	scr	network.prop	0.008766775618100109	0	0.008766775618100109	Korean
16	scr	mean.edit	0.021676484821547035	0	0.021676484821547035	Korean
17	scr	min.pairs	0.00535573465935882	0	0.00535573465935882	Korean
17	scr	network.prop	0.0023513332495562656	0	0.0023513332495562656	Korean
17	scr	mean.edit	9.489632394483735e-4	0	9.489632394483735e-4	Korean
18	scr	min.pairs	-0.0021140979837858754	0	-0.0021140979837858754	Korean
18	scr	network.prop	0.012299030781001372	0	0.012299030781001372	Korean
18	scr	mean.edit	-0.014633306147901365	0	-0.014633306147901365	Korean
19	scr	min.pairs	0.01155435091876923	0	0.01155435091876923	Korean
19	scr	network.prop	-0.0031413825321577266	0	-0.0031413825321577266	Korean
19	scr	mean.edit	-0.0035899365403908212	0	-0.0035899365403908212	Korean
20	scr	min.pairs	-0.01630939369419579	0	-0.01630939369419579	Korean
20	scr	network.prop	-0.020833394147457603	0	-0.020833394147457603	Korean
20	scr	mean.edit	0.010122915674391622	0	0.010122915674391622	Korean
21	scr	min.pairs	-0.01481926474065907	0	-0.01481926474065907	Korean
21	scr	network.prop	-0.021616340943798072	0	-0.021616340943798072	Korean
21	scr	mean.edit	0.012606807906435195	0	0.012606807906435195	Korean
22	scr	min.pairs	0.005732028081379282	0	0.005732028081379282	Korean
22	scr	network.prop	0.030031705547632306	0	0.030031705547632306	Korean
22	scr	mean.edit	0.0010515760819061212	0	0.0010515760819061212	Korean
23	scr	min.pairs	-0.022118197130329514	0	-0.022118197130329514	Korean
23	scr	network.prop	-0.03503997592566185	0	-0.03503997592566185	Korean
23	scr	mean.edit	0.01698870841648485	0	0.01698870841648485	Korean
24	scr	min.pairs	-0.007051503224267778	0	-0.007051503224267778	Korean
24	scr	network.prop	-0.011495914003132362	0	-0.011495914003132362	Korean
24	scr	mean.edit	-0.004388521376017099	0	-0.004388521376017099	Korean
25	scr	min.pairs	-0.01768511803179302	0	-0.01768511803179302	Korean
25	scr	network.prop	-0.009397089999790475	0	-0.009397089999790475	Korean
25	scr	mean.edit	0.030594822218740284	0	0.030594822218740284	Korean
26	scr	min.pairs	-0.002280111688925838	0	-0.002280111688925838	Korean
26	scr	network.prop	0.019042285669757155	0	0.019042285669757155	Korean
26	scr	mean.edit	0.005344834366832618	0	0.005344834366832618	Korean
27	scr	min.pairs	-0.012294404190030462	0	-0.012294404190030462	Korean
27	scr	network.prop	-4.1076439986333525e-4	0	-4.1076439986333525e-4	Korean
27	scr	mean.edit	0.013028120607027021	0	0.013028120607027021	Korean
28	scr	min.pairs	0.0042145327966188854	0	0.0042145327966188854	Korean
28	scr	network.prop	0.0010851567608812162	0	0.0010851567608812162	Korean
28	scr	mean.edit	-0.011806572045320414	0	-0.011806572045320414	Korean
29	scr	min.pairs	0.008588566053791095	0	0.008588566053791095	Korean
29	scr	network.prop	-0.005097811763526154	0	-0.005097811763526154	Korean
29	scr	mean.edit	-0.032757659811440354	0	-0.032757659811440354	Korean
