i	lex.type	test	b	b0	r	language
1	og	min.pairs	0.18866531776637158	0	0.18866531776637158	Malay
1	og	network.prop	0.05412117920066437	0	0.05412117920066437	Malay
1	og	mean.edit	-0.2141596031917897	0	-0.2141596031917897	Malay
2	scr	min.pairs	-0.0028510844545434288	0	-0.0028510844545434288	Malay
2	scr	network.prop	-0.01975166028732449	0	-0.01975166028732449	Malay
2	scr	mean.edit	-0.012345266953037382	0	-0.012345266953037382	Malay
3	scr	min.pairs	0.007930445500028055	0	0.007930445500028055	Malay
3	scr	network.prop	-0.002543364435596278	0	-0.002543364435596278	Malay
3	scr	mean.edit	-0.0010654553345236283	0	-0.0010654553345236283	Malay
4	scr	min.pairs	0.001761772037256553	0	0.001761772037256553	Malay
4	scr	network.prop	0.013684287397462993	0	0.013684287397462993	Malay
4	scr	mean.edit	0.0016190386487291068	0	0.0016190386487291068	Malay
5	scr	min.pairs	0.006220557284670762	0	0.006220557284670762	Malay
5	scr	network.prop	0.014344072941131093	0	0.014344072941131093	Malay
5	scr	mean.edit	0.007426216207150552	0	0.007426216207150552	Malay
6	scr	min.pairs	-0.0024437871359350182	0	-0.0024437871359350182	Malay
6	scr	network.prop	-0.007665720102402571	0	-0.007665720102402571	Malay
6	scr	mean.edit	-0.023991052755598482	0	-0.023991052755598482	Malay
7	scr	min.pairs	-0.0014798581399138664	0	-0.0014798581399138664	Malay
7	scr	network.prop	-0.005884563892457172	0	-0.005884563892457172	Malay
7	scr	mean.edit	9.737290272266643e-4	0	9.737290272266643e-4	Malay
8	scr	min.pairs	-0.0018122030198093522	0	-0.0018122030198093522	Malay
8	scr	network.prop	-0.0012631237029738557	0	-0.0012631237029738557	Malay
8	scr	mean.edit	0.0068320049643808695	0	0.0068320049643808695	Malay
9	scr	min.pairs	0.0013020713928523556	0	0.0013020713928523556	Malay
9	scr	network.prop	-2.4819134882565644e-4	0	-2.4819134882565644e-4	Malay
9	scr	mean.edit	-0.01659713462861617	0	-0.01659713462861617	Malay
10	scr	min.pairs	-0.003749361074387664	0	-0.003749361074387664	Malay
10	scr	network.prop	0.005804410572507856	0	0.005804410572507856	Malay
10	scr	mean.edit	-0.013266452610096907	0	-0.013266452610096907	Malay
11	scr	min.pairs	0.004819952680268588	0	0.004819952680268588	Malay
11	scr	network.prop	0.004827404840186704	0	0.004827404840186704	Malay
11	scr	mean.edit	-0.011479731149139928	0	-0.011479731149139928	Malay
12	scr	min.pairs	-0.018273146621037715	0	-0.018273146621037715	Malay
12	scr	network.prop	-2.076929699578964e-5	0	-2.076929699578964e-5	Malay
12	scr	mean.edit	0.02073517892326373	0	0.02073517892326373	Malay
13	scr	min.pairs	-0.009678337297193581	0	-0.009678337297193581	Malay
13	scr	network.prop	-0.014844375649966648	0	-0.014844375649966648	Malay
13	scr	mean.edit	-0.004037436153279251	0	-0.004037436153279251	Malay
14	scr	min.pairs	-0.014887334281185004	0	-0.014887334281185004	Malay
14	scr	network.prop	-0.032082296990880575	0	-0.032082296990880575	Malay
14	scr	mean.edit	-0.004774659749601074	0	-0.004774659749601074	Malay
15	scr	min.pairs	0.0014054004178156304	0	0.0014054004178156304	Malay
15	scr	network.prop	0.00777640860089872	0	0.00777640860089872	Malay
15	scr	mean.edit	0.013049948116897045	0	0.013049948116897045	Malay
16	scr	min.pairs	-5.9815229376254185e-5	0	-5.9815229376254185e-5	Malay
16	scr	network.prop	0.008275109957547466	0	0.008275109957547466	Malay
16	scr	mean.edit	-0.006662102061639392	0	-0.006662102061639392	Malay
17	scr	min.pairs	0.010452584104672666	0	0.010452584104672666	Malay
17	scr	network.prop	-0.007539308316602369	0	-0.007539308316602369	Malay
17	scr	mean.edit	-0.018046643245001458	0	-0.018046643245001458	Malay
18	scr	min.pairs	-0.0028148424855605056	0	-0.0028148424855605056	Malay
18	scr	network.prop	-0.010502518877415108	0	-0.010502518877415108	Malay
18	scr	mean.edit	0.007511239593582889	0	0.007511239593582889	Malay
19	scr	min.pairs	-5.629376414573274e-4	0	-5.629376414573274e-4	Malay
19	scr	network.prop	-0.004564994517539521	0	-0.004564994517539521	Malay
19	scr	mean.edit	-0.007770820593964828	0	-0.007770820593964828	Malay
20	scr	min.pairs	0.001373561682419774	0	0.001373561682419774	Malay
20	scr	network.prop	-0.009861402854681185	0	-0.009861402854681185	Malay
20	scr	mean.edit	-0.013411368361463285	0	-0.013411368361463285	Malay
21	scr	min.pairs	0.009508443933137621	0	0.009508443933137621	Malay
21	scr	network.prop	-0.015080790724706703	0	-0.015080790724706703	Malay
21	scr	mean.edit	-0.026978026019625536	0	-0.026978026019625536	Malay
22	scr	min.pairs	-0.005472917687641469	0	-0.005472917687641469	Malay
22	scr	network.prop	0.004223499612936969	0	0.004223499612936969	Malay
22	scr	mean.edit	0.016301645239513454	0	0.016301645239513454	Malay
23	scr	min.pairs	-0.01555489004240217	0	-0.01555489004240217	Malay
23	scr	network.prop	-0.01259154148729919	0	-0.01259154148729919	Malay
23	scr	mean.edit	0.010787784132293102	0	0.010787784132293102	Malay
24	scr	min.pairs	-0.019629286975761946	0	-0.019629286975761946	Malay
24	scr	network.prop	-0.009371755738138976	0	-0.009371755738138976	Malay
24	scr	mean.edit	-0.001230655051055915	0	-0.001230655051055915	Malay
25	scr	min.pairs	-0.002036273348103323	0	-0.002036273348103323	Malay
25	scr	network.prop	-0.0018373903980116392	0	-0.0018373903980116392	Malay
25	scr	mean.edit	0.00692386060412968	0	0.00692386060412968	Malay
26	scr	min.pairs	0.009309363843138243	0	0.009309363843138243	Malay
26	scr	network.prop	0.008079526380476239	0	0.008079526380476239	Malay
26	scr	mean.edit	0.011622394553381711	0	0.011622394553381711	Malay
27	scr	min.pairs	0.012978264457926264	0	0.012978264457926264	Malay
27	scr	network.prop	0.017498203938683596	0	0.017498203938683596	Malay
27	scr	mean.edit	0.003915168631713992	0	0.003915168631713992	Malay
28	scr	min.pairs	-0.0022859854038237083	0	-0.0022859854038237083	Malay
28	scr	network.prop	0.013835307644873403	0	0.013835307644873403	Malay
28	scr	mean.edit	0.006623111721984193	0	0.006623111721984193	Malay
29	scr	min.pairs	-0.014392231125678456	0	-0.014392231125678456	Malay
29	scr	network.prop	-0.02023353702216654	0	-0.02023353702216654	Malay
29	scr	mean.edit	9.610408586095611e-4	0	9.610408586095611e-4	Malay
30	scr	min.pairs	-0.006138545024527624	0	-0.006138545024527624	Malay
30	scr	network.prop	0.01729879740377012	0	0.01729879740377012	Malay
30	scr	mean.edit	0.004796381374916276	0	0.004796381374916276	Malay
31	scr	min.pairs	0.02535642130239312	0	0.02535642130239312	Malay
31	scr	network.prop	0.028954933333999296	0	0.028954933333999296	Malay
31	scr	mean.edit	-0.01794007603814948	0	-0.01794007603814948	Malay
32	scr	min.pairs	-0.015589924060369421	0	-0.015589924060369421	Malay
32	scr	network.prop	-0.019120457137826542	0	-0.019120457137826542	Malay
32	scr	mean.edit	0.004104987835850973	0	0.004104987835850973	Malay
33	scr	min.pairs	-8.521400813056973e-6	0	-8.521400813056973e-6	Malay
33	scr	network.prop	-0.00225490050733309	0	-0.00225490050733309	Malay
33	scr	mean.edit	7.54042684753285e-4	0	7.54042684753285e-4	Malay
34	scr	min.pairs	-0.012212958592529497	0	-0.012212958592529497	Malay
34	scr	network.prop	-1.6528452418335403e-4	0	-1.6528452418335403e-4	Malay
34	scr	mean.edit	0.0038335538292156696	0	0.0038335538292156696	Malay
35	scr	min.pairs	0.004572670900142401	0	0.004572670900142401	Malay
35	scr	network.prop	-0.015678250965899265	0	-0.015678250965899265	Malay
35	scr	mean.edit	0.0020291616650005787	0	0.0020291616650005787	Malay
36	scr	min.pairs	0.004006871540585078	0	0.004006871540585078	Malay
36	scr	network.prop	0.007437128440642813	0	0.007437128440642813	Malay
36	scr	mean.edit	-0.007782724477447973	0	-0.007782724477447973	Malay
37	scr	min.pairs	0.018737544676851705	0	0.018737544676851705	Malay
37	scr	network.prop	0.0015869873733338278	0	0.0015869873733338278	Malay
37	scr	mean.edit	4.7804121241151726e-4	0	4.7804121241151726e-4	Malay
38	scr	min.pairs	-0.003930491457456353	0	-0.003930491457456353	Malay
38	scr	network.prop	-0.005629707002555529	0	-0.005629707002555529	Malay
38	scr	mean.edit	-0.001316819747209466	0	-0.001316819747209466	Malay
39	scr	min.pairs	-0.014727973460330251	0	-0.014727973460330251	Malay
39	scr	network.prop	-0.008317372990582146	0	-0.008317372990582146	Malay
39	scr	mean.edit	0.010525671402041636	0	0.010525671402041636	Malay
40	scr	min.pairs	-0.006478982167658615	0	-0.006478982167658615	Malay
40	scr	network.prop	-0.01838074273726489	0	-0.01838074273726489	Malay
40	scr	mean.edit	0.012379215885170684	0	0.012379215885170684	Malay
41	scr	min.pairs	-0.014416096211699677	0	-0.014416096211699677	Malay
41	scr	network.prop	-0.015368816548578603	0	-0.015368816548578603	Malay
41	scr	mean.edit	-0.009622180173924669	0	-0.009622180173924669	Malay
42	scr	min.pairs	0.009074744165901507	0	0.009074744165901507	Malay
42	scr	network.prop	7.212525689920872e-4	0	7.212525689920872e-4	Malay
42	scr	mean.edit	-0.008535109762857478	0	-0.008535109762857478	Malay
43	scr	min.pairs	-0.009463974694895998	0	-0.009463974694895998	Malay
43	scr	network.prop	-0.005411440365061846	0	-0.005411440365061846	Malay
43	scr	mean.edit	-0.006104811917821964	0	-0.006104811917821964	Malay
44	scr	min.pairs	-0.00750918287205001	0	-0.00750918287205001	Malay
44	scr	network.prop	-0.0041243864593646954	0	-0.0041243864593646954	Malay
44	scr	mean.edit	-0.003444018686749917	0	-0.003444018686749917	Malay
45	scr	min.pairs	-0.004533054471872422	0	-0.004533054471872422	Malay
45	scr	network.prop	-0.004724719673339349	0	-0.004724719673339349	Malay
45	scr	mean.edit	0.009517214803278176	0	0.009517214803278176	Malay
46	scr	min.pairs	0.006920508982091609	0	0.006920508982091609	Malay
46	scr	network.prop	0.0031286138230570614	0	0.0031286138230570614	Malay
46	scr	mean.edit	-0.01926174365016674	0	-0.01926174365016674	Malay
47	scr	min.pairs	0.01390104192042139	0	0.01390104192042139	Malay
47	scr	network.prop	0.02019391551378549	0	0.02019391551378549	Malay
47	scr	mean.edit	0.0030573008904150037	0	0.0030573008904150037	Malay
48	scr	min.pairs	-9.969275700586386e-4	0	-9.969275700586386e-4	Malay
48	scr	network.prop	0.007142530392547947	0	0.007142530392547947	Malay
48	scr	mean.edit	0.0022912522335101024	0	0.0022912522335101024	Malay
49	scr	min.pairs	0.024083891243368332	0	0.024083891243368332	Malay
49	scr	network.prop	0.01038521442998576	0	0.01038521442998576	Malay
49	scr	mean.edit	-0.005572789562227785	0	-0.005572789562227785	Malay
50	scr	min.pairs	0.015348836910297578	0	0.015348836910297578	Malay
50	scr	network.prop	0.009360128397977898	0	0.009360128397977898	Malay
50	scr	mean.edit	-0.008449686750145893	0	-0.008449686750145893	Malay
51	scr	min.pairs	0.004314154400417484	0	0.004314154400417484	Malay
51	scr	network.prop	0.008500301709585118	0	0.008500301709585118	Malay
51	scr	mean.edit	0.013016168873071809	0	0.013016168873071809	Malay
52	scr	min.pairs	-0.016605896058784184	0	-0.016605896058784184	Malay
52	scr	network.prop	-0.019583405861134648	0	-0.019583405861134648	Malay
52	scr	mean.edit	-0.004599268686546437	0	-0.004599268686546437	Malay
53	scr	min.pairs	0.001513147544418062	0	0.001513147544418062	Malay
53	scr	network.prop	2.2968113363721934e-4	0	2.2968113363721934e-4	Malay
53	scr	mean.edit	0.015298825216485028	0	0.015298825216485028	Malay
54	scr	min.pairs	0.007819264647438604	0	0.007819264647438604	Malay
54	scr	network.prop	0.0032717442215174095	0	0.0032717442215174095	Malay
54	scr	mean.edit	-0.011603441534694937	0	-0.011603441534694937	Malay
55	scr	min.pairs	-0.006179439376915004	0	-0.006179439376915004	Malay
55	scr	network.prop	-0.009206366265228083	0	-0.009206366265228083	Malay
55	scr	mean.edit	-0.01784214073707247	0	-0.01784214073707247	Malay
56	scr	min.pairs	0.0024850158519960884	0	0.0024850158519960884	Malay
56	scr	network.prop	0.0044527765749227495	0	0.0044527765749227495	Malay
56	scr	mean.edit	0.018289571915702053	0	0.018289571915702053	Malay
57	scr	min.pairs	-0.002017004365913951	0	-0.002017004365913951	Malay
57	scr	network.prop	-0.023887589711439092	0	-0.023887589711439092	Malay
57	scr	mean.edit	-0.01447734692343686	0	-0.01447734692343686	Malay
58	scr	min.pairs	0.004108140059424645	0	0.004108140059424645	Malay
58	scr	network.prop	-0.012049626421291237	0	-0.012049626421291237	Malay
58	scr	mean.edit	0.006459733017626178	0	0.006459733017626178	Malay
59	scr	min.pairs	-0.01327613782837284	0	-0.01327613782837284	Malay
59	scr	network.prop	-0.005826257122771341	0	-0.005826257122771341	Malay
59	scr	mean.edit	0.021338023645232268	0	0.021338023645232268	Malay
60	scr	min.pairs	0.010707923122058862	0	0.010707923122058862	Malay
60	scr	network.prop	0.010261282561850934	0	0.010261282561850934	Malay
60	scr	mean.edit	-0.014477229917890713	0	-0.014477229917890713	Malay
61	scr	min.pairs	0.0077217197257035235	0	0.0077217197257035235	Malay
61	scr	network.prop	0.010662061958865227	0	0.010662061958865227	Malay
61	scr	mean.edit	-0.016594403220382324	0	-0.016594403220382324	Malay
62	scr	min.pairs	-0.002497325144624609	0	-0.002497325144624609	Malay
62	scr	network.prop	-0.011940621249756665	0	-0.011940621249756665	Malay
62	scr	mean.edit	0.006957326342836917	0	0.006957326342836917	Malay
63	scr	min.pairs	0.01543037575992974	0	0.01543037575992974	Malay
63	scr	network.prop	0.003233928398724226	0	0.003233928398724226	Malay
63	scr	mean.edit	0.0017563538596318527	0	0.0017563538596318527	Malay
64	scr	min.pairs	0.001554248697403937	0	0.001554248697403937	Malay
64	scr	network.prop	0.010067033854791478	0	0.010067033854791478	Malay
64	scr	mean.edit	-7.150492076119416e-5	0	-7.150492076119416e-5	Malay
65	scr	min.pairs	0.004169871204733523	0	0.004169871204733523	Malay
65	scr	network.prop	-0.010095783019066926	0	-0.010095783019066926	Malay
65	scr	mean.edit	6.246683140969763e-5	0	6.246683140969763e-5	Malay
