word	phones	freq	word.length	freq.rank	unig.p	unig.h	min.pairs	min.pairs.2	min.pairs.3	mean.dist	mean.dist.nonmp	mean.dist.all	scaled.unig.h	network	language
awak	awak	21579.685757567277	4	1	0.022454095132968522	5.476877604975539	12	99	566	2.814159292035398	3.895203546956872	3.879711307137129	-3.884293943792067	111	Malay
dia	dia	20810.62011237152	3	2	0.021653866929707135	5.52923150652464	11	117	535	2.786144578313253	3.1922268907563027	3.163900414937759	-4.424721753164471	128	Malay
kau	kau	20008.16794268239	3	3	0.020818899379193186	5.585962389252256	17	151	506	2.7214814814814816	3.145877378435518	3.104771784232365	-4.399746767629065	168	Malay
ini	ini	18281.003091074912	3	4	0.01902174976709959	5.716206227266692	11	75	461	2.8175182481751824	3.3581932773109244	3.327800829875519	-4.342408721505151	86	Malay
tidak	tidak	17551.436995983975	5	5	0.018262621636644043	5.774962307765869	4	38	337	2.8710526315789475	4.570070613796849	4.5649579604014106	-4.164330145433441	42	Malay
tak	tak	17077.9126274654	3	6	0.017769910049554947	5.814419811243781	13	122	515	2.7680491551459294	3.201052631578947	3.16804979253112	-4.29917155117968	135	Malay
kita	kita	16326.950942734353	4	7	0.016988519379662902	5.879296068665149	5	87	515	2.835526315789474	3.92443729903537	3.917000801924619	-3.721595859910878	92	Malay
itu	itu	15074.721157863478	3	8	0.015685549214401465	5.994420145131204	6	74	450	2.8323917137476458	3.375130616509927	3.3568464730290457	-4.219928896754732	80	Malay
kamu	kamu	15043.215564327485	4	9	0.015652767013472995	5.997438478063715	7	91	485	2.815068493150685	3.979082864038616	3.9691259021651963	-3.6738307960069525	98	Malay
untuk	untuk	12963.611274582297	5	10	0.01348889710890345	6.2120837955702175	2	21	121	2.806896551724138	4.918023887079261	4.914564686737185	-3.9717090785474083	23	Malay
mereka	mereka	10360.167713208815	6	11	0.010779961953075462	6.535504103540171	4	20	187	2.8537735849056602	5.209700427960057	5.2052117263843645	-4.575562283309216	24	Malay
boleh	boleh	10099.188542873353	5	12	0.010508407900608283	6.572312082595255	3	13	141	2.8607594936708862	4.955199565571545	4.950637374559262	-3.812971613322757	16	Malay
deNan	deNan	9424.169445546226	5	13	0.009806037013551282	6.672114077478005	4	35	364	2.886138613861386	4.517110266159696	4.512069433143477	-3.768993068986648	39	Malay
tahu	tahu	8485.114665077906	4	14	0.00882893171125046	6.823545400369308	5	77	480	2.8401420959147425	4.002009646302251	3.9943865276663995	-3.3398351534914648	82	Malay
ke	ke	8380.958113313394	2	15	0.008720554733554101	6.841364373754817	13	86	181	2.590747330960854	2.6779026217228465	2.590747330960854	-3.4101165910110325	99	Malay
kami	kami	7635.639221454463	4	16	0.00794503550263432	6.975730618346942	4	97	552	2.834862385321101	3.940136601044596	3.933841218925421	-3.278306556783984	101	Malay
dalam	dalam	6553.163455486476	5	17	0.0068186977931218055	7.19628803907627	4	63	480	2.8649635036496353	4.42123845736013	4.416327637645782	-3.538011635829265	67	Malay
sini	sini	6395.400371436841	4	18	0.006654542145188944	7.2314448773661955	7	67	438	2.8362573099415203	4.12711182622687	4.116680032076985	-3.1749210918575526	74	Malay
semua	semua	6010.749990654124	5	19	0.006254305721912994	7.320934542100829	2	46	312	2.853185595567867	4.51900108577633	4.51586655817738	-3.483085161002317	48	Malay
pergi	pergi	5869.680168851172	5	20	0.00610751974760641	7.35519766145768	3	21	219	2.877049180327869	4.764322563127885	4.759967453213995	-3.4679868444255897	24	Malay
tapi	tapi	5625.864493501736	4	21	0.005853824655346533	7.416404752555783	7	80	528	2.8425324675324677	3.9782783588093324	3.9683239775461105	-3.100141676886522	87	Malay
adalah	adalah	5594.594016335415	6	22	0.0058212870977085735	7.424446113627281	2	36	159	2.782828282828283	5.292727643104502	5.289902280130293	-4.126848444238945	38	Malay
sekaraN	sekaraN	5019.264259749041	7	23	0.005222644965828225	7.581003651686819	3	17	118	2.8129496402877696	5.6525423728813555	5.648588709677419	-4.5025672363841	20	Malay
ia	ia	5010.564954071193	2	24	0.0052135931640793194	7.583506276216155	14	131	135	2.4234875444839856	2.507518796992481	2.4234875444839856	-3.118441476013294	145	Malay
lagi	lagi	4786.969286513514	4	25	0.004980937394803386	7.649367006712077	8	77	484	2.831578947368421	3.993158953722334	3.9819566960705695	-3.005954864431748	85	Malay
jadi	jadi	4537.275701922288	4	26	0.004721126220280734	7.726653230455862	8	77	481	2.8306878306878307	4.011267605633803	4	-2.974707986745675	85	Malay
jaNan	jaNan	4529.046628983782	5	27	0.0047125637051128495	7.7292721635902435	2	59	509	2.8844133099824867	4.415852334419109	4.412801735828587	-3.30314793417763	61	Malay
pada	pada	4460.62776540935	4	28	0.004641372507574156	7.751232794595608	10	120	701	2.828125	3.7986306886830445	3.78588612670409	-2.96477045070047	130	Malay
bukan	bukan	4100.194370702808	5	29	0.004266334343220837	7.872787253722093	3	52	374	2.858139534883721	4.508281292424654	4.504203959858964	-3.2399068660839583	55	Malay
baik	baik	3793.8377410207295	4	30	0.00394756413568504	7.9848215790621735	6	83	559	2.8489984591679507	3.945717732207479	3.937048917401764	-2.8703303315757185	89	Malay
buat	buat	3773.3826168593014	4	31	0.003926280169410586	7.9926211611199465	6	73	532	2.8562091503267975	3.9565741857659833	3.9478748997594226	-2.867176954754389	79	Malay
perlu	perlu	3742.5823724323236	5	32	0.003894231898353649	8.004445486725283	1	14	185	2.9054726368159205	4.7918588873812755	4.7895307838350965	-3.1818906165676335	15	Malay
seperti	seperti	3725.4188774462978	7	33	0.003876372938146348	8.011076908405538	1	2	32	2.8055555555555554	6.283380395320694	6.281048387096774	-4.264926739413593	3	Malay
telah	telah	3672.987927009534	5	34	0.0038218174843624012	8.03152540239397	8	80	439	2.8125	4.470092441544318	4.461350691619202	-3.1699576359368087	88	Malay
satu	satu	3619.851627463755	4	35	0.0037665281007069214	8.052548991864295	8	91	547	2.829984544049459	3.9408450704225353	3.929831595829992	-2.8429480882559024	99	Malay
jika	jika	3596.575106866268	4	36	0.0037423084149463353	8.06185582432542	3	63	487	2.8700361010830324	3.9714859437751002	3.9663191659983963	-2.8391853289765563	66	Malay
sudah	sudah	3581.7627755769577	5	37	0.003726895887644144	8.067809767306473	4	56	335	2.830808080808081	4.585279739272135	4.580146460537022	-3.1539686413993073	60	Malay
lebih	lebih	3517.1057739172716	5	38	0.003659618982753627	8.09409083295772	4	14	183	2.876237623762376	4.778924497555677	4.773528614049362	-3.1423876803944553	18	Malay
haYa	haYa	3247.19218153429	4	39	0.0033787684852470317	8.209286784893973	9	77	675	2.8713910761154855	3.8667471819645733	3.854851643945469	-2.779578882072152	86	Malay
mahu	mahu	3095.542123096116	4	40	0.0032209735628674547	8.278287465256648	5	62	477	2.8623853211009176	4.022909967845659	4.0152365677626305	-2.75168185573152	67	Malay
dataN	dataN	3070.384671541256	5	41	0.0031947967307827804	8.290060142166078	3	66	508	2.870242214532872	4.391257127341841	4.387306753458096	-3.056032242673379	69	Malay
siapa	siapa	3037.7034961569057	5	42	0.0031607913134017555	8.305498498093847	1	39	310	2.8746438746438745	4.54708276797829	4.5448874423650665	-3.0492292081103556	40	Malay
muNkin	muNkin	3026.653026782341	6	43	0.0031492930787477397	8.310756261205594	0	3	54	2.896551724137931	5.653634697617593	5.652483713355049	-3.6794630980476537	3	Malay
kenapa	kenapa	2867.714360884348	6	44	0.002983914214362323	8.388578225038469	1	28	197	2.854625550660793	5.10061099796334	5.0987377850162865	-3.6401806794430756	29	Malay
saNat	saNat	2837.1492328270415	5	45	0.0029521105865958964	8.404037518634645	3	76	534	2.8615635179153096	4.383111593809394	4.379170056956876	-3.0058072034822767	79	Malay
saja	saja	2776.7243258214435	4	46	0.0028892372609345767	8.435095603390616	6	110	750	2.855824682814302	3.7929232006433455	3.784683239775461	-2.688284208969836	116	Malay
dapat	dapat	2700.311505678178	5	47	0.002809728191518511	8.4753537114098485	3	65	473	2.8634686346863467	4.433070866141732	4.429075128831028	-2.9743811548393464	68	Malay
terima	terima	2682.9128943224805	6	48	0.002791624588020699	8.484679340756415	0	25	166	2.8541666666666665	5.2209326002850744	5.219869706840391	-3.5916714402762704	25	Malay
seoraN	seoraN	2658.931024615979	6	49	0.0027666709723885804	8.497633203680735	2	22	157	2.840659340659341	5.233652475045834	5.230863192182411	-3.585132681282315	24	Malay
lakukan	lakukan	2646.234740653713	7	50	0.0027534602347009875	8.504538511333617	1	20	123	2.8275862068965516	5.9421137555465915	5.939919354838709	-3.9922604930852654	21	Malay
bagaimana	bagaimana	2632.1277584734175	9	51	0.002738781637270329	8.512250039935175	2	1	4	2	7.298520204894707	7.292863235712255	-4.89302625847799	3	Malay
hari	hari	2629.5414784070304	4	52	0.0027360905610747084	8.513668302299699	6	111	518	2.80188679245283	3.937273823884198	3.928628708901363	-2.6565172084185353	117	Malay
kasih	kasih	2575.9349461219085	5	53	0.002680311890838207	8.543383396969757	2	39	349	2.8823529411764706	4.576818675352877	4.573637103336045	-2.9444033317899883	41	Malay
kalau	kalau	2522.3284138367862	5	54	0.002624533220601705	8.57372342577066	5	82	580	2.8577844311377247	4.318391741374627	4.312720368863575	-2.931033756328626	87	Malay
pernah	pernah	2415.1153492665426	6	55	0.002512975880128702	8.636387460552832	0	18	198	2.903225806451613	5.175117084096925	5.174063517915309	-3.515093292231144	18	Malay
baiklah	baiklah	2364.5653297871513	7	56	0.002460377572668843	8.66690455429355	2	6	66	2.8266666666666667	6.060722211014727	6.057459677419355	-3.902543807526812	8	Malay
sana	sana	2335.410899947875	4	57	0.002430041804645483	8.684803151556979	3	132	783	2.8465723612622416	3.7485943775100403	3.7437850842020852	-2.5873272617044316	135	Malay
tiada	tiada	2312.8397284594025	5	58	0.0024065560487564297	8.698814260560917	2	29	287	2.8871473354231973	4.570304017372421	4.5671277461350694	-2.875911483168382	31	Malay
atau	atau	2264.6408726767268	4	59	0.00235640417420168	8.729197270915433	2	82	697	2.8861892583120206	3.806904857486953	3.8031275060144347	-2.5693786862613717	84	Malay
kepada	kepada	2244.185748515299	6	60	0.0023351202079272258	8.742287465383836	1	14	181	2.9035532994923856	5.165784114052953	5.163884364820847	-3.4616378393601255	15	Malay
sesuatu	sesuatu	2240.894119339897	7	61	0.0023316952018600724	8.744405072240486	0	7	26	2.7058823529411766	6.060899374873967	6.059677419354839	-3.8597202622059577	7	Malay
mati	mati	2230.313882704675	4	62	0.002320686253787078	8.751232794595609	3	110	535	2.8166409861325117	3.9357429718875503	3.930633520449078	-2.5604697076642853	113	Malay
cakap	cakap	2151.314782495022	5	63	0.002238486108175392	8.803260919616367	2	37	479	2.9152215799614645	4.458197611292074	4.4551125576349335	-2.82988623055269	39	Malay
adakah	adakah	2144.2612914048746	6	64	0.002231146809460063	8.80799883862303	3	16	158	2.859550561797753	5.279136104319479	5.275447882736156	-3.428468518727108	19	Malay
keluar	keluar	2131.8001238122806	6	65	0.0022181807150629816	8.816407378087352	2	21	154	2.842696629213483	5.177836626604196	5.175081433224756	-3.424224115851335	23	Malay
masih	masih	2082.6608025509186	5	66	0.002167050267346188	8.8500516657898185	4	34	317	2.8735955056179776	4.601575230852798	4.596419853539463	-2.8092675153904696	38	Malay
tempat	tempat	2065.0270748255493	6	67	0.002148702020557865	8.862318859258249	4	18	155	2.837078651685393	5.283880171184022	5.279315960912052	-3.401049244217608	22	Malay
deNar	deNar	2060.3247474321174	5	68	0.0021438091547476452	8.8656078041248	1	32	339	2.900804289544236	4.550067842605156	4.547870897748847	-2.802412579071137	33	Malay
harus	harus	1999.4296076871767	5	69	0.002080446542505304	8.90889106614403	6	46	314	2.8337874659400546	4.616576086956521	4.609438567941416	-2.783339464751524	52	Malay
selamat	selamat	1992.8463493363722	7	70	0.0020735965303709967	8.913649075302965	1	21	127	2.8266666666666667	5.63695038321904	5.634879032258064	-3.7662031035155947	22	Malay
