word	phones	freq	word.length	freq.rank	unig.p	unig.h	min.pairs	min.pairs.2	min.pairs.3	mean.dist	mean.dist.nonmp	mean.dist.all	scaled.unig.h	network	language
i	i	41833.65139034315	1	1	0.04556629242273755	4.455889201722582	15	37	0	1.679245283018868	2	1.679245283018868	-1.3341162686230688	52	Russian
ne	ne	23804.812482900168	2	2	0.02592881593201431	5.269299864339976	8	115	216	2.6058823529411765	2.6525679758308156	2.6058823529411765	-1.8494519962026028	123	Russian
on	on	21794.88625080219	2	3	0.023739552422947327	5.396563454596141	16	117	206	2.552941176470588	2.637770897832817	2.552941176470588	-1.815564939665121	133	Russian
na	na	19085.882756048624	2	4	0.020788835922865446	5.588047213460493	17	120	202	2.538235294117647	2.627329192546584	2.538235294117647	-1.7645776859691917	137	Russian
ja	ja	17984.74891138484	2	5	0.01958945252947355	5.673779110905838	11	116	212	2.585294117647059	2.6463414634146343	2.585294117647059	-1.7417494626733676	127	Russian
ĉto	ĉto	15485.414518449485	3	6	0.01686711302465598	5.889643126726278	5	47	450	2.8807157057654074	3.439752832131823	3.4237461617195497	-3.1104708398511183	52	Russian
tot	tot	13114.748817037651	3	7	0.01428492277836011	6.129362952420848	13	116	433	2.742451154529307	3.3094496365524404	3.2753326509723646	-3.014790490415324	129	Russian
a	a	11285.531738929507	1	8	0.012292492342202154	6.3460787333650615	16	36	0	1.6603773584905661	2	1.6603773584905661	-0.13198367603965513	52	Russian
VeS	VeS	9902.553284808497	3	9	0.010786116528462637	6.534680664486241	3	74	402	2.8270833333333334	3.434737923946557	3.4237461617195497	-2.853014382783973	77	Russian
eto	eto	9255.102277975684	3	10	0.010080896187272195	6.632232290276045	7	56	488	2.8677536231884058	3.3808049535603715	3.36028659160696	-2.8140782054504783	63	Russian
kak	kak	8414.550435066754	3	11	0.009165345433332974	6.769595029039856	6	125	456	2.761904761904762	3.272164948453608	3.2548618219037873	-2.759252056606516	131	Russian
ona	ona	8181.501669368029	3	12	0.008911502704963404	6.810115557493662	8	102	575	2.823615160349854	3.1952479338842976	3.1740020470829067	-2.7430789332090257	110	Russian
po	po	6599.278313958211	2	13	0.007188104204125597	7.120172961278123	12	125	202	2.552941176470588	2.617737003058104	2.552941176470588	-1.3566115761468838	137	Russian
no	no	6526.803657076636	2	14	0.007109162937969095	7.1361045836547365	16	127	196	2.523529411764706	2.606811145510836	2.523529411764706	-1.3523693904037075	143	Russian
oni	oni	6434.193955022377	3	15	0.007008290061116632	7.156721797811681	5	51	480	2.8808193668528865	3.400617919670443	3.384851586489253	-2.604736574189839	56	Russian
u	u	5791.828485313177	1	16	0.0063086090181705395	7.308462343448887	11	41	0	1.7547169811320755	2	1.7547169811320755	0.4800780695592398	52	Russian
iz	iz	5508.211991880762	2	17	0.005999686616081678	7.380897138813008	7	89	243	2.6882352941176473	2.7319277108433737	2.6882352941176473	-1.2871873604145672	96	Russian
za	za	5435.392162796228	2	18	0.005920369379456103	7.400097094401619	13	114	212	2.5794117647058825	2.6503067484662575	2.5794117647058825	-1.2820749006824572	127	Russian
tak	tak	4322.2808426897145	3	19	0.004707939810787347	7.730688408473003	14	111	459	2.7572649572649572	3.2920997920997923	3.255885363357216	-2.37564694543913	125	Russian
že	že	4213.609127457699	2	20	0.004589571774773988	7.767424733905482	4	110	225	2.6441176470588235	2.671641791044776	2.6441176470588235	-1.184264894988042	114	Russian
ot	ot	4093.811361550263	2	21	0.004459084957307488	7.809036597609826	13	123	203	2.552941176470588	2.6226993865030677	2.552941176470588	-1.1731847142769625	136	Russian
skazaT	skazaT	4068.395181672283	6	22	0.004431400998434697	7.818021402144881	5	21	123	2.7733333333333334	5.494757115343463	5.488779653772173	-4.606680533481708	26	Russian
etot	etot	3908.097210617499	4	23	0.0042568003125968866	7.876014870084687	2	35	283	2.869158878504673	4.193232413178984	4.1885282347710096	-3.42558069137247	37	Russian
kotorIj	kotorIj	3784.0078036532564	7	24	0.0041216389289649045	7.922566159748078	0	1	26	2.857142857142857	6.417232161217355	6.415912828947368	-5.139682787101285	1	Russian
moĈ	moĈ	3782.3854942993426	3	25	0.0041198718677602575	7.923184815851027	6	95	405	2.7830374753451674	3.38659793814433	3.368474923234391	-2.2988150711054187	101	Russian
ĉeloVek	ĉeloVek	3388.9812288453404	7	26	0.0036913657918080317	8.081629577726257	0	0	3	2.25	6.728356981287272	6.7269736842105265	-5.024203456127128	0	Russian
oDin	oDin	3337.9877887279995	4	27	0.003635822421176883	8.103502546720764	0	17	187	2.902439024390244	4.241992882562277	4.240106714095154	-3.3052910257172483	17	Russian
o	o	3336.8602261983287	1	28	0.0036345942509779087	8.103989967222828	15	37	0	1.679245283018868	2	1.679245283018868	0.9860218751034853	52	Russian
jeŝŝe	jeŝŝe	3206.5692253208977	5	29	0.003492677931251569	8.161450670388705	0	2	35	2.8684210526315788	5.171160942378655	5.1696935300794555	-3.7722597556317807	2	Russian
